DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES,Action,Notes,__source_csv
Food 4 Less #570,112 W 87Th St,CHICAGO,IL,60620.0,2025-04-29,Fail,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: PIC DOSEN'T HAVE A CERTIFIED FOOD MANAGERS CERTIFICATE MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-012) | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO VALID CERTIFIED FOOD MANAGERS CERTIFICATE POSTED FOR FOOD MANAGER ON DUTY ONLY A COPY WHILE TCS FOODS ARE BEING PREPARED,HANDLED AND SERVED SUCH AS (CHICKEN,DELI MEATS,ETC)MUST PROVIDE VALID CERTIFICATE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-012)(CITATION ISSUED) | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: MUST REPAIR OR REPLACE SLOW DRAIN AT FIRST HAND SINK IN WOMEN'S TOILET ROOM. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO WORKING THERMOMETER FOR DELI WALK IN COOLER MUST PROVIDE AND MAINTAIN. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: MUST LABEL FOOD STORAGE CONTAINERS BELONGING TO BAKERY IN DELI WALK IN COOLER ON SHELVING UNITS WHEN NOT IN ORIGINAL PACKAGE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST REPAIR OR REPLACE LOOSE SHELVING UNIT TRIM IN DELI WALK IN COOLER,PRODUCE & DAIRY WALK IN COOLER-DOOR IN POOR REPAIR. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN DEBRIS BUILD UP FROM DAIRY WALK IN COOLER & MEAT PROCESSING AREA FAN GUARD COVERS. | 52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: OBSERVED A FOUL ODOR COMING FROM IN FLOOR GREASE TRAP IN BAKERY AREA NEAR 3- COMPARTMENT SINK MUST CLEAN AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED GARBAGE CAN IN WOMEN'S TOILET ROOM MUST PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST REPAIR OR REPLACE DAMAGED WALL PILLAR AND WALL TRIM IN MEAT WALK IN COOLER,MISSING WALL BASES AND HOLE IN WALL IN PRODUCE PREP/DISH WASHING AREA,MEAT PREP AREA- MISSING WALL BASES,BREAKROOM-STAINED CEILING TILES,BAKERY PREP AREA/DISH WASHING AREA- FLOORING IN POOR REPAIR IN FRONT OF 3- COMP SINK. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN DUST BUILD UP FROM DELI- WALK IN COOLER CEILING,MEN'S TOILET ROOM-WALLS & CEILING VENT,BAKERY-WALK IN FREEZER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN DEBRIS BUILD UP FROM FLOOR & DRAINS IN HOT FOOD,MEAT PREP AREA,MEAT WALK IN COOLER. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: MUST REPAIR OR REPLACE DELI DISPLAY CASE-LIGHT OUT,BAKERY-CRACKED LIGHT SHIELD,MEAT PROCESSING AREA-LIGHT OUT. | 60. PREVIOUS CORE VIOLATION CORRECTED - Comments: PREVIOUS CORE VIOLATIONS FROM REPORT #2596148 6/12/24 NOT CORRECTED-#37-3-302.12 : MUST LABEL FOOD STORAGE CONTAINERS WHEN FOOD IS NOT IN ORIGINAL PACKAGE IN BAKERY.#38- 6-202.15 : OBSERVED A GAP ALONG BOTTOM CENTER OF ENTRY DOORS AND GAP ALONG CENTER OF EXIT DOORS MUST MAKE DOORS TIGHT FITTING.#47-4-501.11 : MUST REPAIR OR REPLACE DAMAGED DOOR GASKETS ON FROZEN FOODS WALK IN FREEZER. #49-4-601.11(C) : MUST CLEAN GREASE AND FOOD DEBRIS BUILD UP ON DELI-WALK IN COOLER- FANGUARD COVERS.DELI PREP AREA-SHELVING UNITS,GREASE FILTER,WHEEL BASES AND OVENS.BAKERY-ROLLING CART.BAKERY WALK IN FREEZER-FAN GUARD COVERS.PRODUCE WALK IN COOLER-FAN GUARD COVERS.MEAT PROCESSING-UNDERSIDES OF PREP TABLES.MEAT WALK IN COOLER-FAN GUARD COVERS.#55- 6-201.17 : MUST CLEAN DEAD INSECTS FROM LIGHT SHIELDS IN BAKERY PREP AREA,PRODUCE PREP AREA.#55-6-501.13 : MUST CLEAN DEBRIS BUILD UP ON FLOORS IN DELI PREP AREA & WALK IN COOLER,BAKERY WALK IN FREEZER.#56- 6-501.14 : MUST CLEAN DEBRIS BUILD UP ON FILTERS AND HOOD OF COOKING EQUIPMENT IN DELI PREP AREA.(PRIORITY FOUNDATION 7-42-090)(CITATION ISSUED)",41.7363800455882,-87.6275092190256,FOOD 4 LESS 570,112 W 87TH ST,True,False,True,POINT (-87.6275092190256 41.7363800455882),43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,,,,
County Fair Foods,10800 S Western Ave,CHICAGO,IL,60643.0,2025-04-29,Pass W/ Conditions,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: INTERIOR OF ICE MACHINE IN NEED OF DETAIL CLEANING TO REMOVE ALL BUILD UP. INSTRUCTED TO REMOVE ALL BUILD UP AND MAINTAIN.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NEW CUTTING BOARDS NEEDED IN SERVICE DEPARTMENTS. INSTRUCTED TO DEEP CLEAN OR REPLACE ALL BOARDS WHEN IN POOR REPAIR. CORRECT AND MAINTAIN  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: ALL COOKING EQUIPMENT IN DELI DEPARTMENT AND IN POPCORN AREA IN NEED OF DETAIL CLEANING TO REMOVE ALL BUILD UP OF FFOD SPILLS AND GREASE. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN.  | 50. HOT & COLD WATER AVAILABLE; ADEQUATE PRESSURE - Comments: OBSERVED HOT WATER AT 72-77 DEGREES AT ALL HANDSINKS AND 3 COMPARTMENT SINKS. INSTRUCTED MANAGER TO CORRECT AND MAINTAIN HOT WATER AT 100 DEGREES AT HANDSINKS AND 110 DEGREES AT 3 COMPARTMENT SINKS.  PRIORITY VIOLATION 7-38-030(C) CITATION ISSUED  PLUMBER ARRIVED ON SITE TO CORRECT ISSUE. OFFICE NOTIFIED  WATER HEATER RECOVERED HOT WATER AT ADEQUATE TEMPERATURE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS IN DELI COOLER, DELI SERVICE AREA, AND POP CORN AREA IN NEED OF DETAIL CLEANING TO REMOVE ALL BUILD UP. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN  | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: ALL EMPLOYEES IN NEED OF FOOD HANDLER CERTIFICATES. INSTRUCTED TO OBTAIN AND MAINTAIN  | 58. ALLERGEN TRAINING AS REQUIRED - Comments: ALL SANITATION CERTIFICATE HOLDERS IN NEED OF ALLERGAN CERTIFICATES. INSTRUCTED TO OBTAIN AND MAINTAIN",41.6972382087802,-87.6814748041818,COUNTY FAIR FOODS,10800 S WESTERN AVE,True,False,True,POINT (-87.6814748041818 41.6972382087802),74.0,MORGAN PARK,91877340.6988,75.0,75.0,46396.419362,,,,,
Oh Hen Mart,9053 S Stony Island Ave,CHICAGO,IL,60617.0,2025-04-28,Pass,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments:  OBSERVED BOXES OF CANDY STORED ON FLOOR BEHIND FRONT COUNTER. INSTRUCTED MANAGER TO ELEVATE ALL FOOD ITEMS SIX INCHES OFF FLOOR. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: OBSERVED SOILED WIPING CLOTHS STORED ON SINKS AND PREP TABLES. INSTRUCTED MANAGER TO STORE WIPING CLOTHS IN SANITIZING SOLUTION BETWEEN USES. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  OBSERVED GREASE BUILDUP ON INTERIOR AND EXTERIOR SURFACES OF FRYERS, FOOD DEBRIS AND SPILLS ON INTERIOR AND EXTERIOR SURFACES OF COOLERS, SHELVING UNITS, COUNTERS SLICER IN PREP AREA. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED WASHROOM DOOR IN POOR REPAIR, NOT CLOSING PROPERLY. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED STAINED CEILING TILES, DAMAGED AND MISSING FLOOR TILES IN PREP, SALES, STORAGE, AND WASHROOM AREAS. INSTRUCTED MANAGER TO REPLACE CEILING TILES, DAMAGED AND MISSING FLOOR TILES IN ALL AREAS. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments:  OBSERVED GREASE BUILDUP ON FILTERS ABOVE FRYERS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN.",41.7298949621823,-87.5849087422939,OH HEN MART,9053 S STONY ISLAND AVE,True,False,True,POINT (-87.5849087422939 41.7298949621823),47.0,CALUMET HEIGHTS,48826241.5643,48.0,48.0,32925.3658706,,,,,
Evolve By Hudson,5700 S Cicero Ave,CHICAGO,IL,60638.0,2025-04-25,Pass W/ Conditions,"22. PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED APPROXIMATELY 15# OF THE FOLLOWING PACKAGED TCS FOODS (YOGURT, LUNCHMEAT, EGGS) AT IMPROPER COLD HOLDING TEMPERATURE RANGE OF 55F-58F. PERSON IN CHARGE DISCARDED AND DENTURED 15# OF FOOD FOR $300. INSTRUCTED PERSON IN CHARGE TO MAINTAIN ALL COLD HELD FOODS AT 41�F OR BELOW.",41.7893293232654,-87.7416456441964,EVOLVE BY HUDSON,5700 S CICERO AVE,True,False,True,POINT (-87.7416456441964 41.7893293232654),55.0,GARFIELD RIDGE,117890778.429,56.0,56.0,60080.4479704,,,,,
Khi'S Grocery And Mini Mart,4115-17 W Roosevelt Rd,CHICAGO,IL,60624.0,2025-04-25,No Entry,,41.8660171486125,-87.7283152964801,KHIS GROCERY AND MINI MART,411517 W ROOSEVELT RD,True,False,False,POINT (-87.7283152964801 41.8660171486125),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,,,,
E & J Food & Liquors,5439 S Damen Ave,CHICAGO,IL,60609.0,2025-04-25,Out Of Business,,41.7945855107177,-87.6741748924585,E J FOOD LIQUORS,5439 S DAMEN AVE,True,False,False,POINT (-87.6741748924585 41.7945855107177),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,,,,
"A&A Fresh Food Market, Ltd.",4855 S Ashland Ave,CHICAGO,IL,60609.0,2025-04-25,Out Of Business,,41.8051694700821,-87.6647309850293,AA FRESH FOOD MARKET LTD,4855 S ASHLAND AVE,True,False,False,POINT (-87.6647309850293 41.8051694700821),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,,,,
Reemy'S Food Grill & Tobacco,8701 S Cottage Grove Ave,CHICAGO,IL,60619.0,2025-04-25,Pass,,41.7366060780321,-87.6046750609248,REEMYS FOOD GRILL TOBACCO,8701 S COTTAGE GROVE AVE,True,False,False,POINT (-87.6046750609248 41.7366060780321),43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,,,,
Gangnam Market,1001 W Chicago Ave,CHICAGO,IL,60642.0,2025-04-24,Fail,"22. PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED IMPROPER COLD HOLDING TEMPERATURES OF TCS FOODS IN THE PREP COOLERS IN THE COFFE BAR AREA, AND GRILL AREAS.  OBSERVED EGGS AT 56F, CHICKEN BETWEEN 47- 57F, CUT WATERMELON AT 48F, MILK BETWEEN 44- 48F, AND KIMCHI AT 53F.  MANAGEMENT INSTRUCTED TO MAINTAIN ALL COLD TCS FOODS BELOW 41�F.  PRIORITY VIOLATION 7-38-005.  CITATION ISSUED. | 33. PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL - Comments: OBSERVED THE 1-DOOR PREP COOLER BETWEEN THE BAKERY AND THE GRILL PREP AREA WITH AN AIR TEMPERATURE OF 58�F. THE COOLER WAS USED TO STORE TCS FOODS SUCH AS EGGS AND KIMCHI. MANAGEMENT INSTRUCTED TO REPAIR AND MAINTAIN THE PREP COOLER BELOW 41�F. PRIORITY VIOLATION 7-38-005. CITATION ISSUED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED APPROX. 50 LIVE SMALL FLYING INSECTS ON THE WALLS AND CEILING OF THE DISH WASHING AREA, FRONT AND REAR BBQ GRILL PREP AREAS, AND BEHIND THE LIQUOR BAR AND COFFEE BARS.  ADDITIONAL PEST CONTROL SERVICE IS NEEDED TO ELIMINATE THE PEST ACTIVITY.  PRIORITY FOUNDATION VIOLATION 7-38-020(A).  CITATION ISSUED. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: OBSERVED WET WIPING CLOTHS STORED ON TOP OF THE PREP TABLES IN MULTIPLE FOOD PREP STATIONS.  MANAGEMENT INSTRUCTED TO STORE WET WIPING CLOTHS IN A CONTAINER OF SANITIZER WHEN NOT IN USE.",41.8961983285802,-87.6526797277004,GANGNAM MARKET,1001 W CHICAGO AVE,True,False,True,POINT (-87.6526797277004 41.8961983285802),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,,,,
Falcon Fuel / Sals Philly And Seafood,7100-7114 S Vincennes Ave,CHICAGO,IL,60621.0,2025-04-24,Out Of Business,,41.7654659278609,-87.6280736816003,FALCON FUEL SALS PHILLY AND SEAFOOD,71007114 S VINCENNES AVE,True,False,False,POINT (-87.6280736816003 41.7654659278609),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,,,,
