DBA Name,Address,Latitude,Longitude,Community,IS_REAL_GROCERY,geometry
Food 4 Less #570,112 W 87Th St,41.7363800455882,-87.6275092190256,CHATHAM,False,POINT (-87.6275092190256 41.7363800455882)
County Fair Foods,10800 S Western Ave,41.6972382087802,-87.6814748041818,MORGAN PARK,False,POINT (-87.6814748041818 41.6972382087802)
Oh Hen Mart,9053 S Stony Island Ave,41.7298949621823,-87.5849087422939,CALUMET HEIGHTS,False,POINT (-87.5849087422939 41.7298949621823)
Evolve By Hudson,5700 S Cicero Ave,41.7893293232654,-87.7416456441964,GARFIELD RIDGE,False,POINT (-87.7416456441964 41.7893293232654)
Khi'S Grocery And Mini Mart,4115-17 W Roosevelt Rd,41.8660171486125,-87.7283152964801,NORTH LAWNDALE,False,POINT (-87.7283152964801 41.8660171486125)
E & J Food & Liquors,5439 S Damen Ave,41.7945855107177,-87.6741748924585,NEW CITY,False,POINT (-87.6741748924585 41.7945855107177)
"A&A Fresh Food Market, Ltd.",4855 S Ashland Ave,41.8051694700821,-87.6647309850293,NEW CITY,False,POINT (-87.6647309850293 41.8051694700821)
Reemy'S Food Grill & Tobacco,8701 S Cottage Grove Ave,41.7366060780321,-87.6046750609248,CHATHAM,False,POINT (-87.6046750609248 41.7366060780321)
Gangnam Market,1001 W Chicago Ave,41.8961983285802,-87.6526797277004,WEST TOWN,False,POINT (-87.6526797277004 41.8961983285802)
Falcon Fuel / Sals Philly And Seafood,7100-7114 S Vincennes Ave,41.7654659278609,-87.6280736816003,GREATER GRAND CROSSING,False,POINT (-87.6280736816003 41.7654659278609)
Western Food Mart,7052 S Western Ave,41.7649594967238,-87.6833957006477,CHICAGO LAWN,False,POINT (-87.6833957006477 41.7649594967238)
Dulceria Velasco,2731 W 59Th St,41.7863186719278,-87.6923116055893,CHICAGO LAWN,False,POINT (-87.6923116055893 41.7863186719278)
"79 Food & Deli, Inc.",343 E 79Th St,41.750982043915,-87.6164554849679,CHATHAM,False,POINT (-87.6164554849679 41.750982043915)
Sam 95 Food Inc,1452 W 95Th St,41.7213568596737,-87.6599616802764,WASHINGTON HEIGHTS,False,POINT (-87.6599616802764 41.7213568596737)
Lawrence Food & Deli,1113 W Lawrence Ave,41.9689355714895,-87.6582007180482,UPTOWN,False,POINT (-87.6582007180482 41.9689355714895)
59Th Street Food Mart,33 E 59Th St,41.7872769637555,-87.6241380031761,WASHINGTON PARK,False,POINT (-87.6241380031761 41.7872769637555)
63Rd Street Food Mart,6359 S Dr Martin Luther King Jr Dr,41.778490647369,-87.6154378195282,WOODLAWN,False,POINT (-87.6154378195282 41.778490647369)
Star Farm Chicago,5256 S Ashland,41.7978189145709,-87.6648302194387,NEW CITY,False,POINT (-87.6648302194387 41.7978189145709)
Hyde Park Bp Am Pm,5130 S Lake Park Ave,41.801456552461,-87.5877418621558,HYDE PARK,False,POINT (-87.5877418621558 41.801456552461)
7-Eleven #33698J,6401 N Sheridan Rd,41.9983088063897,-87.6596963832564,ROGERS PARK,False,POINT (-87.6596963832564 41.9983088063897)
Sacramento Three Brothers,603 S Sacramento Blvd,41.8736351475448,-87.7008622377332,EAST GARFIELD PARK,False,POINT (-87.7008622377332 41.8736351475448)
El Progresso,3937 W 31St St,41.8367884830205,-87.7233568547893,SOUTH LAWNDALE,False,POINT (-87.7233568547893 41.8367884830205)
Division Quick Mart,5652 W Division St,41.902221624326,-87.7677718454794,AUSTIN,False,POINT (-87.7677718454794 41.902221624326)
Supermercado La Tortilla,5915-5919 S Western Ave,41.7860640549239,-87.6836735423631,CHICAGO LAWN,False,POINT (-87.6836735423631 41.7860640549239)
7 Seas Food & Meat Mart #3 Inc,6501 S Cottage Grove Ave,41.7766888361163,-87.6057003492933,WOODLAWN,False,POINT (-87.6057003492933 41.7766888361163)
Red Apple Food & Liquor Inc,317 E 51St St,41.8019546465485,-87.6186829574225,WASHINGTON PARK,False,POINT (-87.6186829574225 41.8019546465485)
Green Line Food Mart,7701 S Racine Ave,41.7540479040719,-87.6536852177273,AUBURN GRESHAM,False,POINT (-87.6536852177273 41.7540479040719)
Los Cuates Mercado,4531-4535 W Marquette Rd,41.7711072684816,-87.7359157141494,WEST LAWN,False,POINT (-87.7359157141494 41.7711072684816)
Fairplay Finer Food,2200 S Western Ave,41.8519838395733,-87.6857857042053,LOWER WEST SIDE,False,POINT (-87.6857857042053 41.8519838395733)
Lalich Delicatessen,4208 W Lawrence Ave,41.9682906022065,-87.7333728325857,ALBANY PARK,False,POINT (-87.7333728325857 41.9682906022065)
Hermosa Bodega,4100 W North Ave,41.9099608832475,-87.728874960377,HUMBOLDT PARK,False,POINT (-87.728874960377 41.9099608832475)
Harvest Food,4949 N Elston Ave,41.9706513987566,-87.7440612416149,ALBANY PARK,False,POINT (-87.7440612416149 41.9706513987566)
