DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Lg 25 Food & Liquor,4706-08 N Kimball Ave,CHICAGO,IL,60625.0,2024-07-23,Out Of Business,,41.966840477941105,-87.7134635359084,LG 25 FOOD LIQUOR,470608 N KIMBALL AVE,True,False,False,POINT (-87.7134635359084 41.966840477941105),13.0,ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387,,
Cremeria La Ordena #2,3810 W Lawrence Ave,CHICAGO,IL,60625.0,2024-06-18,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED SOME USE OF MILK CRATES FOR ELEVATION AT THE KITCHEN AREA, DISHWASHING AREA AND DRY STORAGE AREA. INSTRUCTED NOT TO USE MILK CRATES FOR ELEVATION TO PREVENT HIDING PLACES FOR PEST. MUST PROVIDE APPROPRIATE SHELVING FOR STORAGE. ALL FOOD ITEMS MUST ALSO BE STORED 6"" AWAY FROM THE WALL. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED PEELING PAINT ON WALL BEHIND HAND WASHING SINK IN THE UNISEX EMPLOYEE WASHROOM. MUST REPAINT AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED BURNOUT LIGHT INSIDE THE UNISEX EMPLOYEE WASHROOM. MUST REPAIR AND MAINTAIN ADEQUATE LIGHTING.",41.968398207775,-87.7236372050378,CREMERIA LA ORDENA 2,3810 W LAWRENCE AVE,True,False,False,POINT (-87.7236372050378 41.968398207775),13.0,ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387,,
7-Eleven #36061 A,4401 N Pulaski Rd,CHICAGO,IL,60630.0,2023-11-02,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: FOUND INTERIOR OF REACH IN COOLER NOT CLEAN BEHIND FRONT COUNTER.MUST CLEAN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND FAUCET FOR SINK BY COFFEE STATION LOOSE.MUST FASTEN PROPERLY. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND CLUTTER AT REAR STORAGE AREAS.(PERSONAL ITEMS,COATS,SHOES,ETC.)MUST CLEAN AND ORGANIZE.",41.9610283803806,-87.7276833904702,7ELEVEN 36061 A,4401 N PULASKI RD,True,False,False,POINT (-87.7276833904702 41.9610283803806),13.0,ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387,,
D&D Convenience Store Inc,3634 W Lawrence Ave,CHICAGO,IL,60625.0,2023-10-10,Pass,,41.9684426835142,-87.719695614848,DD CONVENIENCE STORE INC,3634 W LAWRENCE AVE,True,False,False,POINT (-87.719695614848 41.9684426835142),13.0,ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387,,
Aj Mini Mart,3035 W Lawrence Ave,CHICAGO,IL,60625.0,2023-07-18,Pass,,41.9683729538728,-87.7050251615327,AJ MINI MART,3035 W LAWRENCE AVE,True,False,False,POINT (-87.7050251615327 41.9683729538728),13.0,ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387,,
Foremost Liquors,4616 N Kedzie Ave,CHICAGO,IL,60625.0,2022-01-10,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES,  FACE MASKS,  DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY  THAT KILLS NOROVIRUS)    PRIORITY FOUNDATION VIOLATION 7-38-005   NO CITATION ISSUED | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: BACKFLOW PREVENTER DEVICE NOT LOCATED AT MOPSINK.                INSTRUCTED TO INSTALL SO THAT IT CAN BE LOCATED TO BE SERVICED AND MAINTAINED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS ALONG THE WALLS AND IN ALL CORNERS, UNDER STORAGE SHELVES INSIDE WALK-IN COOLER. MUST REMOVE MILK/SODA CRATES FOR EASY ACCESS ON CLEANING.",41.9652300025594,-87.7085208712856,FOREMOST LIQUORS,4616 N KEDZIE AVE,True,False,False,POINT (-87.7085208712856 41.9652300025594),13.0,ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387,,
Dollar Tree #08840,4540 N Pulaski Rd,CHICAGO,IL,60630.0,2021-10-01,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES, FACE MASKS, DISPOSABLE MOPS, AND APPROPRIATE SANITIZER/SPRAY THAT IS EFFECTIVE AGAINST NOROVIRUS). PRIORITY FOUNDATION VIOLATION 7-38-005. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED FRONT AND SIDE ENTRANCE DOORS WITH OPENING APPROX:1/4"" AT CENTER BOTTOM  OF DOORS.INSTRUCTED TO MAKE DOORS TIGHT FITTING TO PREVENT PEST ENTRY. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLES PROVIDED IN THE UNISEX WASHROOMS.MUST PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN BASEMENT ELECTRICAL STORAGE ROOMS AND 1ST FLOOR SIDE ROOM AND REMOVE UNNECESSARY ARTICLES FURNITURE DEBRIS ETC. DUE TO POTENTIAL PEST HARBORAGE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO SEAL NOTICEABLE OPENINGS ON WALLS AND AROUND PIPES IN BASEMENT AREAS AND 1ST FLOOR SIDEROOM AND MAINTAIN.",41.9637104875179,-87.7280516285161,DOLLAR TREE 08840,4540 N PULASKI RD,True,False,False,POINT (-87.7280516285161 41.9637104875179),13.0,ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387,,
M & J Liquor & Grocery,3654-3656 W Lawrence Ave,CHICAGO,IL,60625.0,2021-09-23,Out Of Business,,41.9684345798546,-87.7204810114258,M J LIQUOR GROCERY,36543656 W LAWRENCE AVE,True,False,False,POINT (-87.7204810114258 41.9684345798546),13.0,ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387,,
Family Dollar #32239,4728 N Pulaski Rd,CHICAGO,IL,60630.0,2020-08-24,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO CLEAN SHELVES IN MILK COOLER TO REMOVE FOOD DEBRIS SPILLAGE AND TO MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED REAR UTILITY MOP SINK AREA CLUTTERED AND CLEANING EQUIPMENTS/SUPPLIES NOT PROPERLY STORED AND ELEVATED.MUST DETAIL CLEAN AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: INSTRUCTED TO REMOVE ACCUMULATIONS OF DUSTS ON VENTILATION COVERS IN WASH ROOMS AND MAINTAIN.",41.9672666700663,-87.7281470477767,FAMILY DOLLAR 32239,4728 N PULASKI RD,True,False,False,POINT (-87.7281470477767 41.9672666700663),13.0,ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387,,
Citgo,4603 N Pulaski Rd,CHICAGO,IL,60630.0,2020-07-31,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES, FACE MASKS, DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY THATS EFFECTIVE AGAINST NOROVIRUS). PRIORITY FOUNDATION VIOLATION 7-38-005,NO CITATION ISSUED. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED TO PROVIDE AND MAINTAIN WORKING VISIBLE THERMOMETERS INSIDE REFRIGERATION UNITS AND TO MAINTAIN. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED SIDE DOOR WITH GAP APPROXIMATELY 1"" INCH MODE OF ENTRY,NOT PEST PROOFED.INSTRUCTED TO MAKE MENTIONED DOOR TIGHT FITTING ALL ACROSS THE BOTTOM TO PREVENT PEST ENTRY AND TO MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE PROVIDED IN THE UNISEX WASHROOM. MUST PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN FLOORS ALONG THE WALLS AND IN ALL CORNERS UNDERNEATH THE GROCERY SHELF AND BEHIND THE ATM MACHINE WITH LITTER/DEBRIS AND TO MAINTAIN. | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: PREVIOUS INSPECTION REPORT SUMMARY FROM (07/07/2017) WAS NOT DISPLAYED FOR THE PUBLIC TO VIEW.TODAY'S INSPECTION REPORT SUMMARY WAS ISSUED DISPLAYED AND VISIBLE TO THE PUBLIC AS REQUIRED.PRIORITY FOUNDATION VIOLATION 7-42-010 (B), CITATION ISSUED. - COS",41.9647044748583,-87.7277838026228,CITGO,4603 N PULASKI RD,True,False,False,POINT (-87.7277838026228 41.9647044748583),13.0,ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387,,
