DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Citgo,8250-8258 S Western Ave,CHICAGO,IL,60620.0,2024-09-04,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED OUTSIDE REAR YARD WITH TALL WEEDS AND GRASS,CRATES AND CLUTTER IN REAR STORAGE AREA ,SERVICE COUNTER AND WHERE NEEDED.MUST REMOVE AND MAINTAIN AREA.",41.7431130402901,-87.6828297104044,CITGO,82508258 S WESTERN AVE,True,False,False,POINT (-87.6828297104044 41.7431130402901),69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317,,
Kedzie Shell,7700-7710 S Kedzie Ave,CHICAGO,IL,60652.0,2023-10-25,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments:   5-501.17  OBSERVED NO COVERED RECEPTACLE FOR PROPER DISPOSAL OF SANITARY NAPKINS IN ALL-GENDER WASHROOM. INSTRUCTED TO PROVIDE COVERED WASTE RECEPTACLE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.12 OBSERVED LOOSE DEBRIS, DIRT AND DUST BUILDUP ON THE FLOORS AND CORNERS THROUGHOUT THE FACILITY. INSTRUCTED TO DETAIL CLEAN AND INCREASE CLEANING FREQUENCY OF FLOORS. MUST MAINTAIN AT ALL TIMES.",41.753356980012,-87.7026425504896,KEDZIE SHELL,77007710 S KEDZIE AVE,True,False,False,POINT (-87.7026425504896 41.753356980012),69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317,,
Neca'S Mini Mart,2625 W 79Th St,CHICAGO,IL,60652.0,2022-10-20,Out Of Business,,41.7498404387531,-87.688900523868,NECAS MINI MART,2625 W 79TH ST,True,False,False,POINT (-87.688900523868 41.7498404387531),69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317,,
5 Stars Food & Tobacco Inc.,7753 S Cicero Ave,CHICAGO,IL,60652.0,2022-07-25,Pass,,41.7512280587158,-87.7412873712541,5 STARS FOOD TOBACCO INC,7753 S CICERO AVE,True,False,False,POINT (-87.7412873712541 41.7512280587158),69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317,,
Mobil,8145 S Pulaski Rd,CHICAGO,IL,60652.0,2022-06-27,Pass,,41.7444721654151,-87.7216021308244,MOBIL,8145 S PULASKI RD,True,False,False,POINT (-87.7216021308244 41.7444721654151),69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317,,
Cvs/Pharmacy #8504,8444 S Pulaski Rd,CHICAGO,IL,60652.0,2021-09-13,Out Of Business,,41.7389714648484,-87.7217212774728,CVSPHARMACY 8504,8444 S PULASKI RD,True,False,False,POINT (-87.7217212774728 41.7389714648484),69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317,,
Omar Discount Center Plus Inc,8320 S Pulaski Rd,CHICAGO,IL,60652.0,2021-03-10,Pass,,41.741544634392,-87.7218056624378,OMAR DISCOUNT CENTER PLUS INC,8320 S PULASKI RD,True,False,False,POINT (-87.7218056624378 41.741544634392),69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317,,
Citgo Gas & Mini Mart,3645-3659 W 79Th St,CHICAGO,IL,60652.0,2020-10-16,Pass,,41.7494543636024,-87.7138540708425,CITGO GAS MINI MART,36453659 W 79TH ST,True,False,False,POINT (-87.7138540708425 41.7494543636024),69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317,,
Cvs/ Pharmacy # 2846,8639 S Cicero Ave,CHICAGO,IL,60652.0,2020-10-02,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO EMPLOYEE CLEAN UP PROCEDURE FOR VOMITING AND DIARREAL EVENTS. INSTRUCTED TO PROVIDE WITH ALL THE NECESSARY ITEMS INCLUDING DISPOSABLE GLOVES, FACE MASK, DISPOSABLE MOP AND APPROPRIATE SANITIZER FOR NOROVIRUS. PRIORITY FOUNDATION | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED HANDSINK IN EMPLOYEES BREAK ROOM SLOW DRAINING. MUST REPLAIR. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: ALL WASHROOMS USED BY FEMALES MUST HAVE A COVERED RECEPTACLES IN  WOMEN WASHROOM FOR SANITARY NAPKINS. INSTRUCTED TO INSTALL | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED 2ND FL STORAGE AREA NOT MAINTAINED. INSTRUCTED TO REMOVE ALL STORAGE SUPPLIES, ( PHARMACY SUPPLIES WINDOW WASHER FLIUD,ETC OFF FLOORS ON ADEQUATE SHELVING UNITS TO PREVENT PEEST HARBORAGE AREAS.",41.735242276938,-87.7408440168183,CVS PHARMACY 2846,8639 S CICERO AVE,True,False,False,POINT (-87.7408440168183 41.735242276938),69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317,,
Dollar Tree #06354,3920 W 79Th St,CHICAGO,IL,60652.0,2020-07-31,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED DISPLAY SHELVES NOT CLEAN OF DEBRIS SNACK ISLE# 11,9,AND DISPLAY UNITS AT CAS REGISTERS. INSTRUCTED TO CLEAN/MAINTAIN. ALSO BOTTOM AREAS INSIDE COOLERS | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  OBSERVED FLOORS NOT MAINTAIN IN BREAKROOM AREA. INSTRUCTED TO CLEAN DEBRIS AND MAINTAIN.",41.7496902357768,-87.7212362664155,DOLLAR TREE 06354,3920 W 79TH ST,True,False,False,POINT (-87.7212362664155 41.7496902357768),69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317,,
