DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Citgo,8601-8615 S Halsted St,CHICAGO,IL,60620.0,2024-12-31,Pass,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments:  5-202.12 (B-D)  MUST REPAIR OR REPLACE LEAKY PIPE AT REAR DISH WASHING AREA HAND SINK. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-205.15 MUST REMOVE EXCESSIVE BROWNISH PUTTY FROM DRAIN AT HAND SINK IN REAR DISH WASHING AREA AND PROVIDE FOOD GRADE PUTTY. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.16  MUST PROVIDE A HOOKING SYSTEM TO HANG UP WET MOPS. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: 2-102.13  OBSERVED NO FOOD HANDLERS TRAINING FOR EMPLOYEES MUST PROVIDE AND MAINTAIN.",41.737973780282495,-87.6435254107888,CITGO,86018615 S HALSTED ST,True,False,False,POINT (-87.6435254107888 41.737973780282495),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
Family Dollar#32483,2019 W 79Th St,CHICAGO,IL,60620.0,2024-12-05,Out Of Business,,41.7501131663485,-87.6738985985342,FAMILY DOLLAR32483,2019 W 79TH ST,True,False,False,POINT (-87.6738985985342 41.7501131663485),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
Family Dollar #5630,8030 S Halsted St,CHICAGO,IL,60620.0,2024-06-03,Out Of Business,,41.7478783759905,-87.6441080312306,FAMILY DOLLAR 5630,8030 S HALSTED ST,True,False,False,POINT (-87.6441080312306 41.7478783759905),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
808 Food Mart Inc.,808 W 87Th St,CHICAGO,IL,60620.0,2024-06-03,Out Of Business,,41.7361777075947,-87.6440663486537,808 FOOD MART INC,808 W 87TH ST,True,False,False,POINT (-87.6440663486537 41.7361777075947),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
Family Dollar Store # 7612,7927 S Ashland Ave,CHICAGO,IL,60620.0,2024-02-28,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: : 6-501.13 : MUST CLEAN EXCESSIVE DEBRIS AND TRASH BUILD UP ON FLOOR UNDER,AROUND,ALONG WALL BASES,DISPLAY SHELVES THROUGHOUT PREMISES INCLUDING REAR STORAGE AREA.",41.7495287342638,-87.6632718849561,FAMILY DOLLAR STORE 7612,7927 S ASHLAND AVE,True,False,False,POINT (-87.6632718849561 41.7495287342638),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
Aida Food & Liquor,7923 S Halsted St,CHICAGO,IL,60620.0,2024-01-08,Pass,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: MUST PROVIDE A HAND WASHING SIGN AT HAND SINK IN TOILET ROOM. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED A GAP ALONG BOTTOM OF FRONT DOOR MUST MAKE DOOR TIGHT FITTING. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN DUST BUILD UP FROM LIQUOR SHELVING UNITS ON SALES FLOOR & SERVICE COUNTER,DISPLAY COOLERS AT SERVICE COUNTER,SLEEVES IN WALK IN COOLER. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO LID ON GARBAGE CAN IN UNISEX TOILET ROOM MUST PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST SEAL HOLES IN WALLS IN REAR LIQUOR STORAGE AREA.MUST REPAIR OR REPLACE STAINED CEILING TILES IN TOILET ROOM AND FLOOR TILES MISSING IN WALK IN COOLER AND DAMAGED FLOOR TILE AT ENTRY TO REAR STORAGE AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN DUST BUILD UP FROM WALLS AND CEILING IN WALK IN COOLER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST ELEVATE LIQUOR BOXES & ARTICLES OFF OF FLOOR AND AWAY FROM WALLS IN LIQUOR STORAGE AREA,WALK IN COOLER AND BASEMENT.",41.749931458226094,-87.643877125327,AIDA FOOD LIQUOR,7923 S HALSTED ST,True,False,False,POINT (-87.643877125327 41.749931458226094),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
79Th Mini Mart,1642 W 79Th St,CHICAGO,IL,60620.0,2023-08-14,Pass,,41.750441827466496,-87.6651338648033,79TH MINI MART,1642 W 79TH ST,True,False,False,POINT (-87.6651338648033 41.750441827466496),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
Abeer Food Mart,1535 W 79Th St,CHICAGO,IL,60620.0,2023-07-25,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST PROVIDE A SMALL GARBAGE CAN WITH A LID AS REQUIRED.",41.7502615981817,-87.6623457616702,ABEER FOOD MART,1535 W 79TH ST,True,False,False,POINT (-87.6623457616702 41.7502615981817),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
Justine Food Mart,1533 W 79Th St,CHICAGO,IL,60620.0,2023-06-07,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURES OR SUPPLIES FOR RESPONDING TO VOMITING AND/OR DIARRHEA EVENTS AS REQUIRED. MUST PROVIDE AND MAINTAIN. PRIORITY FOUNDATION CITATION ISSUED #7-38-005. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED THE INSIDE OF REACH IN COOLER DIRTY. MUST CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER IN THE REAR STORAGE AREAS. INSTRUCTED TO ORGANIZE AND REMOVE UNNECESSARY ITEMS TO PREVENT HARBORAGE. | 62. COMPLIANCE WITH CLEAN INDOOR AIR ORDINANCE - Comments: OBSERVED EMPLOYEE INSIDE PREMISES AT THE FRONT COUNTER SMOKING AT THIS TIME. INSTRUCTED EMPLOYEE THERE'S NO SMOKING INSIDE BUSINESS AT ANY TIME. CITATION ISSUED #7-32-015.",41.7502619467638,-87.6622558731879,JUSTINE FOOD MART,1533 W 79TH ST,True,False,False,POINT (-87.6622558731879 41.7502619467638),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
Family Dollar  #5392,1200 W 87Th St,CHICAGO,IL,60620.0,2023-01-12,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  MUST REPAIR OR REPLACE STAINED CEILING TILES ON SALES FLOOR,DAMAGED FLOORING THROUGHOUT REAR AREA NEAR OFFICE/ IN TOILET ROOMS AND SOME FLOOR TILES ON SALES FLOOR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE WALL AND CEILING IN POOR REPAIR WHERE FIRE WAS STATED. MUST REPAIR AND MAINTAIN SMOOTH AND EASILY.",41.7360440895436,-87.6534042417978,FAMILY DOLLAR 5392,1200 W 87TH ST,True,False,False,POINT (-87.6534042417978 41.7360440895436),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
