DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Division Quick Mart,5652 W Division St,CHICAGO,IL,60651.0,2025-04-17,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11 OBSERVED DIRTY FLOORS THROUGHOUT THE FACILITY. INSTRUCTED TO CLEAN AND MAINTAIN.",41.902221624326,-87.7677718454794,DIVISION QUICK MART,5652 W DIVISION ST,True,False,False,POINT (-87.7677718454794 41.902221624326),24.0,AUSTIN,199254203.427,25.0,25.0,75226.4749167,,
76,119-133 S Cicero Bldg,CHICAGO,IL,60644.0,2025-03-20,Pass,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11 OBSERVED NO WRTITTEN POLICY OR NECCESARY ITEMS OUTLINED IN THE POLICY AVAILABLE ON SITE FOR RESPONDING TO VOMIT AND DIAAHREAL EVENTS THAT CAN OCCUR IN THE FOOD ESTABLISHMENT. INSTRUCTED TO PROVIDE AND MAINTAIN ON SITE. PRIORITY FOUNDATION VIOLATION. #7-38-005. NO CITATION ISSUED | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: 6-501.111 MISSING THERMOMETER INSIDE DISPLAY COOLER LOCATED IN FRONT OF GROCERY NEAR REGISTERS. INSTURCTED TO PROVIDE | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11 OBSERVED BROKEN AND MISSING FLOOR TILES THROUGHOUT GROCERY AREA AS WELL NEAR UTILITY SINK. NOTED CRUMBLES WALL BEHIND REGISTERS ATTACHED TO GREEN WALL AND MUTLIPLE LARGE HOLES IN WALLS LEADING TO TOILET ROOM. INSTRUCTED TO PROVIDE SMOOTH AND EASILY CLEANABLE WALL FLOORS AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-303.11 OBSERVED MISSING LIGHT IN TOILET ROOM. INSTRUCTED TO PROVIDE.",41.8785715423974,-87.745060013603,76,119133 S CICERO BLDG,True,False,False,POINT (-87.745060013603 41.8785715423974),24.0,AUSTIN,199254203.427,25.0,25.0,75226.4749167,,
"Chicago Light Food Mart, Inc.",4801 W Chicago Ave,CHICAGO,IL,60651.0,2025-03-18,Not Ready,,41.8948927214182,-87.7459270239488,CHICAGO LIGHT FOOD MART INC,4801 W CHICAGO AVE,True,False,False,POINT (-87.7459270239488 41.8948927214182),24.0,AUSTIN,199254203.427,25.0,25.0,75226.4749167,,
S & S Shop 4 Less,118 S Cicero Ave,CHICAGO,IL,60644.0,2025-03-04,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-101.19 INSTRUCTED TO REMOVE CARDBOARD LINER ON SHELING UNITS CONTAINING FLOUR, SUGAR ETC. SURFACES SHOULD BE SMOOTH AND EASY TO CLEAN.	 | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11 OBSERVED LARGE HOLE IN CEILING OVER COOLING/FREEZING UNITS WITH WATER DRIPPING INTO LARGE BOX LOCATED ON SOUTH WALL OF GROCERY STORE. INSTRUCTED TO REPAIR AND MAINTAIN SMOOTH AND EASILY CLEANABLE SURFACES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11 OBSERVED CHIPS SCATTERED UNDERNEATH CHIPS RACKS IN FRONT OF STORE. INSTRUCTED TO REMOVE FOOD DEBRIS.",41.8788222418998,-87.7453628150769,S S SHOP 4 LESS,118 S CICERO AVE,True,False,False,POINT (-87.7453628150769 41.8788222418998),24.0,AUSTIN,199254203.427,25.0,25.0,75226.4749167,,
Frank Food Mart,5050 W Madison St,CHICAGO,IL,60644.0,2025-01-21,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114	 OBSERVED UNUSED EQUIPMENT (UPRIGHT COOLING UNIT) AND STACKED ITEMS OUTSIDE REAR EXIT DOOR. INSTRUCTED TO REMOVE ALL UNNECESSARY ITEMS TO PREVENT PEST HARBORAGE",41.8805193021521,-87.7521954262497,FRANK FOOD MART,5050 W MADISON ST,True,False,False,POINT (-87.7521954262497 41.8805193021521),24.0,AUSTIN,199254203.427,25.0,25.0,75226.4749167,,
7-Eleven #33921B,6800 W North Ave,CHICAGO,IL,60707.0,2024-12-16,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED ACCUMULATED DIRT AND FOOD DEBRIS ON THE FLOORS AND WALLS BEHIND EQUIPMENT AND IN CORNERS THROUGHOUT THE FACILITY. INSTRUCTED TO DETAIL CLEAN FLOORS, WALLS AND IN ALL CORNERS THROUGHOUT FACILITY.   | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CARDBOARD BOXES AND CRATES STORED ON FLOORS IN REAR STORAGE AREA. INSTRUCTED TO DECLUTTER AND ELEVATE ALL ITEMS AT LEAST 6 INCHES FROM THE FLOOR TO FACILITATE CLEANING.",41.9091345709045,-87.7949281307848,7ELEVEN 33921B,6800 W NORTH AVE,True,False,False,POINT (-87.7949281307848 41.9091345709045),24.0,AUSTIN,199254203.427,25.0,25.0,75226.4749167,,
Long Mini Mart,5401 W Division St,CHICAGO,IL,60651.0,2024-12-13,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLES PROVIDED IN BOTH FACILITY WASHROOMS. INSTRUCTED TO PROVIDE AT LEAST ONE COVERED WASTE RECEPTACLE IN ALL FACILITY WASHROOMS AND MAINTAIN AT ALL TIMES.",41.9020808161401,-87.7610798057741,LONG MINI MART,5401 W DIVISION ST,True,False,False,POINT (-87.7610798057741 41.9020808161401),24.0,AUSTIN,199254203.427,25.0,25.0,75226.4749167,,
Smart Food & Mart Inc,5300 W Division St,CHICAGO,IL,60651.0,2024-10-31,Out Of Business,,41.902330170444,-87.7583129361955,SMART FOOD MART INC,5300 W DIVISION ST,True,False,False,POINT (-87.7583129361955 41.902330170444),24.0,AUSTIN,199254203.427,25.0,25.0,75226.4749167,,
Family Dollar  Store # 6538,5660 W Roosevelt Rd,CHICAGO,IL,60644.0,2024-09-13,Pass,,41.865674118765,-87.7666993771603,FAMILY DOLLAR STORE 6538,5660 W ROOSEVELT RD,True,False,False,POINT (-87.7666993771603 41.865674118765),24.0,AUSTIN,199254203.427,25.0,25.0,75226.4749167,,
A.A.A. Food And Mini Mart,5300 W Harrison St,CHICAGO,IL,60644.0,2024-09-10,Pass,54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED OUTSIDE GREASE RECEPTACLE WITH GREASE BUILD-UP. INSTRUCTED TO CLEAN AND MAINTAIN.,41.8730236314266,-87.7575231749245,AAA FOOD AND MINI MART,5300 W HARRISON ST,True,False,False,POINT (-87.7575231749245 41.8730236314266),24.0,AUSTIN,199254203.427,25.0,25.0,75226.4749167,,
