DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Belmont Snack Center,2959 W Belmont Ave,CHICAGO,IL,60618.0,2025-03-05,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING CEILING PANELS IN TOILET ROOM. INSTRUCTED THE PERSON IN CHARGE TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DIRT ON FLOORS, ALONG WALLS AND IN ALL CORNERS THROUGHOUT THE ESTABLISHMENT. INSTRUCTED THE PERSON IN CHARGE TO CLEAN FLOORS, ALONG WALLS AND IN ALL CORNERS IN ALL AREAS AND MAINTAIN.",41.9392539224779,-87.7026628689417,BELMONT SNACK CENTER,2959 W BELMONT AVE,True,False,False,POINT (-87.7026628689417 41.9392539224779),20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038,,
Carniceria Ruiz Inc,3001 N Kedzie Ave,CHICAGO,IL,60618.0,2025-02-27,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MOP IN A POSITION THAT DOES NOT ALLOW TO DRY PROPERLY AND PREVENT PEST HARBORAGE. MUST STORE MOP AFTER USE IN A MOUNTED POSITION THAT ALLOWS FOR AIR-DRYING WITHOUT SOILING AND PEST HARBORAGING.",41.935791573062,-87.7073843327651,CARNICERIA RUIZ INC,3001 N KEDZIE AVE,True,False,False,POINT (-87.7073843327651 41.935791573062),20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038,,
Circle K,2760 W Belmont Ave,CHICAGO,IL,60618.0,2024-11-12,Pass W/ Conditions,2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO PERSON ON SITE WITH AN ORIGINAL CITY OF CHICAGO FOOD SANITATION CERTIFICATE POSTED. MUST HAVE A PERSON ON SITE WITH AN ORIGINAL CITY OF CHICAGO FOOD SANITATION CERTIFICATE POSTED ON SITE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION. 7-38-012. CITATION ISSUED.,41.9395038412093,-87.6975532648823,CIRCLE K,2760 W BELMONT AVE,True,False,False,POINT (-87.6975532648823 41.9395038412093),20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038,,
Amador Wine & Spirits,3049 N California Ave,CHICAGO,IL,60618.0,2023-04-14,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11  INSTRUCTED MANAGER TO PROVIDE VOMITING AND DIARRHEAL SPILL KIT AND PROCEDURE.  PRIORITY FOUNDATION VIOLATION 7-38-005.  | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-205.15  MOP SINK DRAIN LINE IN REAR OBSERVED LEAKING HEAVILY, INSTRUCTED TO REPAIR AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-204.12  OBSERVED MOP SINK FAUCET IN REAR WITH NO BACKFLOW DEVICE. INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 6-501.19  OBSERVED WASHROOM DOOR WITH NO SELF CLOSING DEVOCE. INSTRUCTED MANAGER TO INSTALL AND MAINTAIN. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: 5-501.115  OBSERVED DEBRIS AROUND DUMPSTER BEHIND FACILITY. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.11  OBSERVED FLOOR IN BASEMENT WITH ROCKS AND NOT SMOOTH. INSTRUCTED MANAGER TO REPAIR AND MAKE SMOOOTH, SO THAT IT IS CLEANABLE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114   OBSERVED UNNECESSARY ITEMS AND CLUTTER IN BASEMENT, INSTRUCTED MANAGER TO REMOVE TO PREVENT PEST HARBORAGE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.16  OBSERVED HOLES AROUND PIPE BEHIND TOILET BOWL INSIDE WASHROOM. INSTRUCTED TO SEAL. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.13  INSTRUCTED TO PROVIDE FLOOR BASEBOARD AROUND WASHROOM. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11  OBSERVED FLOORS BEHIND FRONT COOLER AND FREEZER NEED TO BE CLEANED AND MAINTAINED. OBSERVED FLOOR INSIDE WALK IN COOLER NEEDS TO BE CLEANED AND MAINTAINED.",41.9372325612736,-87.6976165319476,AMADOR WINE SPIRITS,3049 N CALIFORNIA AVE,True,False,False,POINT (-87.6976165319476 41.9372325612736),20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038,,
Jay Grocery Food & Tobacco,3600 W Diversey Ave,CHICAGO,IL,60647.0,2022-08-19,Out Of Business,,41.932019940834,-87.7172584897889,JAY GROCERY FOOD TOBACCO,3600 W DIVERSEY AVE,True,False,False,POINT (-87.7172584897889 41.932019940834),20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038,,
Walgreens # 07359,3222 N Milwaukee Ave,CHICAGO,IL,60618.0,2022-03-22,Pass,"54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED ENCLOSURE AROUND DUMPSTER NOT CLEAN OF LITTER,LEAVES DEBRIS ETC.INSTRUCTED TO DETAIL CLEAN AND BETTER MAINTAIN SAID AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND ORGANIZE THE REAR STORAGE ROOMS AND REMOVE UNNECESSARY ARTICLES DUE TO POTENTIAL PEST HARBORAGE AND ELEVATE ALL STORED ITEMS OFF THE FLOOR AT LEAST 6"" INCHES TO FACILITATE CLEANING.",41.9395354942682,-87.7248065406951,WALGREENS 07359,3222 N MILWAUKEE AVE,True,False,False,POINT (-87.7248065406951 41.9395354942682),20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038,,
Family Dollar,3411 W Addison St,CHICAGO,IL,60618.0,2022-03-15,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND EXCESSIVE CLUTTER AT REAR STORAGE.BOXES/GARABAGE ETC.MUST CLEAN AND ORGANIZE REAR STORAGE AREAS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND FLOORS NOT CLEAN AT FOLLOWING AREAS:REAR STORAGE, RESTROOMS, UNDER SHELVING UNITS AND BREAK ROOM. MUST CLEAN AND MAINTAIN FLOORS THROUGHOUT.",41.9464515635135,-87.7131683047157,FAMILY DOLLAR,3411 W ADDISON ST,True,False,False,POINT (-87.7131683047157 41.9464515635135),20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038,,
"3330 Kimball, Inc. Dba Bp",3324-3332 N Kimball Ave,CHICAGO,IL,60618.0,2021-02-03,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING AND DAMAGED FLOOR TILES ON THE SALES FLOOR. INSTRUCTED TO REPAIR TO CREATE A SMOOTH AND EASILY CLEANABLE SURFACE. MUST MAINTAIN AT ALL TIMES.",41.941862771666,-87.7127287597843,3330 KIMBALL INC DBA BP,33243332 N KIMBALL AVE,True,False,False,POINT (-87.7127287597843 41.941862771666),20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038,,
Belmont & Milwaukee Shell,3181 N Milwaukee Ave,CHICAGO,IL,60618.0,2021-01-06,Pass,,41.9388657030936,-87.7232592147195,BELMONT MILWAUKEE SHELL,3181 N MILWAUKEE AVE,True,False,False,POINT (-87.7232592147195 41.9388657030936),20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038,,
Citgo Gas Station,3050 N Pulaski Rd,CHICAGO,IL,60641.0,2020-04-24,Out Of Business,,41.9369663701897,-87.7272722680223,CITGO GAS STATION,3050 N PULASKI RD,True,False,False,POINT (-87.7272722680223 41.9369663701897),20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038,,
