DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Buenos Aires Liquor & Deli,3100 N Cicero Ave,CHICAGO,IL,60641.0,2025-03-25,No Entry,,41.9370448479592,-87.7469641253986,BUENOS AIRES LIQUOR DELI,3100 N CICERO AVE,True,False,False,POINT (-87.7469641253986 41.9370448479592),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
La Surenna Dollar Store,5206 W Diversey Ave,CHICAGO,IL,60639.0,2025-02-26,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARDBOARD USED AS LINER ON SHELVING UNITS IN COOLERS. INSTRUCTED MANAGER TO REMOVE ALL CARDBOARD FROM SHELVING UNITS. ALL FOOD AND NON-FOOD CONTACT SURFACES MUST BE SMOOTH AND EASILY CLEANABLE.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED RECEPTACLE INSIDE OF WOMEN TOILET ROOM. INSTRUCTED TO PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOILED MOP HEAD NOT PROPERLY STORED. INSTRUCTED MANAGER TO HANG MOP HEADS TO PREVENT INSECT BREEDING.",41.931504597409,-87.7567732543473,LA SURENNA DOLLAR STORE,5206 W DIVERSEY AVE,True,False,False,POINT (-87.7567732543473 41.931504597409),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
Metro Max Grocery & Coffee Shop,5637 W Fullerton Ave,CHICAGO,IL,60639.0,2024-12-16,Pass,,41.9238472867167,-87.7674979442567,METRO MAX GROCERY COFFEE SHOP,5637 W FULLERTON AVE,True,False,False,POINT (-87.7674979442567 41.9238472867167),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
Bristol Food & Liquor,5201-5207 W Belmont Ave,CHICAGO,IL,60641.0,2023-12-19,Pass,51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND NO MOP SINK WITH BACKFLOW PREVENTION AT FAUCET.MUST PROVIDE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: EMPLOYEE RESTROOM WITH NON WORKING EXHAUST.MUST PROVIDE/REPAIR.,41.9385891862201,-87.7568100451691,BRISTOL FOOD LIQUOR,52015207 W BELMONT AVE,True,False,False,POINT (-87.7568100451691 41.9385891862201),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
Diversey Liquors,6440 W Diversey Ave,CHICAGO,IL,60707.0,2023-12-06,Out Of Business,,41.9310753497928,-87.7873666210949,DIVERSEY LIQUORS,6440 W DIVERSEY AVE,True,False,False,POINT (-87.7873666210949 41.9310753497928),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
Bristol Liquors Inc,5207 W Belmont Ave,CHICAGO,IL,60641.0,2023-02-28,Out Of Business,,41.9385869589599,-87.7570378973559,BRISTOL LIQUORS INC,5207 W BELMONT AVE,True,False,False,POINT (-87.7570378973559 41.9385869589599),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
Austin Dollar & Grocery,5941 W Diversey Ave,CHICAGO,IL,60639.0,2023-01-09,Pass,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO BACKFLOW PREVENTER DEVICE ON MOP SINK FAUCET. MUST INSTALL.  | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED NUMEROUS UNNECESSARY ITEMS STORED ON GROUND LOCATED BY OUTSIDE GARBAGE DUMPSTER. MUST MAINTAIN OUTSIDE GARBAGE DUMPSTER AREA BY REMOVING ANY UNECESSARY ITEMS FROM PREMISES.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED NUMEROUS OF DROP CEILING TILES IN BATHROOM MISSING. CEILING SURFACE MUST BE SMOOTH, DURABLE AND EASILY CLEANABLE.",41.931040203643,-87.7751990675774,AUSTIN DOLLAR GROCERY,5941 W DIVERSEY AVE,True,False,False,POINT (-87.7751990675774 41.931040203643),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
"R & C Food Mart, Inc.",4910 W Armitage Ave,CHICAGO,IL,60639.0,2022-05-18,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED A 1/4 INCH GAP AT THE RIGHT SIDE OF THE STORE FRONT DOOR. INSTRUCTED MANAGEMENT TO RODENT PROOF SAID DOOR AND MAINTAIN.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED RECEPTACLE (WASTE CAN WITH LID) INSIDE UNISEX EMPLOYEE WASHROOM. INSTRUCTED TO PROVIDE COVERED WASTE RECEPTACLE FOR FEMININE HYGIENE PRODUCTS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND CRACKS AND HOLES IN THE WALLS INSIDE THE RESTROOM. FOUND A HOLE IN THE WALL NEAR THE TV IN THE FRONT REGISTER AREA. INSTRUCTED TO SEAL/REPAIR ALL HOLES AND CRACKS AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND AN ACCUMULATION OF DIRT ON THE FLOOR NEAR THE WALL BASES THROUGHOUT THE REAR STORAGE AREA. INSTRUCTED MANAGEMENT TO DETAIL CLEAN FLOORS AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: MUST PROVIDE A WORKING VENTILATION FAN IN THE UNISEX WASHROOM.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: FOUND HEAVY DUST BUILD UP ON THE VENTILATION FAN COVER INSIDE THE WASHROOM. INSTRUCTED TO CLEAN.",41.9169911631198,-87.7499611497657,R C FOOD MART INC,4910 W ARMITAGE AVE,True,False,False,POINT (-87.7499611497657 41.9169911631198),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
Metro Max Grocery & Coffee Shop,5908 W Fullerton Ave,CHICAGO,IL,60639.0,2022-01-18,Pass,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: FOUND NO HANDWASHING SIGNAGE AT THE RESTROOM AND STORE AREA HANDWASHING SINKS. MUST PROVIDE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: FOUND SHELVING MADE OF AN UNSEALED MATERIAL BEING USED FOR FOOD STORAGE. INSTRUCTED MANAGEMENT TO SEAL MATERIAL TO PROVIDE A SMOOTH, EASILY CLEANABLE SURFACE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND NO SERVICE SINK (MOP SINK) ON SITE. MUST PROVIDE AT LEAST ONE SERVICE SINK (OR CURBED CLEANING FACILITY) FOR THE CLEANING OF MOPS AND DISPOSAL OF MOP WATER/SIMILAR LIQUID WASTE.",41.9239690048768,-87.7737142119656,METRO MAX GROCERY COFFEE SHOP,5908 W FULLERTON AVE,True,False,False,POINT (-87.7737142119656 41.9239690048768),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
Walgreens #4986,4745 W Belmont Ave,CHICAGO,IL,60641.0,2021-10-28,Pass,,41.9387247499836,-87.7462414814495,WALGREENS 4986,4745 W BELMONT AVE,True,False,False,POINT (-87.7462414814495 41.9387247499836),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
