DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Carniceria Y Fruteria,2959 W 40Th St,CHICAGO,IL,60632.0,2021-10-04,Out Of Business,,41.8207715298359,-87.6994068536533,CARNICERIA Y FRUTERIA,2959 W 40TH ST,True,False,False,POINT (-87.6994068536533 41.8207715298359),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
Oasis Mini Mart,4018 S Western,CHICAGO,IL,60609.0,2021-03-12,Pass,,41.8205337877993,-87.6848982577978,OASIS MINI MART,4018 S WESTERN,True,False,False,POINT (-87.6848982577978 41.8205337877993),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
Walgreens # 05356,4710 S Western Ave,CHICAGO,IL,60609.0,2021-02-23,Pass,,41.8080413329652,-87.6845605119488,WALGREENS 05356,4710 S WESTERN AVE,True,False,False,POINT (-87.6845605119488 41.8080413329652),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
Walgreens #5926,4385 S Archer Ave,CHICAGO,IL,60632.0,2020-06-24,Pass,,41.8136949509207,-87.7046580154359,WALGREENS 5926,4385 S ARCHER AVE,True,False,False,POINT (-87.7046580154359 41.8136949509207),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
Dollar Tree #5705,4313-4317 S Archer Ave,CHICAGO,IL,60632.0,2020-06-09,Pass,,41.815088270406,-87.7023885442531,DOLLAR TREE 5705,43134317 S ARCHER AVE,True,False,False,POINT (-87.7023885442531 41.815088270406),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
Snappy Convenience Center #2,3600-3614 S Kedzie Ave,CHICAGO,IL,60632.0,2020-06-08,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: 2-102.14(O): NO EMPLOYEE HEALTH POLICY IN PLACE. INSTD TO PROVIDE A VERIFIABLE EMPLOYEE ACKNOWLEDGED HEALTH POLICY AND MAINTAIN. PRIORITY FOUNDATION. 7-38-010  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 5-501.17: MISSING COVERED RECEPTACLE IN TOILET ROOM. INSTD TO PROVIDE AND MAINTAIN. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: 2-102.13: NO FOOD HANDLER TRAINING FOR ALL EMPLOYEES. INSTD TO OBTAIN TRAINING AND MAINTAIN VERIFICATION FOR ALL EMPLOYEES",41.828035141054094,-87.7046977316141,SNAPPY CONVENIENCE CENTER 2,36003614 S KEDZIE AVE,True,False,False,POINT (-87.7046977316141 41.828035141054094),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
"Rockwell Mini Mart, Inc",3932 S Rockwell,CHICAGO,IL,60632.0,2020-05-14,Out Of Business,,41.8218772980399,-87.6898539395397,ROCKWELL MINI MART INC,3932 S ROCKWELL,True,False,False,POINT (-87.6898539395397 41.8218772980399),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
Dollar General Store #19097,4314 S Kedzie Ave,CHICAGO,IL,60632.0,2020-05-08,Out Of Business,,41.8149601510018,-87.7043917508826,DOLLAR GENERAL STORE 19097,4314 S KEDZIE AVE,True,False,False,POINT (-87.7043917508826 41.8149601510018),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
Town & Country Liquors,2944 W 47Th St,CHICAGO,IL,60632.0,2020-05-04,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments:   NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINST NOROVIRUS. PRIORITY FOUNDATION 7-38-005.  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO HAND DRYING PROVISION (PAPER TOWELS) IN TOLET ROOM. INSTD TO PROVIDE AND MAINTAIN. PRIORITY FOUNDATION 7-38-030(C). | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: MISSING FOOD TEMPERATURE MEASURING DEVICE (EX METAL STEM THERMOMETER). INSTD TO PROVIDE AND MAINTAIN SAME. PRIORITY FOUNDATION 7-38-005. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NO COVERED TRASH RECEPTACLE IN TOILET ROOM. INSTD TO PROVIDE AND MAINTAIN",41.8083219866971,-87.6984051982398,TOWN COUNTRY LIQUORS,2944 W 47TH ST,True,False,False,POINT (-87.6984051982398 41.8083219866971),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
47Th California Shell,4658 S California Ave,CHICAGO,IL,60632.0,2020-04-15,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NO EMPLOYEE HEALTH POLICY IN PLACE. INSTD TO PROVIDE A VERIFIABLE EMPLOYEE ACKNOWLEDGED HEALTH POLICY AND MAINTAIN. PRIORITY FOUNDATION. 7-38-010 | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINST NOROVIRUS. PRIORITY FOUNDATION 7-38-005.  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: MISSING FOOD TEMPERATURE MEASURING DEVICE. INSTD TO PROVIDE AND MAINTAIN SAME. PRIORITY FOUNDATION 7-38-005.",41.8083687041771,-87.6943541286696,47TH CALIFORNIA SHELL,4658 S CALIFORNIA AVE,True,False,False,POINT (-87.6943541286696 41.8083687041771),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
