DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Reemy'S Food Grill & Tobacco,8701 S Cottage Grove Ave,CHICAGO,IL,60619.0,2025-04-25,Pass,,41.7366060780321,-87.6046750609248,REEMYS FOOD GRILL TOBACCO,8701 S COTTAGE GROVE AVE,True,False,False,POINT (-87.6046750609248 41.7366060780321),43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,
Shell,8249-8259 S State St,CHICAGO,IL,60619.0,2025-01-28,Pass,"43. IN-USE UTENSILS: PROPERLY STORED - Comments: ICE SCOOPS STORED ON TOP OF THE ICE MACHINE. INSTRUCTED TO STORE IN A CLEAN BIN/CONTAINER OR IN THE ICE HANDLE UP. MAINTAIN SAME. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: NO DRAINBOARD FOR THE 3-COMPARTMENT SINK FOR PROPER DRYING OF MULTI-USE UTENSILS. INSTRUCTED TO PROVIDE A DRAINBOARD FOR SINK AND MAINTAIN.",41.7439972152549,-87.6241944552967,SHELL,82498259 S STATE ST,True,False,False,POINT (-87.6241944552967 41.7439972152549),43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,
83Rd State Shell,8259 S State St,CHICAGO,IL,60619.0,2025-01-28,Out Of Business,,41.743702317364495,-87.6241859290832,83RD STATE SHELL,8259 S STATE ST,True,False,False,POINT (-87.6241859290832 41.743702317364495),43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,
"7 Days Of Chicago, Inc.",955 E 79Th St,CHICAGO,IL,60619.0,2024-10-29,Out Of Business,,41.7512262875187,-87.6005638430289,7 DAYS OF CHICAGO INC,955 E 79TH ST,True,False,False,POINT (-87.6005638430289 41.7512262875187),43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,
Ramone Mini Mart,8226 S Cottage Grove Ave,CHICAGO,IL,60619.0,2024-10-04,Out Of Business,,41.7449668105852,-87.6052072693018,RAMONE MINI MART,8226 S COTTAGE GROVE AVE,True,False,False,POINT (-87.6052072693018 41.7449668105852),43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,
Ace Food Mart,657 E 79 St,Chicago,IL,60619.0,2024-03-11,Out Of Business,,41.7511313228583,-87.607799101113,ACE FOOD MART,657 E 79 ST,True,False,False,POINT (-87.607799101113 41.7511313228583),43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,
Pantry Express,9200 S Cottage Grove Ave,CHICAGO,IL,60619.0,2024-02-23,No Entry,,41.7274861824336,-87.6047514286583,PANTRY EXPRESS,9200 S COTTAGE GROVE AVE,True,False,False,POINT (-87.6047514286583 41.7274861824336),43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,
Cottage Food Mart,8209 S Cottage Grove Ave,CHICAGO,IL,60619.0,2023-10-24,Out Of Business,,41.7454820741498,-87.6049284013686,COTTAGE FOOD MART,8209 S COTTAGE GROVE AVE,True,False,False,POINT (-87.6049284013686 41.7454820741498),43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,
Citgo,8248-8258 S Dr Martin Luther King Dr,CHICAGO,IL,60619.0,2023-10-03,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMITING AND DIARRHEA PROCEDURE AND CLEAN-UP KIT ON PREMISES DURING THE INSPECTION. INSTRUCTED TO HAVE SAID PROCEDURE ALONG WITH REQUIRED EQUIPMENT FOR CLEAN-UP.  PRIORITY FOUNDATION VIOLATION 7-38-005, CITATION ISSUED | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE FLOORS UNDER THE CHIP SHELVING UNITS IN THE DISPLAY AISLES WITH CHIPS. INSTRUCTED TO CLEAN SAID FLOORS AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE WINDOWSILL BEHIND THE POMI MACHINE AND CHIP SHELVING UNIT WITH DUST BUILD UP AND BUGS. INSTRUCTED TO CLEAN SAID WINDOWSILL AND MAINTAIN.",41.7441829834546,-87.6149251721247,CITGO,82488258 S DR MARTIN LUTHER KING DR,True,False,False,POINT (-87.6149251721247 41.7441829834546),43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,
Dollar General Store #19022,8341 S Cottage Grove Ave,CHICAGO,IL,60619.0,2023-04-17,Pass,,41.742725991086,-87.6048513435348,DOLLAR GENERAL STORE 19022,8341 S COTTAGE GROVE AVE,True,False,False,POINT (-87.6048513435348 41.742725991086),43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,
Family Dollar Store #6642,364 E 87Th St,CHICAGO,IL,60619.0,2022-08-19,Pass,,41.7366034542431,-87.6151742906386,FAMILY DOLLAR STORE 6642,364 E 87TH ST,True,False,False,POINT (-87.6151742906386 41.7366034542431),43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,
Shell,8659 S State St,CHICAGO,IL,60619.0,2022-02-15,Pass,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO SECONDARY THERMOMETERS IN REACH IN COOLERS TO ACCURATELY MONITOR AMBIENT AIR. INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE FOR FEMININE HYGIENE PRODUCTS IN STAFF TOILET ROOM. INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN.",41.7363580134239,-87.6240150580868,SHELL,8659 S STATE ST,True,False,False,POINT (-87.6240150580868 41.7363580134239),43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,
"King Loue'S Food Mart, Inc",9224 S Cottage Grove Ave,CHICAGO,IL,60619.0,2021-07-13,Out Of Business,,41.7267245192387,-87.6047315669916,KING LOUES FOOD MART INC,9224 S COTTAGE GROVE AVE,True,False,False,POINT (-87.6047315669916 41.7267245192387),43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,
Citgo,8258 S Dr Martin Luther King Jr Dr,CHICAGO,IL,60619.0,2021-01-27,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO EMPLOYEE PROCEDURE ON SITE FOR VOMITING AND DIARRHEAL EVENTS OR ALL SUPPLIES AVAILABLE. INSTRUCTED TO PROVIDE WITH ALL THE NECESSARY ITEMS INCLUDING DISPOSABLE GLOVES, FACE MASK, APPROPRIATE SANITIZER FOR NOROVIRUS. PRIORITY FOUNDATION ISSUED 7-38-005. NO CITATION ISSUED | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED BOTTOM AREAS OF GARAGE DOORS NOT RODENT PROOFED AT BOTTOM AREAS. INSTRUCTED TO REPAIR TO BE TIGHT-FITTING",41.7438929586934,-87.6149039828027,CITGO,8258 S DR MARTIN LUTHER KING JR DR,True,False,False,POINT (-87.6149039828027 41.7438929586934),43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,
Express Seafood Inc.,736 E 83Rd St,CHICAGO,IL,60619.0,2020-12-30,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED FACILITY WITH USE OF THE SAMPLE CLEAN UP POLICY PROVIDED FROM CDPH WEBSITE AND NO SUPPLIES. MUST ENSURE THE AVAILABILITY OF BOTH A CLEAN UP POLICY AND ADEQUATE SUPPLIES (DISPOSABLE MOP, DISPOSABLE LATEX GLOVES, DISPOSABLE MASK, AND ADEQUATE SANITIZER *MUST ELIMINATE NOROVIRUS*) ON SITE TO PROPERLY CLEAN UP ANY VOMIT OR DIARRHEA EVENTS THAT CAN POTENTIALLY OCCUR INSIDE OF THE FOOD ESTABLISHMENT.  PRIORITY FOUNDATION VIOLATION #7-38-005. NO CITATION ISSUED. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO AMBIENT AIR THERMOMETERS INSIDE 1 OF 4 REACH IN DEEP FREEZERS. INSTRUCTED TO PROVIDE CONSPICUOUS AND EASILY READABLE THERMOMETERS INSIDE ALL REFRIGERATOR UNITS TO PROPERLY MONITOR THE AMBIENT AIR TEMPERATURE OF EQUIPMENT.",41.7440630868354,-87.6060477363884,EXPRESS SEAFOOD INC,736 E 83RD ST,True,False,False,POINT (-87.6060477363884 41.7440630868354),43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,
Dady Mart Food & Liquor,833 E 79Th St,CHICAGO,IL,60619.0,2020-12-11,Out Of Business,,41.7511923743539,-87.6039040468359,DADY MART FOOD LIQUOR,833 E 79TH ST,True,False,False,POINT (-87.6039040468359 41.7511923743539),43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,
