DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Western Food Mart,7052 S Western Ave,CHICAGO,IL,60636.0,2025-04-23,Out Of Business,,41.7649594967238,-87.6833957006477,WESTERN FOOD MART,7052 S WESTERN AVE,True,False,False,POINT (-87.6833957006477 41.7649594967238),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Marathon Gas,3000 W 63Rd St,CHICAGO,IL,60629.0,2025-04-11,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: CLUTTER IN REAR STORAGE AREA. INSTD TO ELEVATE ALL STOCK 6 INCHES AND AWAY FROM WALL. INSTD TO REMOVE ANY UNNECESSARY ITEMS AND ORGANIZE AREA",41.7791524505009,-87.6983306151684,MARATHON GAS,3000 W 63RD ST,True,False,False,POINT (-87.6983306151684 41.7791524505009),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Walgreens #05034,6315 S Kedzie Ave,CHICAGO,IL,60629.0,2025-03-05,Pass,"54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: TRASH RECEPTACLE IN EMPLOYEE BREAK ROOM OVERFLOWING. INSTD TO REMOVE  EXCESSIVE TRASH AND MAINTAIN FREQUENCY OF REMOVAL TO PREVENT SUCH. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOOR IN EMPLOYEE BREAK ROOM NOT CLEAN, DEBRIS. INSTD TO CLEAN AND MAINTAIN SAME",41.778421336390494,-87.7029760581372,WALGREENS 05034,6315 S KEDZIE AVE,True,False,False,POINT (-87.7029760581372 41.778421336390494),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Luxry Food Mart,2902 W 63Rd St,CHICAGO,IL,60629.0,2024-12-16,Pass,,41.7791885241667,-87.6959766735737,LUXRY FOOD MART,2902 W 63RD ST,True,False,False,POINT (-87.6959766735737 41.7791885241667),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
"Billy'S Mexican Food Mart, Inc.",3034 W 63Rd St,CHICAGO,IL,60629.0,2024-11-06,Out Of Business,,41.779134173453,-87.6996335759357,BILLYS MEXICAN FOOD MART INC,3034 W 63RD ST,True,False,False,POINT (-87.6996335759357 41.779134173453),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Prestige Liquors,7104 S Western Ave,CHICAGO,IL,60636.0,2024-10-15,Out Of Business,,41.7644955967058,-87.6833842674839,PRESTIGE LIQUORS,7104 S WESTERN AVE,True,False,False,POINT (-87.6833842674839 41.7644955967058),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Mobile,7200-7206 S Western Ave,CHICAGO,IL,60636.0,2024-08-22,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED INSECT CONTROL DEVICE INSTALLED OVER CLEAN EQUIPMENT AND UTENSILS IN THE REAR WAREWASHING AREA (ABOVE 3-COMPARTMENT SINK). INSTRUCTED TO RELOCATE INSECT CONTROL DEVICE SUCH THAT IT IS NOT ABOVE CLEAN EQUIPMENT, UTENSILS, OR FOOD AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED WASTE RECEPTACLES IN BOTH EMPLOYEE AND CONSUMER RESTROOMS TO BE UNCOVERED. INSTRUCTED TO PROVIDE WASTE RECEPTACLES WITH COVERS FOR ALL RESTROOMS AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOOR BENEATH ICE CREAM FREEZER IN FRONT DISPLAY AREA TO BE HEAVILY SOILED WITH DUST AND OTHER DEBRIS. INSTRUCTED TO CLEAN FLOORS BENEATH EQUIPMENT AT ADEQUATE FREQUENCY TO PREVENT BUILD UP OF SOIL AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CRACKED AND MISSING FLOOR TILES IN THE REAR AREA BENEATH REAR EXIT DOOR. INSTRUCTED TO REPAIR OR REPLACE FLOOR TILES AND MAINTAIN ALL PHYSICAL FACILITIES IN GOOD REPAIR.",41.7627838419466,-87.6833369060751,MOBILE,72007206 S WESTERN AVE,True,False,False,POINT (-87.6833369060751 41.7627838419466),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
7-Eleven,6057 S Kedzie Ave,CHICAGO,IL,60629.0,2024-07-08,No Entry,,41.7827525701425,-87.7031018898297,7ELEVEN,6057 S KEDZIE AVE,True,False,False,POINT (-87.7031018898297 41.7827525701425),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Citgo,2800-2812 W 63Rd St,CHICAGO,IL,60629.0,2024-07-02,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: SIDE DOOR WITH APPROX. 1/4 INCH GAP AT BOTTOM OF DOOR. INSTD TO REPAIR DOOR SO AS TO BE TIGHT FITTING | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MISSING COVER ON TRASH RECEPTACLES IN TOILET ROOMS. INSTD TO PROVIDE COVERS AND MAINTAIN",41.7792245323867,-87.6934564410327,CITGO,28002812 W 63RD ST,True,False,False,POINT (-87.6934564410327 41.7792245323867),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
"Family Dollar,Llc.",6414 S Western Ave,CHICAGO,IL,60636.0,2024-05-23,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15 : OBSERVED A GAP AT FRONT AND REAR DOORS MUST MAKE DOORS TIGHT FITTING. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C) : MUST CLEAN MOLD LIKE BUILD UP FROM INTERIOR PARTS AND SHELVING UNITS IN REACH IN COOLERS.MUST CLEAN DUST BUILD UP FROM SERVICE COUNTER SHELVING UNITS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-201.13 : MUST REPAIR OR REPLACE DAMAGED WALL AND LOOSE WALL BASE NEAR REAR DOOR | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.16 : MUST HANG UP MOPS TO DRY. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-201.17 : MUST CLEAN DUST BUILD UP FROM VENTS IN SOUTH TOILET ROOM AND UPPER WALL IN NORTH TOILET ROOM. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.13 : MUST CLEAN DEBRIS BUILD UP FROM FLOOR UNDER DISPLAY SHELVES ON SALES FLOOR | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114 : MUST ELEVATE ARTICLES OFF OF FLOOR AND AWAY FROM WALLS IN REAR STORAGE AREA.",41.7769293130968,-87.6837287152206,FAMILY DOLLARLLC,6414 S WESTERN AVE,True,False,False,POINT (-87.6837287152206 41.7769293130968),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
