DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Chicagoland Deli Express,3956 N Narragansett Ave,CHICAGO,IL,60634.0,2025-02-04,Pass,51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED SMALL LEAK AT FAUCET HEAD WHEN WATER IS RUNNING AT 3-COMPARTMENT SINK. MUST REPAIR.,41.9527315616156,-87.7866984426282,CHICAGOLAND DELI EXPRESS,3956 N NARRAGANSETT AVE,True,False,False,POINT (-87.7866984426282 41.9527315616156),16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337,,
Miska Liquors,8227 W Irving Park Rd,CHICAGO,IL,60634.0,2023-12-21,Out Of Business,,41.9520237151541,-87.8329590479249,MISKA LIQUORS,8227 W IRVING PARK RD,True,False,False,POINT (-87.8329590479249 41.9520237151541),16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337,,
Liquor Max,3500 N Harlem Ave,CHICAGO,IL,60634.0,2023-02-23,Pass,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: BACKFLOW PREVENTION DEVICE NOT LOCATED AT UTILITY MOP SINK.MUST INSTALL SO BACKFLOW PREVENTION DEVICE MAY BE LOCATED TO BE SERVICED AND MAINTAINED. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE PROVIDED IN THE UNISEX WASHROOM. MUST PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS UNDERNEATH THE DISPLAY STORAGE RACKS TO REMOVE ACCUMULATION OF DRIED-UP DEBRIS SPILLAGE.",41.9435332931212,-87.8070950670247,LIQUOR MAX,3500 N HARLEM AVE,True,False,False,POINT (-87.8070950670247 41.9435332931212),16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337,,
Bp Amoco,3611 N Harlem Ave,CHICAGO,IL,60634.0,2022-12-28,Pass,10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: FOUND NO HAND WASHING SIGN AT HAND SINK.MUST PROVIDE.,41.9456290217178,-87.8068713528518,BP AMOCO,3611 N HARLEM AVE,True,False,False,POINT (-87.8068713528518 41.9456290217178),16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337,,
Convenient Food & Liquor,7319-7321 W Irving Park Rd,CHICAGO,IL,60634.0,2020-12-04,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES,  FACE MASKS,  DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY  THAT KILLS NOROVIRUS)    PRIORITY FOUNDATION VIOLATION 7-38-005   NO CITATION ISSUED | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: INSTRUCTED TO PROVIDE HANDWASHING SIGNAGE AT ALL HANDSINKS (FRONT AREA, WASHROOM) | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: INSTRUCTED TO REPLACE BROKEN RUBBER GASKETS AROUND 2 DOOR REACH-IN DISPLAY COOLER (MILK AND WINE) IN FRONT DISPLAY AREA. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: TOILET ROOM RECEPTACLE MUST BE COVERED. INSTRUCTED TO PROVIDE COVER/LID. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN AND MAINTAIN FLOORS ALONG THE WALLS AND IN ALL CORNERS IN REAR STORAGE AREA, UNDER AND AROUND HOT WATER TANK AND FLOORS UNDERNEATH PALETTES IN REAR STORAGE AREA AND INSIDE WALK-IN COOLER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO REPAIR BROKEN/MISSING FLOOR BASEBOARD IN REAR STORAGE AREA BY/NEXT TO THE EXIT DOOR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN AND MAINTAIN CONDENSER FAN COVER WITH DUST ACCUMULATION INSIDE WALK-IN COOLER.",41.9525722628767,-87.8107995731542,CONVENIENT FOOD LIQUOR,73197321 W IRVING PARK RD,True,False,False,POINT (-87.8107995731542 41.9525722628767),16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337,,
Mare'S Mini Mart & Deli,7850 W Addison St,CHICAGO,IL,60634.0,2020-07-20,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES,  FACE MASKS,  DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY  THAT KILLS NOROVIRUS)   PRIORITY FOUNDATION VIOLATION 7-38-005   NO CITATION ISSUED | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED TO PROVIDE THERMOMETER VISIBLE INSIDE WALK-IN/DISPLAY COOLER. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: TOILET ROOM RECEPTACLE MUST BE COVERED. INSTRUCTED TO PROVIDE COVER/LID. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN AND MAINTAIN CEILING AND CONDENSER FAN COVER WITH DUST ACCUMULATION INSIDE WALK-IN COOLER.",41.9452125788355,-87.8237277801767,MARES MINI MART DELI,7850 W ADDISON ST,True,False,False,POINT (-87.8237277801767 41.9452125788355),16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337,,
"Irving Shell Gas And Food, Inc.",6747 W Irving Park Rd,CHICAGO,IL,60634.0,2020-06-29,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: FOUND NO EMPLOYEE HEALTH POLICY/TRAINING ON SITE. INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION VIOLATION 7-38-010     NO CITATION ISSUED | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES,  FACE MASKS,  DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY  THAT KILLS NOROVIRUS)   PRIORITY FOUNDATION VIOLATION 7-38-005   NO CITATION ISSUED | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: INSTRUCTED TO PROVIDE HANDWASHING SIGNAGE AT ALL HANDSINK (REAR DISHWASHING AREA, WASHROOMS) | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: INSTRUCTED TO RODENT PROOFED BOTTOM (RIGHT) FRONT OF ENTRANCE DOOR. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: BACKFLOW PREVENTER DEVICE NOT LOCATED BEHIND ICE MACHINE AND COFFEE MACHINES.                 INSTRUCTED TO INSTALL SO THAT IT CAN BE LOCATED TO BE SERVICED AND MAINTAINED. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: (2) TOILET ROOM RECEPTACLE MUST BE COVERED. INSTRUCTED TO PROVIDE COVER/LID. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO REMOVE UNNECESSARY ARTICLES IN REAR STORAGE AREA. TO PREVENT PEST HARBORAGE. USABLE ITEMS (FOOD AND NON FOOD) MUST BE STORED 6"" OFF THE FLOOR FOR EASY ACCESS ON CLEANING. NO SODA/MILK CRATES. MUST USE PROPER RAISED SHELVES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN AND MAINTAIN FLOORS ALONG THE WALLS AND IN ALL CORNERS IN REAR STORAGE AREA.",41.952643709843294,-87.7956932249312,IRVING SHELL GAS AND FOOD INC,6747 W IRVING PARK RD,True,False,False,POINT (-87.7956932249312 41.952643709843294),16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337,,
Addison & Austin Citgo,6000 W Addison St,CHICAGO,IL,60634.0,2020-06-19,Out Of Business,,41.945879675591,-87.7766274209374,ADDISON AUSTIN CITGO,6000 W ADDISON ST,True,False,False,POINT (-87.7766274209374 41.945879675591),16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337,,
Max'S Food + Liquor,6200 W Belmont Ave,CHICAGO,IL,60634.0,2020-04-15,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: WASHROOM RECEPTACLE MUST BE COVERED. INSTRUCTED TO PROVIDE COVER/LID.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN, REORGANIZE AND MAINTAIN REAR STORAGE AREA. MUST REMOVE UNNECESSARY ARTICLES TO PREVENT PEST HARBORAGE. USABLE ITEMS (FOOD AND NON FOOD) MUST BE STORED 6"" OFF THE FLOOR FOR EASY ACCESS ON CLEANING.",41.93849347975,-87.7811968274244,MAXS FOOD LIQUOR,6200 W BELMONT AVE,True,False,False,POINT (-87.7811968274244 41.93849347975),16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337,,
Belmont Shell,6400 W Belmont Ave,CHICAGO,IL,60634.0,2019-08-14,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICY ON SITE.INSTRUCTED MANAGEMENT TO CREATE AN EMPLOYEE HEALTH POLICY. PRIORITY FOUNDATION VIOLATION 7-38-010 NO CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO CLEAN UP PROCEDURE/KIT ON SITE.INSTRUCTED MANAGEMENT TO CREATE A CLEAN UP PROCEDURE/KIT. PRIORITY FOUNDATION VIOLATION 7-38-005 NO CITATION ISSUED | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER AT REAR STORAGE AREA/3-COMPARTMENT.INSTRUCTED MANAGEMENT TO REMOVE CLUTTER FROM REAR STORAGE AREA/3-COMPARTMENT SINK CORE VIOLATION",41.9384264625431,-87.7860893977599,BELMONT SHELL,6400 W BELMONT AVE,True,False,False,POINT (-87.7860893977599 41.9384264625431),16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337,,
