DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Green Arch Food Mart,5555 N Broadway,CHICAGO,IL,60640.0,2023-11-29,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARDBOARD USED AS LINER ON SHELVING UNITS THROUGHOUT THE ESTABLISHMENT. INSTRUCTED THE PERSON IN CHARGE TO REMOVE ALL CARDBOARD FROM SHELVING UNITS AND MAINTAIN. ALL FOOD AND NON-FOOD CONTACT SURFACES MUST BE SMOOTH AND EASILY CLEANABLE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO BACKFLOW PREVENTION DEVICE FOR THE UTILITY SINK IN THE REAR NEAR THE THREE-COMPARTMENT SINK. INSTRUCTED THE PERSON IN CHARGE TO PROVIDE A BACKFLOW PREVENTION DEVICE LOCATED SO THAT IT MAY BE SERVICED AND MAINTAINED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOME DEBRIS ON THE FLOOR IN THE REAR STORAGE AREA. INSTRUCTED THE PERSON IN CHARGE TO CLEAN FLOORS AND MAINTAIN.",41.9834200907444,-87.6599158167823,GREEN ARCH FOOD MART,5555 N BROADWAY,True,False,False,POINT (-87.6599158167823 41.9834200907444),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
Cvs/Pharmacy #8747,6150 N Broadway,CHICAGO,IL,60660.0,2023-08-31,Pass,,41.9937340372576,-87.6605292878755,CVSPHARMACY 8747,6150 N BROADWAY,True,False,False,POINT (-87.6605292878755 41.9937340372576),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
Circle K,1004 W Foster Ave,CHICAGO,IL,60640.0,2023-08-08,Pass,,41.9765026263598,-87.6551938656717,CIRCLE K,1004 W FOSTER AVE,True,False,False,POINT (-87.6551938656717 41.9765026263598),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
Castle Food & Liquor,1128 W Thorndale Ave,CHICAGO,IL,60660.0,2023-05-04,Pass,,41.9901445224847,-87.6594447206092,CASTLE FOOD LIQUOR,1128 W THORNDALE AVE,True,False,False,POINT (-87.6594447206092 41.9901445224847),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
7-Eleven #33732J,1055 W Bryn Mawr Ave,CHICAGO,IL,60660.0,2022-12-14,Out Of Business,,41.9835594257736,-87.6573820240728,7ELEVEN 33732J,1055 W BRYN MAWR AVE,True,False,False,POINT (-87.6573820240728 41.9835594257736),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
"Dollar Tree Store, Inc.",5235-5237 N Broadway,CHICAGO,IL,60640.0,2022-08-25,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED ACCUMULATED ICE BLOCKS BUILD UP INSID WALK IN FREEZER. MUST REMOVE ALL ICE BLOCK BUILD UP INSIDE WALK IN FREEZER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOOR LITTERED THROUGHOUT SHOPPING AISLES UNDER SHELVES. MUST CLEAN FLOOR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOOR CLUTTERED WITH BOXES AND ITEMS THROUGHOUT REAR STORAGE ROOM. MUST ELEVATE ALL ITEMS OFF FLOOR TO PREVENT POTENTIAL PEST HARBORAGE.",41.9773769943754,-87.6597480799075,DOLLAR TREE STORE INC,52355237 N BROADWAY,True,False,False,POINT (-87.6597480799075 41.9773769943754),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
Vincent,1479 W Balmoral Ave,CHICAGO,IL,60640.0,2021-12-10,Pass,56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: FOUND NO EXHAUST VENT AT RESTROOM.MUST PROVIDE.,41.9797418637789,-87.6678845578492,VINCENT,1479 W BALMORAL AVE,True,False,False,POINT (-87.6678845578492 41.9797418637789),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
Candyality,5225 N Clark St,CHICAGO,IL,60640.0,2021-08-31,Out Of Business,,41.9770559064578,-87.6682430378613,CANDYALITY,5225 N CLARK ST,True,False,False,POINT (-87.6682430378613 41.9770559064578),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
"Super Food & Liquors, Inc.",1049 W Bryn Mawr Ave,CHICAGO,IL,60660.0,2021-01-12,Pass,,41.9835639149747,-87.6571462909748,SUPER FOOD LIQUORS INC,1049 W BRYN MAWR AVE,True,False,False,POINT (-87.6571462909748 41.9835639149747),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
Patio Gas,6260-6262 N Clark St,CHICAGO,IL,60660.0,2020-09-02,Pass,,41.9961276090403,-87.6703581782889,PATIO GAS,62606262 N CLARK ST,True,False,False,POINT (-87.6703581782889 41.9961276090403),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
Edgewater Food Wine & Spirits,1105 W Bryn Mawr Ave,CHICAGO,IL,60660.0,2020-04-24,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11OBSERVED NO VOMIT AND DIARRHEA CLEAN UP KIT AND PROCEDURE ON SITE DURING INSPECTION. INSTRUCTED TO PROVIDE PROCEDURE ALONG WITH THE NECESSARY SUPPLIES AS OUTLINED IN POLICY. PRIORITY FOUNDATION. 7-38-005.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114-OBSERVED EXCESSIVE CLUTTER IN REAR AREA OF ESTABLISHMENT. MUST THROW AWAY ANY UNNECCESSARY EQUIPMENT AND BOXES.",41.9835447851844,-87.658267672506,EDGEWATER FOOD WINE SPIRITS,1105 W BRYN MAWR AVE,True,False,False,POINT (-87.658267672506 41.9835447851844),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
Up Town Food Mart Inc.,5357 N Clark St,CHICAGO,IL,60640.0,2020-04-01,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO VOMIT AND DIARRHEA CLEAN UP POLICY/VOMIT SPILL KIT. PRIORITY FOUNDATION. NO CITATION ISSUED.7-38-005. MUST PROVIDE.,41.9797408496939,-87.668125185191,UP TOWN FOOD MART INC,5357 N CLARK ST,True,False,False,POINT (-87.668125185191 41.9797408496939),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
Dollar General Store #19102,5725 N Broadway,CHICAGO,IL,60660.0,2020-03-27,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT AND DIARRHEA KIT ON SITE DURING INSPECTION. INSTRUCTED MANAGER TO PROVIDE ALL THE NECESSARY SUPPLIES AS OUTLINED IN POLICY. PRIORITY FOUNDATION. 7-38-005. NO CITATION ISSUED.  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: NO METAL STEM THERMOMETER ON SITE. MUST PROVIDE AT ALL TIMES. PRIORITY FOUNDATION. 7-38-005. NO CITATION ISSUED.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED HEAVY ICE BUILD IN 2-DOOR FREEZER IN REAR IN STOCK ROOM. MUST DEFROST TO PREVENT CONTAMINATION ON FOOD.  | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: OBSERVED NO SUMMARY REPORT FROM PREVIOUS INSPECTION ON 9-8-2017, REPORT #2081751. INSTRUCTED MANAGER TO POST RECENT SUMMARY REPORT VISIBLE TO THE PUBLIC. PRIORITY FOUNDATION. 7-42-010(B).",41.9861934471833,-87.6599989687804,DOLLAR GENERAL STORE 19102,5725 N BROADWAY,True,False,False,POINT (-87.6599989687804 41.9861934471833),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
