DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Citgo,6700-6710 S Halsted St,CHICAGO,IL,60621.0,2025-03-11,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: WATER STAINED CEILING TILES IN THE FRONT, ABOVE THE DESK AND IN THE REAR DISHWASHING AREA. INSTRUCTED TO REPLACE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS IN THE WALK IN COOLER WITH DIRT, STAINS AND SPILLS. INSTRUCTED TO CLEAN AND MAINTAIN FLOORS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MOP NOT PROPERLY STORED WHEN NOT IN USE. INSTRUCTED TO HANG UP FOR PROPER AIR DRYING AND MAINTAIN.",41.7723796165057,-87.6447416419131,CITGO,67006710 S HALSTED ST,True,False,False,POINT (-87.6447416419131 41.7723796165057),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
Mid America Food Mart Inc.,1007 W 63Rd St,CHICAGO,IL,60621.0,2024-10-31,Out Of Business,,41.7795645848728,-87.6499748357139,MID AMERICA FOOD MART INC,1007 W 63RD ST,True,False,False,POINT (-87.6499748357139 41.7795645848728),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
M & R Mini Mart,5607 S Racine Ave,CHICAGO,IL,60636.0,2024-10-15,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments:  2-102.14(O) : OBSERVED NO SIGNED EMPLOYEES HEALTH POLICY FOR EMPLOYEES MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-010) | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments:  2-501.11 : OBSERVED NO CLEAN-UP POLICY PROCEDURE AND ITEMS FOR VOMITING AND DIARRHEA MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-005) | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.11 : MUST REPAIR OR REPLACE WORN DOOR GASKETS ON 3- DOOR REACH IN COOLERS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  4-601.11(C) : MUST CLEAN DEBRIS BUILD UP FROM MOPSINK BASIN.",41.7920873501076,-87.6546751184414,M R MINI MART,5607 S RACINE AVE,True,False,False,POINT (-87.6546751184414 41.7920873501076),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
Racine Food & Spirits,6055-6057 S Racine Ave,CHICAGO,IL,60636.0,2024-07-03,Pass,,41.7834513068347,-87.6544529465762,RACINE FOOD SPIRITS,60556057 S RACINE AVE,True,False,False,POINT (-87.6544529465762 41.7834513068347),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
"69Th Halsted Food Mart, Inc.",6901 S Halsted St,CHICAGO,IL,60621.0,2024-03-14,Out Of Business,,41.7687485117751,-87.6443581820599,69TH HALSTED FOOD MART INC,6901 S HALSTED ST,True,False,False,POINT (-87.6443581820599 41.7687485117751),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
Halsted Way Food Mart,7356 S Halsted St,CHICAGO,IL,60621.0,2023-11-13,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15: OBSERVED REAR EXIT DOOR NOT RODENT PROOF AT THE BOTTOM. INSTRUCTED TO RODENT PROOF SAID DOOR AND MAINTAIN. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-501.112: OBSERVED DEAD BUGS ON THE FLOOR, IN THE SHELVING UNITS AND IN THE DISPLAY EQUIPMENT AT THE FRONT SERVICE AREA. INSTRUCTED TO REMOVE DEAD BUGS, CLEAN AND SANITIZE ALL AFFECTED SURFACES AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C): OBSERVED LIQUID RESIDUE AND DEBRIS IN THE INTERIOR OF THE PEPSI COOLER IN THE FRONT DISPLAY AREA. INSTRUCTED TO CLEAN SAID EQUIPMENT AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-202.11: OBSERVED NO LIGHT IN THE TOILET ROOM. INSTRUCTED TO PROVIDE LIGHT IN THE SAID AREA AND MAINTAIN.",41.7598898713932,-87.6444246233746,HALSTED WAY FOOD MART,7356 S HALSTED ST,True,False,False,POINT (-87.6444246233746 41.7598898713932),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
Angel Mini Mart,524 W 71St St,CHICAGO,IL,60621.0,2023-09-06,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: 2-102.14(O) OBSERVED NO PROOF OF EMPLOYEE HEALTH POLICY ON SITE. INSTRUCTED TO PROVIDE AN EMPLOYEE HEALTH POLICY THAT INCLUDES A SIGNED ACKNOWLEDGEMENT FROM EACH EMPLOYEE.  PRIORITY FOUNDATION 7-38-010, NO CITATION ISSUED.  | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11 OBSERVED NO VOMITING AND DIARRHEA PROCEDURE AND CLEAN-UP KIT ON PREMISES. INSTRUCTED TO HAVE SAID PROCEDURE ALONG WITH REQUIRED EQUIPMENT FOR CLEAN-UP.  PRIORITY FOUNDATION VIOLATION 7-38-005, NO CITATION ISSUED  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15: OBSERVED A WINDOW WITH A COMMERICAL FAN NEAR THE THREE COMPARTMENT SINK RODENT PROOFED WITH A THIN NETTING MATERIAL ONLY ON THE INSIDE OF THE FACILITY. INSTRUCTED TO PROVIDE A MORE EFFICIENT WAY TO RODENT PROOF SAID WINDOW AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(B) OBSERVED THE INSIDE OF THE HILL COOLER NEAR THE REAR DISHWASHING AREA NOT CLEAN. INSTRUCTED TO CLEAN SAID EQUIPMENT AND MAINTAIN.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C) OBSERVED UNDER THE EQUIPMENT ON THE TABLE IN THE DISHWASHING AREA FOOD BUILD UP. INSTRUCTED TO CLEAN SAID TABLE AND MAINTAIN.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 5-501.17 OBSERVED NO LIDED RECEPTACLE IN THE EMPLOYEE TOILET ROOM. INSTRUCTED TO PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114 OBSERVED UNNECESSARY ITEMS THROUGHOUT THE FACILITY ESPECIALLY IN THE REAR STORAGE AREA (STACKED WOODEN PALLETS, 1-3 GOOD HUMOR FREEZER UNITS, DELI EQUIPMENT), IN THE DISHWASHING AREA (BOWLS, COOKING EQUIPMENT, SHOPPING CARTS), AND INSIDE OF THE HOT WATER TANK AREA BEHIND THE SERVICE COUNTER. INSTRUCTED TO REMOVE ALL UNNECESSARY ITEMS AND MAINTAIN.",41.7654104501854,-87.6381969055515,ANGEL MINI MART,524 W 71ST ST,True,False,False,POINT (-87.6381969055515 41.7654104501854),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
Walgreens # 07267,650 W 63Rd St,CHICAGO,IL,60621.0,2023-05-02,Pass,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO THERMOMETER INSIDE OF THE TWO REFRIGERATOR UNITS IN AISLE 9. INSTRUCTED TO PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE FLOORS IN THE WALK-IN FREEZER WITH FROZEN LIQUID SPILLS AND TRASH. INSTRUCTED TO CLEAN AND MAINTAIN SAID FLOORS.",41.77990485623231,-87.6418581457539,WALGREENS 07267,650 W 63RD ST,True,False,False,POINT (-87.6418581457539 41.77990485623231),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
Mobil,5500 S Wells St,CHICAGO,IL,60621.0,2022-06-02,Out Of Business,,41.7941994854137,-87.6319254824924,MOBIL,5500 S WELLS ST,True,False,False,POINT (-87.6319254824924 41.7941994854137),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
Dollar General Store #20597,7443 S Racine Ave,CHICAGO,IL,60636.0,2022-04-04,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED DUST BUILDUP AND DEBRIS ON DISPLAY SHELVES, SHELVING UNITS, ROLLING CARTS, CHECKSTANDS BEHIND FRONT COUNTER. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED STAINED AND MISSING CEILING TILES IN SALES AND STORAGE AREAS. INSTRUCTED MANAGER TO REPLACE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SPILLS, DUST, DIRT, AND DEBRIS ON FLOORS UNDER ALL EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN SALES, STORAGE AND LOWER LEVEL STAIRWAY AND WASHROOM AREAS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESSIVE CLUTTER IN FRONT COUNTER AND REAR STORAGE AREAS. INSTRUCTED MANAGER TO REMOVE ALL UNNECESSARY ITEMS AND STORE ALL STOCK SIX INCHES OFF AND AWAY FROM WALLS AND CORNERS FOR EASY CLEANING AND PEST CONTROL.",41.7583560096966,-87.6537959528554,DOLLAR GENERAL STORE 20597,7443 S RACINE AVE,True,False,False,POINT (-87.6537959528554 41.7583560096966),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
