DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Family Dollar #6514,2420 W 51St St,CHICAGO,IL,60632.0,2024-09-03,Pass,,41.8012514037157,-87.6850355316107,FAMILY DOLLAR 6514,2420 W 51ST ST,True,False,False,POINT (-87.6850355316107 41.8012514037157),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
"Carniceria La Hacienda,No.4 Inc.",5153-5159 S Kedzie Ave,CHICAGO,IL,60632.0,2024-05-24,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11 OBSERVED BROKEN FLOOR TILES IN WALK IN COOLERS BEHING BUTCHER AREA. INSTRUCTED THE PERSON IN CHARGE TO REPAIR AND MAINTAIN SMOOTH AND EASILY CLEANABLE.",41.7992570437077,-87.7035747065583,CARNICERIA LA HACIENDANO4 INC,51535159 S KEDZIE AVE,True,False,False,POINT (-87.7035747065583 41.7992570437077),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Amoco,2340 W 52Nd St,CHICAGO,IL,60609.0,2024-01-12,Pass,,41.7989375363715,-87.6835163823689,AMOCO,2340 W 52ND ST,True,False,False,POINT (-87.6835163823689 41.7989375363715),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Cloud High Smoke Shop,5460 S Kedzie Ave,CHICAGO,IL,60632.0,2023-12-29,Out Of Business,,41.7935566755863,-87.7037023212815,CLOUD HIGH SMOKE SHOP,5460 S KEDZIE AVE,True,False,False,POINT (-87.7037023212815 41.7935566755863),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Alcocer'S Local Shop,3413 W 51St St,CHICAGO,IL,60632.0,2021-04-02,Out Of Business,,41.8006366513204,-87.709273777897,ALCOCERS LOCAL SHOP,3413 W 51ST ST,True,False,False,POINT (-87.709273777897 41.8006366513204),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Carniceria La Gloria,2551 - 53 W 51St St,CHICAGO,IL,60632.0,2020-09-10,Out Of Business,,41.8009692763203,-87.6887220987174,CARNICERIA LA GLORIA,2551 53 W 51ST ST,True,False,False,POINT (-87.6887220987174 41.8009692763203),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Walgreens #05234,5435 S Kedzie Ave,CHICAGO,IL,60632.0,2020-06-30,Pass,,41.7943834228534,-87.7034374037796,WALGREENS 05234,5435 S KEDZIE AVE,True,False,False,POINT (-87.7034374037796 41.7943834228534),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Im & N Dollar Plus,5149 S Kedzie Ave,CHICAGO,IL,60632.0,2020-06-24,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments:   NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINST NOROVIRUS. PRIORITY FOUNDATION 7-38-005.   | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: MISSING FOOD TEMPERATURE MEASURING DEVICE (EX METAL STEM THERMOMETER). INSTD TO PROVIDE AND MAINTAIN SAME. PRIORITY FOUNDATION 7-38-005.,41.7993704831676,-87.7035780411288,IM N DOLLAR PLUS,5149 S KEDZIE AVE,True,False,False,POINT (-87.7035780411288 41.7993704831676),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Dollar Star & More 1 Inc.,5839-5843 S Kedzie Ave,CHICAGO,IL,60629.0,2020-06-12,Pass,,41.7869047164194,-87.7032180915297,DOLLAR STAR MORE 1 INC,58395843 S KEDZIE AVE,True,False,False,POINT (-87.7032180915297 41.7869047164194),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Dollar & Up Group,5456-5460 S Kedzie Ave,CHICAGO,IL,60632.0,2020-05-07,Out Of Business,,41.7936153866162,-87.7037043921038,DOLLAR UP GROUP,54565460 S KEDZIE AVE,True,False,False,POINT (-87.7037043921038 41.7936153866162),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
