DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
7-Eleven #26878 F,6559 W Archer Ave,CHICAGO,IL,60638.0,2024-06-13,Pass,,41.7921411187576,-87.786626362305,7ELEVEN 26878 F,6559 W ARCHER AVE,True,False,False,POINT (-87.786626362305 41.7921411187576),55.0,GARFIELD RIDGE,117890778.429,56.0,56.0,60080.4479704,,
Shell,4900 S Cicero Ave,CHICAGO,IL,60638.0,2022-11-23,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED BUILD UP ON PLASTIC BEVERAGE HOLDING TRAYS IN WALK-IN COOLER. INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED BUILD UP OF GRIME ON FLOOR IN REAR DRY STORAGE AREA UNDER SHELVING. INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WALL NEAR THREE COMPARTMENT SINK AND UTILITY SINK TO NOT BE SMOOTH AND EASILY CLEANABLE. INSTRUCTED PERSON IN CHARGE TO REPAIR AND MAINTAIN.",41.8038771465987,-87.7432043371818,SHELL,4900 S CICERO AVE,True,False,False,POINT (-87.7432043371818 41.8038771465987),55.0,GARFIELD RIDGE,117890778.429,56.0,56.0,60080.4479704,,
7-Eleven 29530D,5893 S Archer Ave,CHICAGO,IL,60638.0,2022-08-19,Pass,57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: MISSING VERIFICATION OF FOOD HANDLER TRAINING. INSTD TO OBTAIN TRAINING AND MAINTAIN VERIFICATION ON SITE,41.795572249211,-87.7625162943223,7ELEVEN 29530D,5893 S ARCHER AVE,True,False,False,POINT (-87.7625162943223 41.795572249211),55.0,GARFIELD RIDGE,117890778.429,56.0,56.0,60080.4479704,,
Amoco,4629 S Cicero Ave,CHICAGO,IL,60632.0,2021-12-23,Pass,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED BROKEN BACK FLOW PREVENTION DEVICE ON REAR MOP SINK. (PROOF OF PURCHASE PROVIDED) INSTRUCTED TO INSTALL AND MAINTAIN IN GOOD WORKING ORDER.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MULTIPLE SODA CRATES IN THE REAR OF THE FACILITY BEING USED TO STORE BEVERAGES, WASHER FLUID, PENNZOIL OIL, AND OTHER ITEM.  INSTRUCTED TO REMOVE ALL AND PROVIDE PROPER SHELVING THAT IS AT LEAST SIX INCHES FROM THE FLOOR FOR EASE OF CLEANING AND MAINTAINING AREAS.",41.8085650186068,-87.7430257208945,AMOCO,4629 S CICERO AVE,True,False,False,POINT (-87.7430257208945 41.8085650186068),55.0,GARFIELD RIDGE,117890778.429,56.0,56.0,60080.4479704,,
Walgreens # 03321,5874 S Archer Ave,CHICAGO,IL,60638.0,2020-09-01,Pass,,41.7959183879952,-87.7617807891011,WALGREENS 03321,5874 S ARCHER AVE,True,False,False,POINT (-87.7617807891011 41.7959183879952),55.0,GARFIELD RIDGE,117890778.429,56.0,56.0,60080.4479704,,
Walgreens #11492,5408-5414 S Archer Ave,CHICAGO,IL,60638.0,2020-08-21,Pass,,41.798703799237,-87.7433539369714,WALGREENS 11492,54085414 S ARCHER AVE,True,False,False,POINT (-87.7433539369714 41.798703799237),55.0,GARFIELD RIDGE,117890778.429,56.0,56.0,60080.4479704,,
Walgreens #2711,7150 W Archer Ave,CHICAGO,IL,60638.0,2020-08-18,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINST NOROVIRUS. PRIORITY FOUNDATION 7-38-005.,41.7920564794644,-87.8010589933264,WALGREENS 2711,7150 W ARCHER AVE,True,False,False,POINT (-87.8010589933264 41.7920564794644),55.0,GARFIELD RIDGE,117890778.429,56.0,56.0,60080.4479704,,
Dollar General Store #19100,5018 S Cicero Ave,CHICAGO,IL,60638.0,2020-07-01,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINST NOROVIRUS. PRIORITY FOUNDATION 7-38-005,41.8015471270672,-87.7431356838646,DOLLAR GENERAL STORE 19100,5018 S CICERO AVE,True,False,False,POINT (-87.7431356838646 41.8015471270672),55.0,GARFIELD RIDGE,117890778.429,56.0,56.0,60080.4479704,,
Family Dollar,6190 S Archer Ave,CHICAGO,IL,60638.0,2020-06-26,Pass,,41.7940175430444,-87.7741473714093,FAMILY DOLLAR,6190 S ARCHER AVE,True,False,False,POINT (-87.7741473714093 41.7940175430444),55.0,GARFIELD RIDGE,117890778.429,56.0,56.0,60080.4479704,,
Dollar Tree #5169,5101 S Cicero Ave Ste 104,CHICAGO,IL,60632.0,2020-06-26,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINST NOROVIRUS. PRIORITY FOUNDATION 7-38-005.,41.800245594931,-87.7428105219874,DOLLAR TREE 5169,5101 S CICERO AVE STE 104,True,False,False,POINT (-87.7428105219874 41.800245594931),55.0,GARFIELD RIDGE,117890778.429,56.0,56.0,60080.4479704,,
