DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Dollar Tree Stores #07068,715 E 47Th St,CHICAGO,IL,60653.0,2024-08-26,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED 1/4"" GAP AT BOTTOM OF FRONT ENTRANCE DOORS AND BETWEEN REAR EXIT DOORS IN STORAGE AREA. INSTRUCTED MANAGER TO SEAL ALL OUTER OPENINGS ON DOORS TO PREVENT PEST ENTRY. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  OBSERVED RUSTY SURFACES ON DISPLAY SHELVES IN SALES AREA. INSTRUCTED MANAGER TO REPLACE AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  OBSERVED CRATES USED AS SHELVING UNITS IN SALES AND STORAGE AREAS. INSTRUCTED MANAGER TO REMOVE ALL CRATES AND PROVIDE ADEQUATE SHELVING FOR EASY CLEANING AND PEST CONTROL. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED DUST, DIRT AND DEBRIS ON INTERIOR AND EXTERIOR SURFACES OF DISPLAY SHELVES, DISPLAY RACKS, CHECKSTANDS, COOLERS, FREEZERS, SHELVING UNITS, PALLETS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  OBSERVED EXCESSIVE CLUTTER INSIDE WALK-IN FREEZER AND REAR STORAGE AREAS. INSTRUCTED MANAGER TO STORE ALL STOCK SIX INCHES OFF FLOOR AND AWAY FROM WALLS FOR EASY CLEANING AND PEST CONTROL. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DUST BUILDUP ON CEILING VENTS, DEBRIS ON FLOORS UNDER ALL KICK PLATES, EQUIPMENT, SHELVING UNITS, PALLETS, ALONG WALLS AND IN ALL CORNERS IN SALES AND STORAGE AREAS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  OBSERVED MISSING AND STAINED CEILING TILES IN SALES AND STORAGE AREAS. INSTRUCTED MANAGER TO REPLACE AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED NO LIGHT INSIDE WALK-IN FREEZER IN REAR STORAGE AREA. INSTRUCTED MANAGER TO PROVIDE ADEQUATE LIGHTING AND MAINTAIN.",41.8093988935318,-87.6083016739729,DOLLAR TREE STORES 07068,715 E 47TH ST,True,False,False,POINT (-87.6083016739729 41.8093988935318),37.0,GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573,,
"43Rd Food & Tobacco, Inc.",200 E 43Rd St,CHICAGO,IL,60653.0,2024-06-06,Pass W/ Conditions,"16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: INSTRUCTED MANAGER TO DETAIL CLEAN AND SANITIZE THE INTERIOR WALL OF THE ICE MACHINE.  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED 3 SMALL BLACK AND GRAY KITTENS IN THE REAR STORAGE ROOM. INSTRUCTED MANAGER TO REMOVE AND DETAIL CLEAN AREA. PROHIBITIED ANIMALS NOT PERMITTED INSIDE BUSINESS PER HEALTH CODE. PRIORITY FOUNDATION CITATION ISSUED #7-40-060 | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN THE INSIDE OF THE DISPLAY COOLER TO REMOVE SPILLS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE FLOOR BASE UNDER THE WASH ROOM DOOR WITH AND OPENING. MUST REPAIR/SEAL ANY AND ALL OPENING TO PREVENT ENTRY POINT FOR PESTS. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: INSTRUCTED MANAGER ALL FOOD HANDLERS MUST COMPLY WITH THE FOOD HANDLER TRAINING OR CITATIONS WILL FOLLOW.",41.8166750350858,-87.6213297992859,43RD FOOD TOBACCO INC,200 E 43RD ST,True,False,False,POINT (-87.6213297992859 41.8166750350858),37.0,GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573,,
45Th Food Mart,4509 S Indiana Ave,CHICAGO,IL,60653.0,2023-11-02,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO VOMIT AND DIARRHEA CLEAN UP KIT ON PREMISES AS REQUIRED; MUST PROVIDE AND MAINTAIN. INSTRUCTED THE PERSON IN CHARGE TO PROVIDE A VOMIT AND DIARRHEA CLEAN UP KIT TO USE IN THE EVENT OF A VOMIT AND DIARRHEAL INCIDENT ON PREMISES. PRIORITY FOUNDATION VIOLATION 7-38-005. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments:  OBSERVED THE FRONT HANDSINK DRAINING SLOWLY; INSTRUCTED TO CORRECT SO THAT SINK DRAINS PROPERLY. OBSERVED THE FAUCET NECK AT THE THREE COMP SINK DOES NOT EXTEND TO ALL COMPARTMENTS OF THE THREE COMP SINK AS REQUIRED; MUST PROVIDE A LONGER FAUCET NECK AT SINK. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NO SELF CLOSING DEVICE ON THE WASHROOM DOOR; INSTRUCTED TO INSTALL AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO SEAL ALL AREAS OF BASEBOARDS WHERE NEEDED THAT ARE LOOSE FROM TOP AREA. INSTRUCTED TO SEAL HOLE IN FLOOR ACROSS FROM THE UTILITY SINK.",41.8126265160326,-87.62115462338,45TH FOOD MART,4509 S INDIANA AVE,True,False,False,POINT (-87.62115462338 41.8126265160326),37.0,GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573,,
200 Liquors,204 E 47Th St,CHICAGO,IL,60653.0,2020-04-24,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS NOR A CLEAN UP KIT ON SITE. INSTRUCTED TO PROVIDE A PROCEDURE AND CLEAN UP KIT. PRIORITY FOUNDATION VIOLATION 7-38-005 NO CITATION ISSUED | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND A LEAK COMING FROM THE BASE OF THE FAUCET ON THE 3-COMPARTMENT SINK. INSTRUCTED TO FIX AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: THE TRASH RECEPTACLE IN THE WOMEN'S TOILET ROOM DOES NOT HAVE A COVER/LID. INSTRUCTED TO PROVIDE A RECEPTACLE WITH A COVER/LID. MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: THE FLOORS IN THE BASEMENT, IN THE CORNERS AND UNDER AROUND THE PALLETS/STORAGE SHELVES ON THE 1ST FL WITH DIRT AND DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN.",41.8094238941323,-87.6209518019999,200 LIQUORS,204 E 47TH ST,True,False,False,POINT (-87.6209518019999 41.8094238941323),37.0,GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573,,
Lake Front Citgo,437 E Pershing Rd,CHICAGO,IL,60653.0,2020-04-16,Pass W/ Conditions,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO PAPER TOWELS AT HAND WASHING SINKS IN WASHROOM AND BEVERAGE AREA. INSTRUCTED MANAGER TO PROVIDE PAPER TOWELS AT ALL HAND WASHING SINKS. PRIORITY FOUNDATION 7-38-030(C) | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: BEVERAGES STORED IN THE REAR ROOM ON POP CRATES. INSTRUCTED TO STORE ON SHELVING, ITEMS SHOULD BE 6"" OFF THE FLOOR. MAINTAIN SAME. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: FOUND NO CHEMICAL TEST KIT FOR THE SANITIZING AGENT USED TO SANITIZE THE UTENSILS. INSTRUCTED TO OBTAIN KIT AND MAINTAIN. PRIORITY FOUNDATION VIOLATION 7-38-030 NO CITATION ISSUED | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  FOUND THE SHELF UNDER THE COFFEE STATION WITH DRENCH PAPER TOWELS AND DEBRIS. THE FAN COVERS IN THE WALK IN COOLER WITH THICK DIRT AND DUST BUILD UP AND THE STORAGE RACKS IN THE WALK IN COOLER WITH A BLACK LIKE MOLDY SUBSTANCE ON THEM. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN ALL. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS NEED TO BE CLEANED IN THE REAR, UNDER THE SINKS, IN THE CORNERS, IN THE WALK-IN COOLER AND UNDER ALL STORAGE RACKS. INSTRUCTED TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  THE REAR AREA WITH CLUTTER. INSTRUCTED TO ELIMINATE THE CLUTTER AND ORGANIZE THE AREA. MAINTAIN SAME.",41.8237478330372,-87.6152919204963,LAKE FRONT CITGO,437 E PERSHING RD,True,False,False,POINT (-87.6152919204963 41.8237478330372),37.0,GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573,,
Bp Amoco,4300 S State St,CHICAGO,IL,60609.0,2018-08-29,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: 2-102.14(N)  NO EMPLOYEE HEALTH POLICY ON PREMISES AS REQUIRED; MUST PROVIDE.  INSTRUCTED THE PIC TO PROVIDE DOCUMENTATION OF EMPLOYEES RESPONSIBILITY TO REPORT ANY ILLNESS TRANSMISSIBLE THROUGH FOOD.  PRIORITY FOUNDATION VIOLATION 7-38-012(A). | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11  NO VOMIT OR DIARRHEAL CLEAN UP PROCEDURE ON PREMISES AS REQUIRED; MUST PROVIDE.  INSTRUCTED THE PIC THAT A VOMIT AND DAIRRHEAL CLEAN UP PROCEDURE MUST BE DOCUMENTED AND THE NECESSARY SUPPLIES ON HAND IN THE EVENT OF A VOMIT OR DIARRHEAL INCIDENT ON PREMISES.  PRIORITY FOUNDATION VIOLATION 7-38-005. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.16(A)  FOUND NO COVERS FOR THE VENTILATION FANS ON THE WASHROOM CEILINGS; MUST PROVIDE COVERS FOR THE VENT FANS IN THE WASHROOMS.",41.8163958339281,-87.6264128942879,BP AMOCO,4300 S STATE ST,True,False,False,POINT (-87.6264128942879 41.8163958339281),37.0,GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573,,
Hyde Park Food & Liquor,126-128 E 51St St,CHICAGO,IL,60615.0,2017-04-21,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: REPLACE ALL SOILED CARDBOARD TRAYS ON CHIP DISPLAY SHELVES | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: : CLEAN INTERIOR AND EXTERIOR OF ALL SHELVES UNDER AND BEHIND FRONT COUNTER(DEBRIS, CIGARETTE BUTTS AND ASHES), BASES OF REACH-IN COOLERS AND FREEZERS | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CLEAN FLOORS UNDER ALL SHELVING UNITS, ALONG WALLS AND IN ALL CORNERS IN SALES AND STORAGE AREAS(DEBRIS, CIGARETTE BUTTS AND ASHES",41.8021305429259,-87.6213850791201,HYDE PARK FOOD LIQUOR,126128 E 51ST ST,True,False,False,POINT (-87.6213850791201 41.8021305429259),37.0,GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573,,
Aristo Food & Liquor,307-315 E 47Th St,CHICAGO,IL,60653.0,2016-10-18,Out Of Business,,41.8092316314123,-87.6192585467593,ARISTO FOOD LIQUOR,307315 E 47TH ST,True,False,False,POINT (-87.6192585467593 41.8092316314123),37.0,GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573,,
Walgreens,5036 S Cottage Grove Ave,CHICAGO,IL,60615.0,2016-06-28,Pass,,41.8029905654675,-87.6065724076173,WALGREENS,5036 S COTTAGE GROVE AVE,True,False,False,POINT (-87.6065724076173 41.8029905654675),37.0,GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573,,
Marthon Gas & Food Mart,4700 S Michigan Ave,CHICAGO,IL,60615.0,2016-05-26,Out Of Business,,41.8091935132013,-87.6229793064198,MARTHON GAS FOOD MART,4700 S MICHIGAN AVE,True,False,False,POINT (-87.6229793064198 41.8091935132013),37.0,GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573,,
