DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
94 Food And Tobacco,7057 S Wentworth Ave,CHICAGO,IL,60621.0,2025-04-04,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: WATER STAINED CEILING TILES IN THE TOILET ROOM AND BEHIND FRONT COUNTER. INSTRUCTED TO REPLACE WATER STAINED CEILING TILES AND MAINTAIN.",41.7655849953589,-87.6296287798632,94 FOOD AND TOBACCO,7057 S WENTWORTH AVE,True,False,False,POINT (-87.6296287798632 41.7655849953589),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
Shell,6659 S Wentworth Ave,CHICAGO,IL,60621.0,2025-03-17,Pass,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO HAND WASHING SIGNAGE AT THE HAND WASHING SINKS. INSTRUCTED TO PROVIDE AND MAINTAIN. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: CORRECTED. INSTRUCTED TO MAINTAIN. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: TRASH/DEBRIS FOUND ON THE GROUND AROUND THE DUMPSTERS AND PUMPS. INSTRUCTED TO CLEAN AND MAINTAIN OUTSIDE AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: WATER STAINED AND DAMAGED CEILING TILES IN THE FRONT/REAR OF STORE. INSTRUCTED TO REPLACE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS IN THE CORNERS, UNDER/AROUND THE SHELVES IN THE FRONT AND REAR WITH DIRT AND DEBRIS. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS THROUGHOUT.",41.7728093181142,-87.6298197872635,SHELL,6659 S WENTWORTH AVE,True,False,False,POINT (-87.6298197872635 41.7728093181142),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
75Th State Shell,7449-59 S State St,CHICAGO,IL,60619.0,2025-02-18,Out Of Business,,41.758603815578,-87.6246208249225,75TH STATE SHELL,744959 S STATE ST,True,False,False,POINT (-87.6246208249225 41.758603815578),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
Shell,7449-7459 S State St,CHICAGO,IL,60619.0,2025-02-18,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: THE TOP OF THE WASHBOWL IN THE CUSTOMER'S TOILET ROOM NEEDS TO BE RECAULKED. INSTRUCTED TO RECAULK AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: THE TRASH RECEPTACLE IN THE CUSTOMER'S TOILET ROOM HAS NO COVER/LID. INSTRUCTED TO PROVIDE A TRASH RECEPTACLE WITH A COVER/LID. MAINTAIN SAME. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: REAR STORAGE AREA WITH CLUTTER. INSTRUCTED TO ELIMINATE CLUTTER, ORGANIZE AREA AND ELEVATE ITEMS 6"" OFF THE FLOOR. MAINTAIN SAME.",41.758603815578,-87.6246208249225,SHELL,74497459 S STATE ST,True,False,False,POINT (-87.6246208249225 41.758603815578),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
Citgo Gas,6661 S State St,CHICAGO,IL,60637.0,2024-11-13,Pass,,41.7731393710581,-87.6249913991379,CITGO GAS,6661 S STATE ST,True,False,False,POINT (-87.6249913991379 41.7731393710581),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
Fair Food Mart,133 E 69Th St,CHICAGO,IL,60637.0,2024-08-30,Out Of Business,,41.7691349409206,-87.6203705380251,FAIR FOOD MART,133 E 69TH ST,True,False,False,POINT (-87.6203705380251 41.7691349409206),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
Max Tobacco & Grocery,68 E 71St St,CHICAGO,IL,60619.0,2024-08-20,Pass,,41.7656775413493,-87.6222564579891,MAX TOBACCO GROCERY,68 E 71ST ST,True,False,False,POINT (-87.6222564579891 41.7656775413493),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
76,6901-6915 S State St,Chicago,IL,60637.0,2024-05-16,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED A 1/4 INCH GAP AT THE FRONT ENTRANCE DOOR; INSTRUCTED TO PROVIDE A DOOR SWEEP FOR THE BOTTOM OF THE DOOR. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: INSTRUCTED THAT ALL FOOD HANDLERS MUST OBTAIN THE REQUIRED FOOD HANDLER TRAINING.",41.7690980426566,-87.6247991398776,76,69016915 S STATE ST,True,False,False,POINT (-87.6247991398776 41.7690980426566),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
Family Dollar Store # 6772,51 E 71St St,CHICAGO,IL,60619.0,2024-04-29,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WATER STAINED CEILING TILES IN THE REAR. INSTRUCTED MANAGER TO REPLACE CEILING TILES AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE FLOORS IN THE CORNERS IN THE FRONT AND REAR WITH DIRT/DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN FLOORS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE REAR STORAGE AREA WITH CLUTTER. INSTRUCTED MANAGER TO ELIMINATE CLUTTER AND ORGANIZE THE AREA.",41.7654452711157,-87.6228903172861,FAMILY DOLLAR STORE 6772,51 E 71ST ST,True,False,False,POINT (-87.6228903172861 41.7654452711157),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
New King Food Mart,401 E 69Th St,CHICAGO,IL,60637.0,2023-11-08,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: GARBAGE CAN IN WASHROOM IN NEED OF LID. CORRECT AND MAINTAIN.   | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS THROUGH OUT IN NEED OF CLEANING TO REMOVE DEBRIS AND BUILD UP CORRECT AND MAINTAIN.",41.769231013145294,-87.6152906990028,NEW KING FOOD MART,401 E 69TH ST,True,False,False,POINT (-87.6152906990028 41.769231013145294),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
One Stop Shop Grocery & Tobacco,614 E 79 St,CHICAGO,IL,60619.0,2023-07-10,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: 2-102.14(O) OBSERVED NO EMPLOYEE HEALTH POLICY ON-SITE AT THE TIME OF INSPECTION. INSTRUCTED TO OBTAIN AND MAINTAIN.  PRIORITY FOUNDATION VIOLATION 7-38-010, NO CITATION ISSUED  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15 OBSERVED A SMALL OPENING AT THE BOTTOM OF THE REAR EXIT DOOR. INSTRUCTED TO RODENT PROOF SAID DOOR AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11 OBSERVED THE FLOORS UNFINISHED AT THE REAR STORAGE AREA AND AT THE THREE COMPARTMENT SINK. ALSO OBSERVED A HOLE IN THE WALL NEAR THE THREE COMPARTMENT SINK. INSTRUCTED TO FINISH AND SEAL SAID FLOORS AND WALLS IN ORDER TO MAKE THEM SMOOTH AND EASILY CLEANABLE.",41.7513205924073,-87.6094384869621,ONE STOP SHOP GROCERY TOBACCO,614 E 79 ST,True,False,False,POINT (-87.6094384869621 41.7513205924073),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
Family Dollar #32004,120 W 79Th St,CHICAGO,IL,60620.0,2022-11-09,Pass,,41.7510045180606,-87.6278773699744,FAMILY DOLLAR 32004,120 W 79TH ST,True,False,False,POINT (-87.6278773699744 41.7510045180606),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
A & G Liquors,6945 S State St,CHICAGO,IL,60637.0,2022-05-11,Pass,,41.7678312792208,-87.6247659396963,A G LIQUORS,6945 S STATE ST,True,False,False,POINT (-87.6247659396963 41.7678312792208),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
B.P.,7559 S State St,CHICAGO,IL,60619.0,2021-12-20,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED RECEPTACLE IN THE EMPLOYEE TOILET ROOM.  INSTRUCTED TO PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED A BUILD UP DIRT, DEBRIS AND STAINS ON WALLS AND FLOORS THROUGHOUT FACILITY.  INSTRUCTED TO CLEAN AND MAINTAIN ALL AREAS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED BASE OF WALL IN TOILET ROOM MISSING COVERING.  INSTRUCTED TO PROVIDE PROPER COVERING AS A MEANS OF PREVENTING POSSIBLE PEST AND INSECT ENTERING AND HARBORING.",41.7565259774589,-87.6245785233886,BP,7559 S STATE ST,True,False,False,POINT (-87.6245785233886 41.7565259774589),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
