DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Dollar Tree #06214,4225 W Armitage Ave,CHICAGO,IL,60639.0,2024-10-17,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT AND DIARRHEA CLEAN UP KIT/PROCEDURE ON SITE. MUST PROVIDE A WRITTEN PROCEDURE FOR THE CLEAN UP OF VOMIT AND DIARRHEAL EVENTS, AND CORRESPONDING EQUIPMENT OUTLINED IN THE PROCEDURE. PRIORITY FOUNDATION VIOLATION 7-38-005. CITATION ISSUED. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE IN UNISEX RESTROOMS. INSTRUCTED TO PROVIDE COVERED WASTE RECEPTACLE. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: NOTED TRASH, CRATES, WOOD, AND EXCESSIVE DIRT AND OTHER ELEMENTS ON THE GROUND IN OUTDOOR RECEPTACLES STORAGE AREA. INSTRUCTED TO REMOVE LARGE ITEMS AND CLEAN AND MAINTAIN TO PREVENT PEST HARBORAGE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MOP STORED IMPROPERLY. INSTRUCTED MANAGER TO STORE MOP IN A POSITION TO AIR DRY PROPERLY AND PREVENT PEST HARBORAGE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED HOLE IN WALL BELOW SINK IN REAR EMPLOYEE RESTROOM. INSTRUCTED TO REPAIR AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESSIVE BOXES, CRATES, BROOMS, ETC STORED IN REAR STORAGE AREA. INSTRUCTED TO ORGANIZE AND STOR4ED ALL ITEMS AT LEAST 6 INCHES FROM FLOOR AND DISCARD UNECESSARY ITEMS.   | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED BURNT OUT LIGHT IN REAR EMPLOYEE UNISEX RESTROOMS. INSTRUCTED TO REPAIR AND MAINTAIN. | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: OBSERVED NO SUMMARY POSTED FOR PUBLIC VIEW FROM PREVIOUS INSPECTION #2386351 DATED 8/21/2020.  LEFT NEW SUMMARY AND INSTRUCTED TO POST FOR PUBLIC VIEW. PRIORITY FOUNDATION VIOLATION 7-42-010(B). CITATION ISSUED",41.9169782000286,-87.7326054444817,DOLLAR TREE 06214,4225 W ARMITAGE AVE,True,False,False,POINT (-87.7326054444817 41.9169782000286),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
Fullerton & Kostner Shell,4401 W Fullerton Ave,CHICAGO,IL,60639.0,2024-10-15,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  NOTED SOME USE OF MILK CRATES FOR ELEVATION THROUGHOUT FACILTIY. INSTRUCTED NOT TO USE MILK CRATES FOR ELEVATION TO PREVENT HIDING PLACES FOR PEST. MUST PROVIDE APPROPRIATE SHELVING FOR STORAGE. ALL FOOD ITEMS MUST ALSO BE STORED 6"" AWAY FROM THE WALL  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOILED MOP HEADS NOT PROPERLY STORED. INSTRUCTED MANAGER TO HANG MOP HEADS TO PREVENT INSECT BREEDING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOME MISSING CEILING COVER THROUGHOUT THE FACILITY. INSTRUCTED TO REPLACE.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED VENTS THROUGHOUT THE FACILITY WITH DUST BUILD UP. INSTRUCTED TO CLEAN AND MAINTAIN  | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO FOOD HANDLER CERTIFICATES ON SITE AT TIME OF INSPECTION. INSTRUCTED ALL EMPLOYEES MUST COMPLETE FOOD HANDLER TRAINING AND MAINTAIN RECORDS THEREOF ON SITE AT ALL TIMES.",41.9242548955705,-87.736628651365,FULLERTON KOSTNER SHELL,4401 W FULLERTON AVE,True,False,False,POINT (-87.736628651365 41.9242548955705),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
Lucy'S Groceries & Dollar Store,4257 W Fullerton Ave Bldg,CHICAGO,IL,60639.0,2024-05-14,Out Of Business,,41.924288186374,-87.7339755958807,LUCYS GROCERIES DOLLAR STORE,4257 W FULLERTON AVE BLDG,True,False,False,POINT (-87.7339755958807 41.924288186374),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
Slamming Mini Mart,4300 W Fullerton Ave,CHICAGO,IL,60639.0,2024-05-08,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED RECEPTACLES INSIDE OF UNISEX TOILET ROOM. INSTRUCTED TO PROVIDE.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED WASHROOM DOOR NOT SELF-CLOSING. INSTRUCTED MANAGER TO REPAIR SELF-CLOSING DEVICE ON WASHROOM DOOR.",41.924505271216894,-87.7341816651828,SLAMMING MINI MART,4300 W FULLERTON AVE,True,False,False,POINT (-87.7341816651828 41.924505271216894),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
Daisy'S Carwash And Gas,4345 W Belmont,CHICAGO,IL,60641.0,2023-04-13,Out Of Business,,41.9388568572763,-87.7366567681102,DAISYS CARWASH AND GAS,4345 W BELMONT,True,False,False,POINT (-87.7366567681102 41.9388568572763),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
Shell,4329-4347 W Belmont Ave,CHICAGO,IL,60641.0,2023-04-13,Pass,,41.9388649000409,-87.736138323227,SHELL,43294347 W BELMONT AVE,True,False,False,POINT (-87.736138323227 41.9388649000409),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
Armitage Pulaski Shell,2001-2011 N Pulaski Rd,CHICAGO,IL,60639.0,2022-12-28,Out Of Business,,41.9172162005539,-87.7264145698393,ARMITAGE PULASKI SHELL,20012011 N PULASKI RD,True,False,False,POINT (-87.7264145698393 41.9172162005539),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
Mkr Food And Liquor,4344 W Armitage Ave,CHICAGO,IL,60639.0,2021-03-30,Pass,,41.9171614230152,-87.735714029228,MKR FOOD AND LIQUOR,4344 W ARMITAGE AVE,True,False,False,POINT (-87.735714029228 41.9171614230152),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
143 Seven Food Mart,4003 W Fullerton Ave,CHICAGO,IL,60639.0,2020-05-07,Out Of Business,,41.92437241557,-87.7268920421168,143 SEVEN FOOD MART,4003 W FULLERTON AVE,True,False,False,POINT (-87.7268920421168 41.92437241557),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
Pioneer Liquor,3959 W Armitage Ave,CHICAGO,IL,60647.0,2019-12-10,Pass W/ Conditions,,41.9170572416153,-87.7264950869216,PIONEER LIQUOR,3959 W ARMITAGE AVE,True,False,False,POINT (-87.7264950869216 41.9170572416153),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
