DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Mayfair Shell,4721 N Elston Ave,CHICAGO,IL,60630.0,2024-11-25,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CABINETS UNDER FOOD SELF SERVICE AREA IN DISREPAIR AND OFF HINGES. REPAIR ALL CABINETS TO A PROPER WORKING ORDER AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CABINETS UNDER FOOD SELF SERVICE AREA UNCLEAN WITH FOOD SPILLS. CLEAN AND MAINTAIN INTERIOR OF SHELVES AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED UNCLEAN VENTILATION IN WASHROOM IN DISREPAIR AND HANGING FROM CEILING. CLEAN MAINTAIN CEILING VENTILATION IN WASHROOM.",41.966695739261,-87.7378615253899,MAYFAIR SHELL,4721 N ELSTON AVE,True,False,False,POINT (-87.7378615253899 41.966695739261),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,
7-Eleven #29150F,3401 W Irving Park Rd,CHICAGO,IL,60618.0,2024-11-18,Out Of Business,,41.953746186808495,-87.7129631256416,7ELEVEN 29150F,3401 W IRVING PARK RD,True,False,False,POINT (-87.7129631256416 41.953746186808495),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,
A To Z Food Mart,4009 N Kedzie Ave,CHICAGO,IL,60618.0,2024-07-08,Out Of Business,,41.9542382514738,-87.7078778170628,A TO Z FOOD MART,4009 N KEDZIE AVE,True,False,False,POINT (-87.7078778170628 41.9542382514738),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,
"3976 N Elston, Inc.",3976 N Elston Ave,CHICAGO,IL,60618.0,2024-03-05,Out Of Business,,41.9535140019699,-87.7190177666529,3976 N ELSTON INC,3976 N ELSTON AVE,True,False,False,POINT (-87.7190177666529 41.9535140019699),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,
7 Eleven #3489104,4771 N Elston Ave,CHICAGO,IL,60630.0,2023-11-06,Pass W/ Conditions,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: PERSON IN CHARGE WITH NO SANITATION MANAGER CERTIFICATE.MUST PROVIDE. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: FOUND NO CITY OF CHICAGO SANITATION MANAGER CERTIFICATE ON PREMISES WHILE HANDLING TCS FOODS.(HANDLES TACOS, PIZZA,ETC.)PRIORITY FOUNDATION. CITATION ISSUED.7-38-012.MUST PROVIDE. | 40. PERSONAL CLEANLINESS - Comments: FOODHANDLERS NOT WEARING HAIR RESTRAINT.MUST PROVIDE. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOODHANDLER AT PREMISES WITH NO FOODHANDLER TRAINING CERTIFICATES.MUST PROVIDE.",41.9676824884904,-87.7393053431381,7 ELEVEN 3489104,4771 N ELSTON AVE,True,False,False,POINT (-87.7393053431381 41.9676824884904),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,
Sai Food Mart,3432 W Irving Park Rd,CHICAGO,IL,60618.0,2023-10-03,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES,  FACE MASKS,  DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY  THAT KILLS NOROVIRUS)                                                        PRIORITY FOUNDATION VIOLATION 7-38-005   | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: INSTRUCTED TO PROVIDE HANDWASHING SIGNAGE AT HANDSINK INSIDE (2) WASHROOM. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED TO PROVIDE THERMOMETER VISIBLE INSIDE COOLERS WITH TCS FOODS (DAIRY PRODUCTS, LUNCHMEAT, EGGS ETC) | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: INSTRUCTED TO RODENT PROOF BOTTOM OF FRONT ENTRANCE DOOR. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: BACKFLOW PREVENTER DEVICE NOT LOCATED AT MOPSINK FAUCET.INSTRUCTED TO INSTALL SO  THAT IT CAN BE LOCATED TO BE SERVICED AND MAINTAINED. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: TOILET ROOM RECEPTACLES MUST BE COVERED. INSTRUCTED TO PROVIDE LID/COVER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO SEAL HOLES ON WALL AROUND DISPLAY AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN AND REMOVE UNNECESSARY ARTICLES/CONSTRUCTION DEBRIS (WOODS) IN REAR STORAGE ROOM. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: INSTRUCTED TO REPAIR OR REPLACE NON WORKING MECHANICAL VENTILATION INSIDE LEFT WASHROOM.",41.953947062790895,-87.7142689527486,SAI FOOD MART,3432 W IRVING PARK RD,True,False,False,POINT (-87.7142689527486 41.953947062790895),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,
Convenient Food Mart,4301 W Irving Park Rd,CHICAGO,IL,60641.0,2023-06-22,Pass,,41.9534484333816,-87.7355003619867,CONVENIENT FOOD MART,4301 W IRVING PARK RD,True,False,False,POINT (-87.7355003619867 41.9534484333816),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,
Irving Pulaski Shell,4000-4010 W Irving Park Rd,CHICAGO,IL,60641.0,2023-05-11,Pass,56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-304.11  THE VENTILATION FAN IN THE EMPLOYEE WASHROOM IS NOT OPERATIONAL. MANAGEMENT INSTRUCTED TO REPAIR OR REPLACE THE VENTILATION FAN.,41.9537568744752,-87.7276985131291,IRVING PULASKI SHELL,40004010 W IRVING PARK RD,True,False,False,POINT (-87.7276985131291 41.9537568744752),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,
Quick Pick Food Mart,3580 N Milwaukee Ave,CHICAGO,IL,60641.0,2021-12-14,Pass,,41.9457743125556,-87.7350458310554,QUICK PICK FOOD MART,3580 N MILWAUKEE AVE,True,False,False,POINT (-87.7350458310554 41.9457743125556),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,
B.P.- Pulaski,4359 N Pulaski Rd,CHICAGO,IL,60641.0,2021-07-07,Pass,,41.9608825136744,-87.7276792419795,BP PULASKI,4359 N PULASKI RD,True,False,False,POINT (-87.7276792419795 41.9608825136744),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,
