DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
7 Eleven #33591J,4859 N Milwaukee Ave,CHICAGO,IL,60630.0,2024-12-11,Out Of Business,,41.9693942217583,-87.761887172396,7 ELEVEN 33591J,4859 N MILWAUKEE AVE,True,False,False,POINT (-87.761887172396 41.9693942217583),10.0,JEFFERSON PARK,64868161.6818,11.0,11.0,44011.9571704,,
7-Eleven #33067 C,5316 N Milwaukee Ave,CHICAGO,IL,60630.0,2023-12-08,Pass W/ Conditions,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: PERSON IN CHARGE WITH NO SANITATION MANAGER CERTIFICATE.PRIORITY FOUNDATION.NO CITATION ISSUED. MUST PROVIDE. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments:  FOUND NO CITY OF CHICAGO SANITATION MANAGER ON PREMISES WHILE HANDLING TCS FOODS.(HANDLES PIZZA, HOT DOGS, CHICKEN WINGS,ETC.)PRIORITY FOUNDATION. CITATION ISSUED.7-38-012.MUST PROVIDE. | 40. PERSONAL CLEANLINESS - Comments: FOODHANDLER NOT WEARING HAIR RESTRAINT. MUST PROVIDE. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: FOUND FOLLOWING NOT CLEAN:3 COMPARTMENT SINK AND SHELVES INSIDE WALK IN COOLER.MUST CLEAN.",41.9769368876967,-87.7690743119701,7ELEVEN 33067 C,5316 N MILWAUKEE AVE,True,False,False,POINT (-87.7690743119701 41.9769368876967),10.0,JEFFERSON PARK,64868161.6818,11.0,11.0,44011.9571704,,
Gladstone Food Mart,5789 N Milwaukee Ave,CHICAGO,IL,60646.0,2022-07-27,Pass,,41.9869055244524,-87.7778227890803,GLADSTONE FOOD MART,5789 N MILWAUKEE AVE,True,False,False,POINT (-87.7778227890803 41.9869055244524),10.0,JEFFERSON PARK,64868161.6818,11.0,11.0,44011.9571704,,
Mobile Gas Station,5949 W Higgins Ave,CHICAGO,IL,60630.0,2020-07-24,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES, FACE MASKS, DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY THATS EFFECTIVE AGAINST NOROVIRUS).PRIORITY FOUNDATION VIOLATION 7-38-005,NO CITATION ISSUED. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE PROVIDED IN THE UNISEX WASHROOM. MUST PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WATER STAINED CEILING TILES AT FRONT COUNTER SERVICE AREA.MUST REPLACE AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED MECHANICAL VENTILATION IN WASH ROOM NOT WORKING.MUST REPAIR AND MAINTAIN.",41.9729344942384,-87.7777866520047,MOBILE GAS STATION,5949 W HIGGINS AVE,True,False,False,POINT (-87.7777866520047 41.9729344942384),10.0,JEFFERSON PARK,64868161.6818,11.0,11.0,44011.9571704,,
Ang Tobacco Place,4943 N Milwaukee Ave,CHICAGO,IL,60630.0,2020-07-13,Out Of Business,,41.9707165168977,-87.7631087550181,ANG TOBACCO PLACE,4943 N MILWAUKEE AVE,True,False,False,POINT (-87.7631087550181 41.9707165168977),10.0,JEFFERSON PARK,64868161.6818,11.0,11.0,44011.9571704,,
Community Food & Liquor 1,5530 N Milwaukee Ave,CHICAGO,IL,60630.0,2020-07-08,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES, FACE MASKS, DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY THAT KILLS NOROVIRUS) PRIORITY FOUNDATION VIOLATION 7-38-005,NO CITATION ISSUED .  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGNAGE AT HAND SINK INSIDE WASH ROOM.MUST PROVIDE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE PROVIDED IN WASHROOM. MANAGEMENT INSTRUCTED TO PROVIDE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments:  INSTRUCTED TO REMOVE ACCUMULATIONS OF DUSTS ON VENTILATION COVERS IN CUSTOMER AREA AND MAINTAIN.",41.98228977576569,-87.7739604883624,COMMUNITY FOOD LIQUOR 1,5530 N MILWAUKEE AVE,True,False,False,POINT (-87.7739604883624 41.98228977576569),10.0,JEFFERSON PARK,64868161.6818,11.0,11.0,44011.9571704,,
Dollar General Store19101,5255 N Milwaukee Ave,CHICAGO,IL,60630.0,2020-05-28,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES, FACE MASKS, DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY THAT KILLS NOROVIRUS) PRIORITY FOUNDATION VIOLATION 7-38-005,NO CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTERED REAR STORAGE ROOM FLOORS. INSTRUCTED MANAGER MUST ELEVATE ALL ITEMS OFF FLOOR OR REMOVE UNNECESSARY ITEMS TO PREVENT POTENTIAL PEST HARBORAGE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: INSTRUCTED TO REMOVE ACCUMULATIONS OF DUSTS ON CEILING VENTS IN WASH ROOMS AND TO MAINTAIN. | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: PREVIOUS INSPECTION REPORT SUMMARY FROM (10/11/2017) WAS NOT DISPLAYED FOR THE PUBLIC TO VIEW.TODAY'S INSPECTION REPORT SUMMARY WAS ISSUED AND MUST BE DISPLAYED AND VISIBLE TO THE PUBLIC AT ALL TIMES.PRIORITY FOUNDATION VIOLATION 7-42-010 (B),NO CITATION ISSUED TODAY.",41.9759464617384,-87.7678147668516,DOLLAR GENERAL STORE19101,5255 N MILWAUKEE AVE,True,False,False,POINT (-87.7678147668516 41.9759464617384),10.0,JEFFERSON PARK,64868161.6818,11.0,11.0,44011.9571704,,
Cvs/Pharmacy #8756,6200 W Higgins Ave,CHICAGO,IL,60630.0,2020-05-21,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: INSTRUCTED TO PROVIDE AND MAINTAIN COVERED WASTE RECEPTACLE INSIDE THE WASHROOMS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO REPLACE WATER STAINED CEILING TILES NEAR THE REFRIGERATION UNITS CUSTOMER AREA SHOWED MANAGER AND TO MAINTAIN.",41.9748474385518,-87.7830453755281,CVSPHARMACY 8756,6200 W HIGGINS AVE,True,False,False,POINT (-87.7830453755281 41.9748474385518),10.0,JEFFERSON PARK,64868161.6818,11.0,11.0,44011.9571704,,
Cvs/Pharmacy #8750,4801 N Central Ave,CHICAGO,IL,60630.0,2020-05-05,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES, FACE MASKS, DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY THAT KILLS NOROVIRUS) PRIORITY FOUNDATION VIOLATION 7-38-005,NO CITATION ISSUED - | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: INSTRUCTED TO PROVIDE AND MAINTAIN HAND WASHING SIGNAGE AT HAND SINKS IN WASH ROOMS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN DOORS WITH SPLASHED DRIED-UP MILK DEBRIS REACH-IN-COOLER SHOWED MANAGER. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: INSTRUCTED TO PROVIDE AND MAINTAIN COVERED WASTE RECEPTACLE INSIDE THE WASHROOMS.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DIRTY FLOORS INSIDE THE WALK-IN-COOLER.MUST CLEAN AND MAINTAIN FLOORS IN DETAIL SHOWED MANAGER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN, ORGANIZE BASEMENT STORAGE AREAS AND ELEVATE STOCK ITEMS AT LEAST 6"" INCHES OFF THE FLOOR TO FACILITATE CLEANING. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: INSTRUCTED TO REPLACE BURNT-OUT LIGHT BULB INSIDE THE WALK-IN-COOLER AND MAINTAIN ADEQUATE LIGHTING AT ALL TIMES. | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: PREVIOUS INSPECTION REPORT SUMMARY FROM (12/18/2014) WAS NOT DISPLAYED FOR THE PUBLIC TO VIEW.TODAY'S INSPECTION REPORT SUMMARY WAS ISSUED AND MUST BE DISPLAYED AND VISIBLE TO THE PUBLIC AT ALL TIMES.PRIORITY FOUNDATION VIOLATION 7-42-010 (B),NO CITATION ISSUED.",41.9678299995292,-87.7673307409181,CVSPHARMACY 8750,4801 N CENTRAL AVE,True,False,False,POINT (-87.7673307409181 41.9678299995292),10.0,JEFFERSON PARK,64868161.6818,11.0,11.0,44011.9571704,,
Walgreens #1593,5230 N Milwaukee Ave,CHICAGO,IL,60630.0,2020-04-17,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND ORGANIZE THE REAR STORAGE ROOMS ACROSS FROM THE WASH ROOMS AND REMOVE UNNECESSARY ARTICLES DUE TO POTENTIAL PEST HARBORAGE AND TO MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO REPLACE WATER STAINED CEILING TILES IN CUSTOMER AREAS AND TO MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: INSTRUCTED TO REMOVE ACCUMULATION OF DUSTS ON VENTILATION COVERS IN WASHROOMS AND TO MAINTAIN.",41.975305715984895,-87.7675930235057,WALGREENS 1593,5230 N MILWAUKEE AVE,True,False,False,POINT (-87.7675930235057 41.975305715984895),10.0,JEFFERSON PARK,64868161.6818,11.0,11.0,44011.9571704,,
