DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
7-Eleven,1153 W Belmont Ave,CHICAGO,IL,60657.0,2024-11-08,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED CLUTTER IN CLOSET EAST OF MAIN ENTRANCE AND IN REAR STORAGE AREA AND BATHROOM HALL. INSTRUCTED TO DECLUTTER BY REMOVING ALL UNNECESSARY ITEMS. ALL KEPT ITEMS SHOULD BE STORED ON PROPER SHELVING THAT IS NON POUROUS, SMOOTH AND EASY TO CLEAN AND A MINIMUM OF 6 INCHES FROM THE GROUND. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED DUST ON LIGHT ABOVE COUNTERTOP TURBO OVEN AND MOP SINK WITH HEAVY BUILDUP OF DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED MISSING CEILING TILE COVERED WITH CARDBOARD. INSTRUCTED TO REPLACE.",41.9397334746826,-87.6586519342414,7ELEVEN,1153 W BELMONT AVE,True,False,False,POINT (-87.6586519342414 41.9397334746826),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,
Irving & Clark Shell,4000 N Clark St,CHICAGO,IL,60613.0,2024-11-06,Pass,,41.9544324414169,-87.6624462591406,IRVING CLARK SHELL,4000 N CLARK ST,True,False,False,POINT (-87.6624462591406 41.9544324414169),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,
7-Eleven 37760A,3519 N Clark St,CHICAGO,IL,60657.0,2024-08-27,Out Of Business,,41.9462808110104,-87.655603128083,7ELEVEN 37760A,3519 N CLARK ST,True,False,False,POINT (-87.655603128083 41.9462808110104),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,
Food Rocket,2925 N Halsted St,CHICAGO,IL,60657.0,2024-06-20,Out Of Business,,41.9352507007485,-87.6489529634451,FOOD ROCKET,2925 N HALSTED ST,True,False,False,POINT (-87.6489529634451 41.9352507007485),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,
Candyality,3737 N Southport,CHICAGO,IL,60613.0,2024-02-02,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: EXTERIOR OF THE THREE COMPARTMENT SINK NOTED WITH PEELING PLASTIC AS A PROTECTANT. MUST REMOVE PEELING PLASTIC. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST PROVIDE A WASTE RECEPTACLE WITH A LID FOR THE CO-ED WASHROOM.",41.94996659511,-87.6639500749903,CANDYALITY,3737 N SOUTHPORT,True,False,False,POINT (-87.6639500749903 41.94996659511),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,
Edible Arrangements #761,3722 N Southport Ave,CHICAGO,IL,60613.0,2023-11-13,Out Of Business,,41.9495998830943,-87.6642335438403,EDIBLE ARRANGEMENTS 761,3722 N SOUTHPORT AVE,True,False,False,POINT (-87.6642335438403 41.9495998830943),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,
7-Eleven # 25341C,3407 N Halsted St,CHICAGO,IL,60657.0,2023-07-07,Pass,,41.9438538522176,-87.6492348022847,7ELEVEN 25341C,3407 N HALSTED ST,True,False,False,POINT (-87.6492348022847 41.9438538522176),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,
Citi Food Mart,3355 N Clark St,CHICAGO,IL,60657.0,2023-02-27,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments:  NO PROCEDURE/PLAN AND KIT FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED FACILITY TO DEVELOP AND MAINTAIN A PROCEDURE/PLAN AND TO MAINTAIN ANY APPROPRIATE SUPPLIES ON SITE. PRIORITY FOUNDATION VIOLATION 7-38-005. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: LARGE GAP AT  BOTTOM HALLWAY DOOR BETWEEN PREMISES AND BUILDING BASEMENT STAIRCASE. INSTRUCTED TO SEAL, TO MINIMIZE PEST/INSECT ENTRY. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  PLASTIC CRATE SHOULDN'T BE USE TO STORE ITEMS.REMOVE.SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT MATERIAL | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments:  THREE COMPARTMENT SINK SLOWLY DRAINING. REPAIR ISSUE | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NO CLOSING DEVICE IS PROVIDED AT WASHROOM DOOR.INSTRUCTED TO PROVIDE.DOOR MUST BE SELF CLOSING | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MISSING FLOOR TILES BEHIND THE FRONT COUNTER.HOLE ON WALL UNDER THREE COMPARTMENT SINK.REPAIR ISSUE.",41.9431947880332,-87.6531318258463,CITI FOOD MART,3355 N CLARK ST,True,False,False,POINT (-87.6531318258463 41.9431947880332),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,
7 Eleven #35504A,1415 W Irving Park Rd,CHICAGO,IL,60613.0,2022-10-21,Pass,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED THE SELF SERVICE COOLER INSIDE REFRIGERATION UNIT CONSPICUOUSLY POSTED TO MONITOR THE AMBIENT TEMPERATURE OF EQUIPMENT. INSTRUCTED TO EQUIP ALL REFRIGERATION UNITS WITH ACCURATE AND WORKING THERMOMETERS. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED THE UNISEX EMPLOYEE TOILET ROOM WITH NO LID. INSTRUCTED TO PROVIDE AND MAINTAIN SAID LID. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE REAR FOOD STORAGE AREA FLOOR WITH DEBRIS AND NOT MAINTAINED. INSTRUCTED TO CLEAN AND MAINTAIN SAID FLOORS.",41.9542365776548,-87.6648647401724,7 ELEVEN 35504A,1415 W IRVING PARK RD,True,False,False,POINT (-87.6648647401724 41.9542365776548),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,
Broadway Liquors,3158 N Broadway,CHICAGO,IL,60657.0,2021-10-08,Pass,,41.93937480738,-87.6445248689975,BROADWAY LIQUORS,3158 N BROADWAY,True,False,False,POINT (-87.6445248689975 41.93937480738),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,
