DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
7-Eleven #240606B,2600 N Lincoln Ave,CHICAGO,IL,60614.0,2025-01-23,Pass,,41.9289716507196,-87.6539017568013,7ELEVEN 240606B,2600 N LINCOLN AVE,True,False,False,POINT (-87.6539017568013 41.9289716507196),6.0,LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714,,
7 Eleven,2757 N Pine Grove Ave,CHICAGO,IL,60614.0,2024-09-25,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED GRIME AND DEBRIS ON FLOOR UNDERNEATH EQUIPMENT, SHELVES, AND IN REAR STORAGE AREA. INSTRUCTED TO CLEAN AND MAINTAIN.",41.9326487251165,-87.6411505682537,7 ELEVEN,2757 N PINE GROVE AVE,True,False,False,POINT (-87.6411505682537 41.9326487251165),6.0,LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714,,
7-Eleven,957 W Armitage Ave,CHICAGO,IL,60614.0,2024-09-13,Pass,,41.917997567508,-87.6532193769583,7ELEVEN,957 W ARMITAGE AVE,True,False,False,POINT (-87.6532193769583 41.917997567508),6.0,LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714,,
7-Eleven #33856B,2004 N Halsted St,CHICAGO,IL,60614.0,2024-08-05,Pass,"16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: 4-602.11(B-E)/ NOTED FOUNTAIN DRINK ICE DISPENSER NOT CLEAN. INSTRUCTED TO DISASSEMBLE, CLEAN AND SANITIZE REMOVABLE PARTS AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.13/ NOTED MICROWAVE WITH FOOD DEBRIS AND MELTED PLASTIC ON THE INTERIOR. INSTRUCTED TO CLEAN, SANITIZE AND MAINTAIN A SMOOTH AND EASILY CLEANABLE SURFACE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11/NOTED FLOOR UNDERNEATH 3 COMPARTMENT SINK NEAR FLOOR DRAIN WITH ENCRUSTED DIRT AND DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN.",41.9183795460978,-87.6486643485401,7ELEVEN 33856B,2004 N HALSTED ST,True,False,False,POINT (-87.6486643485401 41.9183795460978),6.0,LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714,,
Dirk Fish & Gourmet Shop Inc,2070 N Clybourn Ave,CHICAGO,IL,60614.0,2024-07-09,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED TOP OF GREASE TRAP UNDERNEATH FRONT 3 COMPARTMENT SINK WITH EXCESSIVE RUST. MUST RESTORE TOP TO SMOOTH CLEANABLE SURFACE. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: NOTED BENT LIDS ON OUTDOOR DRY RECYCLING RECEPTACLE. INSTRUCTED TO HAVE LIBS REPLACED BY REFUSE PROVIDER.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED CLUTTER IN STORAGE CLOSET. INSTRUCTED TO REMOVE UNNECCESSARY ITEMS AND ELEVATE KEPT ITEMS A MINIMUM OF 6 INCHES OFF THE GROUND TO PREVENT PEST HARBORAGE.",41.9189314240257,-87.6608942170866,DIRK FISH GOURMET SHOP INC,2070 N CLYBOURN AVE,True,False,False,POINT (-87.6608942170866 41.9189314240257),6.0,LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714,,
Parkwest Liquor,2570 N Lincoln Ave,CHICAGO,IL,60614.0,2024-07-01,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE PROVIDED IN THE UNISEX WASHROOM. MUST PROVIDE A COVERED WASTE RECEPTACLE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED A FEW MISSING CEILING TILES ABOVE LIQUOR DISPLAY SHELVING. MUST REPAIR/REPLACE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DIRT AND DEBRIS ON FLOOR UNDERNEATH SHELVING IN THE BASEMENT. MUST CLEAN AND MAINTAIN FLOOR CLEAN AT ALL TIMES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER AND UNNECESSARY ITEMS IN THE WASHROOM. MUST REMOVED CLUTTER CLEAN AND ORGANIZE. MUST ELAVATED LIQUOR BOXES 6INCHES OF THE FLOOR IN REAR OF BASEMENT. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED EXCESS DUST BUILD UP ON VENTILATION VENT INSIDE WASHROOM. MUST CLEAN AND MAINTAIN.",41.9285966453226,-87.6533881733845,PARKWEST LIQUOR,2570 N LINCOLN AVE,True,False,False,POINT (-87.6533881733845 41.9285966453226),6.0,LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714,,
Ott Convenience,1645 N Wells St,CHICAGO,IL,60614.0,2024-06-28,Pass,,41.9124696059425,-87.6346036686312,OTT CONVENIENCE,1645 N WELLS ST,True,False,False,POINT (-87.6346036686312 41.9124696059425),6.0,LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714,,
7-Eleven #32885H,2264 N Clark St,CHICAGO,IL,60614.0,2024-04-26,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE PROVIDED IN THE UNISEX EMPLOYEE WASHROOM. MUST PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WATER DAMAGED CEILING TILES ABOVE UTILITY SINK LOCATED IN REAR OF PREMISES. MUST REAPI AND MAINTAIN.",41.9236499832446,-87.6394549688955,7ELEVEN 32885H,2264 N CLARK ST,True,False,False,POINT (-87.6394549688955 41.9236499832446),6.0,LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714,,
7-Eleven,2619 N Clark St,CHICAGO,IL,60614.0,2023-08-10,Pass,,41.9301526399612,-87.643393276412,7ELEVEN,2619 N CLARK ST,True,False,False,POINT (-87.643393276412 41.9301526399612),6.0,LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714,,
7-Eleven #33508D,2181 N Clybourn Ave,CHICAGO,IL,60614.0,2023-07-27,Pass,,41.9211783836129,-87.6635793852895,7ELEVEN 33508D,2181 N CLYBOURN AVE,True,False,False,POINT (-87.6635793852895 41.9211783836129),6.0,LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714,,
