DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
7-Eleven Domy Corp,5562 N Lincoln Ave,CHICAGO,IL,60625.0,2024-12-02,Pass,36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO THERMOMETER WITHIN WALK IN COOLER. INSTALL AND MAINTAIN CONSPICUOUS THERMOMETER WITHIN WALK IN COOLER. OBSERVED NO INTERNAL THERMOMETER WITHIN HOT HOLEDING UNIT. INSTALL AND MAINTAIN INTERNAL THERMOMETER AND MAINTAIN.,41.9826089687743,-87.694475412623,7ELEVEN DOMY CORP,5562 N LINCOLN AVE,True,False,False,POINT (-87.694475412623 41.9826089687743),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
7-Eleven,5206 N Western Ave,CHICAGO,IL,60625.0,2024-10-25,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CHIPPED PAINT AND RUST ON THE (PIZZA)STORAGE RACK INSIDE THE WALK-IN COOLER.INSTRUCTED TO REMOVE CHIPPED PAINT AND RUST AND REPAINT OR REPLACE THE SHELVES AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN BACK WALL FAN COVERS IN THE PRE-PACKAGED SANDWICH DISPLAY COOLER TO REMOVE ACCUMULATIONS OF DUSTS AND TO MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESSIVE SYRUP SPILLAGE ON THE FLOOR UNDERNEATH THE REAR FOUNTAIN COKE SYRUP STORAGE RACKS.INSTRUCTED TO DETAIL CLEAN FLOORS AND WALLS TO REMOVE SPLASHED COKE SYRUPS AND MAINTAIN.",41.976121121893904,-87.6893073155546,7ELEVEN,5206 N WESTERN AVE,True,False,False,POINT (-87.6893073155546 41.976121121893904),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
Best Buy Food & Liquor,1832 W Montrose Ave,CHICAGO,IL,60613.0,2023-08-18,Pass,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: NOTED LOW WATER PRESSURE AT THE REAR EXPOSED HAND WASH SINK. INSTRUCTED TO REPAIR AND BRING THE WATER PRESSURE UP TO THE CITY CODE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NOTED WASHROOMS ON PREMISES WITH GARBAGE RECEPTACLES AND NO LIDS. INSTRUCTED TO PROVIDE TRASH CANS WITH LIDS AT ALL WOMEN WASHROOMS AND UNISEX WASHROOMS",41.9616069185822,-87.6758912971698,BEST BUY FOOD LIQUOR,1832 W MONTROSE AVE,True,False,False,POINT (-87.6758912971698 41.9616069185822),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
Walgreens #194,4801 N Lincoln Ave,CHICAGO,IL,60625.0,2022-03-15,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: INSTRUCTED TO RODENT PROOF BOTTOM OF FRONT ENTRANCE AND REAR ENTRANCE/EXIT DOOR. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN INTERIOR SURFACES AND RACKS OF (ALL) REACH IN DISPLAY COOLER WITH EXCESSIVE BLACK MOLD LIKE ACCUMULATION. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN REAR OUTSIDE ENCLOSURE AREA. NOTED SOME TRASH ON GROUND. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS ALONG THE WALLS AND IN ALL CORNERS, BEHIND DISPLAY COOLERS/FREEZERS AND FLOORS IN BASEMENT STORAGE AREA.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN AND REMOVE UNNECESSARY ITEMS STORED IN BASEMENT STORAGE AREA.",41.9686920332261,-87.6884593230721,WALGREENS 194,4801 N LINCOLN AVE,True,False,False,POINT (-87.6884593230721 41.9686920332261),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
Rockwell Mini Mart,4634 N Rockwell St,CHICAGO,IL,60625.0,2021-12-01,Out Of Business,,41.9658649012662,-87.6938705582042,ROCKWELL MINI MART,4634 N ROCKWELL ST,True,False,False,POINT (-87.6938705582042 41.9658649012662),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
Mobil,4632-4640 N Damen Ave,CHICAGO,IL,60625.0,2021-07-30,Out Of Business,,41.9660518603047,-87.6792560019458,MOBIL,46324640 N DAMEN AVE,True,False,False,POINT (-87.6792560019458 41.9660518603047),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
7-Eleven #32261D,4631 N Western Ave,CHICAGO,IL,60625.0,2021-01-05,Pass,,41.965791672217506,-87.6886707653749,7ELEVEN 32261D,4631 N WESTERN AVE,True,False,False,POINT (-87.6886707653749 41.965791672217506),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
Anjani Food & Liquor Inc.,2501 W Lawrence Ave,CHICAGO,IL,60625.0,2020-08-04,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO CLEAN-UP OF VOMITING AND DIARRHEA PROCEDURE AND CLEAN-UP KIT ON PREMISES DURING INSPECTION. INSTRUCTED TO HAVE SAID PROCEDURE ALONG WITH REQUIRED EQUIPMENT FOR CLEAN-UP. PRIORITY FOUNDATION VIOLATION 7-38-005 NO CITATION ISSUED | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED FACILITY MISSING EMPLOYEE HAND WASHING SIGNAGE WHEN RETURNING TO WORK FROM RESTROOM. INFORMED PERSON IN CHARGE TO OBTAIN AND MAINTAIN SIGNAGE | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: MUST REPAIR DAMAGED FAUCET ON WASHROOM HAND WASHING SINK  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST PROVIDE TOILET ROOM RECEPTACLE WITH COVER FOR SANITARY NAPKINS IN UNISEX EMPLOYEE BATHROOM | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED CLUTTER OF EQUIPMENT AND OTHER ITEMS ON  FLOORS IN REAR STORAGE ROOM.MUST ELEVATE ALL ITEMS TO ALLOW CLEANING AND REMOVE ALL UNNECESSARY ITEMS.",41.968482689572,-87.6914089058082,ANJANI FOOD LIQUOR INC,2501 W LAWRENCE AVE,True,False,False,POINT (-87.6914089058082 41.968482689572),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
Walgreens #12150,5158 N Lincoln Ave,CHICAGO,IL,60625.0,2020-06-17,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: BSERVED NO CLEAN-UP OF VOMITING AND DIARRHEA PROCEDURE AND CLEAN-UP KIT ON PREMISES DURING INSPECTION. INSTRUCTED TO HAVE SAID PROCEDURE ALONG WITH REQUIRED EQUIPMENT FOR CLEAN-UP. PRIORITY FOUNDATION VIOLATION. NO CITATION ISSUED. 7-38-005  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: NOTED NO THERMOMETERS INSIDE ALL REFRIGERATION UNIT CONSPICUOUSLY POSTED TO MONITOR THE AMBIENT TEMPERATURE OF EQUIPMENT. INSTRUCTED TO EQUIP ALL REFRIGERATION UNITS WITH ACCURATE AND WORKING THERMOMETERS | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST REPAIR OR REPLACE BROKEN HAND SOAP SOAP DISPENSER IN MANS BATHROOM",41.9757599960398,-87.692494058582,WALGREENS 12150,5158 N LINCOLN AVE,True,False,False,POINT (-87.692494058582 41.9757599960398),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
Edens Liquor & Food Ii,5359 N Lincoln Ave,CHICAGO,IL,60625.0,2020-06-16,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO CLEAN-UP OF VOMITING AND DIARRHEA PROCEDURE AND CLEAN-UP KIT ON PREMISES DURING INSPECTION. INSTRUCTED TO HAVE SAID PROCEDURE ALONG WITH REQUIRED EQUIPMENT FOR CLEAN-UP. PRIORITY FOUNDATION VIOLATION. NO CITATION ISSUED. 7-38-005 | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN AND MAINTAIN CLEAN 3 COMPARTMENT SINK EVEN IF IS NEVER USED | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: MUST REPAIR SMALL CLEAN WATER LEAK FROM HAND WASHING SINK IN WASHROOM | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST CLEAN AND MAINTAIN CLEAN PLUMBING FIXTURES IN WASHROOM AREA | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED CLUTTER OF EQUIPMENT AND OTHER UNUSED ITEMS ON  FLOORS IN REAR STORAGE ROOMS.MUST ELEVATE ALL ITEMS TO ALLOW CLEANING AND REMOVE ALL UNNECESSARY ITEMS | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: NO PREVIOUS INSPECTION SUMMARY REPORT POSTED ON SITE FROM 9-20-12,REPORT #1188354. NEW SUMMARY REPORT GIVEN AND POSTED PRIORITY FOUNDATION VIOLATION: 7-42-010(B),NO CITATION ISSUED,",41.979469890351,-87.6925442435962,EDENS LIQUOR FOOD II,5359 N LINCOLN AVE,True,False,False,POINT (-87.6925442435962 41.979469890351),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
