DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Bucktown Food & Liquor,2422 W Fullerton Ave,CHICAGO,IL,60647.0,2025-03-25,Pass,,41.9250025218478,-87.6885710066666,BUCKTOWN FOOD LIQUOR,2422 W FULLERTON AVE,True,False,False,POINT (-87.6885710066666 41.9250025218478),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
7-Eleven,2401 N Milwaukee Ave,CHICAGO,IL,60647.0,2025-02-04,Pass,,41.9248974022943,-87.7003665718753,7ELEVEN,2401 N MILWAUKEE AVE,True,False,False,POINT (-87.7003665718753 41.9248974022943),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
7-Eleven 33609,2020 N California Ave,CHICAGO,IL,60647.0,2024-12-09,Pass W/ Conditions,2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO CERTIFEID FOOD MANAGER ON SITE WHILE TIME TEMPERAURE CONTROLLED FOODS INCLUDING COOKED BEEF AND CHICKEN. PRIORITY FOUNDATION VIOLATION 7-38-012,41.9181071242197,-87.697365295386,7ELEVEN 33609,2020 N CALIFORNIA AVE,True,False,False,POINT (-87.697365295386 41.9181071242197),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
7-Eleven # 32934E,2010 N Damen Ave,CHICAGO,IL,60647.0,2024-11-18,Pass,,41.9181053424085,-87.6777805387856,7ELEVEN 32934E,2010 N DAMEN AVE,True,False,False,POINT (-87.6777805387856 41.9181053424085),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Cvs/Pharmacy #2809,2815 N Western Ave,CHICAGO,IL,60618.0,2024-07-23,Out Of Business,,41.93266088021689,-87.6877711519903,CVSPHARMACY 2809,2815 N WESTERN AVE,True,False,False,POINT (-87.6877711519903 41.93266088021689),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Carniceria Jimenez #2,3850 W Fullerton Ave,CHICAGO,IL,60647.0,2024-04-30,Pass,,41.9246283205332,-87.7239533209841,CARNICERIA JIMENEZ 2,3850 W FULLERTON AVE,True,False,False,POINT (-87.7239533209841 41.9246283205332),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Ray'S Grocery And Tobacco,2125 N Central Park Ave,CHICAGO,IL,60647.0,2024-02-02,Out Of Business,,41.9199856977537,-87.7167076808918,RAYS GROCERY AND TOBACCO,2125 N CENTRAL PARK AVE,True,False,False,POINT (-87.7167076808918 41.9199856977537),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Havana Convenience Store And Cigar,2947 W Armitage Ave,CHICAGO,IL,60647.0,2023-08-18,Pass,,41.9173418733405,-87.7011359900746,HAVANA CONVENIENCE STORE AND CIGAR,2947 W ARMITAGE AVE,True,False,False,POINT (-87.7011359900746 41.9173418733405),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Amman One Stop Shop,3635 W Diversey Ave,CHICAGO,IL,60647.0,2023-07-28,Out Of Business,,41.9317816421168,-87.7186320128644,AMMAN ONE STOP SHOP,3635 W DIVERSEY AVE,True,False,False,POINT (-87.7186320128644 41.9317816421168),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
"Jacky Shop 4 Less, Inc.",3655 W Diversey Ave,CHICAGO,IL,60647.0,2023-07-21,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO VOMIT AND DIARRHEA CLEAN UP PROCEDURE ON PREMISES. INSTRUCTED MANAGER MUST PROVIDE A VOMIT AND DIARRHEA CLEAN UP PROCEDURE AND HAVE ALL NECESSARY CLEAN UP ITEMS AS OUTLINED IN POLICY ON PREMISES. PRIORITY FOUNDATION 7-38-005. NO CITATION ISSUED. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: RC AND PEPSI STAND UP REACH IN COOLERS MISSING THERMOMETERS. INSTRUCTED MANAGER MUST PROVIDE WORKING THERMOMETERS FOR ALL COOLERS. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: BACKFLOW PREVENTION DEVICE NOT LOCATED ON MOP SINK. MUST PROVIDE AND MAKE VISIBLE A BACKFLOW PREVENTION DEVICE FOR MOP SINK. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: MECHANICAL FAN NOT WORKING IN WASHROOM. MUST PROVIDE A WORKING MECHANICAL FAN VENTILATION FOR WASHROOM.,41.931772518228705,-87.7194167175754,JACKY SHOP 4 LESS INC,3655 W DIVERSEY AVE,True,False,False,POINT (-87.7194167175754 41.931772518228705),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
