DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
7-Eleven #33912B,35 E Wacker Dr,CHICAGO,IL,60601.0,2025-02-11,Pass,,41.886831512316895,-87.6265560849364,7ELEVEN 33912B,35 E WACKER DR,True,False,False,POINT (-87.6265560849364 41.886831512316895),31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962,,
7-Eleven,343 S Dearborn St,CHICAGO,IL,60604.0,2024-12-23,Pass W/ Conditions,"60. PREVIOUS CORE VIOLATION CORRECTED - Comments: FOUND CONTINUED NON-COMPLIANCE FROM INSPECTION REPORT # 2560809 CONDUCTED ON 7/15/22  3-305.12 FOUND WINE, BEER AND ASSORTMENT OF BEVERAGES STORED IN TOILET ROOMS. INSTRUCTED MANAGER TO REMOVE.",41.8771467862163,-87.629121233169,7ELEVEN,343 S DEARBORN ST,True,False,False,POINT (-87.629121233169 41.8771467862163),31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962,,
7-Eleven #37152 A,30 E Jackson St,CHICAGO,IL,60604.0,2024-12-11,Pass W/ Conditions,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: FOUND NO VALID CITY OF CHICAGO FOOD SERVICE MANAGER OR CERTIFICATE ON SITE WHILE TIME/TEMPERATURE CONTROL FOR SAFETY FOOD CHICKEN  IS BEING SERVED AND SOLD TO THE PUBLIC. PRIORITY FOUNDATION VIOLTION. 7-38-012. CITATION ISSUED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: FOUND 1/4 INCH GAP U DER ENTRANCE DOOR. MIST PROVIDE CLOSED TIGHT FITTING DOORS TO PREVENT PEST ENTRANCE.",41.8783434588105,-87.6266025637123,7ELEVEN 37152 A,30 E JACKSON ST,True,False,False,POINT (-87.6266025637123 41.8783434588105),31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962,,
7-Eleven #32889B,48 N Wells St,CHICAGO,IL,60606.0,2024-12-04,Pass W/ Conditions,2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: FOUND NO CITY OF CHICAGO FOOD SERVICE MANAGER OR VALID CERTIFICATE ON SITE WHILE TIME/TEMPERATURE CONTROL FOR SAFETY FOOD CHICKEN IS BEING SERVED AND SOLD TO THE PUBLIC. INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION VIOLATION. 7-38-012. CITATION ISSUED. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND THE TOILET LOCATED IN THE WOMEN'S EMPLOYEE TOILET ROOM NOT WORKING. MUST REPAIR AND MAINTAIN.,41.8831317757678,-87.6340072395928,7ELEVEN 32889B,48 N WELLS ST,True,False,False,POINT (-87.6340072395928 41.8831317757678),31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962,,
7-Eleven #33483J,180 N Franklin St,CHICAGO,IL,60606.0,2024-12-02,Out Of Business,,41.885330374442304,-87.6355478622186,7ELEVEN 33483J,180 N FRANKLIN ST,True,False,False,POINT (-87.6355478622186 41.885330374442304),31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962,,
7-Eleven #33705K,216 W Jackson Blvd,CHICAGO,IL,60606.0,2024-11-27,Out Of Business,,41.87822324151809,-87.6342473795109,7ELEVEN 33705K,216 W JACKSON BLVD,True,False,False,POINT (-87.6342473795109 41.87822324151809),31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962,,
7-Eleven,29 E Madison St,CHICAGO,IL,60602.0,2024-11-25,Out Of Business,,41.8819653302525,-87.6267932215942,7ELEVEN,29 E MADISON ST,True,False,False,POINT (-87.6267932215942 41.8819653302525),31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962,,
7-Eleven #36881J,177 N Wells St,CHICAGO,IL,60606.0,2024-11-25,Out Of Business,,41.8852571940536,-87.6337697960107,7ELEVEN 36881J,177 N WELLS ST,True,False,False,POINT (-87.6337697960107 41.8852571940536),31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962,,
Fannie May Candies,144 S Dearborn St,CHICAGO,IL,60603.0,2024-11-21,Out Of Business,,41.8795932635929,-87.6295010122081,FANNIE MAY CANDIES,144 S DEARBORN ST,True,False,False,POINT (-87.6295010122081 41.8795932635929),31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962,,
7-Eleven #37622B,4 W Jackson Blvd,CHICAGO,IL,60604.0,2024-11-21,Out Of Business,,41.8782861562156,-87.6278044662305,7ELEVEN 37622B,4 W JACKSON BLVD,True,False,False,POINT (-87.6278044662305 41.8782861562156),31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962,,
7- Eleven,600 S Dearborn St,CHICAGO,IL,60605.0,2024-10-30,Pass W/ Conditions,"16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: FOUND A MINIMAL AMOUNT OF PINK UNKNOWN SUBSTANCE ON THE SODA MACHINE ICE DISTRIBUTOR. MUST CLEN AND MAINTAIN.  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED TWO DOGS IN GROCERY AREA OF FOOD SERVICE ESTABLISHMENT. NO LIVE ANIMALS ARE ALLOWED AT 1006 RETAIL FOOD ESTABLISHMENTS. PRIORITY FOUNDATION VIOLATION. CITATION ISSUED.",41.8744811656813,-87.6293565399055,7 ELEVEN,600 S DEARBORN ST,True,False,False,POINT (-87.6293565399055 41.8744811656813),31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962,,
