DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Ya Ya Mini Mart,1458 W 18Th St,CHICAGO,IL,60608.0,2025-01-23,Out Of Business,,41.857945166903505,-87.6637121013889,YA YA MINI MART,1458 W 18TH ST,True,False,False,POINT (-87.6637121013889 41.857945166903505),30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,
Family  Dollar  #5834,1700 W 18Th St,CHICAGO,IL,60608.0,2024-04-11,Pass,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.14 OBSERVED NO HAND WASHING SIGN IN THE EMPLOYEE TOILET ROOM. INSTRUCTED TO PROVIDE. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15 OBSERVED FRONT ENTRANCE DOOR WITH A ONE INCH GAP BETWEEN DOORS. INSTRUCTED TO MAKE SAID DOOR TIGHT FITTING AND RODENT PROOFED. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 5-501.17 OBSERVED NO COVERED RECEPTACLE INSIDE OF THE TOILET ROOMS. INSTRUCTED TO PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114 OBSERVED CLUTTER IN THE REAR TOILET ROOMS, REAR STORAGE AREA AND FRONT CUSTOMER COUNTER. INSTRUCTED TO ELIMINATE CLUTTER, ORGANIZE AND ELEVATE EVERYTHING AT LEAST 6 INCHES FROM THE GROUND.",41.8578656800393,-87.6686842195399,FAMILY DOLLAR 5834,1700 W 18TH ST,True,False,False,POINT (-87.6686842195399 41.8578656800393),30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,
Pilsen Quick Mart,2003 W Cermak Rd,CHICAGO,IL,60608.0,2023-02-24,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO KIT AND PROCEDURE ON SITE FOR RESPONDING TO VOMIT AND DIARRHEA. LEFT ONE PAGER AND INSTRUCTED TO MAINTAIN PROCEDURE AND KIT CONTAINING ALL NECESSARY SUPPLIES INCLUDING A SANITIZER RATED AS EFFECTIVE AGAINST NOROVIRUS ON SITE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED TRASH RECEPTACLES INSIDE BOTH SINGLE OCCUPANT TOILET ROOMS. INSTRUCTED TO PROVIDE.",41.8520626593565,-87.6760354995474,PILSEN QUICK MART,2003 W CERMAK RD,True,False,False,POINT (-87.6760354995474 41.8520626593565),30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,
Helen'S Grocery & Liquor,2300 W 21St St,CHICAGO,IL,60608.0,2022-03-15,Pass,,41.8540047775837,-87.6833629225202,HELENS GROCERY LIQUOR,2300 W 21ST ST,True,False,False,POINT (-87.6833629225202 41.8540047775837),30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,
Pilsen Tobacco & Convenience Store,1332-1334 W 18Th St,CHICAGO,IL,60608.0,2021-09-28,Pass,,41.8580017461993,-87.6603217977845,PILSEN TOBACCO CONVENIENCE STORE,13321334 W 18TH ST,True,False,False,POINT (-87.6603217977845 41.8580017461993),30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,
Pilsen'S Mini Mart,1546 W 21St St,CHICAGO,IL,60608.0,2020-06-12,Out Of Business,,41.8542960551971,-87.6654938166826,PILSENS MINI MART,1546 W 21ST ST,True,False,False,POINT (-87.6654938166826 41.8542960551971),30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,
Ochoa Grocery & Liquors Inc.,2239 W 21St St,CHICAGO,IL,60608.0,2020-06-12,Out Of Business,,41.8537897132103,-87.6823577797389,OCHOA GROCERY LIQUORS INC,2239 W 21ST ST,True,False,False,POINT (-87.6823577797389 41.8537897132103),30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,
Racine Mini Mart,1806 S Racine Ave,CHICAGO,IL,60608.0,2020-06-12,Out Of Business,,41.857715596816,-87.656568054118,RACINE MINI MART,1806 S RACINE AVE,True,False,False,POINT (-87.656568054118 41.857715596816),30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,
Mini Mart,1724 S Ashland Ave,CHICAGO,IL,60608.0,2020-04-23,Pass,,41.8578981337517,-87.6662897586566,MINI MART,1724 S ASHLAND AVE,True,False,False,POINT (-87.6662897586566 41.8578981337517),30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,
"Jerusalem Mini Mart, Inc.",1548 W 18Th St,CHICAGO,IL,60608.0,2020-04-20,Out Of Business,,41.8579161868864,-87.6656541320276,JERUSALEM MINI MART INC,1548 W 18TH ST,True,False,False,POINT (-87.6656541320276 41.8579161868864),30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,
