DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Rm Food Liquor,1478 W 115Th St,CHICAGO,IL,60643.0,2024-02-26,Pass,,41.6849557983615,-87.6597258289625,RM FOOD LIQUOR,1478 W 115TH ST,True,False,False,POINT (-87.6597258289625 41.6849557983615),74.0,MORGAN PARK,91877340.6988,75.0,75.0,46396.419362,,
Cvs/Pharmacy #8519,11055 S Western Ave,CHICAGO,IL,60643.0,2024-02-23,Out Of Business,,41.6923615188167,-87.6810264382244,CVSPHARMACY 8519,11055 S WESTERN AVE,True,False,False,POINT (-87.6810264382244 41.6923615188167),74.0,MORGAN PARK,91877340.6988,75.0,75.0,46396.419362,,
"Ez Food Mart On 111, Inc.",1101 W 111Th St,CHICAGO,IL,60643.0,2024-01-22,Out Of Business,,41.692157238737,-87.6497962534594,EZ FOOD MART ON 111 INC,1101 W 111TH ST,True,False,False,POINT (-87.6497962534594 41.692157238737),74.0,MORGAN PARK,91877340.6988,75.0,75.0,46396.419362,,
"Family Dollar,Inc.Store #11319",11810 S Western Ave,CHICAGO,IL,60643.0,2023-09-25,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO VOMIT AND DIARRHEA CLEAN UP KIT ON SITE. INSTRUCTED MANAGER TO PROVIDE WITH ALL THE NECESSARY ITEMS OUTLINED IN POLICY INCLUDING DISPOSABLE GLOVES, FACE MASK, DISPOSABLE MOP AND APPROPRIATE SANITIZER FOR NOROVIRUS.  PRIORITY FOUNDATION 7-38-005 CITATION ISSUED | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND THE SIDE REAR STORAGE AREA WITH CLUTTER. INSTRUCTED MANAGER TO ELIMINATE CLUTTER, ORGANIZE AND MAINTAIN STORAGE AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND THE FLOORS IN THE CORNERS, UNDER/AROUND SHELVES AND THE INTERIOR OF THE MOP SINK WITH DEBRIS AND DIRT INSIDE. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN FLOORS AND MOP SINK. | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: FOUND THE LAST NON-COMPLIANCE SUMMARY REPORT  DATED 04/03/2020NOT POSTED IN PLAIN VIEWING OF THIS ESTABLISHMENT'S CUSTOMERS. INSTRUCTED MANAGER TO HAVE SUMMARY POSTED AND VISIBLE AT ALL TIMES.  PRIORITY FOUNDATION 7-42-010(B) CITATION ISSUED",41.6785849423963,-87.68088927363,FAMILY DOLLARINCSTORE 11319,11810 S WESTERN AVE,True,False,False,POINT (-87.68088927363 41.6785849423963),74.0,MORGAN PARK,91877340.6988,75.0,75.0,46396.419362,,
Sheldon Liquors,11112 S Halsted St,CHICAGO,IL,60628.0,2022-02-03,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED DUST BUILDUP ON BOTTOM SURFACES OF REACH-IN COOLERS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO BACKFLOW DEVICE ON UTILITY SINK. INSTRUCTED MANAGER TO PROVIDE | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DUST, DIRT AND DEBRIS ON FLOORS UNDER ALL EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN SALES AND STORAGE AREAS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  OBSERVED OPENINGS IN CEILING IN NORTH LIQUOR STORAGE. OBSERVED DAMAGED AND STAINED CEILING TILES IN SALES AND STORAGE ARAS. INSTRUCTED MANAGER TO REPAIR/REPLACE AND MAINTAIN.. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED NO MECHANICAL VENTILATION IN MEN AND WOMEN WASHROOMS. INSTRUCTED MANAGER TO PROVIDE.",41.6919240926713,-87.6425143763359,SHELDON LIQUORS,11112 S HALSTED ST,True,False,False,POINT (-87.6425143763359 41.6919240926713),74.0,MORGAN PARK,91877340.6988,75.0,75.0,46396.419362,,
"Nick Foods Mini Mart, Inc",10910 S Halsted St,CHICAGO,IL,60628.0,2020-06-10,Out Of Business,,41.6956219723664,-87.6426266176657,NICK FOODS MINI MART INC,10910 S HALSTED ST,True,False,False,POINT (-87.6426266176657 41.6956219723664),74.0,MORGAN PARK,91877340.6988,75.0,75.0,46396.419362,,
Dollar Tree # 4204,11618 S Marshfield Ave,CHICAGO,IL,60643.0,2020-05-12,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED RECEPTACLE IN WASHROOMS. INSTRUCTED ANY WASHROOMS USED BY FEMALES MUST HAVE A COVERED RECEPTACLE FOR SANITARY NAPKINS. MUST PROVIDE | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOORS NOT CLEAN OF DEBRIS,DIRT UNDER DISPLAY SHELVING UNITS. INSTRUCTED TO CLEAN/MAINTAIN",41.6824149464898,-87.6627565545495,DOLLAR TREE 4204,11618 S MARSHFIELD AVE,True,False,False,POINT (-87.6627565545495 41.6824149464898),74.0,MORGAN PARK,91877340.6988,75.0,75.0,46396.419362,,
Citgo 111Th,1530 W 111Th St,CHICAGO,IL,60643.0,2020-04-13,Out Of Business,,41.6922301318492,-87.6615657079682,CITGO 111TH,1530 W 111TH ST,True,False,False,POINT (-87.6615657079682 41.6922301318492),74.0,MORGAN PARK,91877340.6988,75.0,75.0,46396.419362,,
B.P. Gas & Food Mart,11163 S Vincennes Ave,CHICAGO,IL,60643.0,2020-04-09,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO EMPLOYEE CLEAN UP PROCEDURE FOR VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE WITH ALL THE NECESSARY ITEMS IN POLICY INCLUDING DISPOSABLE GLOVES, FACE MASK, DISPOSABLE MOP AND APPRORIATE SANITIZER FOR THE NOROVIRUS. PRIORITY FOUNDATION.  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SINK LOCATED IN OFFICE AREA WHERE 3- COMPARTMENT SINK DISH WASHING FACILITIES IS LOCATED. INSTRUCTED TO INSTALL TO CITY PLUMBING WITH SOAP AND HAND DRYING DEVICE. PRIORITY FOUNDATION",41.6904250936065,-87.6642909056909,BP GAS FOOD MART,11163 S VINCENNES AVE,True,False,False,POINT (-87.6642909056909 41.6904250936065),74.0,MORGAN PARK,91877340.6988,75.0,75.0,46396.419362,,
Walgreens #06762,11833 S Western Ave,CHICAGO,IL,60643.0,2020-04-01,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO EMPLOYEE CLEAN UP PROCEDURE FOE VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE WITH THE NECESSARY ITEMS OUTLINED IN POLICY INCLUDING DISPOSABLE GLOVES, FACE MASK DISPOSABLE MOP AND APPROPRIATE SANITIZER FOR THE NOROVIRUS. PRIORITY FOUNDATION | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED  POP STORAGE SHELVING UNIT NEAR PHOTO AREA AND MAGAZINE RACK AT CASHIER FRONT STATION NOT CLEAN OF DEBRIS. INSTRUCTED TO CLEAN/ MAINTAIN UNITS. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO BACKFLOW PREVENTER DEVICE ON FAUCET OF MOP SINK LOCATED IN PHOTO DEPT CLOSET. MUST INSTALL. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED OUTSIDE ENCLOSURE AREA NOT MAINTAINED, AROUND DUMPSTER AREA( EXCESSIVE DEBRIS,PLASTIC, USED PAPER CUPS,LEAVES,ETC). INSTRUCTED TO CLEAN/MAINTAIN AREAS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOORS NOT CLEAN OF DEBRIS, DIRT IN MOP SINK AREA,UNDER AND BEHIND PALLETS AND SUPPLY ROLLER CARTS IN REAR STORAGE AREA, EMPLOYEE LOCKERS. ALSO IN  CUSTOMER PHOTO SECTION. INSTRUCTED TO CLEAN/MAINTAIN ALL AREAS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNNECESSARY ITEMS BY REAR OVERHEAD DELIVERY DOOR AREA. ALSO STORAGE STORED ON FLOORS BY  TRAINING ROOM, 3- COMP SINK AREA. INSTRUCTED TO REMOVE ALL CLUTTER AND ARTICLES TO PREVENT A PEST HARBORAGE AREA AND ORGANIZE STORAGE SUPPLY BOXES ON ADEQUATE SHELVING TO PREVENT AND PEST HARBORAGE AREAS.",41.6779885225007,-87.6805798389826,WALGREENS 06762,11833 S WESTERN AVE,True,False,False,POINT (-87.6805798389826 41.6779885225007),74.0,MORGAN PARK,91877340.6988,75.0,75.0,46396.419362,,
