DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
7-Eleven #33920H,3152 W 111Th St,CHICAGO,IL,60655.0,2025-01-13,Out Of Business,,41.6916807485625,-87.7005161745232,7ELEVEN 33920H,3152 W 111TH ST,True,False,False,POINT (-87.7005161745232 41.6916807485625),73.0,MOUNT GREENWOOD,75584290.0209,74.0,74.0,48665.1305392,,
7-Eleven #13314 F,10301 S Sawyer Ave,CHICAGO,IL,60655.0,2024-02-15,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED INTERIOR OF REACH IN COOLERS AND REACH IN FREEZER IN NEED OF CLEANING TO REMOVE ALL FOOD SPILLS AND BUILD UP. INSTRUCTED TO CLEAN AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS THROUGHOUT IN NEED OF CLENING TO REMOVE BUILD UP OF DUST AND PAPER DEBRIS UNDER AND AROUND ALL SHELVING UNITS AND EQUIPMENT. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: ALL UNNECESSARY EQUIPMENT AND ARTICLES IN BACK ROOM IN NEED OF REMOVAL. INSTRUCTED TO REMOVE AND DECLUTTER BACK AND SIDE STORAGE ROOMS. CORRECT AND MAINTAIN.  | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: ALL FOOD HANDLEERS IN NEED OF FOOD HANDLER CERTIFICATES. INSTRUCTED TO OBTAIN AND MAINTAIN AT ALL TIMES.",41.7060831053384,-87.7024021269117,7ELEVEN 13314 F,10301 S SAWYER AVE,True,False,False,POINT (-87.7024021269117 41.7060831053384),73.0,MOUNT GREENWOOD,75584290.0209,74.0,74.0,48665.1305392,,
Dollar Tree #05951,10601 S Pulaski Rd,CHICAGO,IL,60655.0,2023-09-25,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: FOUND THE FOOD STOCK SHELVES IN THE FRONT OF THE STORES WITH DIRT/DEBRIS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN ALL SHELVES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND THE FLOORS ON THE 1ST/2ND FL IN THE CORNERS, UNDER THE PALLETS AND STORAGE SHELVES WITH DIRT AND DEBRIS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN FLOORS THROUGHOUT AS NEEDED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: SIDE 1ST AND 2ND FL STORAGE AREAS NOT ORGANIZED. INSTRUCTED TO ELIMINATE CLUTTER AND ORGANIZE STORAGE AREAS.",41.7003552741796,-87.7205408964455,DOLLAR TREE 05951,10601 S PULASKI RD,True,False,False,POINT (-87.7205408964455 41.7003552741796),73.0,MOUNT GREENWOOD,75584290.0209,74.0,74.0,48665.1305392,,
Dollar Tree #06910,11037-11043 S Kedzie Ave,CHICAGO,IL,60655.0,2023-09-25,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED THE WASHROOM FIXTURES AND FLOORS DIRTY. MUST CLEAN AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN A SMALL GARBAGE CAN WITH A LID IN THE WOMEN WASHROOM AS REQUIRED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS THROUGH OUT NEED CLEANING TO REMOVE DEBRIS AND LITTER: UNDERNEATH THE DISPLAY SHELVING AND IN THE REAR STORAGE ROOM. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING AND/OR DAMAGE CEILING TILES IN THE SELLING AREA AND REAR STORAGE AREA. MUST REPLACE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER IN THE REAR STORAGE AREA. MUST PROPERLY ELEVATE STOCK 6"" OFF THE FLOOR AND AWAY FROM THE WALL FOR CLEANING AND PEST MONITORING. ALSO ELEVATE FOOD INSIDE THE WALK IN FREEZER.",41.6922855965592,-87.7007039115734,DOLLAR TREE 06910,1103711043 S KEDZIE AVE,True,False,False,POINT (-87.7007039115734 41.6922855965592),73.0,MOUNT GREENWOOD,75584290.0209,74.0,74.0,48665.1305392,,
Family Dollar #2431,11041 S Kedzie Ave,CHICAGO,IL,60655.0,2020-05-14,Out Of Business,,41.692170835454,-87.7006994484929,FAMILY DOLLAR 2431,11041 S KEDZIE AVE,True,False,False,POINT (-87.7006994484929 41.692170835454),73.0,MOUNT GREENWOOD,75584290.0209,74.0,74.0,48665.1305392,,
Cvs/Pharmacy #2798,3951 W 103Rd St,CHICAGO,IL,60655.0,2020-05-12,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED BOTTOM AREARS OF FRONT ENTRY DOOR NOT RODENT PROOFED AT BOTTOM AREAS. INSTRUCTED TO REPAIR TO BE TIGHT-FITTING | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  OBSERVED BOTTOM OF POTATO CHIP SHELF NOT CLEAN OF DEBRIS,DUST. INSTRUCTED TO CLEAN/MAINTAIN.",41.7057696613716,-87.720532937399,CVSPHARMACY 2798,3951 W 103RD ST,True,False,False,POINT (-87.720532937399 41.7057696613716),73.0,MOUNT GREENWOOD,75584290.0209,74.0,74.0,48665.1305392,,
Cvs/Pharmacy #8508,3156 W 103Rd St,CHICAGO,IL,60655.0,2020-04-29,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO EMPLOYEE PROCEDURE FOR VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE WITH ALL THE NECESSARY ITEMS IN POLICY INCLUDING DISPOSABLE GLOVES, FACE MASK,DISPOSABLE MOP AND APPROPRIATE SANITIZER FOR NOROVIRUS. PRIORITY FOUNDATION | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED REAR DELIVERY DOOR NOT RODENT PROOFED AT BOTTOM INSIDE RIGHT CORNER OF DOOR. INSTRUCTED TO REPAIR TO BE TIGHT-FITTING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOORS NOT CLEAN OF DEBRIS IN REAR STORAGE AREA OF DEBRIS, DIRT AROUND UNDER STORAGE PALLETS. INSTRUCTED TO CLEAN/MAINTAIN.",41.706300276782706,-87.7007141028269,CVSPHARMACY 8508,3156 W 103RD ST,True,False,False,POINT (-87.7007141028269 41.706300276782706),73.0,MOUNT GREENWOOD,75584290.0209,74.0,74.0,48665.1305392,,
Walgreens 7360,3220 W 111Th St,CHICAGO,IL,60655.0,2020-04-21,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO EMPLOYEE  CLEAN UP PROCEDURE FOR VOMIT AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE WITH ALL THE NECESSARY ITEMS IN POLICY INCLUDING DISPOSABLE GLOVES, FACE MASK DISPOSABLE MOP AND APPROPRIATE SANITIZER FOR NORO VIRUS. PRIORITY FOUNDATION | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED FRONT ENTRY DOOR NOT PROTECTED FROM RODENT ENTRY AT BOTTOM AREA. MUST REPAIR TO BE TIGH-FITTING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOORS IN REAR STORAGE AREA NOT CLEAN UNDER AND BEHIND STORAGE UNITS, PALLETS OF DEBRIS, DIRT. INSTRUCTED TO CLEAN/MAINTAIN.",41.6916649244559,-87.7017536657892,WALGREENS 7360,3220 W 111TH ST,True,False,False,POINT (-87.7017536657892 41.6916649244559),73.0,MOUNT GREENWOOD,75584290.0209,74.0,74.0,48665.1305392,,
Citgo Gas & Food,3700 W 111Th St,CHICAGO,IL,60655.0,2014-07-18,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: FOUND THE INTERIOR OF THE ICE MACHINE, REACH IN FREEZERS, CABINETS UNDER THE COFFEE STATION AND WALK IN COOLER IN NEED OF CLEANING. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN ALL.   | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FOUND FLOORS IN ALL CORNERS, UNDER/AROUND HEAVY EQUIPMENT, BEHIND FRONT COUNTER, IN WALK IN COOLER AND THROUGH OUT IN NEED OF CLEANING. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS THROUGH OUT.   | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: FOUND THE WALL AROUND THE 3-COMPARTMENT SINK IN NEED OF REPAIRS-DAMAGED AND CRACKED. INSTRUCTED TO FIX AND MAINTAIN.   | 37. TOILET ROOM DOORS SELF CLOSING: DRESSING ROOMS WITH LOCKERS PROVIDED: COMPLETE SEPARATION FROM LIVING/SLEEPING QUARTERS - Comments: FOUND THE TOILET ROOM DOOR NOT SELF CLOSING. INSTRUCTED TO MAKE DOOR SELF CLOSING AND MAINTAIN.",41.6914834134577,-87.7132105033363,CITGO GAS FOOD,3700 W 111TH ST,True,False,False,POINT (-87.7132105033363 41.6914834134577),73.0,MOUNT GREENWOOD,75584290.0209,74.0,74.0,48665.1305392,,
Walgreens #2036,3208 W 111 St,CHICAGO,IL,60655.0,2010-02-23,Pass,,41.6916728016833,-87.7012374680676,WALGREENS 2036,3208 W 111 ST,True,False,False,POINT (-87.7012374680676 41.6916728016833),73.0,MOUNT GREENWOOD,75584290.0209,74.0,74.0,48665.1305392,,
