DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
7 Eleven #33729A,45 E Chicago Ave,CHICAGO,IL,60611.0,2025-02-07,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER STORED ON FLOOR IN REAR STORAGE AREA. INSTRUCTED MANAGER TO REMOVE ALL UNUSED ARTICLES AND EQUIPMENT TO PREVENT PEST HARBORAGE.          | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED BASE OF WALL NEAR WALK-IN FREEZER PEELING, INSTRUCTED TO REPAIR AND MAINTAIN.",41.896591441537105,-87.626467110625,7 ELEVEN 33729A,45 E CHICAGO AVE,True,False,False,POINT (-87.626467110625 41.896591441537105),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
7-Eleven #33363H,416-418 N State St,CHICAGO,IL,60654.0,2024-11-26,Out Of Business,,41.889875317185506,-87.6281490413335,7ELEVEN 33363H,416418 N STATE ST,True,False,False,POINT (-87.6281490413335 41.889875317185506),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Circle K #6736,346-350 W Chicago Ave,CHICAGO,IL,60654.0,2024-11-25,Pass,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO VISIBLE THERMOMETER IN WALK IN COOLER. INSTRUCTED TO PROVIDE VISIBLE THERMOMETER IN WALK IN COOLER.. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RAGS AND BUCKET STORED ON FLOOR IN REAR DISHWASHING AREA UNDERNEATH THREE COMPARTMENT SINK AND OBSERVED BOXES OF DRINKS STORED ON FLOOR IN HALLWAY AND IN WALKIN COOLER. INSTRUCTED TO PROVIDE ADEQUATE SHELVING UNITS IN WALK IN COOLER, RETAIL AND REAR DISHWASHING AREA TO ELEVATE ALL FOOD AND NON-FOOD ITEMS AT LEAST SIX INCHES OFF OF FLOOR FOR EASE OF CLEANABILITY. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED HOLE IN CEILING TILE ABOVE UTILITY SINK AND DAMAGED FLOOR TILES IN REAR WALKWAY BETWEEN THREE COMPARTMENT SINK AND UTILITY SINK IN REAR DISHWASHING AREA. INSTRUCTED TO REPAIR OR REPLACE DAMAGED CEILING TILE  ABOVE UTILITY SINK AND INSTRUCTED TO SMOOTHLY REPAIR OR REPLACE DAMAGED FLOOR TILES IN REAR DISHWASHING AREA IN WALKWAY BETWEEN UTILITY SINK AND THREE COMPARTMENT SINK AND MAINTAIN. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: NO PROOF OF FOOD HANDLER TRAINING PROVIDED FOR FOOD HANDLERS. INSTRUCTED TO PROVIDE PROOF OF FOOD HANDLER TRAINING FOR ALL FOOD HANDLERS.",41.896655371083,-87.6375075014329,CIRCLE K 6736,346350 W CHICAGO AVE,True,False,False,POINT (-87.6375075014329 41.896655371083),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
7-Eleven,1036 N Dearborn St,CHICAGO,IL,60610.0,2024-10-16,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED THE FLOOR IN THE WALK IN COOLER AREA WITH A BUILD UP OF DEBRIS AND SPILLAGE UNDER THE SHELVING.  INSTRUCTED TO CLEAN AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSEVERD THE FLOOR IN THE FRONT FOOD SERVICE AREA WTIH A BUILD UP OF DUST, DIRT AND DEBRIS UNDER AND AROUND ALL OF THE EQUIPMENT.  INSTRUCTED TO CLEAN AND MAINTAIN ALL AREAS AS A MEANS OF PREVENTING POSSIBLE PEST AND OR INSECT ACTIVITY.",41.9017355868964,-87.6300679189941,7ELEVEN,1036 N DEARBORN ST,True,False,False,POINT (-87.6300679189941 41.9017355868964),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
7- Eleven,600 N Mcclurg Ct,CHICAGO,IL,60611.0,2024-10-10,Pass,,41.8926792200735,-87.617863711646,7 ELEVEN,600 N MCCLURG CT,True,False,False,POINT (-87.617863711646 41.8926792200735),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Food Rocket,160 E Grand Ave,CHICAGO,IL,60611.0,2024-10-10,Out Of Business,,41.8918660486354,-87.6229453280302,FOOD ROCKET,160 E GRAND AVE,True,False,False,POINT (-87.6229453280302 41.8918660486354),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Circle K,850 N State St,CHICAGO,IL,60610.0,2024-09-24,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED LARGE AMOUNTS OF CLUTTER IN REAR STORAGE AREA.  CRATES, SIGNAGE AND OTHER ITEMS.  INSTRUCTED TO REMOVE ANY UNNECESSRY ITEMS AND ORGANIZE AS A MEANS OF PREVENTING POSSIBLE HARBORING SPACES FOR PEST AND OR INSECTS.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED COFFEE AREA IN FRONT SERVICE AREA IN NEED OF CLEANING AS WELL AS THE FLOOR AREA IN THE REAR WHERE THE SODA IS STORED STICKY AND A BUILD UP OF DIRT AND SPILLAGE UNDER THE SHELVING AREAS.  INSTRUCTED TO CLEAN AND MAINTAIN ALL AREAS.",41.8981603691834,-87.6283871119414,CIRCLE K,850 N STATE ST,True,False,False,POINT (-87.6283871119414 41.8981603691834),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Afc Sushi @ Walgreens #15921,410 N Michigan Ave,CHICAGO,IL,60611.0,2024-08-02,Pass,,41.8898747912625,-87.624259761444,AFC SUSHI WALGREENS 15921,410 N MICHIGAN AVE,True,False,False,POINT (-87.624259761444 41.8898747912625),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Gateway Newstands,404 N Wabash Ave,CHICAGO,IL,60611.0,2023-09-22,Out Of Business,,41.889477376081,-87.6268026308483,GATEWAY NEWSTANDS,404 N WABASH AVE,True,False,False,POINT (-87.6268026308483 41.889477376081),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Allys Convenience Store,1104 N Dearborn St,CHICAGO,IL,60610.0,2022-12-27,Pass,,41.9020481178072,-87.6300769154342,ALLYS CONVENIENCE STORE,1104 N DEARBORN ST,True,False,False,POINT (-87.6300769154342 41.9020481178072),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
