DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
"Everyday Food Mart, Inc.",1006 W Lake St,CHICAGO,IL,60607.0,2025-03-18,Pass,,41.885687946891,-87.6524644463094,EVERYDAY FOOD MART INC,1006 W LAKE ST,True,False,False,POINT (-87.6524644463094 41.885687946891),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
7-Eleven #33606H,567 W Lake St,CHICAGO,IL,60661.0,2024-12-03,Pass W/ Conditions,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: No certified food service manager on site, no certificate posted while handling and serving TCS foods ( chicken, hot dogs...) instructed to obtain. priority foundation violation 7-38-012.",41.8855942896074,-87.6425260044194,7ELEVEN 33606H,567 W LAKE ST,True,False,False,POINT (-87.6425260044194 41.8855942896074),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Gateway Newstand,150 N Riverside Plz,CHICAGO,IL,60606.0,2024-11-19,Out Of Business,,41.8850894557689,-87.6384055941719,GATEWAY NEWSTAND,150 N RIVERSIDE PLZ,True,False,False,POINT (-87.6384055941719 41.8850894557689),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Van Buren & Ashland Amoco,1600 W Van Buren St,CHICAGO,IL,60612.0,2024-10-28,Pass,36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO THERMOMETER INSIDE OF THE HOT HOLDING CABINET FOR HOT SANDWICHES.  MANAGEMENT INSTRUCTED TO PROVIDE. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: CLEAN THE OUTSIDE OF THE PEPSI FOUNTAIN POP DISPENSER AND INTERIOR OF THE ICE CHUTE.,41.8764609273406,-87.6667076507355,VAN BUREN ASHLAND AMOCO,1600 W VAN BUREN ST,True,False,False,POINT (-87.6667076507355 41.8764609273406),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
B. P. Gas,101-111 N Western Ave,CHICAGO,IL,60612.0,2023-11-24,Out Of Business,,41.883040604418,-87.6863387456029,B P GAS,101111 N WESTERN AVE,True,False,False,POINT (-87.6863387456029 41.883040604418),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Walgreens # 04978,111 S Halsted St,CHICAGO,IL,60661.0,2023-09-12,Pass,,41.8801287830263,-87.6471646007692,WALGREENS 04978,111 S HALSTED ST,True,False,False,POINT (-87.6471646007692 41.8801287830263),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
7 Eleven # 33727A,200 S Racine St,CHICAGO,IL,60607.0,2023-07-18,Pass,,41.8790107233391,-87.657200591996,7 ELEVEN 33727A,200 S RACINE ST,True,False,False,POINT (-87.657200591996 41.8790107233391),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Aqua Wine & Spirits Ii,114 N Halsted St,CHICAGO,IL,60661.0,2023-05-11,Pass,,41.8836393963621,-87.6475610899018,AQUA WINE SPIRITS II,114 N HALSTED ST,True,False,False,POINT (-87.6475610899018 41.8836393963621),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
7-Eleven #38585H,560 W Grenshaw St,CHICAGO,IL,60607.0,2023-05-10,Out Of Business,,41.8682901533461,-87.6417096878071,7ELEVEN 38585H,560 W GRENSHAW ST,True,False,False,POINT (-87.6417096878071 41.8682901533461),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
Dollar Tree #9190,627 W Roosevelt Rd,CHICAGO,IL,60607.0,2023-04-24,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11 OBSERVED THE BODILY FLUID KIT CURRENTLY ON SITE MISSING NECESSARY ITEMS. INSTRUCTED MANAGEMENT TO PROVIDE GLOVES, FACE MASKS, AND A SANITIZER RATED FOR NOROVIRUS TO ADD TO THE KIT AND MAINTAIN. PRIORITY FOUNDATION 7-38-005.",41.867095638839,-87.643216451822,DOLLAR TREE 9190,627 W ROOSEVELT RD,True,False,False,POINT (-87.643216451822 41.867095638839),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
7-Eleven,1524 W Taylor St,CHICAGO,IL,60607.0,2023-01-09,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DIRT, FOOD SPILLS, AND DEBRIS ON FLOORS THROUGHOUT THE REAR STORAGE AREA AND INSIDE THE WALK-IN COOLER. MUST CLEAN FLOORS AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: MUST CLEAN DUST BUILD UP FROM THE WASHROOM VENTILATION FAN COVER, THE FAN GUARDS ON THE WALK-IN COOLER FANS, AND FROM THE CEILING VENT COVERS THROUGHOUT THE CUSTOMER AREA OF THE STORE AND MAINTAIN.",41.8693936394058,-87.6651523881064,7ELEVEN,1524 W TAYLOR ST,True,False,False,POINT (-87.6651523881064 41.8693936394058),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
7-Eleven # 33723B,550 W Washington Blvd,CHICAGO,IL,60661.0,2022-11-22,Out Of Business,,41.8832856181356,-87.6417467607721,7ELEVEN 33723B,550 W WASHINGTON BLVD,True,False,False,POINT (-87.6417467607721 41.8832856181356),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,
