DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
E & J Food & Liquors,5439 S Damen Ave,CHICAGO,IL,60609.0,2025-04-25,Out Of Business,,41.7945855107177,-87.6741748924585,E J FOOD LIQUORS,5439 S DAMEN AVE,True,False,False,POINT (-87.6741748924585 41.7945855107177),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,
54 Food & Liquor,5400-5404 S Halsted St,CHICAGO,IL,60609.0,2025-02-04,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WATER DAMAGED CEILING TILES AND CRACKED PLASTER IN CEILING. INSTRUCTED PERSON IN CHARGE TO REPLACE ALL WATER DAMAGED CEILING TILES AND REPAIR CRACKED CEILING PLASTER.",41.7959972711947,-87.6453476738722,54 FOOD LIQUOR,54005404 S HALSTED ST,True,False,False,POINT (-87.6453476738722 41.7959972711947),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,
Family Dollar  # 25310,4646 S Halsted St,CHICAGO,IL,60609.0,2024-12-17,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments:  5-501.17 MUST PROVIDE TOILET ROOM RECEPTACLE WITH COVER FOR SANITARY NAPKINS IN LADY'S BATHROOM",41.8094847746762,-87.6457043739191,FAMILY DOLLAR 25310,4646 S HALSTED ST,True,False,False,POINT (-87.6457043739191 41.8094847746762),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,
"24/7 Express Mart, Inc.",5101 S Ashland Ave,CHICAGO,IL,60609.0,2024-04-16,Pass,,41.8012290139356,-87.6646276075032,247 EXPRESS MART INC,5101 S ASHLAND AVE,True,False,False,POINT (-87.6646276075032 41.8012290139356),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,
Ashland Bp,4435-4459 S Ashland Ave,CHICAGO,IL,60609.0,2023-06-07,Pass W/ Conditions,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HANDSINK IN COFFEE STATION NOT STOCKED WITH HAND SOAP. INFORMED PERSON IN CHARGE THAT HAND SOAP MUST BE AVAILABLE AT HANDSINKS AT ALL TIMES. PERSON IN CHARGE OBTAINED HAND SOAP FOR HAND SINK DURING TIME OF INSPECTION. PRIORITY FOUNDATION VIOLATION #7-38-030(C). CITATION ISSUED.  | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LEAK ON FAUCET AT UTILITY SINK IN REAR.  INSTRUCTED TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER STORED ON FLOOR IN REAR STORAGE AREA. INSTRUCTED MANAGER TO REMOVE ALL UNUSED ARTICLES AND EQUIPMENT TO PREVENT PEST HARBORAGE.",41.8130007629018,-87.6649360862504,ASHLAND BP,44354459 S ASHLAND AVE,True,False,False,POINT (-87.6649360862504 41.8130007629018),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,
Hareer Food & Liquor,5450-5452 S Halsted St,CHICAGO,IL,60609.0,2020-05-05,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURES OR SUPPLIES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED MANAGER TO PROVIDE CLEAN UP POLICY AND SUPPLIES. PRIORITY FOUNDATION 7-38-005 | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments:  OBSERVED 1/2"" GAP ON BOTTOM OF REAR DOOR NEAR FRONT COUNTER. INSTRUCTED MANAGER TO SEAL ALL OPENINGS ON DOOR TO PREVENT PEST ENTRY. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  OBSERVED DUST, DIRT, AND DEBRIS ON STORAGE AND DISPLAY SHELVES IN SALES AND FRONT COUNTER AREAS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE IN WASHROOM. INSTRUCTED MANAGER TO PROVIDE.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CEILING TILES MISSING, PEELING PAINT ON WALLS IN SALES, REAR STORAGE AND FURNACE ROOM AREAS. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  OBSERVED EXCESSIVE CLUTTER, UNUSED ARTICLES AND EQUIPMENT IN REAR STORAGE AREAS. INSTRUCTED MANAGER TO REMOVE ALL UNNECESSARY ITEMS TO PREVENT PEST HARBORAGE.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED ACCUMULATED DUST, DIRT AND DEBRIS ON FLOORS UNDER DISPLAY SHELVES AND EQUIPMENT IN SALES AREA, ALONG WALLS AND CORNERS IN STORAGE AND FRONT COUNTER AREAS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN.",41.794612674217,-87.6453145102898,HAREER FOOD LIQUOR,54505452 S HALSTED ST,True,False,False,POINT (-87.6453145102898 41.794612674217),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,
Dollar Tree,4609 S Ashland Ave,CHICAGO,IL,60609.0,2019-06-12,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments:  NO VOMIT AND DIARRHEA CLEAN UP KIT OR PROCEDURE ON SITE. INSTRUCTED TO OBTAIN AND MAINTAIN. PRIORITY FOUNDATION VIOLATION 7-38-005 | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED TOILET AND SINK WITH ACCUMULATION OF DEBRIS. INSTRUCTED TO CLEAN, SANITIZE AND MAINTAIN | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED GARBAGE, EMPTY BOTTLES, ETC ON THE GROUND IN THE GARBAGE DUMPSTER AREA AND BEHIND THE REAR EXIT DOOR TO THE FACILITY. INSTRUCTED TO CLEAN AND MAINTAIN | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED A HOLE BEHIND THE DOOR, BROKEN TOILET PAPER HOLDER AND MISSING SUPPORT POST ON THE SINK IN BOTH TOILET ROOMS. OBSERVED PEELING PAINT IN THE CUSTOMER TOILET ROOM. INSTRUCTED TO REPAIR AND MAINTAIN | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING AND DAMAGED TILES IN THE REAR STORAGE AREA. INSTRUCTED TO REPLACE AND MAINTAIN | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DEBRIS ON THE FLOORS IN THE BACK STORAGE AREA AND UNDER THE CANDY SHELVES. INSTRUCTED TO CLEAN AND MAINTAIN | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED BOTH TOILET ROOM VENTILATION COVERS WITH ACCUMULATION OF DUST. INSTRUCTED TO CLEAN AND MAINTAIN",41.8101381525192,-87.6648672660433,DOLLAR TREE,4609 S ASHLAND AVE,True,False,False,POINT (-87.6648672660433 41.8101381525192),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,
In &Out Food Mart,5431 S Halsted St,CHICAGO,IL,60609.0,2018-07-18,Out Of Business,,41.7952388631338,-87.6450369892782,IN OUT FOOD MART,5431 S HALSTED ST,True,False,False,POINT (-87.6450369892782 41.7952388631338),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,
Dollar General Store #19098,4524 S Ashland Ave,CHICAGO,IL,60609.0,2017-10-18,Pass,,41.8114597400399,-87.665192162126,DOLLAR GENERAL STORE 19098,4524 S ASHLAND AVE,True,False,False,POINT (-87.665192162126 41.8114597400399),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,
Almuflihi Food & Liquor,5404 S Halsted St,CHICAGO,IL,60609.0,2017-03-14,Out Of Business,,41.7958707987497,-87.6453441182214,ALMUFLIHI FOOD LIQUOR,5404 S HALSTED ST,True,False,False,POINT (-87.6453441182214 41.7958707987497),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,
