DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Circle K,3601 N Western Ave,CHICAGO,IL,60618.0,2024-12-31,Pass,,41.9468234003182,-87.688112633821,CIRCLE K,3601 N WESTERN AVE,True,False,False,POINT (-87.688112633821 41.9468234003182),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
Western Montrose Shell,4346 N Western Ave,CHICAGO,IL,60618.0,2024-12-30,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURE AND KIT ON SITE FOR RESPONDING TO VOMIT AND DIARRHEA. LEFT ONE PAGER AND INSTRUCTED TO MAINTAIN PROCEDURE AND KIT CONTAINING ALL NECESSARY ITEMS INCLUDING A SANITIZER RATED AS EFFECTIVE AGAINST NOROVIRUS ON SITE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED TRASH RECEPTACLE INSIDE EMPLOYEE TOILET ROOM. INSTRUCTED TO PROVIDE.",41.9609132153612,-87.6888174201694,WESTERN MONTROSE SHELL,4346 N WESTERN AVE,True,False,False,POINT (-87.6888174201694 41.9609132153612),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
7-Eleven #16689G,3801 N Western Ave,CHICAGO,IL,60618.0,2024-12-13,Pass,"45. SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED - Comments: OBSERVED BOXED SINGLE-SERVICE AND SINGLE-USE ARTICLES BEING STORED ON FLOOR IN REAR STORAGE AREA. INSTRUCTED THE PERSON IN CHARGE TO ELEVATE ALL ITEMS OFF OF FLOOR AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED SPILLS ON EXTERIOR SURFACES OF COUNTERS UNDERNEATH ALL DRINKING STATIONS. INSTRUCTED TO CLEAN AND MAINTAIN. (NONFOOD CONTACT SURFACES) | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MULTIPLE HOLES IN CEILING PANELS NEAR REAR EXIT DOOR. INSTRUCTED THE PERSON IN CHARGE TO SMOOTHLY SEAL ALL HOLES AND GAPS AND MAINTAIN IN GOOD REPAIR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER AND ITEMS ON FLOOR IN REAR STORAGE AREA. INSTRUCTED THE PERSON IN CHARGE TO ORGANIZE AND KEEP UEMS ELEVATED OFF OF FLOORS IN REAR STORAGE AREA AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DIRTY FLOOR DRAIN UNDERNEATH THE THREE COMPARTMENT SINK IN THE REAR WAREWASHING AREA.---ALSO OBSERVED DIRT AND SPILLS ON FLOOR UNDERNEATH THE SLURPEE MACHINES, SODA FOUNTAIN, AND THREE COMPARTMENT SINK. INSTRUCTED THE PERSON IN CHARGE TO CLEAN ALL FLOOR DRAINS AND CLEAN ALL FLOORS UNDRERNEATH SLURPEE MACHINES, SODA FOUNTAIN, AND THREE COMPARTMENT SINK AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED BURTOUT LIGHT BULB ABOVE THE THREE COMPARTMENT SINK IN THE REAR WAREWASHING AREA AND IN THE WALK-IN COOLER. INSTRUCTED THE PERSON IN CHARGE TO REPLACE BURNTOUT LIGHT BULB AND MAINTAIN ADEQUATE LIGHTING.",41.9504271258755,-87.6882158437937,7ELEVEN 16689G,3801 N WESTERN AVE,True,False,False,POINT (-87.6882158437937 41.9504271258755),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
7-Eleven #38484 A,2341 W Belmont Ave,CHICAGO,IL,60618.0,2023-12-06,Pass,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED TO PROVIDE THERMOMETER VISIBLE INSIDE REACH-IN COOLERS. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: INSTRUCTED TO CLEAN AND MAINTAIN DAIRY STORAGE LINER WITH MOLDLIKE ACCUMULATION INSIDE DISPLAY/WALK-IN COOLER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN FLOOR BEHIND AND UNDER BEVERAGE DISPENSER COUNTER WITH SYRUP BUILD-UP TO PREVENT PEST HARBORAGE IN FRONT SERVICE/DISPLAY AREA AND MUST CLEAN FLOOR DRAIN UNDERNEATH 3 COMPARTMENT SINK IN REAR DISHWASHING AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN AND MAINTAIN CEILING VENT COVER WITH EXCESSIVE DUST ACCUMULATION INSIDE CUSTOMER'S WASHROOM.",41.9393558205133,-87.6872058096244,7ELEVEN 38484 A,2341 W BELMONT AVE,True,False,False,POINT (-87.6872058096244 41.9393558205133),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
Fannie May,3338 N Western Ave,CHICAGO,IL,60618.0,2021-04-29,Out Of Business,,41.942405581696896,-87.6884036601927,FANNIE MAY,3338 N WESTERN AVE,True,False,False,POINT (-87.6884036601927 41.942405581696896),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
Walgreens #259,3358 N Western Ave,CHICAGO,IL,60618.0,2020-07-14,Pass,45. SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED - Comments: ALL STORED ITEMS THROUGHOUT THE REAR AND ALL STORAGE ROOMS MUST BE ELEVATED FROM THE FLOORS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST NOT USE PAPER AS LINER FOR SHELVING INSIDE COOLERS.,41.942964858797,-87.6883214701959,WALGREENS 259,3358 N WESTERN AVE,True,False,False,POINT (-87.6883214701959 41.942964858797),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
Houston Food & Liquor,1829-1831 W Irving Park Rd,CHICAGO,IL,60613.0,2020-05-27,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT AND DIARRHEA CLEAN UP KIT AND PROCEDURE. INSTRUCTED MANAGER TO PROVIDE A PROCEDURE ALONG WITH ALL NECESSARY SUPPLIES AS OUTLINED IN POLICY. PRIORITY FOUNDATION. 7-38-005. NO CITATION ISSUED.  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED MOP SINK SET UP WITH SOAP, PAPER TOWELS AND EMPLOYEE HAND WASHING SIGNAGE IN REAR STORAGE AREA. INSTRUCTED MANAGER TO ONLY WASH HANDS IN HAND WASHING SINK. MANAGER IMMEDIATELY REMOVED ITEMS FROM MOP SINK. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO LID ON TRASH CAN IN GENDER NEUTRAL BATHROOM IN REAR. MUST PROVIDE.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO SELF CLOSING DEVICE ON BATHROOM DOOR. MUST PROVIDE.",41.9540911428742,-87.675341225424,HOUSTON FOOD LIQUOR,18291831 W IRVING PARK RD,True,False,False,POINT (-87.675341225424 41.9540911428742),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
Lucky Mini Mart,4103 N Lincoln Ave,CHICAGO,IL,60618.0,2019-01-17,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO VOMIT AND DIARRHEA CLEANING PROCEDURE ON PREMISES. INSTRUCTED MANAGER MUST PROVIDE A VOMIT AND DIARRHEA CLEANING PROCEDURE ON PREMISES. PRIORITY FOUNDATION 7-38-005. NO CITATION ISSUED.,41.9561171041554,-87.6799656164345,LUCKY MINI MART,4103 N LINCOLN AVE,True,False,False,POINT (-87.6799656164345 41.9561171041554),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
Walgreens #2586,2301 W Irving Park Rd,CHICAGO,IL,60618.0,2016-12-28,Pass,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST DETAIL CLEAN AND SANITIZE THE WALK-IN COOLER FLOOR TO REMOVE MILK SPILLS AND DEBRI UNDER RACKS AND AT FLOOR CORNERS.",41.9539380843946,-87.6860992888743,WALGREENS 2586,2301 W IRVING PARK RD,True,False,False,POINT (-87.6860992888743 41.9539380843946),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
Cvs/Pharmacy #8751,4051 N Lincoln Ave,CHICAGO,IL,60618.0,2014-12-24,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST REMOVE EXCESSIVE DUST ACCUMULATION ON THE EXTERIOR OF THE LIGHT SHIELD COVER INSIDE THE WALK-IN COOLER ACROSS FROM THE DUST FAN COVERS.  MUST DETAIL CLEAN AND SANITIZE THE INTERIOR OF STAFF MICROWAVE OVENS IN THE BREAKROOM AND THE PHARMACY AREA TO REMOVE FOOD DEBRI AND FOOD SPLASHES. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST CLEAN AND SANITIZE THE INTERIOR SIDE WALLS AT THE MILK REACH-IN COOLER TO REMOVE MILK SPLASHES FROM THE WALL.  MUST REMOVE EXCESSIVE DUST ACCUMULATION AT THE DUST FAN COVERS IN THE CUSTOMER/STAFF RESTROOMS AND IN THE REAR STORAGE AREAS IN THE CEILING. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: MUST REPLACE BROKEN LIGHT SHIELD COVER AT THE CEILING INSIDE THE WALK-IN COOLER ACROSS FROM THE LARGE DUST FAN COVERS.",41.9557075706983,-87.6796780890293,CVSPHARMACY 8751,4051 N LINCOLN AVE,True,False,False,POINT (-87.6796780890293 41.9557075706983),4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,
