DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Khi'S Grocery And Mini Mart,4115-17 W Roosevelt Rd,CHICAGO,IL,60624.0,2025-04-25,No Entry,,41.8660171486125,-87.7283152964801,KHIS GROCERY AND MINI MART,411517 W ROOSEVELT RD,True,False,False,POINT (-87.7283152964801 41.8660171486125),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,
Mohsen Food Mart Inc,4156 W Cermak Rd,CHICAGO,IL,60623.0,2025-01-27,Pass,,41.8515898825789,-87.7294540133583,MOHSEN FOOD MART INC,4156 W CERMAK RD,True,False,False,POINT (-87.7294540133583 41.8515898825789),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,
Douglas Park Dollar & Food,1514 S Kedzie Ave,CHICAGO,IL,60623.0,2024-12-30,Pass,,41.86087643673591,-87.7056581692223,DOUGLAS PARK DOLLAR FOOD,1514 S KEDZIE AVE,True,False,False,POINT (-87.7056581692223 41.86087643673591),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,
Keeler Food Mart,4150 W Roosevelt Rd,CHICAGO,IL,60624.0,2024-12-27,Out Of Business,,41.866216951203,-87.729689336645,KEELER FOOD MART,4150 W ROOSEVELT RD,True,False,False,POINT (-87.729689336645 41.866216951203),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,
Lawndale Food Wine & Spirits Inc,3949 W Ogden Ave,CHICAGO,IL,60623.0,2024-10-31,Pass,,41.8511633791777,-87.7241733447501,LAWNDALE FOOD WINE SPIRITS INC,3949 W OGDEN AVE,True,False,False,POINT (-87.7241733447501 41.8511633791777),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,
Walgreens #03395,3401 W Roosevelt Rd,CHICAGO,IL,60624.0,2024-05-16,Pass,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: 4-204.112(B) NOTED MISSING THERMOMETER ON INSIDE OF WALK-IN COOLER FOR INTERNAL TEMPERATURE MONITORING.INSTRUCTED TO PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.12	 OBSERVED TRASH AND FOOD DEBRIS ON FLOORS AND TOP UNDERNEATH CHIP RACKS IN GROCERY, REAR STOCK AREA FLOORS IN BETWEEN SHELVING UNITS, BHIND 2 COMPARTMENT SINK/GRASE TRAP, IN PHARMACY ALONGSIDE HANDWASHING SINK BEHIND CABINETS, INSIDE WALK-IN COOLER AND FREEZER. INSTRUCTED TO REMOVE, CLEAN AND MAINTAIN.",41.8662377687953,-87.7106621287964,WALGREENS 03395,3401 W ROOSEVELT RD,True,False,False,POINT (-87.7106621287964 41.8662377687953),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,
Miami 99 Cent Plus,3705-3713 W 16Th St,CHICAGO,IL,60623.0,2022-03-21,Pass,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: MUST PROVIDE AN INTERNAL THERMOMETER FOR THE WALK-IN COOLER TO MEASURE COOLER TEMPERATURE. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED SMALL HOLES AT THE BOTTOM OF THE FRONT ENTRANCE DOOR; INSTRUCTED TO SEAL HOLES TO AVOID POSSIBLE RODENT ENTRY TO PREMISES. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO CLEAN THE INTERIORS OF THE EXPOSED HANDSINK AND THREE COMP SINK IN THE REAR AREAS. SOME UNUSED EQUIPMENT (DISPLAY CASE AND COOLERS) NEED CLEANING AS WELL. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO SELF CLOSING DEVICES AT WASHROOM DOORS; MUST INSTALL AT BOTH DOORS. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: INSTRUCTED TO CLEAN THE TOILET IN THE MENS WASHROOM AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED PEELING PAINT ON THE CEILING OF THE WALK-IN COOLER THAT IS WORKING; MUST SCRAPE PEELING PAINT FROM COOLER CEILING.   OBSERVED SEVERAL AREAS IN THE STORE WITH DAMAGED FLOOR TILE; MUST REPLACE OR REPAIR FLOOR TILE WHERE NEEDED.   OBSERVED SEVERAL UNFINISHED WALLS (DRY WALL); INSTRUCTED TO FINISH WALLS BY PAINTING OR SEALING TO MAKE SMOOTH AND EASILY CLEANABLE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED STORAGE ROOMS CLUTTERED WITH UNUSED EQUIPMENT; INSTRUCTED TO REMOVE ITEMS THAT WILL NOT BE USED AND KEEP AREAS FREE OF CLUTTER TO AVOID POSSIBLE PEST HARBORAGE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN FLOORS THROUGHOUT ESTABLISHMENT INCLUDING WASHROOMS, STORAGE ROOMS AND WALK-IN UNITS. CLEAN CEILING VENT FANS IN WASHROOMS TO REMOVE DUST OBSERVED AND WALL IN WOMENS WASHROOM TO REMOVE SPIDER WEBS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED NO WALL COVING ALONG THE WALLBASE IN THE STORAGE AREA WHERE THE HOT WATER TANK IS LOCATED; MUST PROVIDE COVING ALONG THAT WALL AND ANY OTHER AREAS WHERE MISSING.",41.8588339683416,-87.7178671862998,MIAMI 99 CENT PLUS,37053713 W 16TH ST,True,False,False,POINT (-87.7178671862998 41.8588339683416),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,
Adam Food Mart More,1339 S Homan Ave,CHICAGO,IL,60623.0,2021-08-16,Pass,,41.8632771655678,-87.7103045521852,ADAM FOOD MART MORE,1339 S HOMAN AVE,True,False,False,POINT (-87.7103045521852 41.8632771655678),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,
Feras Food & Liquor,4265 W Cermak Rd,CHICAGO,IL,60623.0,2021-02-24,Pass,,41.8513242234461,-87.7321921778022,FERAS FOOD LIQUOR,4265 W CERMAK RD,True,False,False,POINT (-87.7321921778022 41.8513242234461),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,
Family Dollar #21940,2239 S Pulaski Rd,CHICAGO,IL,60623.0,2020-11-25,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO CLEAN UP SUPPLIES OR PROCEDURES ONSITE FOR VOMITING OR DIARRHEA EVENTS. INSTRUCTED TO PROVIDE SUPPLIES AND POST PROCEDURES FOR EMPLOYEES TO FOLLOW. PRIORITY FOUNDATION. 7-38-005 NO CITATION ISSUED. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST PROVIDE COVERED GARBAGE RECEPTACLES IN GENDER NEUTRAL STAFF/CUSTOMER TOILET ROOMS. INSTRUCTED TO MAINTAIN.  | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OUTSIDE GARBAGE DUMPSTER NOT MAINTAINED. EXCESSIVE GARBAGE ON GROUND AROUND DUMPSTER. INSTRUCTED TO REMOVE GARBAGE AND MAINTAIN. PRIORITY FOUNDATION 7-38-020(B) NO CITATION ISSUED.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST REPAIR NON-WORKING TOILET IN STAFF/CUSTOMER TOILET ROOM, REPLACE STAINED CEILING TILES ON SALES FLOOR.  INSTRUCTED TO MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST REMOVE OR ORGANIZE EXCESSIVE CLUTTER IN FRONT OFFICE AND REAR STORAGE, INSTRUCTED TO ELEVATE ITEMS OFF FLOORS, TO PREVENT RODENT HARBORAGE, AND MAINTAIN.",41.8502905888708,-87.7245782748537,FAMILY DOLLAR 21940,2239 S PULASKI RD,True,False,False,POINT (-87.7245782748537 41.8502905888708),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,
