DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Chi Town Food & Liquor,5002 N Pulaski Rd,CHICAGO,IL,60630.0,2025-04-11,Out Of Business,,41.9720310369443,-87.728282270549,CHI TOWN FOOD LIQUOR,5002 N PULASKI RD,True,False,False,POINT (-87.728282270549 41.9720310369443),12.0,NORTH PARK,70288706.4343,13.0,13.0,41581.9486539,,
P & P Amoco Inc,4000 W Peterson Ave,CHICAGO,IL,60646.0,2023-11-07,Pass,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: NO THERMOMETER INSIDE SANDWICH COOLER. MUST PROVIDE A WORKING THERMOMETER INSIDE SAID COOLER. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED 1/4 INCH GAP AT FRONT ENTRANCE DOOR. MUST RODENT PROOF SAID DOOR.",41.9902441856474,-87.7287143910091,P P AMOCO INC,4000 W PETERSON AVE,True,False,False,POINT (-87.7287143910091 41.9902441856474),12.0,NORTH PARK,70288706.4343,13.0,13.0,41581.9486539,,
7-Eleven,5610 N Kimball Ave,CHICAGO,IL,60659.0,2022-12-30,Pass W/ Conditions,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CERTIFIED FOOD MANAGERS CERTIFICATE POSTED. PREMISES SERVES TCS FOODS: CHICKEN, HOT DOGS, MILK, ETC. INSTRUCTED THE PERSON IN CHARGE THEY MUST PROVIDE AND MAINTAIN, POST CERTIFICATE VISIBLE TO CUSTOMERS.PRIORITY FOUNDATION VIOLATION. 7-38-012. CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED VENT COVER WITH DUST ACCUMULATION IN THE EMPLOYEE TOILET ROOM , LOCATED IN THE REAR. INSTRUCTED THE PERSON IN CHARGE TO REMOVE DUST AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DIRT ON FLOORS UNDERNEATH RETAIL SHELVING UNITS, LOCATED IN THE FRONT OF THE ESTABLSIHMENT.---ALSO OBSERVED DIRT ON FLOORS UNDERNEATH THE THREE COMPARTMENT SINK, LOCATED IN THE REAR. INSTRUCTED THE PERSON IN CHARGE TO DETAIL CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED TWO MISSING CEILING TILES DIRECTLY ABOVE THE ELECTRIC METER, LOCATED IN THE REAR NEAR THE REAR EXIT DOOR. INSTRUCTED THE PERSON IN CHARGE TO REPAIR CEILING TILES AND MAINTAIN IN GOOD REPAIR.",41.9833767649041,-87.7139116593263,7ELEVEN,5610 N KIMBALL AVE,True,False,False,POINT (-87.7139116593263 41.9833767649041),12.0,NORTH PARK,70288706.4343,13.0,13.0,41581.9486539,,
Mayfair Food & Liquor,5014 N Pulaski Rd,CHICAGO,IL,60630.0,2020-06-29,Out Of Business,,41.9723522702193,-87.7282900786041,MAYFAIR FOOD LIQUOR,5014 N PULASKI RD,True,False,False,POINT (-87.7282900786041 41.9723522702193),12.0,NORTH PARK,70288706.4343,13.0,13.0,41581.9486539,,
"Dollar Tree Stores, Inc #4056",3521 W Devon Ave,CHICAGO,IL,60659.0,2020-04-20,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO CLEAN-UP OF VOMITING AND DIARRHEA PROCEDURE AND CLEAN-UP KIT ON PREMISES DURING INSPECTION. INSTRUCTED TO HAVE SAID PROCEDURE ALONG WITH REQUIRED EQUIPMENT FOR CLEAN-UP. PRIORITY FOUNDATION VIOLATION. NO CITATION ISSUED. 7-38-005 | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: NOTED NO THERMOMETERS INSIDE REFRIGERATION UNIT CONSPICUOUSLY POSTED TO MONITOR THE AMBIENT TEMPERATURE OF EQUIPMENT. INSTRUCTED TO EQUIP ALL REFRIGERATION UNITS WITH ACCURATE AND WORKING THERMOMETERS | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED AN APPROXIMATE ""1/2-3/4"" OPENING UNDER REAR ENTRY DOOR.MUST MAKE DOOR TIGHT FITTING | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED SOME USE OF MILK AND DRINK CRATES FOR ELEVATION AT THE REFRIGERATOR AND COOLER AREA. INSTRUCTED NOT TO USE MILK OR DRINK CRATES FOR ELEVATION TO PREVENT HIDING PLACES FOR PEST. MUST PROVIDE APPROPRIATE SHELVING FOR STORAGE. ALL FOOD ITEMS MUST ALSO BE STORED 6"" AWAY FROM THE WALL | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOORS NOT CLEAN OF DIRT, DEBRIS ON STORAGE STORED IN REAR BACK STORAGE AREA AND BATHROOMS. INSTRUCTED TO CLEAN/MAINTAIN.",41.9971764001295,-87.7175346485466,DOLLAR TREE STORES INC 4056,3521 W DEVON AVE,True,False,False,POINT (-87.7175346485466 41.9971764001295),12.0,NORTH PARK,70288706.4343,13.0,13.0,41581.9486539,,
Bryn Mawr & Kedzie Bp,5547 N Kedzie Ave,CHICAGO,IL,60625.0,2019-04-10,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN APPROPRIATE SUPPLIES OR KIT.  PRIORITY FOUNDATION VIOLATION 7-38-005, NO CITATION ISSUED. - - | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO REPLACE WATER STAINED CEILING TILES ALONG THE SOUTH STORAGE AREA.",41.9826440051977,-87.7087037124337,BRYN MAWR KEDZIE BP,5547 N KEDZIE AVE,True,False,False,POINT (-87.7087037124337 41.9826440051977),12.0,NORTH PARK,70288706.4343,13.0,13.0,41581.9486539,,
The Corner Store-North Park,3456 W Foster Ave,CHICAGO,IL,60625.0,2018-02-06,Out Of Business,,41.9757757878344,-87.7158521157565,THE CORNER STORENORTH PARK,3456 W FOSTER AVE,True,False,False,POINT (-87.7158521157565 41.9757757878344),12.0,NORTH PARK,70288706.4343,13.0,13.0,41581.9486539,,
Foster Grocery And Dollar Plus,3358 W Foster Ave,,IL,,2015-05-14,Out Of Business,,41.9758006281559,-87.7134986723115,FOSTER GROCERY AND DOLLAR PLUS,3358 W FOSTER AVE,True,False,False,POINT (-87.7134986723115 41.9758006281559),12.0,NORTH PARK,70288706.4343,13.0,13.0,41581.9486539,,
The Sweden Shop Llc,3304 W Foster Ave,CHICAGO,IL,60625.0,2014-12-09,Pass,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOOR IN BASEMENT NOT CLEAN. INSTRUCTED TO DETAIL CLEAN DAILY. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: HOT WATER FAUCET NOT WORKING AT HANDSINK IN TOILET ROOM. INSTRUCTED TO REPAIR OR REPLACE HANDLE. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: UNNECESSARY ARTICLES STORED IN BASEMENT. INSTRUCTED TO ELEVATE 6 INCHES OR HIGHER AND AWAY FROM WALL.",41.9758272813326,-87.7113652806151,THE SWEDEN SHOP LLC,3304 W FOSTER AVE,True,False,False,POINT (-87.7113652806151 41.9758272813326),12.0,NORTH PARK,70288706.4343,13.0,13.0,41581.9486539,,
Arcadia Food Wine & Spirits,3201 W Bryn Mawr Ave,CHICAGO,IL,60659.0,2014-09-18,Pass,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST CLEAN AND REMOVE COBB WEBS AND DEAD INSECTS AT ALL WINDOW SILLS AT THE WALL BASE OF WINDOWS ALONG FRONT OF THE STORE. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST REPAIR WATER DAMAGED CEILING AND CEILING TILES IN THE MOST REAR STORAGE AREA OF THE STORE CLOSEST TO THE REAR EXIT DOOR. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: MUST DECLUTTER AND BETTER ORGANIZE MOST REAR STORAGE AREA ROOM SO AS TO ALL ITEMS 6 INCHES OFF THE FLOOR. ALSO MUST REMOVE UNUSED ITEMS(STORAGE SHELVING UNITS AND OTHER ITEMS).",41.9829569738216,-87.7089333702319,ARCADIA FOOD WINE SPIRITS,3201 W BRYN MAWR AVE,True,False,False,POINT (-87.7089333702319 41.9829569738216),12.0,NORTH PARK,70288706.4343,13.0,13.0,41581.9486539,,
