DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
7-Eleven #33763B,6200 N Sayre Ave,CHICAGO,IL,60631.0,2023-11-29,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED FOOD DEBRIS ON INTERIOR/EXTERIOR OF 3-COMPARTMENT SINK AND 1-COMPARTMENT SINK. MUST CLEAN AND MAINTAIN SINKS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: REAR STORAGE ROOM FLOOR CLUTTERED AROUND WATER TANK. MUST ELEVATE ALL ITEMS OFF FLOOR OR REMOVE ITEMS. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: SOME FOOD HANLDERS CERTIFICATES HAVE EXPIRED. INSTRUCTED TO UPDATE FOOD HANDLERS CERTIFICATES.",41.9943963947352,-87.8023944358689,7ELEVEN 33763B,6200 N SAYRE AVE,True,False,False,POINT (-87.8023944358689 41.9943963947352),9.0,NORWOOD PARK,121959105.47,10.0,10.0,80368.3743778,,
Mobil,5726 N Nagle Ave,CHICAGO,IL,60646.0,2023-09-19,Pass,51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FRONT AREA HANDWASH SINK PIPE DRAINING SLOWLY. INSTRUCTED MANAGER SAID SINK MUST DRAIN QUICKLY. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: CEILING LIGHT BULBS BURNED OUT ABOVE 3-COMPARTMENT SINK. MUST REPLACE WITH WORKING CEILING LIGHT BULBS.,41.9854801378076,-87.7878317182311,MOBIL,5726 N NAGLE AVE,True,False,False,POINT (-87.7878317182311 41.9854801378076),9.0,NORWOOD PARK,121959105.47,10.0,10.0,80368.3743778,,
Mobile,7159 W Higgins Ave,CHICAGO,IL,60656.0,2023-08-29,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN THE STORAGE RACKS INSIDE THE WALK-IN-COOLER AND INTERIOR CABINETS AT FRONT COUNTER TOPS WITH DUST AND DEBRIS AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED WATER LEAK AT BASE OF FAUCET AT THE UTILITY MOP SINK.INSTRUCTED TO REPAIR PLUMBING LEAK AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE PROVIDED IN THE UNISEX WASHROOM. MUST PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND ORGANIZE THE REAR STORAGE ROOM AND REMOVE UNNECESSARY ARTICLES DUE TO POTENTIAL PEST HARBORAGE AND ELEVATE STOCK ITEMS  OFF THE FLOOR AT LEAST 6"" INCHES TO FACILITATE CLEANING (NO PLASTIC CRATES TO BE USED FOR ELEVATION).",41.9809972755923,-87.8069431063644,MOBILE,7159 W HIGGINS AVE,True,False,False,POINT (-87.8069431063644 41.9809972755923),9.0,NORWOOD PARK,121959105.47,10.0,10.0,80368.3743778,,
7-Eleven #38544H,6375 N Milwaukee Ave,CHICAGO,IL,60646.0,2023-06-21,Pass W/ Conditions,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: FOUND NO CITY OF CHICAGO SANITATION CERTIFICATE WHILE HANDLING TCS FOODS.HANDLES BEEF TAQUITOS,HOTDOGS, AND POLISH.PRIORITY FOUNDATION.CITATION ISSUED.7-38-012.MUST PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND FLOORS NOT CLEAN UNDER SLURPEE MACHINE AND INSIDE RESTROOMS.MUST CLEAN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND UNUSED OVEN STORED INSIDE RESTROOMS.MUST REMOVE.",41.9968901476177,-87.7872613127233,7ELEVEN 38544H,6375 N MILWAUKEE AVE,True,False,False,POINT (-87.7872613127233 41.9968901476177),9.0,NORWOOD PARK,121959105.47,10.0,10.0,80368.3743778,,
The Produce Center,5820 N Milwaukee Ave,CHICAGO,IL,60646.0,2020-11-06,Out Of Business,,41.9872696368058,-87.7785157048009,THE PRODUCE CENTER,5820 N MILWAUKEE AVE,True,False,False,POINT (-87.7785157048009 41.9872696368058),9.0,NORWOOD PARK,121959105.47,10.0,10.0,80368.3743778,,
Harlem Higgins Shell,7201 W Higgins Ave,CHICAGO,IL,60656.0,2020-07-07,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: FOUND NO EMPLOYEE HEALTH POLICY/TRAINING ON SITE. INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION VIOLATION 7-38-010 NO CITATION ISSUED | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES, FACE MASKS, DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY THAT KILLS NOROVIRUS). PRIORITY FOUNDATION VIOLATION 7-38-005 NO CITATION ISSUED",41.981027631859,-87.8070807622706,HARLEM HIGGINS SHELL,7201 W HIGGINS AVE,True,False,False,POINT (-87.8070807622706 41.981027631859),9.0,NORWOOD PARK,121959105.47,10.0,10.0,80368.3743778,,
Dollar Tree #4903,5433-5441 N Harlem Ave,CHICAGO,IL,60656.0,2020-07-02,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES,  FACE MASKS,  DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY  THAT KILLS NOROVIRUS)   PRIORITY FOUNDATION VIOLATION 7-38-005   NO CITATION ISSUED | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED TO PROVIDE THERMOMETER VISIBLE INSIDE WALK-IN COOLER. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: INSTRUCTED TO REPAIR LEAKY MOP FAUCET IN REAR AREA (WATER DRIPPING CONTINUOUSLY) | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: TOILET ROOM RECEPTACLE MUST BE COVERED. INSTRUCTED TO PROVIDE COVER/LID. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO REPLACE MISSING AND HEAVY WATER STAINED CEILING TILES ABOVE DISPLAY COOLER/FREEZER AND ABOVE/THROUGHOUT DISPLAY AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS ALONG THE WALLS AND IN ALL CORNERS IN REAR STORAGE AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN AND REORGANIZE REAR STORAGE AREA AND INSIDE WALK-IN FREEZER. FOOD AND NON FOOD ITEMS MUST BE STORED 6"" OFF THE FLOOR AND AWAY FROM THE WALL FOR EASY ACCESS ON CLEANING.",41.980145236626306,-87.8068313812208,DOLLAR TREE 4903,54335441 N HARLEM AVE,True,False,False,POINT (-87.8068313812208 41.980145236626306),9.0,NORWOOD PARK,121959105.47,10.0,10.0,80368.3743778,,
Jay'S Food & Liquor Inc,5226 N Nagle Ave,CHICAGO,IL,60630.0,2020-05-14,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES, FACE MASKS, DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY THAT KILLS NOROVIRUS) PRIORITY FOUNDATION VIOLATION 7-38-005,NO CITATION ISSUED.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: INSTRUCTED TO PROVIDE AND MAINTAIN COVERED WASTE RECEPTACLE INSIDE THE WASHROOM.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO REPLACE WATER STAINED CEILING TILES IN CUSTOMER AREA AND TO MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND RE-ORGANIZE REAR STORAGE AREA AND REMOVE UNNECESSARY ARTICLES DUE TO POTENTIAL PEST HARBORAGE AND REMOVE BOXES OF LIQUOR BLOCKING 3 COMPARTMENT SINK, WASHROOM DOOR AND REAR EXIT DOOR MAINTAIN CLEAR.",41.97640080983889,-87.7880042263054,JAYS FOOD LIQUOR INC,5226 N NAGLE AVE,True,False,False,POINT (-87.7880042263054 41.97640080983889),9.0,NORWOOD PARK,121959105.47,10.0,10.0,80368.3743778,,
Walgreens #1496,6310 N Nagle Ave,CHICAGO,IL,60646.0,2020-04-30,Pass,,41.9959239227643,-87.7876379917552,WALGREENS 1496,6310 N NAGLE AVE,True,False,False,POINT (-87.7876379917552 41.9959239227643),9.0,NORWOOD PARK,121959105.47,10.0,10.0,80368.3743778,,
Walgreens #04937,5753 N Canfield Ave,CHICAGO,IL,60631.0,2017-12-13,Pass,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: Observed dirt and debris on the floors in various areas: in the mop closet, in the breakroom under the sink, and under the 2 compartment sink near the cooler. Instructed facility to clean all and maintain.  Observed items stored on the floor in the basement. Instructed facility that all items must be stored at least six inches off floors and to maintain. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Observed the exposed handsink in the pharmacy to be slow draining. Instructed facility to repair and maintain.",41.9846661438154,-87.8231586471558,WALGREENS 04937,5753 N CANFIELD AVE,True,False,False,POINT (-87.8231586471558 41.9846661438154),9.0,NORWOOD PARK,121959105.47,10.0,10.0,80368.3743778,,
