DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Lawrence Food And Liquors,5933-5935 W Lawrence Ave,CHICAGO,IL,60630.0,2024-10-03,Pass,,41.9675589209148,-87.7760829702324,LAWRENCE FOOD AND LIQUORS,59335935 W LAWRENCE AVE,True,False,False,POINT (-87.7760829702324 41.9675589209148),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,
Citgo Food Mart,4400-4412 N Cicero Ave,CHICAGO,IL,60630.0,2024-04-18,Out Of Business,,41.9607900227018,-87.7476893587676,CITGO FOOD MART,44004412 N CICERO AVE,True,False,False,POINT (-87.7476893587676 41.9607900227018),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,
Dollar Tree # 644,5616 W Belmont Ave,CHICAGO,IL,60634.0,2024-03-01,Pass,,41.9386767106555,-87.7671862996302,DOLLAR TREE 644,5616 W BELMONT AVE,True,False,False,POINT (-87.7671862996302 41.9386767106555),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,
7-Eleven #41810H,5037 W Lawrence Ave,CHICAGO,IL,60630.0,2023-12-12,Pass,56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: FOUND ELECTRIC OVEN (AUTO SHAM)AT PREMISES NOT UNDER HOOD.MUST PROVIDE.,41.9678379010959,-87.7541273536404,7ELEVEN 41810H,5037 W LAWRENCE AVE,True,False,False,POINT (-87.7541273536404 41.9678379010959),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,
7-Eleven #27421 C,5600 W Irving Park Rd,CHICAGO,IL,60634.0,2023-12-05,Pass,16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: OBSERVED SLIGHT PINK MINERAL BUILD UP INSIDE OF ICE DISPENSER AT SODA MACHINE STATION. MUST CLEAN AND MAINTAIN.,41.953292847298,-87.7670657077527,7ELEVEN 27421 C,5600 W IRVING PARK RD,True,False,False,POINT (-87.7670657077527 41.953292847298),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,
Montrose Bp,6350 W Montrose Ave,CHICAGO,IL,60634.0,2023-07-31,Out Of Business,,41.9603334976238,-87.7864090976245,MONTROSE BP,6350 W MONTROSE AVE,True,False,False,POINT (-87.7864090976245 41.9603334976238),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,
Bp,5200-5210 W Addison St,CHICAGO,IL,60641.0,2023-04-17,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO WRITTEN EMPLOYEE HEALTH POLICY ON THE PREMISES. MANAGEMENT INSTRUCTED TO HAVE A SIGNED EMPLOYEE HEALTH POLICY FOR EACH EMPLOYEE. PRIORITY FOUNDATION VIOLATION 7-38-010. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED A FOOD HANDLING EMPLOYEE WITH NO FOOD HANDLER TRAINING CERTIFICATE. MANAGEMENT INSTRUCTED THAT ALL FOOD HANDLING EMPLOYEES MUST SHOW PROOF OF TRAINING.",41.9461086638437,-87.7570470277097,BP,52005210 W ADDISON ST,True,False,False,POINT (-87.7570470277097 41.9461086638437),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,
Faris Smoke Shop,5612 W Irving Park Rd,CHICAGO,IL,60634.0,2023-04-03,Pass,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: BACKFLOW PREVENTION DEVICE NOT LOCATED AT UTILITY MOP SINK LOCATED AT REAR STORAGE ROOM.MUST INSTALL SO BACKFLOW PREVENTION DEVICE MAY BE LOCATED TO BE SERVICED AND MAINTAINED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO SEAL NOTICEABLE OPENINGS ALONG THE WEST WALL LEADING INTO THE HOT WATER HEATER STORAGE CLOSET AND TO MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND ORGANIZE THE REAR UTILITY MOP SINK ROOM AND REMOVE UNNECESSARY ARTICLES DUE TO POTENTIAL PEST HARBORAGE AND ELEVATE STOCK ITEMS AT LEAST 6"" INCHES OFF THE FLOOR TO FACILITATE CLEANING..",41.9532845048041,-87.7675368784779,FARIS SMOKE SHOP,5612 W IRVING PARK RD,True,False,False,POINT (-87.7675368784779 41.9532845048041),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,
Cardinal Warehouse Wines & Spirits,3501 N Central Ave,CHICAGO,IL,60634.0,2023-02-14,Pass,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO THERMOMETERS INSIDE THE WALK-IN-COOLERS.INSTRUCTED TO PROVIDE AND MAINTAIN VISIBLE,ADEQUATE WORKING THERMOMETERS IN REFRIGERATION UNITS. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED GAP OPENINGS AT BOTTOMS OF FRONT ENTRANCE DOOR AND REAR EXIT DOORS.INSTRUCTED TO MAKE DOORS TIGHT FITTING ALL ACROSS THE BOTTOMS TO PREVENT PEST ENTRY AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO HOT RUNNING WATER AT UTILITY MOP SINK.INSTRUCTED TO PROVIDE RESTORE HOT RUNNING WATER AT UTILITY MOP SINK AND MAINTAIN AT ALL TIMES. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE PROVIDED IN THE WOMEN'S WASHROOM.MUST PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS ALONG THE WALLS AND IN ALL CORNERS THROUGHOUT THE REAR STORAGE ROOMS AND REMOVE PEELING PAINT DEBRIS FROM CEILING ON THE NORTH-SIDE STORAGE ROOM AND MAINTAIN TO SMOOTH,EASILY CLEANABLE SURFACE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND ORGANIZE REAR STORAGE ROOMS AND REMOVE UNNECESSARY ARTICLES/WOODEN DEBRIS BUILDING MATERIALS ETC. DUE TO POTENTIAL PEST HARBORAGE AND ELEVATE STOCK ITEMS OFF THE FLOOR AT LEAST 6"" INCHES TO FACILITATE CLEANING INCHES AND MAINTAIN.",41.9440993069595,-87.7665480460967,CARDINAL WAREHOUSE WINES SPIRITS,3501 N CENTRAL AVE,True,False,False,POINT (-87.7665480460967 41.9440993069595),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,
Mobil,4401-4411 N Central Ave,CHICAGO,IL,60630.0,2022-10-11,Not Ready,,41.9605322289991,-87.7670970259835,MOBIL,44014411 N CENTRAL AVE,True,False,False,POINT (-87.7670970259835 41.9605322289991),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,
Dollar Tree # 00733,4118 N Cicero Ave,CHICAGO,IL,60641.0,2022-07-11,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED ACCUMULATION OF DUST ON VENTILATION COVERS IN BOTH TOILET ROOMS LOCATED IN THE REAR. INSTRUCTED TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED  DIRTY FLOORS AND SOME DEBRIS ALONG ALONG WALLS AND IN CORNERS IN REAR RECEIVING AREA. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS.",41.9558737131091,-87.7475222961243,DOLLAR TREE 00733,4118 N CICERO AVE,True,False,False,POINT (-87.7475222961243 41.9558737131091),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,
