DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
7-Eleven #33698J,6401 N Sheridan Rd,CHICAGO,IL,60626.0,2025-04-18,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-101.19: **C** Nonfood-Contact Surfaces MUST NOT USE MILK CRATES AS A MEANS OF ELEVATION FOR STORED ITEMS.",41.9983088063897,-87.6596963832564,7ELEVEN 33698J,6401 N SHERIDAN RD,True,False,False,POINT (-87.6596963832564 41.9983088063897),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,
Morse Green Arch Food Mart,1337-1339 W Morse Ave,CHICAGO,IL,60626.0,2025-02-11,Out Of Business,,42.007813543743296,-87.6651582920393,MORSE GREEN ARCH FOOD MART,13371339 W MORSE AVE,True,False,False,POINT (-87.6651582920393 42.007813543743296),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,
"Clark Super Food/Liquor,Inc",6647 N Clark St,CHICAGO,IL,60626.0,2024-05-29,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  MUST NOT USE MILK CRATES AS A MEANS OF ELEVATION FOR STORED ITEMS INCLUDED INSIDE THE WALK-IN COOLER AND CHEST FREEZER | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  MUST PROVIDE PROPER SINK STOPPERS FOR THE THREE COMPARTMENT SINK. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST NOT USE CARDBOARD AS LINER FOR SHELVING IN SELLING AND REAR AREAS. MUST BE SMOOTH AND CLEANABLE SURFACE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments:  A COVER IS REQUIRED AT RECEPTACLE INSIDE THE STAFF WASHROOM | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: BROKEN FLOOR TILES AND BROKEN SHEET OF WOOD ON FLOOR MUST BE REMOVE AND REPLACED.SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT MATERIAL.THROUGHOUT THE PREMISES INCLUDED REAR STORAGE AND UNDER SHELVES IN SELLING AREA,BEHIND COOLERS ETC.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: EXCESS DEBRIS AND GRIMES ON FLOOR THROUGHOUT THE PREMISES,INCLUDED WALK-IN COOLER,REAR AREA/DISHROOM AND SELLING AREA. ECCESS DUST AND MOLD ON CEILING INSIDE THE WALK-IN BEER COOLER BY THE VENTILATION.CLEAN AND MAINTAIN  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments:  A COMMERCIAL HOOD SYSTEM IS REQUIRED ABOVE THE 4 BURNER GAS STOVE.PRESENTLY IN USE.UNIT IS DIRTY WITH FOOD DEBRIS(INCLUDED INSIDE THE STOVE) AND COVER WITH ALUMINUM FOIL,OR REMOVE UNIT.",42.003089428661,-87.672182775935,CLARK SUPER FOODLIQUORINC,6647 N CLARK ST,True,False,False,POINT (-87.672182775935 42.003089428661),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,
7 Heaven Food Mart,1358 W Devon Ave,CHICAGO,IL,60660.0,2024-05-02,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: : 6-501.114--- ALL UNUSED EQUIPMENT AND CONSTRUCTION MATERIAL THROUGHOUT THE REAR, BASEMENT AND REAR OUTDOOR WALKWAY AREA MUST BE REMOVED FROM THE PREMISES TO PREVENT PEST HARBORING. ALL OTHER NEED ITEMS MUST BE STORED INDOORS, ORGANIZED AND ELEVATED.  6-201.11--- NOTED A HOLE IN THE CEILING AND AROUND ELECTRICAL PIPING IN THE REAR STORAGE/ELECTRICAL ROOM. MUST SEAL.",41.9982477376398,-87.6653502976931,7 HEAVEN FOOD MART,1358 W DEVON AVE,True,False,False,POINT (-87.6653502976931 41.9982477376398),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,
Express Dollar,7029 N Clark St,CHICAGO,IL,60626.0,2024-02-06,Pass,,42.0099156134617,-87.6740256476211,EXPRESS DOLLAR,7029 N CLARK ST,True,False,False,POINT (-87.6740256476211 42.0099156134617),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,
Clark Mini Mart,6761 N Clark St,CHICAGO,IL,60626.0,2023-12-07,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DOOR HANDLE TO WASHROOM IN DISREPAIR. REPLACE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED ALL UNECESSARY ITEMS AND CLUTTER MUST BE REMOVED FROM STORE IN ORDER TO CLEAN AND MONITOR FOR BETTER PEST CONTROL. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED ALL FLOORS UNDER AND BEHIND ALL COOLERS ND EQUIPMENT NEED TO BE CLEANED IN DETAIL. CLEAN ALL WINDOWSILLS.",42.0053117273606,-87.6729405384621,CLARK MINI MART,6761 N CLARK ST,True,False,False,POINT (-87.6729405384621 42.0053117273606),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,
Ideal Mini Mart,6900 N Clark St,CHICAGO,IL,60626.0,2023-12-05,Pass,,42.0066021778632,-87.67355457849,IDEAL MINI MART,6900 N CLARK ST,True,False,False,POINT (-87.67355457849 42.0066021778632),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,
7-Eleven #33809D,6801 N Sheridan Rd,CHICAGO,IL,60626.0,2023-07-14,Pass,,42.0056178765847,-87.6607859372082,7ELEVEN 33809D,6801 N SHERIDAN RD,True,False,False,POINT (-87.6607859372082 42.0056178765847),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,
Mobil Gas And Food Mart,7201 N Clark St,CHICAGO,IL,60626.0,2023-01-23,Pass,,42.0127043706309,-87.674500719171,MOBIL GAS AND FOOD MART,7201 N CLARK ST,True,False,False,POINT (-87.674500719171 42.0127043706309),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,
7-Eleven #18473E,1404 W Pratt Blvd,CHICAGO,IL,60626.0,2022-11-16,Pass,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LEAK IN FAUCET AT 3COMPARTMENT SINK. THE FACILITY MUST REPAIR AND MAINTAIN. WHILE ON-SITE, A LICENSED PLUMBER WAS ABLE TO FIX A LEAK AT 3 COMPARTMENT SINK. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: UNNECESSARY ITEMS / NONFUNCTIONAL EQUIPMENT WERE FOUND BEHIND THE MOP SINK. THE PREMISES SHALL BE FREE OF ITEMS UNNECESSARY TO THE OPERATION OR MAINTENANCE OF THE ESTABLISHMENT. THIS INCLUDES EQUIPMENT THAT IS NONFUNCTIONAL OR NO LONGER USED.",42.005560716387,-87.6660707958127,7ELEVEN 18473E,1404 W PRATT BLVD,True,False,False,POINT (-87.6660707958127 42.005560716387),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,
