DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
"Roseland Food Mart, Inc.",11136 S Michigan Ave,CHICAGO,IL,60628.0,2024-09-27,Out Of Business,,41.6915310706074,-87.6211831662167,ROSELAND FOOD MART INC,11136 S MICHIGAN AVE,True,False,False,POINT (-87.6211831662167 41.6915310706074),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
Citgo,10655 S Halsted St,CHICAGO,IL,60628.0,2024-09-25,Pass W/ Conditions,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: OBSERVED NO PERSON IN CHARGE WITH VALID CHICAGO FOOD SANITATION CERTIFICATE. INSTRUCTED MANAGER TO DESIGNATE PERSON IN CHARGE DURING ALL HOURS OF OPERATION. PRIORITY FOUNDATION | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CHICAGO FOOD SANITATION MANAGER ON SITE AND NO VALID CHICAGO FOOD SANITATION CERTIFICATE POSTED. INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN. PRIORITY FOUNDATION 7-38-012 CITATION ISSUED",41.6998469283808,-87.6424673012532,CITGO,10655 S HALSTED ST,True,False,False,POINT (-87.6424673012532 41.6998469283808),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
Family Dollar Store  #6594,90 E 103Rd St,CHICAGO,IL,60628.0,2024-01-18,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: INTERIOR OF REACH IN COOLERS AND FREEZERS IN NEED OF DETAIL CLEANING TO REMOVE ALL FOOD SPILLS AND BUILD UP. INSTRUCTED TO CLEAN AND MAINTAIN ALL COOLERS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FOOD ITEMS AND DEBRIS UNDER SALES SHELVES. INSTRUCTED TO CLEAN AND MAINTAIN AT ALL TIMES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: ALL CLUTTER AND UNNECCESSARY ARTICLES IN BACK STORGE ROOM AND ADDITIONAL STORAGE ROOM MUST BE ROOMED AND OR ORGANIZED. CORRECT AND MAINTAIN.",41.7073228814004,-87.6203185677406,FAMILY DOLLAR STORE 6594,90 E 103RD ST,True,False,False,POINT (-87.6203185677406 41.7073228814004),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
Khalil Food & Liquor,146 W 103Rd St,CHICAGO,IL,60628.0,2023-06-20,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED NO HOOKING DEVICE FOR DRYING MOPS. INSTRUCTED TO INSTALL A HOOKING DEVICE TO PROPERLY DRY MOPS AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED OPENINGS IN THE FLOORS OUTSIDE AND INSIDE OF THE HOT WATER TANK CLOSET. INSTRUCTED TO SEAL SAID OPENINGS AND MAINTAIN.",41.7072181390009,-87.627751558279,KHALIL FOOD LIQUOR,146 W 103RD ST,True,False,False,POINT (-87.627751558279 41.7072181390009),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
Family Dollar Store #10729,11438 S Michigan Ave,CHICAGO,IL,60628.0,2023-05-09,Pass,,41.685954108027694,-87.6209731806355,FAMILY DOLLAR STORE 10729,11438 S MICHIGAN AVE,True,False,False,POINT (-87.6209731806355 41.685954108027694),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
The Aloe Shoppe,117 E 95Th St,CHICAGO,IL,60619.0,2022-10-07,Pass,,41.7216861523167,-87.6197874221986,THE ALOE SHOPPE,117 E 95TH ST,True,False,False,POINT (-87.6197874221986 41.7216861523167),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
Sheldon Liquors,413-421 E 103Rd St,CHICAGO,IL,60628.0,2022-01-26,Out Of Business,,41.70721441376529,-87.6131982410036,SHELDON LIQUORS,413421 E 103RD ST,True,False,False,POINT (-87.6131982410036 41.70721441376529),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
Pop-Ee'S Mini Mart,418 E 107Th St,CHICAGO,IL,60628.0,2021-04-26,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO PROOF OF FOOD HANDLERS TRAINING FOR EMPLOYEES.INSTRUCTED TO PROVIDE FOR EMPLOYEES HEATH. PRIORITY FOUNDATION",41.7001327900495,-87.6126879142195,POPEES MINI MART,418 E 107TH ST,True,False,False,POINT (-87.6126879142195 41.7001327900495),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
Wentworth Mobil,210 W 103Rd St,CHICAGO,IL,60628.0,2020-10-05,Pass,,41.7072061161695,-87.6288150023683,WENTWORTH MOBIL,210 W 103RD ST,True,False,False,POINT (-87.6288150023683 41.7072061161695),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
"Roseland Quick Mart, Inc.",10658 S Michigan Ave,CHICAGO,IL,60628.0,2020-07-31,Out Of Business,,41.6999884656266,-87.6210764564933,ROSELAND QUICK MART INC,10658 S MICHIGAN AVE,True,False,False,POINT (-87.6210764564933 41.6999884656266),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
Dollar Tree #7261,209 E 103Rd St,CHICAGO,IL,60628.0,2020-07-30,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST DEFROST AND CLEAN THE INTERIOR OF THE WALK IN FREEZER TO REMOVE DEBRIS AND ICE BUILD UP. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST CLEAN AND SANITIZE FIXTURES IN THE CUSTOMERS WASHROOM.",41.7071353216183,-87.618241729934,DOLLAR TREE 7261,209 E 103RD ST,True,False,False,POINT (-87.618241729934 41.7071353216183),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
"Quick Stop Food & Liquor Mart, Inc.",407-409 E 111Th St,CHICAGO,IL,60628.0,2020-07-30,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: PREMISES HAS NO CLEAN UP PROCEDURES OR SUPPLIES FOR RESPONDING TO VOMITING AND DIARRHEA EVENTS. INSTRUCTED THE MANAGER TO COMPLY WITH THE NEW CODES OR CITATIONS WILL FOLLOW. PRIORITY FOUNDATION VIOLATION #7-38-005. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS NEED CLEANING IN THE WASHROOMS TO REMOVE SPILLS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN THE VENT COVERS IN THE WASHROOM TO REMOVE DUST.",41.6926306830784,-87.6130607365943,QUICK STOP FOOD LIQUOR MART INC,407409 E 111TH ST,True,False,False,POINT (-87.6130607365943 41.6926306830784),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
Dollar General Store #19331,11040 S Michigan Ave,CHICAGO,IL,60628.0,2020-07-17,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN THE INTERIOR BOTTOM SHELF OF THE REAR DAIRY STORAGE COOLER TO REMOVE SPILLS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS NEED CLEANING THROUGH OUT THE REAR STORAGE ROOM TO REMOVE SPILLS AND DEBRIS.",41.69322382167449,-87.6211866738048,DOLLAR GENERAL STORE 19331,11040 S MICHIGAN AVE,True,False,False,POINT (-87.6211866738048 41.69322382167449),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
Sh Mini Mart,537 W 111Th St,CHICAGO,IL,60628.0,2020-07-17,Out Of Business,,41.6923157236846,-87.636559730206,SH MINI MART,537 W 111TH ST,True,False,False,POINT (-87.636559730206 41.6923157236846),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
Citgo,10007 S Michigan Ave,CHICAGO,IL,60628.0,2020-05-29,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNFINISHED WALLS THROUGH OUT PREMISES DUE TO REMODELING. MUST COMPLETE TO PREVENT ENTRY POINTS FOR PEST.",41.7124749006936,-87.6199608259744,CITGO,10007 S MICHIGAN AVE,True,False,False,POINT (-87.6199608259744 41.7124749006936),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
"Eddie'S Sunshine Food & Liquor, Inc",10806 S Michigan Ave,CHICAGO,IL,60628.0,2020-05-22,Out Of Business,,41.697817923534,-87.6210110035955,EDDIES SUNSHINE FOOD LIQUOR INC,10806 S MICHIGAN AVE,True,False,False,POINT (-87.6210110035955 41.697817923534),48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292,,
