DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Snoop Food Mart,8657 S Commercial Ave,CHICAGO,IL,60617.0,2024-12-17,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  OBSERVED DUST BUILDUP AND DEBRIS ON BASES OF COOLERS AND FREEZERS IN SALES AREA AND SHELVING UNITS IN REAR STORAGE AREA. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED OPENINGS CRACKS, CREVICES IN WALLS AND CEILINGS IN REAR STORAGE AND WASHROOM AREAS. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN.",41.7375277854382,-87.5512872956567,SNOOP FOOD MART,8657 S COMMERCIAL AVE,True,False,False,POINT (-87.5512872956567 41.7375277854382),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
Commercial Stop & Shop,8900-8904 S Commercial Ave,CHICAGO,IL,60617.0,2024-12-16,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED DUST BUILDUP ON COOLERS, FREEZES AND SHELVING UNITS IN SALES AND FRONT COUNTER AREAS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED OPENINGS IN WALLS, CEILINGS, ALONG BASEBOARDS IN SALES, REAR STORAGE AND BASEMENT AREAS. INSTRUCTED MANAGER TO SEAL ALL OPENINGS AND MAINTAIN. OBSERVED DAMAGED FLOOR TILES IN FRONT COUNTER AREA. INSTRUCTED MANAGER TO REPLACE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS IN THE REAR UNDER/AROUND THE SINKS, STORAGE RACKS AND PALLETS WITH DIRT, DUST AND DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN FLOORS.",41.7336369893612,-87.5514902961154,COMMERCIAL STOP SHOP,89008904 S COMMERCIAL AVE,True,False,False,POINT (-87.5514902961154 41.7336369893612),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
"8900 Food & Liquor, Inc.",8900 S Commercial Ave,CHICAGO,IL,60617.0,2024-12-16,Pass,,41.7336369893612,-87.5514902961154,8900 FOOD LIQUOR INC,8900 S COMMERCIAL AVE,True,False,False,POINT (-87.5514902961154 41.7336369893612),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
Saginaw Food Mart Inc.,2635 E 79Th St,CHICAGO,IL,60649.0,2024-09-06,Out Of Business,,41.7517045089587,-87.5600356039313,SAGINAW FOOD MART INC,2635 E 79TH ST,True,False,False,POINT (-87.5600356039313 41.7517045089587),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
Family Foods Convenience,2802 E 87Th St,CHICAGO,IL,60617.0,2024-08-27,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICY AVAILABLE. INSTRUCTED MANAGER TO PROVIDE SIGNED DOCUMENTATION OF EMPLOYEE RESPONSIBILTIY TO REPORT ANY ILLNESS TRANSMISSIBLE THROUGH FOOD. PRIORITY FOUNDATION 7-38-005 | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURES AND SUPPLIES FOR REPSONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN. PRIORITY FOUNDATION 7-38-005 | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OBSERVED NO ATTACHED METAL DRAINBOARD ON 3-COMPARTMENT SINK. INSTRUCTED MANAGER TO INSTALL AND MAINTAIN TO PROPERLY AIR-DRY FOOD EQUIPMENT AND UTENSILS. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED NO MECHANICAL VENTILATION IN WASHROOM. INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN.",41.7374318107713,-87.5561494490651,FAMILY FOODS CONVENIENCE,2802 E 87TH ST,True,False,False,POINT (-87.5561494490651 41.7374318107713),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
Star Convenience Mart,2521-2523 E 79Th Street,CHICAGO,IL,60649.0,2024-08-22,Out Of Business,,41.7516649599199,-87.5629063195471,STAR CONVENIENCE MART,25212523 E 79TH STREET,True,False,False,POINT (-87.5629063195471 41.7516649599199),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
Snd Mini Mart,2600 E 87Th St,CHICAGO,IL,60617.0,2024-07-25,Out Of Business,,41.7373692315621,-87.561095585346,SND MINI MART,2600 E 87TH ST,True,False,False,POINT (-87.561095585346 41.7373692315621),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
79Th Corner Store,2459 E 79Th St,CHICAGO,IL,60649.0,2024-04-01,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO VOMIT AND DIARRHEA CLEAN UP KIT ON PREMISES AS REQUIRED; MUST PROVIDE AND MAINTAIN.  INSTRUCTED THE PERSON IN CHARGE TO PROVIDE A VOMIT AND DIARRHEA CLEAN UP KIT TO USE IN THE EVENT OF A VOMIT AND DIARRHEAL INCIDENT ON PREMISES.  PRIORITY FOUNDATION VIOLATION 7-38-005. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED A 1 INCH GAP A THE BOTTOM OF THE FRONT ENTRANCE DOOR; INSTRUCTED TO SEAL DOOR AND MAINTAIN TO AVOID POSSIBLE RODENT ENTRY.  OBSERVED THE RIGHT SIDE OF THE REAR EXIT DOOR WITH EXPOSED LIGHT; INSTRUCTED TO SEAL OPENINGS IN THE WALL AT THE RIGHT SIDE OF THE DOOR TO ELIMINATE LIGHT OBSERVED. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: INSTRUCTED TO PROVIDE A PROPER BACKFLOW DEVICE AT THE UTILITY SINK IN THE CORNER AREA AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: FOUND NO SELF CLOSING DEVICE AT THE WASHROOM DOOR; INSTRUCTED TO INSTALL A SELF CLOSING DEVICE ON DOOR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED HOLES IN THE WALL NEXT TO THE TOILET IN THE WASHROOM AROUND THE PIPES; INSTRUCTED TO SEAL HOLES.  OBSERVED SMALL HOLES IN THE FURNACE CLOSET IN THE FLOOR; SEAL WHERE NEEDED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED VARIOUS AREAS WHERE THE WALL AND FLOOR HAVE GAPS; INSTRUCTED TO PROVIDE A WALL COVING IN THE AREAS TO PREVENT SPACE BETWEEN THE LOWER WALL AND THE FLOOR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND SOME UNUSED EQUIPMENT ON SITE; OWNER STATES THAT HE IS HAVING THE REFRIGERATION UNITS REMOVED; INSTRUCTED TO REMOVE IF NOT BEING USED TO AVOID CLUTTER.",41.7516532879833,-87.5638651099826,79TH CORNER STORE,2459 E 79TH ST,True,False,False,POINT (-87.5638651099826 41.7516532879833),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
"All American Spirits, Inc.",9027-9029 S Commercial Ave,CHICAGO,IL,60617.0,2024-03-26,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED DUST BUILDUJP AND DEBRIS ON VENTILATION FAN IN WASHROOM, WINDOW LEDGES, PALLETS AND LEDGES ALONG FLOOR IN SALES AND BASEMENT AREAS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  OBSERVED DAMAGED FLOOR TILES IN SALES AND STORAGE AREAS. INSTRUCTED MANAGER TO REPAIR/REPLACE AND MAINTAIN .",41.7310758719025,-87.5511341659489,ALL AMERICAN SPIRITS INC,90279029 S COMMERCIAL AVE,True,False,False,POINT (-87.5511341659489 41.7310758719025),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
Citgo Quick Stop,2357 E 79Th St,CHICAGO,IL,60649.0,2023-11-30,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED THE INTERIOR OF REACH IN POP COOLERS IN NEED OF CLEANING.  INSTRUCTED TO DETAIL CLEAN AND MAINTAIN  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED TOILET FACILITY IN NEED OF CLEANING. INSTRUCTED TO CLEAN AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS THROUGHOUT IN NEED OF CLEANING TO REMOVE ALL DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN.",41.7516162135839,-87.5663751942389,CITGO QUICK STOP,2357 E 79TH ST,True,False,False,POINT (-87.5663751942389 41.7516162135839),45.0,SOUTH CHICAGO,93272185.0092,46.0,46.0,52435.9794313,,
