DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Carniceria Aguacalientes,3132 W 26Th St,CHICAGO,IL,60623.0,2024-12-02,Pass,,41.8446400035817,-87.7038745499713,CARNICERIA AGUACALIENTES,3132 W 26TH ST,True,False,False,POINT (-87.7038745499713 41.8446400035817),29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,
Troy Food Mart,3142 W Cermak Rd,,IL,60623.0,2024-11-26,Pass,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO WRITTEN PROCEDURES OR SUPPLIES FOR RESPONDING TO VOMITING OR DIARRHEAL EVENTS. SUPPLIES MUST INCLUDE ADEQUATE SANITIZER THAT ELIMINATES NOROVIRUS. INSTRUCTED FACILITY TO PROVIDE CLEAN-UP POLICY AND SUPPLIES TO HANDLE BODILY FLUID SPILLS ON SITE PROPERLY. PRIORITY FOUNDATION VIOLATION #7-38-005.  NO CITATION ISSUED.,41.8518859623224,-87.7044649036697,TROY FOOD MART,3142 W CERMAK RD,True,False,False,POINT (-87.7044649036697 41.8518859623224),29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,
Cremeria La Ordena #3 Llc,3234 W 26Th St,CHICAGO,IL,60623.0,2024-11-25,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOME FLOOR TILE IN THE REAR DISHWASHING AREA IN POOR REPAIR; REPLACE FLOOR TILE WHERE NEEDED.",41.8446099224887,-87.7063193435995,CREMERIA LA ORDENA 3 LLC,3234 W 26TH ST,True,False,False,POINT (-87.7063193435995 41.8446099224887),29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,
"Cremeria Santa Maria, Inc",3424 W 26Th St,CHICAGO,IL,60623.0,2024-10-31,Pass,,41.8445442920089,-87.7110727967655,CREMERIA SANTA MARIA INC,3424 W 26TH ST,True,False,False,POINT (-87.7110727967655 41.8445442920089),29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,
21St Street Food Mart,2027 S California Ave,CHICAGO,IL,60608.0,2024-10-04,Pass,,41.8537658873506,-87.6953605986155,21ST STREET FOOD MART,2027 S CALIFORNIA AVE,True,False,False,POINT (-87.6953605986155 41.8537658873506),29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,
"Family Dollar, Inc.",3644 W 26Th St,CHICAGO,IL,60623.0,2023-10-18,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO WRITTEN CLEAN UP PROCEDURE AND KIT POSTED ON PREMISE OR NECCESARY ITEMS OUTLINED IN POLICY AVAILABLE ON SITE FOR RESPONDING TO VOMIT AND DIARRHEAL EVENTS THAT CAN OCCUR ON PREMISE. INSTRUCTED TO PROVIDE AND MAINTAIN. PRIORITY FOUNDATION VIOLATION. 7-38-005. CITATION ISSUED. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: INSTRUCTED TO CLEAN AND MAINTAIN INTERIOR SURFACES AND SHELVES INSIDE REACH-IN DISPLAY COOLERS | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN DEBRIS/ MOLD-LIKE BUILD UP FROM SHELVING UNITS AT MILK REFRIGERATOR | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED EXCESSIVE TRASH AND UNNECESARY ITEMS ON FLOORS IN REAR STOCK AREA. MUST CLEAN AND REMOVE. ALL ITEMS SHOULD BE ELEVATED AT LEAST 6 INCHES OFF FLOOR TO PREVENT PEST HARBORAGE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST ELEVATE,REMOVE OR ORGANIZE ARTICLES,BOXES AND MERCHANDISE FROM FLOOR AND AWAY FROM WALLS IN REAR STORAGE AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST REPAIR OR REPLACE DAMAGED & STAINED CEILING TILE NEAR REAR AREA, DAMAGED  FLOORING ON REAR FLOOR | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN DEBRIS FROM FLOOR UNDER ALL DISPLAY SHELVES ON SALES FLOOR.CLEANING EQUIPMENT (MOPS, BROOMS ETC) IN REAR AREA MUST BE STORED OFF THE FLOOR.",41.8444698619864,-87.7165319990345,FAMILY DOLLAR INC,3644 W 26TH ST,True,False,False,POINT (-87.7165319990345 41.8444698619864),29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,
Sun Food Mart,3601 W Cermak Rd,CHICAGO,IL,60623.0,2022-12-28,Pass,"44. UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED - Comments: OBSERVED UTENSILS LAYING ON AND AROUND HANDSINK IN REAR DISH AREA. INSTRUCTED PERSON IN CHARGE TO REMOVE AND MAINTAIN HANDSINK AT ALL TIMES. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED BUILD UP ON HOT HOLDING EQUIPMENT BEHIND SALES COUNTER. INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments:  OBSERVED FIRST COMPARTMENT OF THREE COMPARTMENT SINK TO BE SLOW DRAINING AT TIME OF INSPECTION. INSTRUCTED PERSON IN CHARGE TO REPAIR AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED EXCESSIVE BUILD UP OF GRIME ON PLUMBING FIXTURES IN WASHROOM (TOILET AND HANDSINK). INSTRUCTED PERSON IN CHARGE TO DETAIL CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESSIVE VOIDS IN THE FLOOR OF MISSING TILES THROUGHOUT SALES FLOOR AND REAR DISH AREA OF FACILITY. INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN.",41.8515534605247,-87.715059286164,SUN FOOD MART,3601 W CERMAK RD,True,False,False,POINT (-87.715059286164 41.8515534605247),29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,
Dollar Tree #653,2517 W Cermak Rd,CHICAGO,IL,60608.0,2022-10-28,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11 OBSERVED NO VOMIT OR DIARRHEA CLEAN UP SUPPLIES ON SITE TO PROPERLY RESPOND TO VOMIT OR DIARRHEA EVENTS THAT CAN POTENTIALLY OCCUR INSIDE OF THE FACILITY. INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION 7-38-005. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.14 OBSERVED HAND WASHING SIGNS ARE NEEDED IN THE TOILET ROOMS. INSTRUCTED TO PROVIDE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 6-501.18 OBSERVED EXCESSIVE ACCUMULATED FECES DEBRIS INSIDE OF THE TOILET LOCATED IN ONE OF TWO TOILET ROOMS. INSTRUCTED TO CLEAN AND SANITIZE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.12 OBSERVED THE FLOORS IN THE TOILET ROOMS WITH EXCESSIVE DEBRIS. INSTRUCTED TO CLEAN AND SANITIZE THE FLOORS IN BOTH OF THE TOILET ROOMS.",41.8518913951996,-87.6886632584437,DOLLAR TREE 653,2517 W CERMAK RD,True,False,False,POINT (-87.6886632584437 41.8518913951996),29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,
Bojorquez Grocery Corp.,3001 S Homan Ave,CHICAGO,IL,60623.0,2022-05-13,Pass,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED A LEAK AT THE BOTTOM OF THE UTILITY SINK; MUST REPAIR LEAK. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND NO BACKFLOW DEVICE AT THE UTILITY SINK; MUST INSTALL AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NO SELF CLOSING DEVICE ON THE WASHROOM DOOR; MUST INSTALL A SELF CLOSING DEVICE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND SOME UNNECESSARY ITEMS IN THE BASEMENT AREA; INSTRUCTED TO REMOVE ANY UNNECESSARY ITEMS TO AVOID CLUTTER AND POTENTIAL RODENT HARBORAGE.",41.8388822309664,-87.7096094353966,BOJORQUEZ GROCERY CORP,3001 S HOMAN AVE,True,False,False,POINT (-87.7096094353966 41.8388822309664),29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,
Twins Food & Dollar Inc,2756 S Pulaski Rd,CHICAGO,IL,60623.0,2022-03-09,Pass,,41.8407132457976,-87.7246008603512,TWINS FOOD DOLLAR INC,2756 S PULASKI RD,True,False,False,POINT (-87.7246008603512 41.8407132457976),29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,
