DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Fantastic Food Mart Inc,2453 E 75Th St,CHICAGO,IL,60649.0,2025-01-10,Out Of Business,,41.7589043222685,-87.5642620430134,FANTASTIC FOOD MART INC,2453 E 75TH ST,True,False,False,POINT (-87.5642620430134 41.7589043222685),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,
Annabah Food Mart,7337 S South Shore Dr,CHICAGO,IL,60649.0,2024-12-16,Out Of Business,,41.7632350238681,-87.5596166824636,ANNABAH FOOD MART,7337 S SOUTH SHORE DR,True,False,False,POINT (-87.5596166824636 41.7632350238681),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,
Adams Food Mart,6810 S Stony Island Ave,CHICAGO,IL,60649.0,2024-09-04,Pass,,41.771140704476096,-87.5864199092255,ADAMS FOOD MART,6810 S STONY ISLAND AVE,True,False,False,POINT (-87.5864199092255 41.771140704476096),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,
Wazy Food Mart,1706-1708 E 79Th St,CHICAGO,IL,60649.0,2023-09-28,Pass,,41.7516300455486,-87.5828544048317,WAZY FOOD MART,17061708 E 79TH ST,True,False,False,POINT (-87.5828544048317 41.7516300455486),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,
Quick Stop Food Mart,2226 E 79Th St,CHICAGO,IL,60649.0,2023-05-09,Out Of Business,,41.7517927682139,-87.5699500008143,QUICK STOP FOOD MART,2226 E 79TH ST,True,False,False,POINT (-87.5699500008143 41.7517927682139),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,
Family Dollar #31994,7544 S Stony Island Ave,CHICAGO,IL,60649.0,2023-01-27,Pass,,41.7573962131662,-87.5862510119842,FAMILY DOLLAR 31994,7544 S STONY ISLAND AVE,True,False,False,POINT (-87.5862510119842 41.7573962131662),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,
"Z T Dollar Exchange,Inc",2429 E 72Nd St,CHICAGO,IL,60649.0,2022-06-16,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN INTERIOR OF ALL COOLERS AND FREEZERS TO REMOVE SPILLS AND/OR DEBRIS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE FLOORS IN POOR REPAIR, HOLES AND OPENING INTO THE WALLS AND FLOORS. MUST REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER IN THE REAR STORAGE AREA. INSTRUCTED TO REMOVE AND/OR ORGANIZE FOR PROPER CLEANING AND MONITERING PURPOSES AND TO PREVENT HARBORAGE FOR PESTS. ALSO ELEVATE STOCK 6"" OFF THE FLOOR AND AWAY FROM THE WALLS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS NEED CLEANING THROUGH OUT PREMISES UNDER SHELVING, IN THE REAR STORAGE AREA AND BEHIND COOLERS.",41.764339216775696,-87.5653706801239,Z T DOLLAR EXCHANGEINC,2429 E 72ND ST,True,False,False,POINT (-87.5653706801239 41.764339216775696),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,
Family Dollar Store #6542,2346 E 79Th St,CHICAGO,IL,60649.0,2021-05-25,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO VOMIT AND DIARRHEA CLEAN UP PROCEDURE OR KIT ON PREMISES AS REQUIRED; MUST PROVIDE.  INSTRUCTED THE PERSON IN CHARGE THAT A VOMIT AND DIARRHEA CLEAN UP PROCEDURE MUST BE DOCUMENTED AND THE NECESSARY SUPPLIES ON HAND IN THE EVENT OF A VOMIT AND DIARRHEAL INCIDENT ON PREMISES.  PRIORITY FOUNDATION VIOLATION 7-38-005. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO CLEAN THE INTERIORS OF THE MILK COOLER AND ICE CREAM FREEZER AT THE BOTTOM. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: INSTRUCTED TO CLEAN TOILETS AND SINKS IN BOTH WASHROOMS AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE IN WOMEN WASHROOM. INSTRUCTED MANAGER TO PROVIDE A COVERED WASTE RECEPTACLE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOME WATER STAINED CEILING TILE IN THE SELLING FLOOR AREA; REPLACE TILE WHERE NEEDED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN THE FLOORS AND WALLS IN BOTH WASHROOMS, CLEAN WALL AROUND MOP SINK AND CLEAN INTERIOR OF MOP SINK.   CLEAN THE VENT FANS IN WASHROOMS ON THE CEILINGS TO REMOVE DUST OBSERVED.",41.7518300329526,-87.5668021239172,FAMILY DOLLAR STORE 6542,2346 E 79TH ST,True,False,False,POINT (-87.5668021239172 41.7518300329526),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,
Walgreens #10350,7109 S Jeffery Blvd,CHICAGO,IL,60649.0,2020-12-04,Pass,,41.7658164158028,-87.5761454751664,WALGREENS 10350,7109 S JEFFERY BLVD,True,False,False,POINT (-87.5761454751664 41.7658164158028),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,
Stony Shell,7001 S Stony Island Ave,CHICAGO,IL,60649.0,2020-06-08,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURES AND SUPPLIES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED MANAGER TO PROVIDE. PRIORITY FOUNDATION 7-38-005 | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED BAGS OF ICE DISPLAYED FOR CUSTOMER SERVICE AND NOT PROPERLY LABELED WITH BUSINESS NAME, ADDRESS, NET WEIGHT, ETC. INSTRUCTED MANAGER TO PROPERLY LABEL AND MAINTAIN. | 43. IN-USE UTENSILS: PROPERLY STORED - Comments: OBSERVED HANDLE OF DISPENSING UTENSIL LAYING ON SUGAR INSIDE BULK CONTAINER. INSTRUCTED TO STORE HANDLE ABOVE FOOD TO PREVENT CONTAMINATION.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED NO STOPPERS FOR 3-COMPARTMENT SINK. INSTRUCTED MANAGER TO PROVIDE ADEQUATE STOPPERS AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED DUST BUILDUP INSIDE CABINETS IN BEVERAGE AREA. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments:  OBSERVED NO COVERED WASTE RECEPTACLE IN WASHROOM. INSTRUCTED TO PROVIDE.",41.7677976230384,-87.5858199182323,STONY SHELL,7001 S STONY ISLAND AVE,True,False,False,POINT (-87.5858199182323 41.7677976230384),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,
