DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
New York Food Mart,4136 N Broadway,CHICAGO,IL,60613.0,2025-01-23,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO WRITTEN EMPLOYEE HEALTH POLICY ON PREMISES. MANAGEMENT INSTRUCTED TO PROVIDE A SIGNED EMPLOYEE HEALTH POLICY FOR EACH EMPLOYEE. PRIORITY FOUNDATION VIOLATION 7-38-010. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE PROVIDED IN THE EMPLOYEE/CUSTOMERS UNISEX EMPLOYEE WASHROOM. MUST PROVIDE COVER A COVERED WASTE RECEPTACLE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED A FEW MISSING AND WATER DAMAGED CEILING TILES IN REAR DRY FOOD STORAGE AREA AND ABOVE UTILITY MOP SINK. MUST REPAIR/REPLACE AND MAINTAIN FACILITY IN A GOOD REPAIR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER AND UNNECESSARY ITEMS IN REAR DRY STORAGE AREA. MUST REMOVE CLUTTER AND UNNECESSARY ITEMS TO PREVENT RODENT HARBORAGE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DIRT AND DEBRIS ON FLOOR UNDERNEATH REAR STORAGE SHELVING. MUST CLEAN AND MAINTAIN.",41.9578207454949,-87.6527897636792,NEW YORK FOOD MART,4136 N BROADWAY,True,False,False,POINT (-87.6527897636792 41.9578207454949),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,
7-Eleven #36793B,4150 N Broadway,CHICAGO,IL,60613.0,2024-10-21,Pass W/ Conditions,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARDBOARD USED AS LINING IN THE WALK IN COOLER SHELVES. INSTRUCTED MANAGER TO REMOVE AND PROVIDE A SMOOTH AND EASILY CLEANABLE REPLACEMENT FOR SHELF LINING.  | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED THE OUTSIDE WASTE RECEPTACLE LID NOT MAINTAINED: UNABLE TO CLOSE TIGHT FIT TO CONTAINER DUE TO EXCESSIVE TRASH OVERFLOWING AND STACKED ON TOP OF CONTAINERS. SECURE CONTAINER LID TO PROPERLY CLOSE AND PREVENT RODENT HARBORAGE, FOOD SOURCE. REMOVE EXCESSIVE TRASH TO ALLOW FOR LID TO CLOSE. PRIORITY FOUNDATION VIOLATION, 7-38-020(b). CITATION ISSUED. MANAGER INSTRUCTED EMPLOYEES TO CONSOLIDATE TRASH AND REMOVE EXCESS BOXES. TRASH RECEPTACLE IS NOW FULLY CLOSED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE REAR DRY STORAGE/DISHWASHING AREA TO BE HEAVILY CLUTTERED WITH EXCESSIVE TRASH AND LOOSE BOXES. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN AREA FREE OF EXCESSIVE TRASH AND CLUTTER BUILD UP. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED PERSONAL ITEMS AND CLOTHING STORED ON FOOD ITEMS AND SHELVES IN THE REAR DRY STORAGE/DISH WASHING AREA. INSTRUCTED MANAGER THAT ALL PERSONAL ITEMS MUST BE STORED IN DESIGNATED EMPLOYEE PERSONAL STORAGE AREAS.  | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO FOOD HANDLER TRAINING AVAILABLE FOR ANY FOOD HANDLING EMPLOYEES AT FACILITY. INSTRUCTED MANAGER TO ENSURE ALL EMPLOYEES HAVE FOOD HANDLER TRAINING, AND ALL NEW EMPLOYEES RECEIVE TRAINING WITHIN 30 DAYS.  | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: OBSERVED NO SUMMARY REPORT FROM MOST RECENT INSPECTION ON 11/01/2021 POSTED IN PLAIN VIEW OF PUBLIC AT TIME OF INSPECTION. INSTRUCTED MANAGER TO ENSURE SUMMARY REPORT IS POSTED AND AVAILABLE IN PLAIN VIEW OF PUBLIC AT ALL TIMES. NEW SUMMARY REPORT PROVIDED AT TIME OF INSPECTION FOR CURRENT INSPECTION. PRIORITY FOUNDATION VIOLATION, 7-42-010(b). CITATION ISSUED.",41.9582012264902,-87.6530347724324,7ELEVEN 36793B,4150 N BROADWAY,True,False,False,POINT (-87.6530347724324 41.9582012264902),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,
Buy Low Liquors,1628 W Lawrence Ave,CHICAGO,IL,60640.0,2024-04-23,Pass,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: INSTRUCTED TO PROVIDE HANDWASHING SIGNAGE AT HANDSINK IN REAR AREA AND INSIDE WASHROOM. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: INSTRUCTED TO REPAIR BROKEN DOOR SWEEP UNDER FRONT ENTRANCE DOOR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN CLEAN AND MAINTAIN FLOOR ALONG THE WALLS, UNDER CRATES INSIDE WALK-IN COOLER. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: INSTRUCTED TO REPAIR BROKEN VENTILATION INSIDE THE WASHROOM.",41.9689770096186,-87.6706915391995,BUY LOW LIQUORS,1628 W LAWRENCE AVE,True,False,False,POINT (-87.6706915391995 41.9689770096186),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,
7-Eleven #38861H,1532 W Lawrence Ave,CHICAGO,IL,60640.0,2023-06-21,Out Of Business,,41.9689887913222,-87.6689279723665,7ELEVEN 38861H,1532 W LAWRENCE AVE,True,False,False,POINT (-87.6689279723665 41.9689887913222),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,
Clarendon Food Mart Inc,4183-4187 N Clarendon Ave,CHICAGO,IL,60613.0,2022-06-02,Out Of Business,,41.95800480146809,-87.6496537355801,CLARENDON FOOD MART INC,41834187 N CLARENDON AVE,True,False,False,POINT (-87.6496537355801 41.95800480146809),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,
Clarendon Food Wine Spirits,4183-4185 N Clarendon Ave,CHICAGO,IL,60613.0,2022-06-02,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO VOMIT AND DIARRHEA CLEAN-UP PROCEDURE ON-PREMISES. INSTRUCTED MANAGER MUST PROVIDE A VOMIT AND DIARRHEA CLEAN UP PROCEDURE WITH ALL NECESSARY ITEMS AS OUTLINED IN THE POLICY ON-PREMISES. PRIORITY FOUNDATION 7-38-005.,41.95800480146809,-87.6496537355801,CLARENDON FOOD WINE SPIRITS,41834185 N CLARENDON AVE,True,False,False,POINT (-87.6496537355801 41.95800480146809),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,
7-Eleven #34133B,1138 W Wilson Ave,CHICAGO,IL,60640.0,2021-05-18,Pass,,41.9654898010474,-87.6590722082639,7ELEVEN 34133B,1138 W WILSON AVE,True,False,False,POINT (-87.6590722082639 41.9654898010474),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,
New Sams Food Mart,5038 N Sheridan Rd,CHICAGO,IL,60640.0,2021-02-23,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO PROCEDURE/PLAN AND KIT FOR RESPONDING TO VOMITING AND DIARRHEA EVENTS. INSTRUCTEDFACILITY TO DEVELOP AND MAINTAINA PROCEDURE/PLAN AND TO MAINTAIN ANY APPROPIATE SUPPLIES ON SITE    PRIORITY FOUNDATION #7-38-005. NO CITATION ISSUED  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: BROKEN RUBBER GASKET INSIDE THE TWO DOOR OF MILK REACH-IN COOLER ,REPAIR. SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT MATERIAL | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST NOT USE MILK CRATESAS A MEANS OF ELEVATION,REMOVE AND PROVIDE A RAISED SHELF.  CABINET UNDER THE WASHBOWL INSIDE THE WASHROOM IN POOR REPAR,BROKEN,NO DOORS,ROUGH SURFACE AND NOT CLEANABLE,INSTRUCTED TO REPAIR/REPLACE.SURFACE MUST BE SMOOTH, EASILY CLEANABLE AND NON-ABSORBENT MATERIAL | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NAKED WOOD PLATFORM BEHIND FRONT COUNTER NOT EASY CLEANABLE.SURFACE MUST BE SMMOTH,CLEANABLE AND NON-ABSORBENT MATERIAL. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST NOT USE CARDBOARDS AS LINER ON SHELVES THROUGHOUT THE SELLING AND STORAGE AREA, REMOVE. SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT MATERIAL | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: CRAKED MOP SINK INSIDE WASHROOM MUST BE REPAIRED OR REPLACED. ALSO PIPE UNDER THE MOP SINK IS LEAKING,ALSO FAUCET AT SAID SINK IS LEAKING.REPAIR CAUSE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: WASHROOM DOOR NOT SELF CLOSING.INSTRUCTED TO PROVIDE A SELF CLOSING DEVICE FOR SAID DOOR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: WATER DAMAGED,CRACKED CEILING  AND MISSING PIECES ABOVE REACH-IN COOLER IN SELLING AREA MUST BE REPLACED/REPAIRED WITH A SMOOTH, CLEANABLE AND NON-ABSORBENT MATERIAL. ALL BROKEN FLOOR TILES  REPAIRED WITH DUCT TAPES MUST BE REPLACED AT FOLLOWING AREAS: IN FRONT OF SODA COOLER,REAR STORAGE AREA, IN FRONT OF EXIT SIDE DOOR(NORTH SITE),AND BEHIND COOLERS.SURFACE MUST CLEANABLE AND NON-ABSORBENT MATERIAL. ALSO CEILING AND WALLS WITH BLACK PEELING PAINT AT FOOD STORAGE BY THE STAIRS, MUST BE REMOVED  AND REPAINT.EASILY CLEANBLE.",41.9745106957246,-87.6551089229574,NEW SAMS FOOD MART,5038 N SHERIDAN RD,True,False,False,POINT (-87.6551089229574 41.9745106957246),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,
Asha Food Mart Inc,4826 N Sheridan Rd,CHICAGO,IL,60640.0,2020-12-07,Pass,49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: FOUND 3 COMPARTMENT SINK NOT CLEAN. MUST CLEAN.,41.969921494681,-87.654988335676,ASHA FOOD MART INC,4826 N SHERIDAN RD,True,False,False,POINT (-87.654988335676 41.969921494681),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,
Rayan'S Discount Liquors,1532 W Montrose Ave,CHICAGO,IL,60613.0,2020-09-18,Pass,,41.9617024520701,-87.6691844744627,RAYANS DISCOUNT LIQUORS,1532 W MONTROSE AVE,True,False,False,POINT (-87.6691844744627 41.9617024520701),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,
