DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
"Kw Food Mart,Inc.",9249-9253 S Halsted St,CHICAGO,IL,60620.0,2025-04-03,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.13 : MUST REPAIR OR REPLACE STAINED AND DAMAGED CEILING TILES,WALL TILES & WALL BASES,FLOOR TILES THROUGHOUT PREMISES.",41.725487429172,-87.643173591284,KW FOOD MARTINC,92499253 S HALSTED ST,True,False,False,POINT (-87.643173591284 41.725487429172),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,
Amstar,8950-58 S Ashland Ave,CHICAGO,IL,60620.0,2023-05-22,Out Of Business,,41.7305933812543,-87.6630576298821,AMSTAR,895058 S ASHLAND AVE,True,False,False,POINT (-87.6630576298821 41.7305933812543),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,
Citgo,1045-1059 W 103Rd St,CHICAGO,IL,60643.0,2022-08-15,Pass W/ Conditions,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: PERSON IN CHARGE WITHOUT CITY OF CHICAGO CERTIFIED MANAGER CERTIFICATE. INSTRUCTED TO OBTAIN AND MAINTAIN  | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO PERSON ON SITE WITH CITY OF CHICAGO CERTIFIED MANAGER CERTIFICATE WHILE HANDLING TCS FOODS (GROUND BEEF) NOR ANY CERTIFICATES POSTED. INSTD TO HAVE ON ON SITE AND CERTIFICATE POSTED AT ALL TIMES. CITATION ISSUED 7-38-012 PRIORITY FOUNDATION | 6. PROPER EATING, TASTING, DRINKING, OR TOBACCO USE - Comments: OBSERVED USED CIGARETTE BUTTS AND ASH IN EMPLOYEE WASHROOM. INSTRUCTED PERSON IN CHARGE THAT SMOKING INDOORS IS PROHIBITED IN THE CITY OF CHICAGO.  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED DEAD INSECTS AND FLIES ON FLOORS THROUGHOUT REAR DRY STORAGE AREA OF FACILITY. INSTRUCTED PERSON IN CHARGE TO REMOVE, CLEAN, AND SANITIZE ALL AREAS.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESSIVE DEBRIS ON FLOORS IN REAR DRY STORAGE AREA IN ALL CORNERS AND UNDERNEATH SODA AND DRINK STORAGE. INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO FOOD HANDLER CERTIFICATES ON SITE FOR EMPLOYEES. INSTRUCTED PERSON IN CHARGE TO DIRECT EMPLOYEE TO OBTAIN FOOD HANDLER TRAINING AND RETAIN CERTIFICATES ON SITE.",41.7067476342652,-87.6495189146474,CITGO,10451059 W 103RD ST,True,False,False,POINT (-87.6495189146474 41.7067476342652),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,
Smart Food Mart & Cellular,9249 S Halsted St,CHICAGO,IL,60620.0,2022-06-16,Out Of Business,,41.725487429172,-87.643173591284,SMART FOOD MART CELLULAR,9249 S HALSTED ST,True,False,False,POINT (-87.643173591284 41.725487429172),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,
Mikeys Discount Dollar,10634 S Halsted St,CHICAGO,IL,60628.0,2021-11-12,Out Of Business,,41.700405992172,-87.6427775083289,MIKEYS DISCOUNT DOLLAR,10634 S HALSTED ST,True,False,False,POINT (-87.6427775083289 41.700405992172),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,
Dollar General Store #13157,9244 S Ashland Ave,CHICAGO,IL,60620.0,2020-05-06,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: Violation Codes: 4-601.11(C) Inspector Comments: MUST CLEAN DEBRIS BUILD UP FROM SERVICE COUNTER SHELVING UNITS,SHELVING UNITS ON SALES FLOOR,REACH IN COOLERS. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: Violation Codes: 5-501.17 Inspector Comments: MUST PROVIDE A GARBAGE CAN WITH LID IN WOMEN'S TOILET ROOM. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Violation Codes: 6-201.13 Inspector Comments: MUST REPAIR OR REPLACE STAINED CEILING TILES ON SALES FLOOR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Violation Codes: 6-501.114 Inspector Comments: MUST ELEVATE,REMOVE AND ORGANIZE ARTICLES OFF OF FLOOR AND AWAY FROM WALLS IN REAR STORAGE AREA AND BREAK ROOM. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Violation Codes: 6-501.13 Inspector Comments: MUST CLEAN DEBRIS BUILD UP FROM FLOOR UNDER DISPLAY SHELVES AND REAR STORAGE AREA.",41.725331556266305,-87.6629229572376,DOLLAR GENERAL STORE 13157,9244 S ASHLAND AVE,True,False,False,POINT (-87.6629229572376 41.725331556266305),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,
Family Dollar  #5719,1221 W 95Th St,CHICAGO,IL,60643.0,2020-04-28,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO EMPLOYEE CLEAN UP PROCEDURE FOR VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE WITH ALL THE NECESSARY ITEMS OUTLINED IN POLICY INCLUDING DISPOSABLE GLOVES, FACE MASK, DISPOSABLE MOP WITH APPROPRIATE SANITIZER FOR NOROVIRUS. PRIORITY FOUNDATION | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED BOTTOM OF FRONT ENTRY DOOR NOT TIGHT FITTING FROM RODENT ENTRY. INSTRUCTED TO REPAIR TO MAKE TIGHT-FITTING | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: CORRECTED | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: CORRECTED | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOILED DAMAGE CEILING TILES IN REAR. MUST REPLACE",41.7212159217072,-87.6537857873069,FAMILY DOLLAR 5719,1221 W 95TH ST,True,False,False,POINT (-87.6537857873069 41.7212159217072),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,
George'S Liquor & Food,1438 W 95Th St,CHICAGO,IL,60643.0,2020-04-23,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO EMPLOYEE CLEAN UP PROCEDURE FOR VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE WITH ALL THE NECESSARY ITEMS IN POLICY INCLUDING DISPOSABLE GLOVES, FACE MASK, DISPOSABLE MOP AND APPROPRIATE SANITIZER FOR THE NOROVIRUS. PRIORITY FOUNDATION. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED  WHITE LOWER LIQUOR SHELF AND LOWER SHELF UNDER PACKAGED CANDY NOT CLEAN OF DEBRIS. INSTRUCTED TO CLEAN/MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOORS NOT CLEAN OF DEBRIS UNDER  LIQUOR STORAGE PALLETS IN REAR STORAGE AREAS, IN HALLWAY LEADING TO WALK IN COOLER. INSTRUCTED TO CLEAN/MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED 9 STAINED/ SOILED CEILING TILES IN STORE FRONT,BEHIND FRONT COUNTER  AND WASHROOM. MUST REPLACE.",41.721364144260306,-87.6594150859948,GEORGES LIQUOR FOOD,1438 W 95TH ST,True,False,False,POINT (-87.6594150859948 41.721364144260306),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,
Family Dollar Store # 7178,8908 S Ashland Ave,CHICAGO,IL,60620.0,2020-04-22,Out Of Business,,41.7317078998265,-87.6630922093725,FAMILY DOLLAR STORE 7178,8908 S ASHLAND AVE,True,False,False,POINT (-87.6630922093725 41.7317078998265),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,
Ashland Liquor And Food,1554 W 95Th St,CHICAGO,IL,60643.0,2020-04-17,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO EMPLOYEE CLEAN UP PROCEDURE FOR VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE WITH ALL THE NECESSARY ITEMS OUTLINED IN POLICY INCLUDING DISPOSABLE GLOVES, FACE MASK, DISPOSABLE MOP WITH APPROPRIATE SANITIZER FOR NOROVIRUS. PRIORITY FOUNDATION | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SIGNS POSTED IN WASHROOMS. MUST INSTALL.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  OBSERVED FLOORS NOT CLEAN OF DEBRIS AROUND,UNDER PALLETS IN BASEMENT STORAGE AREA.",41.7213269867277,-87.6625336584896,ASHLAND LIQUOR AND FOOD,1554 W 95TH ST,True,False,False,POINT (-87.6625336584896 41.7213269867277),72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,
