DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
7-Eleven,4353 W 55Th St,CHICAGO,IL,60632.0,2024-12-05,Pass,51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: MISSING PROPER STOPPER FOR 3-COMPARTMENT SINK. INSTD TO PROVIDE AND MAINTAIN,41.7930080284197,-87.7326455150384,7ELEVEN,4353 W 55TH ST,True,False,False,POINT (-87.7326455150384 41.7930080284197),61.0,WEST ELSDON,32711091.4259,62.0,62.0,26229.6956007,,
Dollar Tree #633,5119 S Pulaski Rd,CHICAGO,IL,60632.0,2021-01-06,Pass,,41.7998344238418,-87.7232045609479,DOLLAR TREE 633,5119 S PULASKI RD,True,False,False,POINT (-87.7232045609479 41.7998344238418),61.0,WEST ELSDON,32711091.4259,62.0,62.0,26229.6956007,,
Al Prince Dollar Inc,5849 S Pulaski,CHICAGO,IL,60629.0,2020-06-30,Out Of Business,,41.7862992528416,-87.7228265276404,AL PRINCE DOLLAR INC,5849 S PULASKI,True,False,False,POINT (-87.7228265276404 41.7862992528416),61.0,WEST ELSDON,32711091.4259,62.0,62.0,26229.6956007,,
Gateway Newstands,5106 S Pulaski Rd,CHICAGO,IL,60632.0,2020-05-28,Out Of Business,,41.8001370618783,-87.7235087296172,GATEWAY NEWSTANDS,5106 S PULASKI RD,True,False,False,POINT (-87.7235087296172 41.8001370618783),61.0,WEST ELSDON,32711091.4259,62.0,62.0,26229.6956007,,
Bp Gas,4401-4413 W 55Th St,CHICAGO,IL,60632.0,2020-05-19,Pass,57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments:  MISSING FOOD HANDLER TRAINING FOR EMPLOYEES. INSTD TO OBTAIN TRAINING AND MAINTAIN.,41.7930064778326,-87.7330257642198,BP GAS,44014413 W 55TH ST,True,False,False,POINT (-87.7330257642198 41.7930064778326),61.0,WEST ELSDON,32711091.4259,62.0,62.0,26229.6956007,,
Snappy Convenience Center,5114 S Pulaski Rd,CHICAGO,IL,60632.0,2020-05-15,Pass,,41.7999314754306,-87.7235012824653,SNAPPY CONVENIENCE CENTER,5114 S PULASKI RD,True,False,False,POINT (-87.7235012824653 41.7999314754306),61.0,WEST ELSDON,32711091.4259,62.0,62.0,26229.6956007,,
Chips Food & Liquor Mart,3700  -3704 W 55Th St,CHICAGO,IL,60632.0,2020-05-07,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINST NOROVIRUS. PRIORITY FOUNDATION 7-38-005  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO HAND DRYING PROVISION (PAPER TOWELS) AT HANDWASH SINK IN TOILET ROOM. INSTD TO PROVIDE AT ALL TIMES. PRIORITY FOUNDATION 7-38-030(C) | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: NO FOOD TEMPERATURE MEASURING DEVICE (EX METAL STEM THERMOMETER). INSTD TO PROVIDE AND MAINTAIN ON SITE. PRIORITY FOUNDATION 7-38-005,41.7934219583245,-87.7158746517473,CHIPS FOOD LIQUOR MART,3700 3704 W 55TH ST,True,False,False,POINT (-87.7158746517473 41.7934219583245),61.0,WEST ELSDON,32711091.4259,62.0,62.0,26229.6956007,,
Circle K 6864,5500-5512 S Pulaski Rd,CHICAGO,IL,60629.0,2020-04-27,Pass,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11: NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINST NOROVIRUS. PRIORITY FOUNDATION 7-38-005,41.793155060731,-87.7233037646425,CIRCLE K 6864,55005512 S PULASKI RD,True,False,False,POINT (-87.7233037646425 41.793155060731),61.0,WEST ELSDON,32711091.4259,62.0,62.0,26229.6956007,,
55Th Gas Station Inc.,5456 S Pulaski Rd,CHICAGO,IL,60632.0,2020-04-16,Out Of Business,,41.7933509130027,-87.7233114287702,55TH GAS STATION INC,5456 S PULASKI RD,True,False,False,POINT (-87.7233114287702 41.7933509130027),61.0,WEST ELSDON,32711091.4259,62.0,62.0,26229.6956007,,
Lawndale Mobil Mart,3642 W 59Th St,CHICAGO,IL,60629.0,2019-02-28,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO PROCEDURE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS ON SITE. INSTRUCTED TO IMPLEMENT A PROCEDURE AND PROVIDE ALL NECESSARY SUPPLIES FOR HANDLING THESE EVENTS. PRIORITY FOUNDATION VIOLATION 7-38-005 NO CITATION ISSUED,41.78617283867911,-87.7149418841932,LAWNDALE MOBIL MART,3642 W 59TH ST,True,False,False,POINT (-87.7149418841932 41.78617283867911),61.0,WEST ELSDON,32711091.4259,62.0,62.0,26229.6956007,,
55Th Gas Station,4401 W 55Th St,CHICAGO,IL,60632.0,2013-06-25,Out Of Business,,41.7930064778326,-87.7330257642198,55TH GAS STATION,4401 W 55TH ST,True,False,False,POINT (-87.7330257642198 41.7930064778326),61.0,WEST ELSDON,32711091.4259,62.0,62.0,26229.6956007,,
Walgreens #163,4000 W 59Th St,CHICAGO,IL,60629.0,2010-09-09,Pass,,41.786045162529696,-87.7230264259705,WALGREENS 163,4000 W 59TH ST,True,False,False,POINT (-87.7230264259705 41.786045162529696),61.0,WEST ELSDON,32711091.4259,62.0,62.0,26229.6956007,,
