DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Karma Mini Mart,6214 S Ashland Ave,CHICAGO,IL,60636.0,2025-02-04,Out Of Business,,41.7808033525621,-87.664398538607,KARMA MINI MART,6214 S ASHLAND AVE,True,False,False,POINT (-87.664398538607 41.7808033525621),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,
Rudy'S Food & Liquor,1558 W 69Th St,CHICAGO,IL,60636.0,2024-12-24,Pass,,41.768662295987,-87.6638416537146,RUDYS FOOD LIQUOR,1558 W 69TH ST,True,False,False,POINT (-87.6638416537146 41.768662295987),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,
Kna Food & Liquor,2001 W Marquette Rd,CHICAGO,IL,60636.0,2024-10-28,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15 : OBSERVED A GAP ALONG BOTTOM OF FRONT DOOR MUST MAKE DOOR TIGHT FITTING TO PREVENT RODENT ENTRY. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  4-501.11 Inspector Comments: MUST REPAIR OR REPLACE WORN DOOR GASKETS ON 3- DOOR REACH IN MILK COOLER | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C) : MUST CLEAN EXCESSIVE MOLD AND DIRT BUILD UP ON POP & BEER,MILK REACH IN COOLER SHELVING UNITS,STORAGE CARTS,FAN GUARD COVERS | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-205.15 Inspector Comments: MUST PROVIDE AN EXTENSION TO DRAIN LINE IN WALK IN COOLER TO OPEN SITE FLOOR DRAIN TO PREVENT WATER FROM POOLING ON FLOOR IN SAID AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-201.13 : MUST REPAIR OR REPLACE MISSING AND DAMAGED CEILING TILES,FLOOR TILES ON SALES FLOOR & IN WALK IN COOLER,DAMAGED CONCRETE FLOOR THROUGHOUT PREMISES,DAMAGED & HOLES IN WALLS THROUGHOUT REAR STORAGE AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-501.13 : MUST CLEAN DEBRIS BUILD UP FROM FLOOR UNDER,AROUND,ALONG WALL BASES ON SALES FLOOR THROUGHOUT STORAGE AREAS, WALK IN COOLERS.",41.77196605569,-87.6737717779295,KNA FOOD LIQUOR,2001 W MARQUETTE RD,True,False,False,POINT (-87.6737717779295 41.77196605569),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,
Ashland Liquor,6257 S Ashland Ave,CHICAGO,IL,60636.0,2024-08-29,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED WASTE RECEPTACLE IN THE REAR AREA WASHROOM TO BE UNCOVERED. INSTRUCTED TO MAINTAIN WASHROOM AREA WASTE RECEPTACLES COVERED AND MAINTAIN AT ALL TIMES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOOR BEHIND FRONT COUNTER AND IN REAR STORAGE AREA TO BE SOILED WITH DEBRIS. INSTRUCTED TO CLEAN FLOORS AT ADEQUATE FREQUENCY TO PREVENT BUILD UP OF SOIL AND MAINTAIN.",41.7796146657817,-87.664077489259,ASHLAND LIQUOR,6257 S ASHLAND AVE,True,False,False,POINT (-87.664077489259 41.7796146657817),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,
Damen Citgo,6300 S Damen Ave,CHICAGO,IL,60636.0,2024-08-27,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOOR OF WALK-IN COOLER SOILED WITH DRY FOOD DEBRIS. INSTRUCTED TO CLEAN FLOORS AT ADEQUATE FREQUENCY TO PREVENT BUILD UP OF SOIL AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED INTENSITY OF LIGHTING IN THE REAR WAREWASHING AREA TO BE INSUFFICIENT. INSTRUCTED TO REPAIR OR REPLACE LIGHT FIXTURES TO PROVIDE ADEQUATE LIGHTING FOR THIS AREA AND MAINTAIN.",41.7792269206926,-87.6740527313785,DAMEN CITGO,6300 S DAMEN AVE,True,False,False,POINT (-87.6740527313785 41.7792269206926),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,
Damen Food Mart,6240 S Damen Ave,CHICAGO,IL,60636.0,2024-08-23,Out Of Business,,41.7799215991144,-87.6740624850446,DAMEN FOOD MART,6240 S DAMEN AVE,True,False,False,POINT (-87.6740624850446 41.7799215991144),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,
Family Dollar Inc.,6800 S Ashland Ave,CHICAGO,IL,60636.0,2023-12-05,Pass,,41.7702787561221,-87.6641124326053,FAMILY DOLLAR INC,6800 S ASHLAND AVE,True,False,False,POINT (-87.6641124326053 41.7702787561221),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,
Bp 71 Ashland,7049-7059 S Ashland Ave,CHICAGO,IL,60636.0,2023-10-03,Out Of Business,,41.7652850475375,-87.6636642198603,BP 71 ASHLAND,70497059 S ASHLAND AVE,True,False,False,POINT (-87.6636642198603 41.7652850475375),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,
Racine Mini Mart,5958 S Racine Ave,CHICAGO,IL,60636.0,2023-01-30,Out Of Business,,41.7852078901677,-87.6547926252193,RACINE MINI MART,5958 S RACINE AVE,True,False,False,POINT (-87.6547926252193 41.7852078901677),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,
Rainbow Finer Food & Liquor,6316 S Ashland Ave,CHICAGO,IL,60636.0,2020-12-28,Pass W/ Conditions,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: PIC HAS NO VALID CITY OF OF CHICAGO SANITATION CERTIFICATE. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO VALID CITY OF CHICAGO CERTIFIED FOOD MANAGERS ON DUTY WHILE TCS READY TO EAT FOODS ARE BEING HANDLED AND SERVED SUCH AS (SLICING TURKEY,HAM,ETC)MUST PROVIDE AND MAINTAIN. PRIORITY FOUNDATION CITATION ISSUE #7-38-012. | 3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN A EMPLOYEE HEALTH POLICY AS REQUIRED OR CITATIONS WILL FOLLOW. PRIORITY FOUNDATION VIOLATION #7-38-010. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: PREMISES HAS NO CLEAN UP PROCEDURE OR SUPPLIES FOR RESPONDING TO VOMITING AND DIARRHEA EVENTS AS REQUIRED. MUST COMPLY OR CITATIONS WILL FOLLOW. PRIORITY FOUNDATION VIOLATION #7-38-005. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED PACKAGED FROZEN MEATS WITH NO LABELS: INSTRUCTED MANAGER TO PROPERLY LABEL FOOD ITEMS INSIDE THE REACH IN DISPLAY FREEZER WITH NAME, DATE AND WEIGHT. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN A GARBAGE CAN WITH LID IN WASHROOMS AS REQUIRED.",41.7789224055316,-87.6643526810922,RAINBOW FINER FOOD LIQUOR,6316 S ASHLAND AVE,True,False,False,POINT (-87.6643526810922 41.7789224055316),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,
