DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
R & W Food Mart,3900 W Madison St,CHICAGO,IL,60624.0,2024-11-20,Pass,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: INSTRUCTD TO PROVIDE HAND WASHING SIGNAGE AT WASHBOWL IN TOILET ROOM AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO SEAL ALL LARGE HOLES BETWEEN WALL AND FLOOR IN THE OFFICE/STORAGE SPACE, TOILET ROOM, AND ROOM WHERE UTILITY SINK IS LOCATED IN ORDER TO PREVENT ENTRY ON PREMISE.",41.8808651559037,-87.7233759677506,R W FOOD MART,3900 W MADISON ST,True,False,False,POINT (-87.7233759677506 41.8808651559037),25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,
K Om Food Mart,400 S Kostner Ave,CHICAGO,IL,60624.0,2024-07-12,Pass,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: MUST PROVIDE HAND WASHING SIGNAGE IN TOILET ROOM. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED TO PROVIDE THERMOMETERS INSIDE COOLING UNIT THAT CONTAINS EGGS, CHEESE, POLISH SAUSAGES. MUST MAINTAIN | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER IN REAR STORAGE NEAR UTILITY SINK, INSTRUCTED TO ORGANIZE AND ELEVATE ITEMS AT LEAST 6 INCHES OFF FLOOR AND MAINTAIN.",41.8750962545298,-87.7354299190151,K OM FOOD MART,400 S KOSTNER AVE,True,False,False,POINT (-87.7354299190151 41.8750962545298),25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,
Tooja Food Mart,4035 W Madison St,CHICAGO,IL,60624.0,2024-04-09,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15 OBSERVED FRONT DOORS OF FACILITY NOT RODENT PROOF. INSTRUCTED TO ENCLOSE GAP IN DOUBLE DOORS TO PREVENT PEST ENTRY. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11 OBSERVED CEILING IN THE MIDDLE OF FACILITY PEELING AND FALLING ONTO THE FLOOR. INSTRUCTED TO REPAIR TO BE SMOOTH, EASILY CLEAN, AND MAINTAINED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.13 OBSERVED LARGE HOLE IN FLOOR REAR ROOM WHERE UTILITY SINK AND HOT WATER TANK IS LOCATED. INSTRUCTED TO ENCLOSE TO PREVENT PEST ENTRY.",41.8805993229434,-87.7270821455483,TOOJA FOOD MART,4035 W MADISON ST,True,False,False,POINT (-87.7270821455483 41.8805993229434),25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,
P And L Mini Mart Inc.,304 N Pulaski Rd,CHICAGO,IL,60624.0,2023-09-28,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO VERIFIABLE EMPLOYEE HEALTH POLICY ON SITE AT TIME OF INSPECTION. LEFT TEMPLATE AND INSTRUCTED TO MAINTAIN COPIES OF VERIFIABLE HEALTH POLICY SIGNED BY ALL EMPLOYEES ON SITE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-010. NO CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO KIT AND PROCEDURE ON SITE FOR RESPONDING TO VOMIT AND DIARRHEA AT TIME OF INSPECTION. INSTRUCTED TO MAINTAIN KIT CONTAINING ALL NECESSARY SUPPLIES INCLUDING A SANITIZER RATED AS EFFECTIVE AGAINST NOROVIRUS ON SITE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-005. No CITATION ISSUED. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: FOUND NO THERMOMETERS INSIDE COOLERS. MUST PROVIDE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED TORN/DAMAGED RUBBER GASKET ON DOOR OF THE MILK COOLER IN THE FRONT AREA; INSTRUCTED TO REPAIR OR REPLACE GASKET.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED SOME USE OF MILK CRATES FOR ELEVATION AT THE DRY STORAGE AREA. INSTRUCTED NOT TO USE MILK CRATES FOR ELEVATION TO PREVENT HIDING PLACES FOR PEST. MUST PROVIDE APPROPRIATE SHELVING FOR STORAGE. ALL FOOD ITEMS MUST ALSO BE STORED 6"" AWAY FROM THE WALL  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED EXCESSIVE ACCUMULATED DUST ON THE FAN IN THE CASHIER AREA IN THE FRONT. INSTRUCTED TO CLEAN.(NONFOOD CONTACT SURFACES OF EQUIPMENT)  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOILED MOP HEADS NOT PROPERLY STORED. INSTRUCTED MANAGER TO HANG MOP HEADS TO PREVENT INSECT BREEDING.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNUSED EQUIPMENT AND UNNECESSARY ARTICLES IN STORAGE AREA. INSTRUCTED MANAGER TO REMOVE ALL UNUSED, UNNECSSARY EQUIPMENT AND ARTICLES TO PREVENT PEST HARBORAGE.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DEBRIS ON FLOORS ALONG WALLS AND CORNERS THROUGHOUT FACILITY. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED NON WORKING VENTILATION FAN IN RESTROOM. INSTRUCTED TO REPAIR AND MAINTAIN.",41.8855335510212,-87.7259529067683,P AND L MINI MART INC,304 N PULASKI RD,True,False,False,POINT (-87.7259529067683 41.8855335510212),25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,
Mario Food And Tobacco Inc.,4017 W Madison St,CHICAGO,IL,60624.0,2023-03-22,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED BUILD UP ON INTERIOR OF COOLERS (HOLDING SODA). INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED BUILD UP OF GRIME ON RESTROOM SINK AND TOILET. INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING AND DAMAGED CEILING TILE IN MIDDLE DRY STORAGE AREA. OBSERVED DAMAGED AND MISSING FLOOR TILE IN SALES AREA. INSTRUCTED PERSON IN CHARGE TO REPAIR AND MAINTAIN SMOOTH AND EASILY CLEANABLE.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WALL IN MIDDLE DRY STORAGE ARE BEHIND UTILITY SINK TO BE IN POOR REPAIR WITH BROKEN PLASTER. INSTRUCTED PERSON IN CHARGE TO REPAIR AND MAINTAIN.",41.8806071725979,-87.7263988109842,MARIO FOOD AND TOBACCO INC,4017 W MADISON ST,True,False,False,POINT (-87.7263988109842 41.8806071725979),25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,
Mj Food Mart,734 S Pulaski Rd,CHICAGO,IL,60624.0,2022-12-07,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: THE WASHROOM DOOR IS NOT SELF-CLOSING.  MANAGEMENT INSTRUCTED TO INSTALL A SELF-CLOSING DOOR DEVICE ON THE WASHROOM DOOR.",41.8714637960374,-87.7255129507798,MJ FOOD MART,734 S PULASKI RD,True,False,False,POINT (-87.7255129507798 41.8714637960374),25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,
Madison Pulaski Food Mart,4047 W Madison St,CHICAGO,IL,60624.0,2022-10-31,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE FLOORS THROUGHOUT THE FACILITY WITH A BUILD UP OF DIRT, DUST AND SMALL DEBRIS BEHIND COOLING UNITS AND SHELVING UNITS.  INSTTRUCTED TO CLEAN AND MAINTAIN ALL AREAS FROM THE REAR OF THE FACILITY TO THE FRONT.",41.880593643443,-87.7275381587382,MADISON PULASKI FOOD MART,4047 W MADISON ST,True,False,False,POINT (-87.7275381587382 41.880593643443),25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,
Mobile Gas,3940 W Washington Blvd,CHICAGO,IL,60624.0,2021-11-02,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: PREMISES HAS NO CLEAN UP PROCEDURES OR SUPPLIES TO CLEAN UP VOMIT AND DIARRHEAL EVENTS. MUST PROVIDE SUPPLIES OR BODY FLUID SPILL KIT. PRIORITY FOUNDATION VIOLATION. 7-38-005. NO CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SIGNS AT BATHROOM HANDWASHING SINKS. MUST PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED LITTER AND UNNECESSARY BOXES INSIDE DRY STORAGE AREA. INSTRUCTED TO CLEAN, REMOVE AND MAINTAIN.",41.8819609333437,-87.7248580001338,MOBILE GAS,3940 W WASHINGTON BLVD,True,False,False,POINT (-87.7248580001338 41.8819609333437),25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,
John Liquors,260-264 N Pulaski Rd,CHICAGO,IL,60624.0,2020-08-25,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO WRITTEN CLEAN UP PROCEDURE POSTED ON SITE FOR RESPONDING TO VOMIT AND DIARRHEA EVENTS THAT CAN OCCUR IN THE ESTABLISHMENT. INSTRUCTED TO PROVIDE AND MAINTAIN. PRIORITY FOUNDATION VIOLATION. 7-38-005. NO CITATION ISSUED | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED REAR STORAGE AREA FLOORS IN NEED OF SWEEPING UNDER LIQUOR STORAGE RACKS. MUST MAINTAIN.",41.8852672243695,-87.7259475795015,JOHN LIQUORS,260264 N PULASKI RD,True,False,False,POINT (-87.7259475795015 41.8852672243695),25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,
Dynamic Food & Liquor,301 S Pulaski Rd Bldg,CHICAGO,IL,60624.0,2020-07-30,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments:  OBSERVED NO WRITTEN PROCEDURES OR SUPPLIES FOR RESPONDING TO VOMITING OR DIARRHEAL EVENTS. SUPPLIES MUST INCLUDE ADEQUATE SANITIZER THAT ELIMINATES NOROVIRUS. INSTRUCTED FACILITY TO PROVIDE CLEAN UP POLICY AND SUPPLIES TO PROPERLY HANDLE BODILY FLUID SPILLS ON SITE. PRIORITY FOUNDATION VIOLATION #7-38-005. NO CITATION ISSUED.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WATER STAINED CEILING. INSTRUCTED TO REPLACE THE STAINED CEILING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CHIPPED PAINT ON CEILING ON THE SALES. INSTRUCTED TO RESURFACE AND REPAINT CHIPPED AREAS TO CEILING, SMOOTH AND EASILY CLEANABLE.",41.877044585224,-87.7253976993021,DYNAMIC FOOD LIQUOR,301 S PULASKI RD BLDG,True,False,False,POINT (-87.7253976993021 41.877044585224),25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,
