DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
7-Eleven,4500 W 63Rd St,CHICAGO,IL,60629.0,2024-11-18,Pass,"54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: MISSING TRASH RECEPTACLE AT REAR HANDWASH SINK. INSTD TO PROVIDE AND MAINTAIN IN SAME AREA FOR DISCARDING OF PAPER TOWELS/REFUSE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: UNFINISHED DRY WALL NOTED BEHIND SYRUP DISPENSING/SYRUP BOXES. INSTD TO FINISH WALL SO AS TO BE SMOOOTH, NON POROUS AND EASILY CLEANABLE. WALL NEAR BASE ACROSS FROM WALK IN COOLER DOOR IN DISREPAIR, WITH LARGE OPENINGS AND CRUMBLING SURFACE. INSTD TO REPAIR AND MAINTAIN SAME",41.7786249931406,-87.7350293641059,7ELEVEN,4500 W 63RD ST,True,False,False,POINT (-87.7350293641059 41.7786249931406),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
La Familia Dollar Plus,4019 W 63Rd St,CHICAGO,IL,60629.0,2024-10-07,Out Of Business,,41.7785365421852,-87.7236423388184,LA FAMILIA DOLLAR PLUS,4019 W 63RD ST,True,False,False,POINT (-87.7236423388184 41.7785365421852),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
7- Eleven,4001 W 59Th St,CHICAGO,IL,60629.0,2022-06-03,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments:  OBSERVED 1/4"" GAP ON BOTTOM LEFT CORNER OF REAR DOOR. INSTRUCTED MANAGER TO SEAL ALL OUTER OPENINGS ON DOOR TO PREVENT PEST ENTRY. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  OBSERVED SPILLS AND DEBRIS ON INTERIOR AND EXTERIOR SURFACES OF DISPLAY SHELVES IN SALES AREA AND BEHIND FRONT COUNTER, BEVERAGE MACHINES, CUP HOLDERS, CABINETS IN BEVERAGE AREA.INSTRUCTED MANAGER TO CLEAN AND MAINTAIN.",41.7858256936219,-87.7230190711659,7 ELEVEN,4001 W 59TH ST,True,False,False,POINT (-87.7230190711659 41.7858256936219),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
Rayan'S Food Mart,4201 W 59Th St,CHICAGO,IL,60629.0,2020-12-08,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: CLUTTER IN REAR STORAGE AREA. INSTD TO REMOVE AND ORGANIZE AREA.",41.7857757495591,-87.7279096385711,RAYANS FOOD MART,4201 W 59TH ST,True,False,False,POINT (-87.7279096385711 41.7857757495591),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
Family Dollar Store #10874,6540 S Pulaski Rd,CHICAGO,IL,60629.0,2020-08-11,Pass,,41.7737656619844,-87.7227811540202,FAMILY DOLLAR STORE 10874,6540 S PULASKI RD,True,False,False,POINT (-87.7227811540202 41.7737656619844),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
Dollar Mix,3858 W 63Rd St,CHICAGO,IL,60629.0,2020-07-23,Pass,57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: 2-102.13: NO FOOD HANDLER TRAINING FOR EMPLOYEES. INSTD TO PROVIDE TRAINING FOR ALL FOOD HANDLERS AND MAINTAIN VERIFICATION,41.7788069757866,-87.7201876875426,DOLLAR MIX,3858 W 63RD ST,True,False,False,POINT (-87.7201876875426 41.7788069757866),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
Quick Stop Food & Liquor,3800 W 63Rd St,CHICAGO,IL,60629.0,2020-06-25,Pass,,41.7788424583534,-87.7179800026885,QUICK STOP FOOD LIQUOR,3800 W 63RD ST,True,False,False,POINT (-87.7179800026885 41.7788424583534),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
Dollar Mix,3822 W 63Rd St,CHICAGO,IL,60629.0,2020-06-25,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINST NOROVIRUS. PRIORITY FOUNDATION 7-38-005.  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: MISSING FOOD TEMPERATURE MEASURING DEVICE (EX METAL STEM THERMOMETER). INSTD TO PROVIDE AND MAINTAIN SAME. PRIORITY FOUNDATION 7-38-005.,41.7788279671668,-87.7188181586423,DOLLAR MIX,3822 W 63RD ST,True,False,False,POINT (-87.7188181586423 41.7788279671668),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
Dollar And Grocery La Pequenita,6059 S Kildare Ave,CHICAGO,IL,60629.0,2020-06-10,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINST NOROVIRUS. PRIORITY FOUNDATION 7-38-005 | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: MISSING FOOD TEMPERATURE MEASURING DEVICE (EX METAL STEM THERMOMETER). INSTD TO PROVIDE AND MAINTAIN SAME. PRIORITY FOUNDATION 7-38-005,41.7823092173271,-87.7300461738826,DOLLAR AND GROCERY LA PEQUENITA,6059 S KILDARE AVE,True,False,False,POINT (-87.7300461738826 41.7823092173271),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
On The Go Amoco Iii,6702 S Pulaski Rd,CHICAGO,IL,60629.0,2020-04-20,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: 2-102.14(O): NO EMPLOYEE HEALTH POLICY IN PLACE. INSTD TO PROVIDE A VERIFIABLE EMPLOYEE ACKNOWLEDGED HEALTH POLICY AND MAINTAIN. PRIORITY FOUNDATION. 7-38-010 | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments:  5-204.11: NO HANDWASH SINK IN REAR WAREWASHING AREA. INSTD TO PROVIDE HANDWASH SINK UNDER CITY PRESSURE WITH HOT RUNNING WATER 100F-120F IN SAME AREA. PRIORITY FOUNDATION 7-38-030(C). | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments:  5-204.12: UNABLE TO LOCATE BACK FLOW DEVICE AT WATER LINE OF CAPPUCINO MACHINE. INSTD TO BE ACEESSIBLE AND ABLE TO LOCATE FOR SERVICE AND MAINTAINENCE. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments:  2-102.13: MISSING FOOD HANDLER TRAINING FOR EMPLOYEES. INSTD TO OBTAIN TRAINING AND MAINTAIN.",41.7712669977125,-87.7227197264544,ON THE GO AMOCO III,6702 S PULASKI RD,True,False,False,POINT (-87.7227197264544 41.7712669977125),64.0,WEST LAWN,82315301.6831,65.0,65.0,41934.4901309,,
