DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Cent N 4 Convenient Store,12315 S State St,CHICAGO,IL,60628.0,2024-06-17,Out Of Business,,41.6702523999279,-87.6222719561747,CENT N 4 CONVENIENT STORE,12315 S STATE ST,True,False,False,POINT (-87.6222719561747 41.6702523999279),52.0,WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008,,
Walgreens # 09357,833 W 115Th St,CHICAGO,IL,60643.0,2022-11-14,Pass,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGNS AT HAND WASHING SINKS. INSTRUCTED MANAGER TO PROVIDE HAND WASHING SIGNS AT ALL HAND WASHING SINKS USED BY EMPLOYEES. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED 1/2"" GAP ON BOTTOM OF WEST DOOR AT ENTRANCE. INSTRUCTED MANAGER TO SEAL ALL OUTER OPENINGS ON DOOR TO PREVENT PEST ENTRY. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED ACCUMULATED DUST, DIRT AND DEBRIS ON INTERIOR AND EXTERIOR SURFACES OF SHELVING UNITS, DISPLAY SHELVES, IN SALES, CHECKSTAND AND STORAGE AREAS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED ACCUMULATED DUST, DIRT AND DEBRIS ON FLOORS UNDER ALL EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN SALES, STORAGE, FRONT COUNTER, AND PHOTO AREAS. OBSERVED DUST BUILDUP ON CEILING VENTS IN SALES AREA. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WATER STAINED CEILING TILES IN SALES AREA. INSTRUCTED MANAGER TO REPLACE.",41.6849548568018,-87.6434711248875,WALGREENS 09357,833 W 115TH ST,True,False,False,POINT (-87.6434711248875 41.6849548568018),52.0,WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008,,
Citgo Fuel& Mini Mart,11600-11604 S Michigan Ave,CHICAGO,IL,60628.0,2022-09-30,Out Of Business,,41.6825099084338,-87.620803402825,CITGO FUEL MINI MART,1160011604 S MICHIGAN AVE,True,False,False,POINT (-87.620803402825 41.6825099084338),52.0,WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008,,
1 Stop & Shop Inc.,12201-12209 S Halsted St,CHICAGO,IL,60628.0,2020-10-19,Out Of Business,,41.6722695974314,-87.6415764808411,1 STOP SHOP INC,1220112209 S HALSTED ST,True,False,False,POINT (-87.6415764808411 41.6722695974314),52.0,WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008,,
Community Gas And Bp,150 W 127Th St,CHICAGO,IL,60628.0,2020-07-16,Pass,,41.6635025900135,-87.6265061118898,COMMUNITY GAS AND BP,150 W 127TH ST,True,False,False,POINT (-87.6265061118898 41.6635025900135),52.0,WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008,,
J & B Liquors Inc,12258 S Michigan Ave,CHICAGO,IL,60628.0,2020-06-30,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: PREMISES HAS NO CLEAN UP PROCEDURE OR SUPPLIES FOR RESPONDING TO VOMITING AND/OR DIARRHEA EVENTS. INSTRUCTED MANAGER TO COMPLY WITH THE NEW CODE OR CITATIONS WILL FOLLOW. PRIORITY FOUNDATION VIOLATION #7-38-005. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS THROUGH OUT PREMISES IN POOR REPAIR MISSING AND/OR BROKEN TILES. MUST REPAIR FLOORS SMOOTH AND EASILY CLEANABLE.",41.6708064135903,-87.620438254914,J B LIQUORS INC,12258 S MICHIGAN AVE,True,False,False,POINT (-87.620438254914 41.6708064135903),52.0,WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008,,
"S & B Food & Liquors, Inc.",11900 S Michigan Ave,CHICAGO,IL,60628.0,2020-06-26,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: PREMISES HAS NO CLEAN UP PROCEDURES OR SUPPLIES FOR RESPONDING TO VOMITING AND/OR DIARRHEA EVENTS. INSTRUCTED MANAGER TO COMPLY OR CITATIONS WILL FOLLOW. PRIORITY FOUNDATION VIOLATION #7-38-005. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST DEFROST AND CLEAN THE INTERIOR OF THE REACH FREEZER AND CLEAN THE INSIDE OF THE REACH IN COOLER TO REMOVE SPILLS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DAMAGED CEILING TILES IN THE FRONT SELLING AREA. MUST REPLACE AND MAINTAIN.",41.678010697061104,-87.6206545872139,S B FOOD LIQUORS INC,11900 S MICHIGAN AVE,True,False,False,POINT (-87.6206545872139 41.678010697061104),52.0,WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008,,
Family Dollar Store #7361,829 W 119Th St,CHICAGO,IL,60643.0,2020-04-14,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO EMPLOYEE CLEAN UP PROCEDURE FOR VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE WITH ALL THE NECESSAY ITEMS REQUIRED INCLUDING DISPOSABLE GLOVES,FACE MASK, DISPOSABLE MOP AND APPROPRIATE SANITIZER FOR NOROVIRUS. PRIORITY FOUNDATION | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED BOTTOM AREAS OF FRONT DOUBLE DOORS NOT RODENT PROOFED AT BOTTOM AREAS. INSTRUCTED TO REPAIR TO BE TIGHT-FITTING. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED DISPLAY STORAGE SHELF UNITS NOT CLEAN OF DEBRIS IN DOG FOOD TREAT  AREA, REAR STORAGE CHEMICAL STORAGE UNIT. INSTRUCTED TO CLEAN/MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED RECEPTACLE IN WASHROOMS. INSTRUCTED ALL WASHROOMS USED BY FEMALES MUST HAVE A COVERED RECEPTACLE FOR SANITARY NAPKINS. MUST PROVIDE. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OUTSIDE GARBAGE AREA NOT MAINTAINED  OF ( BAGS, TRASH, CUPS,ETC)IN REAR OF STORE. INSTRUCTED TO CLEAN/MAINTAIN AREA | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOORS NOT CLEAN OF DUST, DIRT UNDER DISPLAY STORAGE UNITS, FRONT CASHIER CHIP AND CANDY STANDS, REAR BREAKROOM AREA, BOTH WASHROOMS, MOP SINK AREA,REAR STORAGE AREA. INSTRUCTED TO THROUGHLY CLEAN ALL AREAS. MUST MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOILED DIRTY MOPS STORED INSIDE MOP SINK. INSTRUCTED TO CLEAN AND PROPERLY HAND MOPS OR INVERT.",41.6776889843107,-87.6430261266861,FAMILY DOLLAR STORE 7361,829 W 119TH ST,True,False,False,POINT (-87.6430261266861 41.6776889843107),52.0,WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008,,
J & W Food & Liquors,21 W 119Th St,CHICAGO,IL,60628.0,2018-03-19,Pass,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: REPLACE MISSING BASEBOARDS ALONG WALLS IN ALL AREAS. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: INSTALL MECHANICAL VENTILATION IN WASHROOM.",41.6779042487862,-87.623640295021,J W FOOD LIQUORS,21 W 119TH ST,True,False,False,POINT (-87.623640295021 41.6779042487862),52.0,WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008,,
Michigan Quick Mart Inc,11956 S Michigan Ave,CHICAGO,IL,60628.0,2018-03-09,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN INTERIOR AND EXTERIOR OF EXPOSED SINK, 3-COMPARTMENT SINK, UTILITY SINK, COOLERS, FREEZERS, DISPLAY AND STORAGE SHELVES IN FRONT, SALES, AND STORAGE AREAS. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOORS NEED CLEANING UNDER ALL EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN FRONT COUNTER, SALES, AND STORAGE AREAS(CIGARETTE BUTTS, ASHES, DEBRIS). RELACE MISSING FLOOR TILES IN WASHROOM. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: REPLACE MISSING CEILING TILES IN REAR STORAGE AREA. CLEAN VENTILATION FAN IN WASHROOM.   | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: ELEVATE ALL STOCK OFF FLOOR IN SALES AND STORAGE AREAS. REMOVE ALL ITEMS FOR EXPOSED AND 3-COMPARTMENT SINKS. REMOVE SOILED WATER IN MOP PAIL TO PREVENT INSECT BREEDING.",41.6763386956795,-87.6206073342895,MICHIGAN QUICK MART INC,11956 S MICHIGAN AVE,True,False,False,POINT (-87.6206073342895 41.6763386956795),52.0,WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008,,
