DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
D And D Foodmart,2000 W Devon Ave,CHICAGO,IL,60659.0,2025-03-10,Pass,36. THERMOMETERS PROVIDED & ACCURATE - Comments: SOME COOLERS MISSING THERMOMETERS. INSTRUCTED MANAGER MUST PROVIDE WORKING THERMOMETERS FOR ALL COOLERS. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: BACKFLOW PREVENTION DEVICE NOT LOCATED AT MOP SINK. INSTRUCTED MANAGER MUST PROVIDE AND MAKE VISIBLE A BACKFLOW PREVENTION DEVICE FOR MOP SINK.,41.998003769952,-87.6802004227905,D AND D FOODMART,2000 W DEVON AVE,True,False,False,POINT (-87.6802004227905 41.998003769952),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,
Someria Food Mart Inc.,2814 W Devon Ave,CHICAGO,IL,60659.0,2024-12-05,Pass,40. PERSONAL CLEANLINESS - Comments:  2-402.11---- ALL FOOD HANDLERS MUST WEAR EFFECTIVE HAIR RESTRAINTS INCLUDING BEARD RESTRAINTS. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments:  2-102.13---- NO PROOF OF FOOD HANDLER TRAINING OR CERTIFICATES ON SITE FOR ALL REQUIRED EMPLOYEES.,41.9976589831736,-87.700297039657,SOMERIA FOOD MART INC,2814 W DEVON AVE,True,False,False,POINT (-87.700297039657 41.9976589831736),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,
Someria Food Mart Inc.,2812-1/2 W Devon Ave,CHICAGO,IL,60659.0,2024-11-26,Out Of Business,,41.9976605449365,-87.700212519329,SOMERIA FOOD MART INC,281212 W DEVON AVE,True,False,False,POINT (-87.700212519329 41.9976605449365),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,
7-Eleven #27100E,2741 W Touhy Ave,CHICAGO,IL,60645.0,2024-09-05,Pass,"52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: NO GREASE TRAP AT 3-COMPARTMENT SINK. MUST PROVIDE AND MAKE KNOWN A GREASE TRAP FOR 3-COMPARTMENT SINK. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOOR LITTERED IN OFFICE UNDER SHELVES AND ALONG CORNERS. MUST CLEAN FLOOR THROUGHOUT OFFICE AND MAINTAIN.",42.0119770258814,-87.6989872076418,7ELEVEN 27100E,2741 W TOUHY AVE,True,False,False,POINT (-87.6989872076418 42.0119770258814),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,
Afsar Paan Shop Inc.,6352 N Claremont Ave,CHICAGO,IL,60659.0,2023-05-15,Pass,51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND NO MOP SINK AT PREMISES WITH VACUUM BREAKER. MUST PROVIDE.,41.9974875476565,-87.6888017984898,AFSAR PAAN SHOP INC,6352 N CLAREMONT AVE,True,False,False,POINT (-87.6888017984898 41.9974875476565),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,
Nirav Express,2646 W Devon Ave,CHICAGO,IL,60659.0,2023-02-09,Out Of Business,,41.9977219014775,-87.6966411028697,NIRAV EXPRESS,2646 W DEVON AVE,True,False,False,POINT (-87.6966411028697 41.9977219014775),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,
Peterson Food Mart,2534 W Peterson Ave,CHICAGO,IL,60659.0,2022-06-07,Pass,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SIGNAGE AT THE HANSDINK  LOCATED IN THE TOILETROOM IN THE REAR. INSTRUCTED TO PROVIDE HANDWASHING SIGNAGE AND MAINTAIN. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO THERMOMETER IN THE DELI MEAT AND DAIRY COOLER. INSTRUCTED TO PROVIDE A THERMOMETER IN ALL COOLING UNITS AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO BACKFLOW PREVENTION DEVICE ON THE WATER LINE TO THE  UTILITY SINK IN THE REAR CLOSET.  INSTRUCTED TO PROVIDE BACKFLOW PREVENTION DEVICE THAT CAN BE SERVICED AND EASILY LOCATED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DIRT ON FLOORS IN DRY STORAGE ROOM, WALK-IN COOLER, AND UNDERNEATH SHELVING UNITGS, AND THROUGHOUT ESTABLISHMENT. INSTRUCTED TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED BROKEN AND CRACKED CEILING TILES IN THE DRY STORAGE ROOM LOCATED IN THE REAR. ALSO OBSERVED TOILET SEAT IN TOILET ROOM WITH PEELING PAINT. INSTRUCTED TO REPAIR CELING TILES AND REFINISH TOILET SEAT AND  MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: REAR CLOSET AREA CLUTTERED WITH UNECESSARY AND UNUSED ITEMS SUCH AS CEMENT , FAN, AND CHRISTMAS DECORATIONS. MUST CLEAN AND MAINTAIN AREAS AND STORE ALL ITEMS TO FACILIATE CLEANING AND TO PREVENT PEST HARBORAGE.",41.990585214688,-87.6935345217774,PETERSON FOOD MART,2534 W PETERSON AVE,True,False,False,POINT (-87.6935345217774 41.990585214688),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,
Arco,2746-2758 W Peterson Ave,CHICAGO,IL,60659.0,2022-05-10,Pass,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED TO PROVIDE THERMOMETER VISIBLE INSIDE WALK-IN COOLER AND INSIDE REACH-IN COOLER. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: INSTRUCTED TO RODENT PROOF BOTTOM CORNER OF FRONT ENTRANCE/EXIT DOOR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN AND MAINTAIN FLOORS ALONG THE WALLS AND IN ALL CORNERS IN FRONT DISPLAY AREA. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOOD HANDLERS  WITH NO PROOF OF FOOD HANDLER TRAINING CERTIFICATE.  INSTRUCTED TO PROVIDE CERTIFICATE FOR EACH EMPLOYEE.",41.9905556322176,-87.6988714909539,ARCO,27462758 W PETERSON AVE,True,False,False,POINT (-87.6988714909539 41.9905556322176),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,
Family Convenience/Grocery Store,2411 W Lunt Ave,CHICAGO,IL,60645.0,2021-08-27,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO VOMIT AND DIARRHEAL CLEAN UP PROCEDURE WITH SPILL KIT. PRIORITY FOUNDATION.NO CITATION ISSUED. 7-38-005. MUST PROVIDE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND NO BACKFLOW PREVENTION DEVICE AT MOP SINK FAUCET.MUST PROVIDE WHERE IT CAN BE LOCATED AND SERVICED. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: FOUND NO EXHAUST VENT INSIDE RESTROOM.MUST PROVIDE.,42.0085364353813,-87.6906495759569,FAMILY CONVENIENCEGROCERY STORE,2411 W LUNT AVE,True,False,False,POINT (-87.6906495759569 42.0085364353813),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,
Day Night,6403 N Oakley Ave,CHICAGO,IL,60645.0,2021-08-25,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO VOMIT AND DIARRHEAL CLEANUP PROCEDURE WITH SPILL KIT.PRIORITY FOUNDATION. NO CITATION ISSUED.7-38-005.MUST PROVIDE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND NO UTILITY SINK WITH BACKFLOW PREVENTION DEVICE. MUST PROVIDE.,41.9979228160621,-87.687305563978,DAY NIGHT,6403 N OAKLEY AVE,True,False,False,POINT (-87.687305563978 41.9979228160621),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,
