DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
7-Eleven #35978A,504 N Halsted St,CHICAGO,IL,60642.0,2024-12-13,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: REMOVE THE EXCESSIVE BOXES AND CLUTTER ON THE FLOOR OF THE WASHROOMS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: CLEAN THE FLOOR OF THE SIDE STOCKROOM LOCATED NEXT TO THE WASHROOM.",41.8913637037447,-87.6477684729125,7ELEVEN 35978A,504 N HALSTED ST,True,False,False,POINT (-87.6477684729125 41.8913637037447),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,
"Rich'S Deli & Liquor, Inc",857 N Western Ave,CHICAGO,IL,60622.0,2024-11-21,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED FOIL LINING THE SHELVING IN THE THREE COMP SINK AREA IN THE MAIN KITCHEN AND ALSO LINING THE SHELVING ACROSS FROM THE WALK IN COOLING UNIT.  INSTRUCTED TO REMOVE ALL.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED BROKEN SELF CLOSING DEVICE ON TOILET ROOM DOOR IN THE MAIN KITCHEN AREA.  INSTRUCTED TO REPAIR AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER OF BOXES AND OUT OF DATE ITEMS IN THREE COMPARTMENT SINK AREA.  INSTRUCTED TO CLEAN AND MAINTAIN AREA AS A MEANS OF PREVENTING POSSIBLE HARBORING SPACE FOR PEST AND OR INSECTS.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED GREASE BUILD UP ON THE HOOD VENTIALTION SYSTEM AND FILTERS IN THE MAIN KITCHEN AREA. INSTRUCTED TO CLEAN AND MAINTAIN.  | 58. ALLERGEN TRAINING AS REQUIRED - Comments: OBSERVED NO ALLERGEN TRAINING CERTIFICATION FOR VIKRORIIA ANIKIIENKO (NEW CERTIFIED MANAGER PENDING) INSTRUCTED TO OBTAIN AND PROVIDE ON SITE.",41.8974609844909,-87.6867385576512,RICHS DELI LIQUOR INC,857 N WESTERN AVE,True,False,False,POINT (-87.6867385576512 41.8974609844909),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,
Foxtrot,1576 N Milwaukee,CHICAGO,IL,60622.0,2024-05-30,Out Of Business,,41.91005984346,-87.6771912342113,FOXTROT,1576 N MILWAUKEE,True,False,False,POINT (-87.6771912342113 41.91005984346),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,
Grand Beer Wine Spirits,1142 W Grand Ave,CHICAGO,IL,60642.0,2024-02-13,Pass,51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO SERVICE SINK ON SITE. INSTRUCTED MANAGER TO INSTALL SERVICE SINK.,41.8912017603319,-87.6562947219871,GRAND BEER WINE SPIRITS,1142 W GRAND AVE,True,False,False,POINT (-87.6562947219871 41.8912017603319),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,
Circle K,1605 N Western Ave,CHICAGO,IL,60647.0,2024-02-05,Pass,,41.9105187439745,-87.6870793429164,CIRCLE K,1605 N WESTERN AVE,True,False,False,POINT (-87.6870793429164 41.9105187439745),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,
7- Eleven #33734J,1508 N Damen Ave,CHICAGO,IL,60622.0,2023-12-29,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED SOME USE OF MILK CRATES FOR ELEVATION AT THE DRY STORAGE AREA. INSTRUCTED NOT TO USE MILK CRATES FOR ELEVATION TO PREVENT HIDING PLACES FOR PEST. MUST PROVIDES APPROPRIATE SHELVING FOR STORAGE. ALL FOOD ITEMS MUST ALSO BE STORED 6"" AWAY FROM THE WALL  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOILED MOP HEAD NOT PROPERLY STORED. INSTRUCTED MANAGER TO HANG MOP HEADS TO PREVENT INSECT BREEDING.  | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments:  OBSERVED NO FOOD HANDLER CERTIFICATES ON SITE AT THE TIME OF INSPECTION. INSTRUCTED ALL EMPLOYEES MUST COMPLETE FOOD HANDLER TRAINING AND MAINTAIN RECORDS THEREOF ON SITE AT ALL TIMES.",41.9085444309084,-87.677556941453,7 ELEVEN 33734J,1508 N DAMEN AVE,True,False,False,POINT (-87.677556941453 41.9085444309084),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,
Walgreens #15065,1601 N Milwaukee Ave,CHICAGO,IL,60647.0,2023-12-06,Out Of Business,,41.9106081376602,-87.6775772790499,WALGREENS 15065,1601 N MILWAUKEE AVE,True,False,False,POINT (-87.6775772790499 41.9106081376602),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,
Crespo Food & Liquor,2157 W North Ave,CHICAGO,IL,60647.0,2023-11-17,Out Of Business,,41.91028618686,-87.6821512899027,CRESPO FOOD LIQUOR,2157 W NORTH AVE,True,False,False,POINT (-87.6821512899027 41.91028618686),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,
Family Dollar #2668,2700 W Division St,CHICAGO,IL,60622.0,2023-06-20,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO KIT AND PROCEDURE ON SITE FOR RESPONDING TO VOMIT AND DIARRHEA. LEFT ONE PAGER AND INSTRUCTED TO MAINTAIN PROCEDURE AND KIT WITH ALL NECESSARY SUPPLIES, INCLUDING A SANITIZER RATED AS EFFECTIVE AGAINST NOROVIRUS ON SITE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-005. CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SIGNAGE IN THE EMPLOYEE TOILET ROOM. INSTRUCTED TO PROVIDE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED TOILET IN THE EMPLOYEE TOILET ROOM IS HARD TO FLUSH. INSTRUCTED TO CORRECT. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED TRASH RECEPTACLE INSIDE THE WOMEN'S EMPLOYEE TOILET ROOM. INSTRUCTED TO PROVIDE. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED SOME TRASH AND DEBRIS ON THE GROUND IN THE ALLEY AROUND THE DUMPSTERS. INSTRUCTED TO REMOVE AND MAINTAIN IN GOOD CONDITION. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOORS AND CEILINGS THROUGHOUT THE FACILITY ARE CRACKED AND BROKEN. INSTRUCTED TO REPAIR OR REPLACE AND MAINTAIN IN GOOD CONDITION.",41.9030562898127,-87.6945408929807,FAMILY DOLLAR 2668,2700 W DIVISION ST,True,False,False,POINT (-87.6945408929807 41.9030562898127),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,
Division & Noble Amoco,1334 W Division St,CHICAGO,IL,60622.0,2022-09-20,Pass,,41.9035352442239,-87.6619319996341,DIVISION NOBLE AMOCO,1334 W DIVISION ST,True,False,False,POINT (-87.6619319996341 41.9035352442239),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,
