DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
63Rd Street Food Mart,6359 S Dr Martin Luther King Jr Dr,CHICAGO,IL,60637.0,2025-04-21,Out Of Business,,41.778490647369,-87.6154378195282,63RD STREET FOOD MART,6359 S DR MARTIN LUTHER KING JR DR,True,False,False,POINT (-87.6154378195282 41.778490647369),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
Han / Citgo,6700-6710 S Cottage Grove Ave,CHICAGO,IL,60637.0,2024-12-09,Pass,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LEAKS AT THE FAUCETS OF THE EXPOSED HAND SINK AND THREE COMP SINK IN THE DISHWASHING AREA; INSTRUCTED TO REPAIR. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: TOILET BOWL COVER MISSING FOR TOILET IN EMPLOYEE WASHROOM; INSTRUCTED TO REPLACE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: INSTRUCTED TO CLEAN PLUMBING FIXTURES (TOILET AND SINK) AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: FOUND NO SELF CLOSING DEVICE ON WASHROOM DOOR; INSTRUCTED TO INSTALL A SELF CLOSING DEVICE ON WASHROOM DOOR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN THE VENTILATION FAN ON THE CEILING OF THE WASHROOM TO REMOVE DUST.  INSTRUCTED TO CLEAN THE FAN GUARD COVERS ON THE FANS INSIDE OF THE WALK-IN COOLER TO REMOVE DUST.  INSTRUCTED TO CLEAN THE FLOORS UNDER SHELVES ON THE SELLING FLOOR, IN STORAGE ROOM, IN WALK-IN COOLER AND FLOOR DRAIN AT THREE COMP SINK.",41.7730478218863,-87.6059130528716,HAN CITGO,67006710 S COTTAGE GROVE AVE,True,False,False,POINT (-87.6059130528716 41.7730478218863),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
"Green Foods & Liquor, Inc.",1026 E 67Th St,CHICAGO,IL,60637.0,2024-10-03,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED A MISSING SLIDING DOOR TO THE ICE CREAM FREEZER IN BUTCHER AREA STORING POPSICLES; INSTRUCTED TO REPLACE.  UNIT IS HOLDING AT PROPER TEMPERATURE AT THIS TIME. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED THE SHELVES STORING SODA ON THE SELLING FLOOR NEED CLEANING; CLEAN SHELVES WHERE NEEDED. OBSERVED THE INTERIOR SHELVES OF THE REFRIGERATION AND FREEZER UNITS NEED CLEANING; CLEAN WHERE NEEDED.  ALSO INSTRUCTED TO CLEAN THE INTERIOR PANEL OF THE ICE MACHINE AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: THE BOTTOM AREA OF THE TOILET AND THE AREA AROUND THE SINK FAUCET IN THE WASHROOM NEED CLEANING; CLEAN AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: FOUND NO SELF CLOSING DEVICE ON THE EMPLOYEE WASHROOM DOOR; INSTRUCTED TO INSTALL A SELF CLOSING DEVICE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DUST ON THE VENTILATION FAN IN THE EMPLOYEE WASHROOM ON THE CEILING; INSTRUCTED TO CLEAN TO REMOVE DUST. CORRECTED ON SITE. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: INSTRUCTED THAT A FOOD HANDLER CERTIFICATE IS NEEDED FOR EMPLOYEE WORKING IN THE BUTCHER AREA; MUST OBTAIN.",41.7733089702171,-87.5997511135584,GREEN FOODS LIQUOR INC,1026 E 67TH ST,True,False,False,POINT (-87.5997511135584 41.7733089702171),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
67Th Quick Mart,556 E 67Th St,CHICAGOC,IL,60637.0,2021-03-16,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO VOMIT AND DIARRHEA CLEAN UP PROCEDURE ON PREMISES AS REQUIRED; MUST PROVIDE.  INSTRUCTED THE PERSON IN CHARGE THAT A VOMIT AND DIARRHEA CLEAN UP PROCEDURE MUST BE DOCUMENTED AND THE NECESSARY SUPPLIES ON HAND IN THE EVENT OF A VOMIT AND DIARRHEAL INCIDENT ON PREMISES.  PRIORITY FOUNDATION VIOLATION 7-38-005. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED REAR EXIT DOOR NOT COMPLETELY RODENT PROOFED AT THE BOTTOM; INSTRUCTED TO COMPLETELY RODENT PROOF REAR EXIT DOOR. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: FOUND NO SELF CLOSING DEVICE ON WASHROOM DOOR; INSTRUCTED TO INSTALL A SELF CLOSING DEVICE.",41.7731636066522,-87.6107761756431,67TH QUICK MART,556 E 67TH ST,True,False,False,POINT (-87.6107761756431 41.7731636066522),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
Citgo Fuel & Mini Mart,6700 S Cottage Grove Ave,CHICAGO,IL,60637.0,2018-02-21,Out Of Business,,41.7730478218863,-87.6059130528716,CITGO FUEL MINI MART,6700 S COTTAGE GROVE AVE,True,False,False,POINT (-87.6059130528716 41.7730478218863),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
"E R & J Food & Liquor, Inc",654-658 E 67Th St,CHICAGO,IL,60637.0,2017-12-18,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: REMOVE ALL SOILED AND STAINED CARDBOARD TRAYS ON CHIP DISPLAY SHELVES. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN INTERIOR AND EXTERIOR OF ALL DISPLAY SHELVES, STORAGE SHELVES, COOLERS, AND FREEZERS IN SALES, STORAGE, AND FRONT COUNTER AREAS. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CLEAN FLOORS UNDER ALL EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN SALES, STORAGE, AND FRONT COUNTER AREAS. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: ELEVATE ALL STOCK OFF FLOOR AND AWAY FROM WALLS IN SALES AND STORAGE AREAS FOR EASY CLEANING AND PEST CONTROL. REMOVE ALL UNUSED EQUIPMENT AND UNNECESSARY ARTICLES IN REAR STORAGE AND FRONT COUNTER AREAS TO PREVENT PEST HARBORAGE.",41.7732046891626,-87.6084450080704,E R J FOOD LIQUOR INC,654658 E 67TH ST,True,False,False,POINT (-87.6084450080704 41.7732046891626),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
Cottage Grove Food Mart,6307 S Cottage Grove Ave,CHICAGO,IL,60637.0,2015-01-23,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: INTERIOR OF COOLERS/FREEZERS NOT CLEAN. CLEAN SAME AND MAINTAIN. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOOR UNDER AND BEHIND HEAVY EQUIPMENT NOT CLEAN, DUST ACCUMULATION. CLEAN SAME.  | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: WALLS AND TOILET ROOM DOOR NOT CLEAN AND WITH WORN SURFACES. INSDT TO CLEAN AND PA.INT | 37. TOILET ROOM DOORS SELF CLOSING: DRESSING ROOMS WITH LOCKERS PROVIDED: COMPLETE SEPARATION FROM LIVING/SLEEPING QUARTERS - Comments: TOILET ROOM DOOR NOT SELF-CLOSING. CORRECT SAME. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: CLUTTER THRU-OUT REAR. INSTD TO REMOVE ANY UNNECESSARY ARTICLES AND ORGANIZE AREA.",41.7801519591981,-87.6057775240808,COTTAGE GROVE FOOD MART,6307 S COTTAGE GROVE AVE,True,False,False,POINT (-87.6057775240808 41.7801519591981),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
"New Food Mart,Inc",408 E 63Rd St,CHICAGO,IL,60637.0,2014-10-24,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: OBSERVED UNUSED FREEZER INTERIOR NOT CLEAN, INSTRUCTED TO CLEAN. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVED SERVERAL WATER DAMAGED CEILING TILES IN STORE, INSTRUCTED TO REPLACE. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: OBSERVED SOME CLUTTER IN REAR STORAGE AREA, INSTRUCTED TO ORGANIZE AND REMOVE ITEMS NOT BEING USED. ALSO REMOVE THE SMALL PROPANE TANK FROM BUILDING.",41.780356077341104,-87.6152300620695,NEW FOOD MARTINC,408 E 63RD ST,True,False,False,POINT (-87.6152300620695 41.780356077341104),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
Midway Food & Liquors No. 2,1344 E 67Th St,CHICAGO,IL,60637.0,2014-05-12,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN OR PAINT WOOD STORAGE SHELVES BEHIND COUNTER. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CLEAN FLOORS AROUND AND BEHIND EQUIPMENT AND IN STORAGE AREAS. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST REPLACE ALL WATER STAINED CEILING TILE WHERE NEEDED AND CLEAN CEILING VENTS TO REMOVE DUST.",41.7733806908747,-87.592561206972,MIDWAY FOOD LIQUORS NO 2,1344 E 67TH ST,True,False,False,POINT (-87.592561206972 41.7733806908747),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
Lucky Corner Store,723 E 63Rd St,CHICAGO,IL,60637.0,2014-02-04,Out Of Business,,41.780277466573,-87.6074103349161,LUCKY CORNER STORE,723 E 63RD ST,True,False,False,POINT (-87.6074103349161 41.780277466573),41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,
