DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Seafood City Supermarket/Grill City/Crispy Town/No,2025-04-18,Pass W/ Conditions,FALSE,TRUE,TRUE,5033 N Elston Ave,CHICAGO,IL,60630.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CERTIFIED FOOD MANAGER ON DUTY WHILE TCS FOODS ARE BEING PREPARED,HANDLED AND SERVED SUCH AS (FISH, PORK, CHICKEN) MUST BE ON SITE AT ALL TIMES.(PRIORITY FOUNDATION 7-38-012)(CITATION ISSUED)",41.9723492825604,-87.7468250857847,SEAFOOD CITY SUPERMARKETGRILL CITYCRISPY TOWNNO,5033 N ELSTON AVE,POINT (-87.7468250857847 41.9723492825604),ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387,,,13.0,ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387
The Fish Guy Market,2025-01-09,Pass W/ Conditions,FALSE,TRUE,TRUE,4423 N Elston Ave,CHICAGO,IL,60630.0,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED (NON CONSUMPTION) ICE MACHINE POTS, PANS, SPICES STORED IN GARAGE CONTAINING VEHICLE. ALL FOOD RELATED ITEMS WERE MOVED DURING INSPECTION. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED ICE MACHINE IN REAR GARAGE CONTAINING VEHICLE. ICE COULD BE CONSIDERED ""UNPACKAGED FOOD"" AND NEEDS TO BE PROTECTED FROM CONTAMINATION. ICE MACHINE IN REAR GARAGE WAS LABELED AND MUST BE MAINTAINED AS NON CONSUMPTION ICE ONLY.",41.9614839823042,-87.7302841141535,THE FISH GUY MARKET,4423 N ELSTON AVE,POINT (-87.7302841141535 41.9614839823042),ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387,,,13.0,ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387
Sahar International Supermarket,2024-08-07,Pass W/ Conditions,FALSE,TRUE,TRUE,4851-4857 N Kedzie Ave,CHICAGO,IL,60625.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO CITY OF CHICAGO CERTIFIED FOOD SERVICE MANAGER OR VALID DOCUMENTATION ON THE PREMISES AND TCS FOODS (DELI MEATS,RAW MEATS) ARE BEING HANDLED AND SERVED TO CUSTOMERS.INSTRUCTED PERSON-IN-CHARGE THAT A CITY OF CHICAGO CERTIFIED FOOD SERVICE MANAGER MUST BE ON THE PREMISES AT ALL TIMES WHEN (TCS FOODS)ARE PREPARED,HANDLED, AND/OR SERVED.INSTRUCTED TO COMPLY AND POST ORIGINAL CERTIFICATES AS REQUIRED.PRIORITY FOUNDATION VIOLATION 7-38-012,CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED THE MEAT PREP AREA HANDWASHING SINK NOT ACCESSIBLE FOR USE WHILE FOOD HANDLERS WERE ACTIVELY HANDLING RAW MEATS.SINK BEING BLOCKED WITH MULTIPLE BOXED STOCK ITEMS.MANAGEMENT REMOVED AT THIS TIME.INSTRUCTED THAT ALL HANDWASHING SINKS MUST BE ACCESSIBLE FOR USE AT ALL TIMES.PRIORITY FOUNDATION VIOLATION 7-38-030(C),CITATION ISSUED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED APPROX:1/4"" INCH GAP OPENING AT BOTTOM OF REAR EXIT DOOR LEADING TO THE GARBAGE DUMPSTERS.INSTRUCTED TO MAKE SAID DOOR TIGHT FITTING TO PREVENT PEST ENTRY AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED WATER LEAK AT DRAIN PIPE UNDERNEATH THE HAND SINK LOCATED AT THE MEAT PREP AREA.INSTRUCTED TO REPAIR PLUMBING LEAK AND MANTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND ORGANIZE A CLUTTERED STORAGE CLOSET LOCATED AT THE BAKERY PREP AREA AND REMOVE UNNECESSARY ARTICLES DUE TO POTENTIAL PEST HARBORAGE AND STOCK ITEMS AND EQUIPMENTS OFF THE FLOOR AT LEAST 6"" INCHES TO FACILITATE CLEANING (NO MILK CRATES OR SODA PLASTIC CRATES FOR ELEVATION).  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN FLOORS UNDERNEATH THE GROCERY DISPLAY SHELFS WITH SPILLED FOOD DEBRIS AND MAINTAIN.",41.9699575396454,-87.7083728782211,SAHAR INTERNATIONAL SUPERMARKET,48514857 N KEDZIE AVE,POINT (-87.7083728782211 41.9699575396454),ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387,,,13.0,ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387
Chicago Produce,2024-05-15,Pass W/ Conditions,FALSE,TRUE,TRUE,3500 W Lawrence Ave,CHICAGO,IL,60625.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED TO PROVIDE AND MAINTAIN ACCURATE WORKING THERMOMETERS INSIDE THE HOT- HOLDING UNITS LOCATED IN KITCHEN/DELI PREP AREA. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RUST ON THE WIRE STORAGE RACKS IN THE MEAT DEPT WALK-IN COOLER. INSTRUCTED MANAGEMENT TO REMOVE RUST AND REPAINT OR REPLACE THE SHELVES AND MAINTAIN. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OBSERVED MISSING SINK STOPPERS AT 3-COMPARTMENT SINKS (KITCHEN PREP,MEAT DEPT).INSTRUCTED TO PROVIDE AND MAINTAIN 3 ADEQUATE WORKING SINK STOPPERS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN FAN COVERS IN WALK-IN-COOLERS TO REMOVE ACCUMULATION OF DUSTS AND MAINTAIN. | 50. HOT & COLD WATER AVAILABLE; ADEQUATE PRESSURE - Comments: OBSERVED INADEQUATE HOT RUNNING WATER AT MULTIPLE SINKS THROUGHOUT THE PREMISES.THREE (3) 3-COMPARTMENT SINKS WATER TEMPERATURE AT 89.8F-93.2F,THREE (3) HAND WASHING SINKS WATER TEMPERATURE AT 89.6F,HAND SINKS IN BOTH WASHROOMS AT 88.8F.MANAGEMENT IMMEDIATELY NOTIFIED MAINTENANCE REPAIR SERVICE.INSTRUCTED TO PROVIDE ADEQUATE HOT RUNNING WATER ABOVE 110F AT THE 3-COMPARTMENT SINKS AND MINIMUM OF 100F AT ALL HAND WASHING SINKS.PRIORITY VIOLATION 7-38-030(C),CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO REMOVE UNNECESSARY ITEMS AND LITTER FROM THE REAR ELECTRICAL PANEL AREA AND ON THE SIDES OF THE REAR WALK-IN-FREEZER ACROSS FROM THE WASHROOMS DUE TO POTENTIAL PEST HARBORAGE.",41.9684853733181,-87.7158713295154,CHICAGO PRODUCE,3500 W LAWRENCE AVE,POINT (-87.7158713295154 41.9684853733181),ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387,,,13.0,ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387
Sheeba Meat & Grocery,2023-04-14,Pass W/ Conditions,FALSE,TRUE,TRUE,4307 W Lawrence Ave,CHICAGO,IL,60630.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: OBSERVED NO PERSON IN CHARGE WITH VALID CHICAGO FOOD SANITATION CERTIFICATE. INSTRUCTED MANAGER TO DESIGNATE PERSON IN CHARGE DURING ALL HOURS OF OPERATION.  | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CERTIFIED FOOD MANAGER ON DUTY WHILE TCS FOODS(RAW MEAT) IS BEING PREPPED AND HANDLED.  MUST BE ON SITE AT ALL TIMES.(PRIORITY FOUNDATION 7-38-012)(CITATION ISSUED)  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-101.19 OBSERVED MEAT BEING STORED IN PLASTIC GROCERY BAGS. INSTRUCTED MANAGER TO UTILIZE FOOD GRADE BAGS FOR STORING MEAT. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.12 OBSERVED CUTTING BOARDS WITH DEEPLY SCRATCHED SURFACES. INSTRUCTED MANAGER TO RESURFACE OR REPLACE CUTTING BOARDS.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.11 OBSERVED HOLE AROUND TOILET PIPING IN TOILET ROOM. INSTRUCTED MANAGER TO SEAL HOLE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.13 OBSERVED FLOORS THROUGHOUT FACILITY WITH AN ACCUMULATION OF DUST, DIRT, AND DEBRIS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN ALL FLOORS.",41.9680451753416,-87.7357496871877,SHEEBA MEAT GROCERY,4307 W LAWRENCE AVE,POINT (-87.7357496871877 41.9680451753416),ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387,,,13.0,ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387
"Indo-Pak Meat&Grocery,Llc",2022-12-15,Pass W/ Conditions,FALSE,TRUE,TRUE,3922 W Lawrence Ave,CHICAGO,IL,60625.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: FOUND NO EMPLOYEE HEALTH POLICY/TRAINING ON SITE. INSTRUCTED TO PROVIDE A SIGNED EMPLOYEE HEALTH POLICY FOR EACH EMPLOYEE.   PRIORITY FOUNDATION VIOLATION     7-38-010   CITATION ISSUED    | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: INSTRUCTED TO SEAL OR REPAINT RAW WOOD IN REAR STORAGE AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN AND REORGANIZE SECOND FLOOR STORAGE AREA.",41.9683656402885,-87.726586351018,INDOPAK MEATGROCERYLLC,3922 W LAWRENCE AVE,POINT (-87.726586351018 41.9683656402885),ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387,,,13.0,ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387
Kapatid Oriental Store,2020-05-28,Pass W/ Conditions,FALSE,TRUE,TRUE,3538 W Lawrence Ave,CHICAGO,IL,60625.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO CLEAN-UP OF VOMITING AND DIARRHEA PROCEDURE AND CLEAN-UP KIT ON PREMISES DURING INSPECTION. INSTRUCTED TO HAVE SAID PROCEDURE ALONG WITH REQUIRED EQUIPMENT FOR CLEAN-UP. PRIORITY FOUNDATION VIOLATION. NO CITATION ISSUED. 7-38-005 | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED FACILITY MISSING EMPLOYEE HAND WASHING SIGNAGE WHEN RETURNING TO WORK FROM RESTROOM. INFORMED PERSON IN CHARGE TO OBTAIN AND MAINTAIN SIGNAGE | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: NOTED NO THERMOMETERS INSIDE REFRIGERATION UNIT CONSPICUOUSLY POSTED TO MONITOR THE AMBIENT TEMPERATURE OF EQUIPMENT. INSTRUCTED TO EQUIP ALL REFRIGERATION UNITS WITH ACCURATE AND WORKING THERMOMETERS | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED FOOD PREPACKAGED WITH NO LABEL, PREPACKAGED FOOD ITEMS(LIKE BRAD AND PACKED PASTRY) ARE NOT MADE ON SITE.PRODUCTS MADE AT ""SANDOK PALAYOK"" BAKERY 14141 CICERO AVE CRESTWOOD IL 60445. INSTRUCTED THE MANAGER TO PROVIDE LABELS WITH NAME OF INGREDIENTS AND THE NAME OF THE FOOD SOURCE FOR EACH MAJOR FOOD ALLERGEN CONTAINED IN THE FOOD . PRIORITY FOUNDATION VIOLATION. 7-38-005. NO CITATION ISSUED | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST PROVIDE TOILET ROOM RECEPTACLE WITH COVER FOR SANITARY NAPKINS IN EMPLOYEE BATHROOM",41.9684696388599,-87.7174100084894,KAPATID ORIENTAL STORE,3538 W LAWRENCE AVE,POINT (-87.7174100084894 41.9684696388599),ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387,,,13.0,ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387
Naguara Arepas & Supermarket,2025-04-07,Pass,FALSE,TRUE,TRUE,3434-3440 W Montrose Ave,CHICAGO,IL,60618.0,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: 3-307.11 OBSERVED NO SPLASH GUARD BETWEEN EXPOSED HAND SINK AND DRAINBOARD OF 3 COMPARTMENT SINK IN HOT FOOD PREP AREA. INSTRUCTED THE PERSON IN CHARGE TO INSTALL A WASHABLE SPLASHGUARD AND MAINTAIN.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARDBOARD BEING USED AS LINER ON STORAGE SHELVES IN WALK-IN COOLER IN THE REAR. INSTRUCTED THE PERSON IN CHARGE TO REMOVE ALL CARDBOARD AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 5-501.17 OBSERVED NO COVERED TRASH RECEPTACLE IN BOTH ALL GENDER TOILET ROOMS. INSTRUCTED THE PERSON IN CHARGE TO PROVIDE COVERED TRASH RECEPTACLES FOR BOTH ALL GENDER TOILET ROOMS AND MAINTAIN.",41.9612209022683,-87.7145844935118,NAGUARA AREPAS SUPERMARKET,34343440 W MONTROSE AVE,POINT (-87.7145844935118 41.9612209022683),ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387,,,13.0,ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387
I & J Market Inc.,2024-10-30,Pass,FALSE,TRUE,TRUE,4617-4619 N Kedzie Ave,CHICAGO,IL,60625.0,"11. FOOD OBTAINED FROM APPROVED SOURCE - Comments: RAW PACKAGED MEATS IN DISPLAY COOLER OFFERED FOR SALE MUST BE PROPERLY LABELED TO INCLUDE SAFE HANDLING INSTRUCTIONS AND MAINTAIN AS REQUIRED. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RAW WOOD SHELVES IN THE BASEMENT STORAGE AREAS.INSTRUCTED TO PAINT OR SEAL THE SHELVES AND MAINTAIN.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED A TORN DOOR GASKET INSIDE OF THE WALK-IN-COOLER.INSTRUCTED TO REPLACE THE TORN DOOR GASKET AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: BACKFLOW PREVENTION DEVICE NOT LOCATED AT UTILITY MOP SINK.MUST INSTALL SO BACKFLOW PREVENTION DEVICE MAY BE LOCATED TO BE SERVICED AND MAINTAINED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS UNDERNEATH THE GROCERY DISPLAY SHELVES NOT CLEAN WITH LITTER AND DEBRIS.INSTRUCTED TO CLEAN FLOORS IN DETAIL AND MAINTAIN.",41.965236533374,-87.7082268509851,I J MARKET INC,46174619 N KEDZIE AVE,POINT (-87.7082268509851 41.965236533374),ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387,,,13.0,ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387
Donya Llc,2024-09-04,Pass,FALSE,TRUE,TRUE,4738-4746 N Kedzie Ave,CHICAGO,IL,60625.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RUST ON THE WIRE STORAGE RACK IN THE KITCHEN PREP AREA.INSTRUCTED TO REMOVE RUST AND REPAINT OR REPLACE THE SHELVES AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNNECESSARY ITEMS OLD FURNITURE/CONSTRUCTION DEBRIS/WOODEN PALLETS STORED DIRECTLY OUTSIDE THE REAR EXIT DOOR LEADING TO GARBAGE DUMPSTER AREA.INSTRUCTED TO REMOVE UNNECESSARY ITEMS DUE TO POTENTIAL PEST HARBORAGE AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED KITCHEN EXHAUST HOOD SYSTEM NOT WORKING PROPERLY.INSTRUCTED TO REPAIR AND MAINTAIN ADEQUATE VENTILATION FOR KITCHEN EXHAUST HOOD SYSTEM.",41.9677930872174,-87.7086027049243,DONYA LLC,47384746 N KEDZIE AVE,POINT (-87.7086027049243 41.9677930872174),ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387,,,13.0,ALBANY PARK,53542230.8191,14.0,14.0,39339.0164387
