DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Happy Market,2025-01-02,Pass W/ Conditions,FALSE,TRUE,TRUE,2334 S Wentworth Ave,CHICAGO,IL,60616.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: UPON ARRIVAL, OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON SITE WHILE OPEN AND OPERATING. INSTRUCTED A CITY OF CHICAGO CERTIFIED FOOD MANAGER MUST BE ON SITE AT ALL TIMES WHILE OPEN AND OPERATING.  PRIORITY FOUNDATION VIOLATION 7-38-012, CITATION ISSUED | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.14: OBSERVED NO HANDWASHING SIGNS AT EXPOSED HANDSINK IN THE BASEMENT OR IN EMPLOYEE WASHROOM; INSTRUCTED TO PROVIDE. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-501.112: OBSERVED DEAD ROACHES INSIDE THE MOP SINK BASIN IN THE BUTCHER AREA, STICKY TRAPS IN BASEMENT FLOORS, ON THE WALL NEAR THE HOOD IN THE BASEMENT PREP AREA. INSTRUCTED TO REMOVE DEAD ROACHES AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED SHELF UNDER FOOD PREP TABLE BEHIND BUTCHER AREA WITH RUST. ALSO, OBSERVED DEBRIS ON THE SHELVES IN THE SHOPPING AISLES. INSTRUCTED TO REMOVE RUST AND DEBRIS AND MAKE SURFACE SMOOTH AND EASILY CLEANABLE.",41.8499540019225,-87.632094195591,HAPPY MARKET,2334 S WENTWORTH AVE,POINT (-87.632094195591 41.8499540019225),ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,,33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398
Wing Cheong Grocery Inc,2024-11-21,Pass W/ Conditions,FALSE,TRUE,TRUE,2317 S Wentworth Ave,CHICAGO,IL,60616.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CERTIFIED FOOD MANAGER WITH THE ORIGINAL CITY OF CHICAGO FOOD SERVICE MANAGER CERTIFICATE ON SITE, WHILE OPEN AND OPERATING. INSTRUCTED A CITY OF CHICAGO CERTIFIED FOOD MANAGER MUST BE ON SITE WITH THE ORIGINAL CITY OF CHICAGO FOOD SERVICE MANAGER CERTIFICATE POSTED AT ALL TIMES WHILE OPEN AND OPERATING. PRIORITY FOUNDATION VIOLATION 7-38-012, CITATION ISSUED  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.13: OBSERVED STICKY TRAPS FILLED WITH DEAD BUGS ON THE CEILINGS IN THE SHOPPING AISLES, ABOVE THE BUTCHER PREP TABLES, AND ABOVE THE FISH TANKS IN THE BASEMENT. INSTRUCTED TO REPLACE STICKY TRAPS AND REFRAIN FROM STORING INSECT STICKY TRAPS ABOVE FOOD PREP TABLES AND FISH TANKS. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: 3-305.11: OBSERVED MULTIPLE BINS OF FOOD ITEMS OPEN THROUGHOUT THE FACILTIY AND NOT COVERED. INSTRUCTED TO PROVIDE COVERS FOR THE ITEMS TO PREVENT CONTAMINATION.  | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: 3-304.14: OBSERVED WIPING TOWELS STORED ON THE HINGES OF THE EMPTY PAPER TOWEL ROLL RACK IN THE REAR DISHWAHSING AREA. INSTRUCTED TO REMOVE AND PROPERLY STORE WIPING CLOTHS.  | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: 4-301.12: OBSERVED MISSING THREE SINK STOPPERS FOR THE WAREWASHING SINK. INSTRUCTED TO PROVIDE AND MAINTAIN.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C): OBSERVED THE SHELVES IN THE SHOPPING AISLES IN NEED OF CLEANING. ALSO, OBSERVED THE PALLETS IN THE BASEMENT IN NEED OF CLEANING. INSTRUCTED TO CLEAN AND MAINTAIN MENTIONED SURFACES.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.12: OBSERVED THE CEILINGS IN THE BASEMENT WITH SPIDER WEBS THROUGHOUT, ESPECIALLY ABOVE FISH TANKS. OBSERVED THE WALLS AND PIPES IN THE REAR DISHWASHING/PREP AREA WITH DUST BUILD UP AND GREASE DROPLETS. INSTRUCTED TO CLEN AND MAINTAIN MENTIONED CEILINGS AND WALLS.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114: OBSERVED CARDBOARD BOXES ON THE FLOOR IN THE BUTCHER AREA. INSTRUCTED TO REMOVE UNNECCESSARY ITEMS AND MAINTAIN.",41.85046848380270,-87.6318159123554,WING CHEONG GROCERY INC,2317 S WENTWORTH AVE,POINT (-87.6318159123554 41.85046848380271),ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,,33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398
Star Light Food Market,2024-11-19,Pass W/ Conditions,FALSE,TRUE,TRUE,211 W 22Nd Pl,CHICAGO,IL,60616.0,"22. PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED IMPROPER COLD HOLDING TEMPERATURES OF TCS FOODS. RAW PORK MARINATING IN A BIG BOWL ON THE FLOOR UNDER FOOD PREP TABLE IN REAR PREP/ DISHWASHING AREA (64.5F), RAW MARINATING QUAIL IN WALK-IN COOLER (59.9F), CONTAINERS OF WHOLE DUCKS FOUND IN WALK-IN FREEZER (62.4F-68.0F). APPROXIMATELY 210LBS AT $455 WORTH OF PRODUCT DISCARDED. MUST HAVE COLD HOLDING FOODS AT 41.0F OR BELOW PRIORITY 7-38-005, CITATION ISSUED | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO AMBIENT AIR THERMOMETER INSIDE THE HOT HOLDING UNIT IN THE REAR FOOD PREP AREA. INSTRUCTED TO PROVIDE AND MAINTAIN. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED NO LABELS ON THE DRY STORAGE CONTAINERS IN THE REAR FOOD PREP AREA ACROSS FROM THE WOK STATION. INSTRUCTED TO LABEL AND MAINTAIN. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED A BIG BOWL OF RAW PORK MARINATING ON THE FLOOR UNDER THE FOOD PREP TABLE IN THE REAR FOOD PREP/ DISHWASHING AREA. INSTRUCTED TO REFRAIN FROM STORING FOOD ITEMS ON THE FLOOR AND ATLEAST 6 INCHES OFF THE FLOOR AT ALL TIMES. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED A MISSING SLIDING DOOR FOR THE HOT HOLDING UNIT IN THE FRONT PREP AREA. INSTRUCTED TO PROVIDE MISSING DOOR TO ENSURE UNIT STAYS HOT AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED THE SHELVES IN THE FRONT HOT FOOD PREP/SERVICE AREA IN NEED OF CLEANING AND THE OUTERIOR OF THE MICROWAVE UNDER THE SERVICE COUNTER AT THE HOT FOOD PREP AREA IN NEED OF CLEANING.INSTRUCTED TO CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED THE PIPE UNDER THE HANDWASHING SINK IN THE REAR DISHWASHING/ FOOD PREP AREA LEAKING. INSTRUCTED TO REPAIR AND MAINTAIN. | 52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: OBSERVED IMPROPER CONVEYING OF SEWAGE AT THE THREE COMPARTMENT SINK, USED FOR WARE WASHING. WHEN RINSE BASIN WAS DRAINED WATER BACKED UP FROM FLOOR DRAIN AND BEGAN POOLING ON THE FLOOR IN THE PREP AREA. INFORMED PERSON IN CHARGE OF REQUIREMENTS OF CONVEYING SEWAGE. EMPLOYEES WERE ABLE REPAIR SINK BEFORE THE CONCLUSION OF THE INSPECTION. PRIORITY VIOLATION 7-38-030(C) CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CARDBOARD BOXES BEING USED ON THE FLOORS IN THE REAR PREP AREAS. INSTRUCTED TO REMOVE AND REPLACE WITH NON-SLIP MATS AND MAINTAIN.",41.8520525197972,-87.6325052811209,STAR LIGHT FOOD MARKET,211 W 22ND PL,POINT (-87.6325052811209 41.8520525197972),ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,,33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398
Chicago Food Market Inc,2024-01-11,Pass W/ Conditions,FALSE,TRUE,TRUE,2245 S Wentworth Ave,CHICAGO,IL,60616.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON SITE DURING THE INSPECTION WHILE OPEN AND OPERATING. INSTRUCTED A CITY OF CHICAGO CERTIFIED FOOD MANAGER MUST BE ON SITE AT ALL TIMES WHILE OPEN AND OPERATING. PRIORITY FOUNDATION VIOLATION 7-38-012, CITATION ISSUED | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED ALL HANDWASHING SINKS WITHOUT HANDWASHING SIGNAGE. INSTRUCTED TO PROVIDE AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED SLIGHT DEBRIS ON THE SHELVING UNITS WHERE THE PREPACKAGED NOODLES AND COOKIES ARE STORED IN THE SHOPPING AISLE. INSTRUCTED TO CLEAN MORE FREQUENTLY AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED A LEAKING PIPE UNDER THE THREE COMPARTMENT SINK BEHIND THE FRONT MEAT PREP AREA. INSTRUCTED TO REPAIR LEAKING PIPES AND MAINTAIN.",41.8515957199464,-87.6318369065422,CHICAGO FOOD MARKET INC,2245 S WENTWORTH AVE,POINT (-87.6318369065422 41.8515957199464),ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,,33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398
Wahmei Food Corp,2024-11-22,Pass,FALSE,TRUE,TRUE,2409 S Wentworth Ave,CHICAGO,IL,60616.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED MILK CRATES BEING USED AS SHELVING THROUGHOUT THE PREP AND STORAGE AREAS. MUST REMOVE AND PROVIDE SHELVING THAT IS 6"" OFF THE FLOOR AND PROVIDES FLOOR ACCESSIBILITY TO ENSURE ADEQUATE FACILITY CLEANING | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED THE INTERIOR OF THE DISPLAY COOLER AND WALK-IN COOLERS AND FREEZER IN NEED OF CLEANING. INSTRUCTED TO DETAIL CLEAN.	 | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED 3 COMPARTMENT SINK LEAKING FROM DRAIN PIPES, INSTRUCTED TO REPAIR AND MAINTAIN | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER STORED ON FLOOR IN DRY STORAGE/ DISH AREA. INSTRUCTED MANAGER TO REMOVE ALL UNUSED ARTICLES AND EQUIPMENT TO PREVENT PEST HARBORAGE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING CEILINGS TILE PANELS IN THE REAR DRY STORAGE/DISH WATER-STAINED CEILING TILES AT THE STORE AREA. INSTRUCTED TO REPAIR, REPLACE MISSING PANELS AND/OR REPLACE THE STAINED CEILING TILES | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED A MISSING ALL LIGHT SHIELD IN THE CEILING LIGHT THROUGH THE ENTIRE FACILITY. INSTRUCTED TO PROVIDE AND MAINTAIN AT ALL TIMES.",41.8488678871551,-87.6317801132759,WAHMEI FOOD CORP,2409 S WENTWORTH AVE,POINT (-87.6317801132759 41.8488678871551),ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,,33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398
"Best Choice Oriental Grocery, Inc.",2024-11-20,Pass,FALSE,TRUE,TRUE,2403 S Wentworth Ave,CHICAGO,IL,60616.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED BOTH 3-COMPARTMENT SINKS IN REAR PREP: STOPPERS MISSING INSTRUCTED MANAGER MUST PROVIDE WORKING STOPPERS AT BOTH 3-COMPARTMENT SINK. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED MILK CRATES BEING USED AS SHELVING THROUGHOUT THE PREP AND STORAGE AREAS. MUST REMOVE AND PROVIDE SHELVING THAT IS 6"" OFF THE FLOOR AND PROVIDES FLOOR ACCESSIBILITY TO ENSURE ADEQUATE FACILITY CLEANING. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CUTTING BOARDS IN THE REAR PREP AREA WITH OPEN SEAMS AND DARK STAINS. INSTRUCTED TO REFINISH OR REPLACE DAMAGED OR STAINED CUTTING BOARDS AND MAINTAIN AT ALL TIMES. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED THE INTERIOR OF THE REACH IN COOLERS IN NEED OF CLEANING. INSTRUCTED TO DETAIL CLEAN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FAUCETS, HOT AND COLD-WATER HANDLES AT HANDSINKS IN FRONT AND REAR PREP HARD TO TURN, INSTRCUTED TO REPAIR OR REPLACE AND MAINTAIN | 52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: OBSERVED GREASE TRAP IN REAR PREP LEAKING FROM BROKEN BASE AND WITH NO LID, NOTED GREASE TRAP IN BASEMENT WITHOUT LID. INSTRUCTED TO REPAIR OR REPLACE AND MAINTAIN | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING AND DAMAGED FLOOR TILES FRONT PREP, REAR PREP AND BEHIND DISPAY CASES, THROUGHOUT FACILITY. INSTRUCTED TO REPAIR TO CREATE A SMOOTH AND EASILY CLEANABLE SURFACE. MUST MAINTAIN AT ALL TIMES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CHIPPED PAINT ON THE WALLS IN THE FRONT AND REAR PREP AND WALK IN COOLERS. INSTRUCTED TO RESURFACE AND REPAINT CHIPPED AREAS TO ENSURE WALLS ARE SEALED, SMOOTH AND EASILY CLEANABLE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER STORED ON FLOOR IN BASEMENT AND REAR PREP AREAS AND IN REAR STORAGE AREA. INSTRUCTED MANAGER TO REMOVE ALL UNUSED ARTICLES AND EQUIPMENT TO PREVENT PEST HARBORAGE | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO PROOF OF TRAINING FOR ALL FOOD HANDLERS. INSTRUCTED TO PROVIDE AND MAINTAIN RECORDS AT ALL TIMES",41.8490554956367,-87.6317833332927,BEST CHOICE ORIENTAL GROCERY INC,2403 S WENTWORTH AVE,POINT (-87.6317833332927 41.8490554956367),ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,,33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398
Tai Ho Yee Food Co,2024-06-28,Pass,FALSE,TRUE,TRUE,2422 S Wentworth Ave,CHICAGO,IL,60616.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.14: OBSERVED NO HANDWASHING SIGNAGE IN THE EMPLOYEE TOILET ROOM AND HANDWASHING SINK IN THE BASEMENT. INSTRUCTED TO PROVIDE AND MAINTAIN. | 33. PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL - Comments: 3-501.15(B): UPON ARRIVAL, OBSERVED FOOD HANDLERS STORE HOT MEATS INSIDE THE WALK-IN COOLER WITHOUT PROEPERLY COOLING. INSTRUCTED TO USE PROPER COOLING METHODS TO COOL FRESHLY COOKED FOOD ITEMS BEFORE STORING IN WALK-IN COOLER AND MAINTAIN. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: 4-204.112(B): OBSERVED NO AMBIENT AIR THERMOMETERS INSIDE THE WALK-IN COOLERS ON SITE. INSTRUCTED TO PROVIDE AMBIENT AIR THERMOMETERS IN ALL COLD HOLDING UNITS AND MAINTAIN. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: 3-307.11: UPON ARRIVAL, OBSERVED FOOD ITEMS STORED IN THE FRONT SERVICE AREA NOT COVERED WHILE NOT BEING PREPARED. INSTRUCTED TO COVER MENTIONED FOOD ITEMS TO PREVENT CONTAMINATION. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: 4-301.12: OBSERVED FACILITY MISSING ONE SINK STOPPER FOR THE THREE COMPARTMENT SINK. INSTRUCTED TO PROVIDE AND MAINTAIN.",41.8484228761276,-87.6320446636092,TAI HO YEE FOOD CO,2422 S WENTWORTH AVE,POINT (-87.6320446636092 41.8484228761276),ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,,33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398
Park To Shop Supermarket,2024-06-10,Pass,FALSE,TRUE,TRUE,2425 S Wallace St,CHICAGO,IL,60616.0,,41.8485874803062,-87.641783804448,PARK TO SHOP SUPERMARKET,2425 S WALLACE ST,POINT (-87.641783804448 41.8485874803062),ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,,33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398
Star Light Food Market Ii,2024-05-30,Pass,FALSE,TRUE,TRUE,2832-2838 S Wentworth Ave,CHICAGO,IL,60616.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARD BOARD LINING THE REAR PRODUCE AREA AND REAR FOOD PREP AREA SHELVING AND COUNTER TOPS.  ALSO OBSERVED ALLUMINUM FOIL LINING THE SHELVING IN THE REAR COOKING AREA.  INSTRUCTED TO REMOVE ALL AS A MEANS OF PREVENTING POSSIBLE HARBORING OF INSECTS AND TO BE ABLE TO CLEAN AND MAINTAIN ALL AREAS.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED WOODEN PALLETS USED IN THE LARGE WALK IN PRODUCE COOLER, THE LARGE WALK IN FREEZER AND OBSERVED MILK CRATES BEING USED TO STORE ITEMS IN THE LARGE WALK IN UNITS.  INSTRUCTED TO REMOVE ALL WOODEN CRATES AND MILK CRATES AS A MEANS OF BEING ABLE TO CLEAN AND SANITIZE AREAS PROPERLY.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WALL PAPER LINING A WOODEN BOARD PEELING AT THE EDGES BEHIND THE HAND SINK IN THE FISH PREP AREA CLOSE TO THE FROG TANK. INSTRUCTED TO REMOVE AS A MEANS OF PREVENTING POSSIBLE HARBORING SPACE FOR INSECTS AND TO PAINT OR STAIN WOOD AS A MEANS OF BEING ABLE TO CLEAN AND MAINTAIN.",41.841604481753,-87.6319155034087,STAR LIGHT FOOD MARKET II,28322838 S WENTWORTH AVE,POINT (-87.6319155034087 41.841604481753),ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,,33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398
Happy Mart,2024-05-20,Pass,TRUE,FALSE,FALSE,221 W 22Nd Pl,CHICAGO,IL,60616.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED THE REAR FOOD PREP/ DISHWASHING AREA HANDWASHING SINK WITH NO HANDWASHING SIGNAGE. INSTRUCTED TO PROVIDE AND MAINTAIN. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO AMBIENT AIR THERMOMETER INSIDE THE DISPLAY HOT HOLDING UNIT NEAR THE FRONT FOOD PREP/SERVICE AREA. INSTRUCTED TO PROVIDE AND MAINTAIN. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED AN OPENING AT THE BOTTOM OF THE REAR EXIT DOOR. INSTRUCTED TO RODENT PROOF MENTIONED DOOR AND MAINTAIN. | 40. PERSONAL CLEANLINESS - Comments: OBSERVED ALL THREE FOOD HANDLERS ON SITE WITHOUT HAIR RESTRAINTS. INSTRUCTED TO WEAR HAIR RESTRAINTS WHILE IN FOOD PREP AREAS. | 44. UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED - Comments: OBSERVED TWO STACKS OF SHEET TRAYS STORED ON THE FLOOR, LEANING AGAINST THE DOUBLE DECKER OVEN. INSTRUCTED TO REFRAIN FROM STORING CLEAN DISHES ON THE FLOOR AND ATLEAST 6 INCHES OFF THE FLOOR. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: THE FOLLOWING EQUIPMENT NEEDS TO BE DECLUTTERED AND DEEP CLEANED: THE SHELVES UNDER ALL THE FOOD PREP TABLES, THE OUTERIOR, LOWER OPENINGS AND THE SIDES OF THE COOKING EQUIPMENT UNDER THE VENTILATION HOOD, AND THE FLOOR IN THE WALK-IN COOLER. INSTRUCTED TO CLEAN AND MAINTAIN ALL MENTIONED SURFACES AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE VENTILATION COVERS ON THE CEILING IN THE FRONT AND REAR FOOD PREP AREAS WITH DUST INSTRUCTED TO REMOVE DUST AND CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE FLOORS THROUGHOUT THE FRONT AND REAR FOOD PREP AREAS WITH DIRT, GREASE, FOOD DEBRIS, AND NOT CLEAN. FLOORS ESPECIALLY, UNDER THE THREE COMPARTMENT SINK, IN THE MOP SINK CLOSET, THE FLOORS SURROUNDING THE EQUIPMENT NEAR THE REAR EXIT DOOR, AND UNDER THE COOKING EQUIPMENT UNDER THE VENTILATION HOOD. INSTRUCTED TO DEEP CLEAN FLOORS AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED COOKING EQUIPMENT (SPEED RACK, POTS, AND SLICER) STORED IN THE EMPLOYEE TOILET ROOM AND CLUTTER NEAR THE HANDWASHING SINK IN THE MENTIONED TOILET ROOM. ALSO, OBSERVED BROKEN DOWN CARDBOARD BOXES ON THE FLOORS THROUGOUT THE FOOD PREP AREAS. INSTRUCTED TO DECLUTTER, REMOVE COOKING EQUIPMENT OUT OF THE TOILET ROOM, REMOVE CARDBOARD BOXES FROM FLOORS AND REPLACE WITH NON-SLIP MATS, AND REMOVE ANY UNNECCEARY EQUIPMENT AND MAINTAIN. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: OBSERVED THE CERTIFIED FOOD MANAGER ON SITE WITH NO ALLERGEN TRAINING CERTIFICATE. INSTRUCTED ALL CERTIFIED FOOD MANAGERS MUST TAKE AND MAINTAIN RECORDS OF THE FOOD ALLERGEN TRAINING COURSE ON SITE AT ALL TIMES.",41.8520508267127,-87.6328740340459,HAPPY MART,221 W 22ND PL,POINT (-87.6328740340459 41.8520508267127),ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,,33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398
