DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Pete'S Fresh Market #18,2025-02-05,Pass,FALSE,TRUE,TRUE,3250 W 87Th St,CHICAGO,IL,60652.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: HANDWASHING SIGN NEEDED AT JUICE BAR SINK. INSTRUCTED TO PROVIDE AND MAINTAIN. | 35. APPROVED THAWING METHODS USED - Comments: OBSERVED PREVIOUSLY FROZEN FISH THAWING IN ITS OWN CRAYOVAC PACKAGING. INSTRUCTED TO REMOVE FROM CRAYOVAC PACKING DURING THE THAWING PERIOD.  | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: LARGE BAKERY BULK CONTAINERS IN NEED OF LABELING WITH COMMODITY NAME. INSTRUCTED TO CORRECT AND MAINTAIN.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NEW CUTTING BOARDS NEEDED IN SUSHI/SANDWICH STATION AREA. BOARDS ARE DISCOLORED WITH DEEP CUTS. INSTRUCTED TO REPAIR OR REPLACE",41.7352740895413,-87.7035112835062,PETES FRESH MARKET 18,3250 W 87TH ST,POINT (-87.7035112835062 41.7352740895413),ASHBURN,135460337.208,70.0,70.0,54818.1546317,,,69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317
Mama'S Meat Market Inc.,2024-12-04,Pass,FALSE,TRUE,FALSE,3400 W 79Th St,CHICAGO,IL,60652.0,,41.7499032419837,-87.7073483920082,MAMAS MEAT MARKET INC,3400 W 79TH ST,POINT (-87.7073483920082 41.7499032419837),ASHBURN,135460337.208,70.0,70.0,54818.1546317,,,69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317
Tony'S Deli & Grill,2024-10-21,Pass,TRUE,FALSE,FALSE,3798 W 79Th St,CHICAGO,IL,60652.0,,41.7497367901781,-87.7181779425283,TONYS DELI GRILL,3798 W 79TH ST,POINT (-87.7181779425283 41.7497367901781),ASHBURN,135460337.208,70.0,70.0,54818.1546317,,,69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317
"Cb Mini Mart,Corp",2024-03-05,Pass,TRUE,FALSE,FALSE,8010 S Western Ave,CHICAGO,IL,60620.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  4-101.19 : MUST APPLY A SEALANT OR PAINT RAW WOOD SURFACES AT FRONT SERVICE COUNTER. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C) : MUST CLEAN DUST BUILD UP FROM SHELVING UNITS AT FRONT WINDOW SILLS.MUST DEFROST GLASS REACH IN FREEZER IN KITCHEN AND PIZZA/ICE CREAM FREEZER ON SALES FLOOR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-501.114 Inspector Comments: MUST ELEVATE,REMOVE AND ORGANIZE ARTICLES OFF OF FLOOR IN OFFICE AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.17 Inspector Comments: MUST CLEAN DUST BUILD UP FROM LOWER WALL VENT NEXT TO PREP TABLE | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.13 : MUST REPAIR OR REPLACE DAMAGED & STAINED CEILING ON SALES FLOOR & TOILET ROOM,LOOSE WALL BASE IN TOILET ROOM,WALL AND CEILING ABOVE 3- COMPARTMENT SINK TO BE SMOOTH AND EASILY CLEANABLE | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-202.112 : MUST PROVIDE SEPERATION OF A COUCH IN REAR PREP/OFFICE/FOOD STORAGE AREA AND STORE SEPERATELY FROM AREA. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments:  4-301.14 : OBSERVED A HOME VENTILATION SYSTEM ABOVE SEVERAL TABLE TOP FRYERS,GRILL AND PIZZA OVEN MUST PROVIDE A VENTILATION SYSTEM DUCTED TO ROOF AND ANSUL SYSTEM. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: 2-102.13 : OBSERVED NO FOOD HANDLERS FOR NEW EMPLOYEES MUST PROVIDE AND MAINTAIN.",41.7479522452458,-87.6829445285632,CB MINI MARTCORP,8010 S WESTERN AVE,POINT (-87.6829445285632 41.7479522452458),ASHBURN,135460337.208,70.0,70.0,54818.1546317,,,69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317
A To Z Wholesale Grocery & Tobacco,2022-12-15,Pass,FALSE,TRUE,TRUE,8243 S Kedzie Ave,CHICAGO,IL,60652.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: MISSING THERMOMETERS IN REFRIGERATORS. INSTD TO PROVIDE AND MAINTAIN | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: RAW WOOD STORAGE SHELVES AT BOTTOM OF PREP TABLE. INSTD TO SEAL SAME SO AS SURFACE TO BE SMOOTH, EVEN AND EASILY CLEANABLE | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: UNFINISHED DRY WALL IN TOILET ROOM. INSTD TO FINISH WALL AND MAINTAIN",41.7430420240836,-87.7020645942809,A TO Z WHOLESALE GROCERY TOBACCO,8243 S KEDZIE AVE,POINT (-87.7020645942809 41.7430420240836),ASHBURN,135460337.208,70.0,70.0,54818.1546317,,,69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317
El Ranchito Food,2021-05-06,Pass,FALSE,TRUE,TRUE,8327-29 S Pulaski Rd,CHICAGO,IL,60652.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO HAND WASHING SIGNS POSTED AT TIME OF INSPECTION. INSTRUCTED TO OBTAIN SIGN AND DISPLAY AT ALL TIMES.  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments:  FRONT DOOR NOT RODENT PROOFED. LARGE GAP AT BOTTOM OF DOOR. INSTRUCTED TO CORRECT AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: CUTTING BOARDS IN NEED OF CLEANING TO REMOVE ALL BUILD UP. INSTRUCTED TO CORRECT AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: GARBAGE CAN IN UNISEX WASHROOM IN NEED OF LID. INSTRUCTED TO PROVIDE LID AND MAINTAIN AT ALL TIMES.  | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: NO FOOD HANDLER CERTIFICATES ON SITE AT TIME OF INSPECTION. INSTRUCTED TO OBTAIN AND MAINTAIN",41.7413741669612,-87.7215063939568,EL RANCHITO FOOD,832729 S PULASKI RD,POINT (-87.7215063939568 41.7413741669612),ASHBURN,135460337.208,70.0,70.0,54818.1546317,,,69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317
Quick Mart,2020-07-15,Pass W/ Conditions,FALSE,TRUE,TRUE,8301 S Kedzie Ave,CHICAGO,IL,60652.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO EMPLOYEE PROCEDURE FOR VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE WITH ALL THE NECESSARY ITEMS INCLUDING DISPOSABLE GLOVES,FACE MASK, DISPOSABLE MOP AND APPROPRIATE SANITIZER FOR NOROVIRUS. PRIORITY FOUNDATION. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO THERMOMETER INSIDE COOLER FOR PREPACKAGED FOODS,MILK,ETC. MUST PROVIDE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: WASHROOMS USED MY FEMALES MUST HAVE A COVERED RECEPTACLE FOR SANITARY NAPKINS. MUST PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOORS NOT CLEAN OF DEBRIS IN REAR STORAGE. INSTRUCTED TO CLEAN/MAINTAIN.",41.7424748827969,-87.7020512873831,QUICK MART,8301 S KEDZIE AVE,POINT (-87.7020512873831 41.7424748827969),ASHBURN,135460337.208,70.0,70.0,54818.1546317,,,69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317
Aldi Inc #83,2020-06-25,Pass W/ Conditions,FALSE,TRUE,TRUE,8333 S Cicero Ave,CHICAGO,IL,60652.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO EMPLOYEE PROCEDURE FOR VOMITING AND DIARRHEAL EVENTS OR NO APPROPRIATE SANITIZER FOR THE NOROVIRUS. MUST PROVIDE. PRIORITY FOUNDATION. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO HOT WATER AT MOP SINK AND 2 COMPARTMENT SINK IN REAR STORAGE. MUST PROVIDE.,41.7409110653646,-87.7409228593854,ALDI INC 83,8333 S CICERO AVE,POINT (-87.7409228593854 41.7409110653646),ASHBURN,135460337.208,70.0,70.0,54818.1546317,,,69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317
Am Pm Food Mart,2012-11-28,Pass,TRUE,FALSE,FALSE,2413 W 79Th St,CHICAGO,IL,60652.0,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN SHELVES UNDERNEATH FRONT SERVICE COUNTER AND ALL UNCLEAN EQUIPMENT IN REAR. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: DETAIL CLEAN FLOORS ALONG ALL WALL BASES, IN CORNERS,UNDERNEATH AND BEHIND ALL HEAVY EQUIPMENT THROUGHOUT. MUST ELEVATE ALL STOCK ON SALES FLOOR AND IN REAR STORAGE ROOM 6 INCHES OFF FLOOR. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: PAINT RAW WOOD DOORS IN REAR. REPAIR BOTTOM OF FRONT DOOR. | 37. TOILET ROOM DOORS SELF CLOSING: DRESSING ROOMS WITH LOCKERS PROVIDED: COMPLETE SEPARATION FROM LIVING/SLEEPING QUARTERS - Comments: MUST INSTALL SELF-CLOSING DEVICES ON WASHROOM DOORS.",41.749922220097,-87.6833993041869,AM PM FOOD MART,2413 W 79TH ST,POINT (-87.6833993041869 41.749922220097),ASHBURN,135460337.208,70.0,70.0,54818.1546317,,,69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317
Aldi'S #93,2011-09-26,Pass W/ Conditions,TRUE,FALSE,FALSE,7545 S Western Ave,CHICAGO,IL,60620.0,"2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: REFRIGERATED DISPLAY CASE FOR HAMS HOLDING AT IMPROPER TEMPERATURE, AIR TEMPERATURE RECORDED AT 48.2F AND THERMOSTAT ON OUTSIDE OF SAME READING AT 50.0F. UNIT MUST BE CAPABLE OF MAINTAINING AN AIR TEMPERATURE OF 40 DEGREES OR BELOW  /- 2 DEGREES FOR STORAGE OF POTENTIALLY HAZARDOUS FOODS. UNIT ADJUSTED TO AN ACCEPTABLE TEMPERATURE DURING INSPECTION-CITATION ISSUED-CRITICAL 7-38-005(A). | 3. POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE - Comments: HAMS-46.4-48.1F-THIS PRODUCT MUST BE HELD AT 40 DEGREES OR BELOW /- 2 DEGREES, ALL PRODUCT FOUND AT IMPROPER TEMPERATURE REMOVED FROM SALE. CITATION ISSUED-CRITICAL 7-38-005(A) APPROXIMATELY  | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN BOTH MOP SINKS AND 2 COMPARTMENT SINK IN REAR, AND DISPLAY SHELVES WHERE NEEDED. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: DETAIL CLEAN FLOORS ALONG WALL BASES IN REAR STORAGE ROOM BY COMPACTORS AND IN ALL WALK-IN COOLERS AND FREEZER. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: CLEAN WALLS UNDERNEATH COMPACTORS IN REAR STORE ROOM. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: ELIMINATE CLUTTER IN FRONT MOP SINK ROOM.",41.7560350910178,-87.6828583215668,ALDIS 93,7545 S WESTERN AVE,POINT (-87.6828583215668 41.7560350910178),ASHBURN,135460337.208,70.0,70.0,54818.1546317,,,69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317
