DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Cermak Fresh Market,2025-04-25,Pass W/ Conditions,FALSE,TRUE,TRUE,4000 W Diversey Ave,CHICAGO,IL,60639.0,2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO FOOD SANITATION MANAGER ON SITE WHILE TCS FOODS ARE BEING PREPPED (SUCH AS CHICKEN). INSTRUCTED MUST HAVE A CITY OF CHICAGO FOOD SANITATION MANAGER ON SITE AT ALL TIMES WHEN TCS FOODS ARE BEING PREPPED/SERVED. INSTRUCTED MUST POST A VALID CITY OF CHICAGO FOOD SANITATION MANAGER CERTIFICATION IN PLAIN VIEW OF CUSTOMERS AT ALL TIMES.PRIORITY FOUNDATION VIOLATION 7-38-012. CITATION ISSUED.,41.9318977231462,-87.7271050304539,CERMAK FRESH MARKET,4000 W DIVERSEY AVE,POINT (-87.7271050304539 41.9318977231462),AVONDALE,55290595.473,21.0,21.0,34261.9334038,,,20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038
Kurowski Sausage Shop & Rich,2025-03-24,Pass W/ Conditions,TRUE,FALSE,FALSE,2976-2978 N Milwaukee Ave,CHICAGO,IL,60618.0,"29. COMPLIANCE WITH VARIANCE/SPECIALIZED PROCESS/HACCP - Comments: OBSERVED FOOD EMPLOYEE SMOKING MEAT ON PREMISES WIHTOUT AN APPROVED HACCP PLAN. INSTRUCTED THE PERSON IN CHARGE THEY MUST OBTAIN CHICAGO DEPARTMENT OF PUBLIC HEALTH APPROVAL FOR HACCP PROCESS. SMOKERS ARE TAGGED 'HELD FOR INSPECTION'. INSTRUCTED NOT TO USE UNTIL HACCP PLAN AND VARIANCE ARE PROVIDED. PRIORITY FOUNDATION VIOLATION 7-38-005. COMBINED WITH VIOLAITON #32. | 32. VARIANCE OBTAINED FOR SPECIALIZED PROCESSING METHODS - Comments: OBSERVED NO HACCP PLAN AND VARIANCE FOR SMOKING MEAT ON PREMISES.---ALSO OBSERVED ASSORTED SMOKED FOOD ITEMS INSIDE THE WALK IN COOLER  WITH NO PROOF OF HACCP OR VARIANCE PER HEALTH CODE REQUIREMENT. INSTRUCTED MANAGEMENT DISCONTINUE THE SMOKING PROCESS UNTIL A VARIANCE AND HACCP ARE APPROVED BY THE HEALTH DEPARTMENT.THE FOOD ITEMS ASSORTED SMOKED PORK ITEMS WERE ALSO TAGGED AND HELD FOR INSPECTION ABOUT 200 LBS AT $900. PRIORITY FOUNDATION VIOLATION #7-38-005. CITATION ISSUED. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD ITEMS BEING STROED ON FLOOR IN THE WALK-IN COOLER, IN THE BASEMENT PREP AREA. INSTRUCTED THE PERSON IN CHARGE TO ELEVATE ALL FOOD ITEMS SIX INCHES FROM FLOOR AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED EMPLOYEE TOILET ROOM DOOR NOT SELF-CLOSING IN BASMENT. INSTRUCTED THE PERSON IN CHARGE TO INSTALL A SELF-CLOSING MECHANISM FOR EMPLOYEE TOILET ROOM DOOR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED ACCUMULATED FOOD DEBRIS ON FLOOR THROUGHOUT BASEMENT PREP AREA. INSTRCUTED THE PERSON IN CHARGE TO DETAIL CLEAN FLOORS AND MAINTAIN.",41.9353055522412,-87.7178601061768,KUROWSKI SAUSAGE SHOP RICH,29762978 N MILWAUKEE AVE,POINT (-87.7178601061768 41.9353055522412),AVONDALE,55290595.473,21.0,21.0,34261.9334038,,,20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038
7-Eleven #36718B,2024-12-03,Pass W/ Conditions,TRUE,FALSE,FALSE,3600 W Belmont Ave,CHICAGO,IL,60618.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CERTIFIED FOOD MANAGER ON SITE WHILE TCS FOODS (CHICKEN, HOTDOG, PIZZA ETC) ARE BEING PREPARED AND SERVED. INSTRUCTED PERSON IN CHARGE, A CERTIFIED FOOD MANAGER WITH CITY OF CHICAGO FOODSERVICE SANITATION CERTIFICATE MUST BE PRESENT AT ALL TIMES WHEN HANDLING TCS FOODS. PRIORITY FOUNDATION VIOLATION 7-38-012 CITATION ISSUED. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED BUILD UP OF DIRT AND SPILLS ON SHELVES THROUGHOUT FACILITY, INCLUDING; UNDER COFFEE STATION, SLURPEE AND SODA STATION, AND IN WALK-IN COOLER ON FLOORS. INSTRUCTED THE PERSON IN CHARGE TO CLEAN, SANITIZE ALL AREAS AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED ACCUMULATED DIRT BUILD UP AND SPILLS ON FLOOR UNDERNEATH ALL SODA, SLURPEE AND COFFEE STATIONS. INSTRUCTED TO CLEAN FLOORS AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED REAR TOILET ROOM  WITH CLUTTER AND ITEMS ON FLOOR. INSTRUCTED TO ORGANIZE TOILET ROOM AND KEEP ITEMS ELEVATED OFF OF FLOORS AND MAINTAIN.",41.9393251924953,-87.7174616250532,7ELEVEN 36718B,3600 W BELMONT AVE,POINT (-87.7174616250532 41.9393251924953),AVONDALE,55290595.473,21.0,21.0,34261.9334038,,,20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038
"Carniceria La Mejor Produce, Inc.",2024-12-02,Pass W/ Conditions,FALSE,TRUE,TRUE,2915 N Milwaukee Ave,CHICAGO,IL,60618.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CERTIFIED MANAGER ON SITE FROM 9:40-10:15AM WHILE STORE WAS OPEN AND OPERATING. INSTRUCTED TO MAINTAIN AN EMPLOYEE HOLDING A VALID CITY OF CHICAGO FOODSERVICE MANAGER CERTIFICATE ON SITE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-012. CITATION ISSUED. | 11. FOOD OBTAINED FROM APPROVED SOURCE - Comments: OBSERVED CAKE SLICES SOLD ""TO GO"" PREPARED OFFSITE IN A PRIVATE HOME. MANAGEMENT DISCARDED APPROXIMATELY 1LBS OF CAKE VALUED AT APPROXIMATELY $30. INSTRUCTED MANAGEMENT TO CEASE PURCHASING FROM PRIVATE PARTIES AND ONLY PURCHASE FROM APPROVED SOURCES. PRIORITY VIOLATION 7-38-005. CITATION ISSUED. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED ITEMS PREPARED ON SITE AND SOLD ""TO GO"" SUCH AS GUACAMOLE AND PICO DE GALLO MISSING INGREDIENT INFORMATION. INSTRUCTED TO PROVIDE INGREDIENT INFORMATION ON ALL ITEMS PREPARED ON SITE AND SOLD TO GO.",41.9343143993782,-87.7157719991084,CARNICERIA LA MEJOR PRODUCE INC,2915 N MILWAUKEE AVE,POINT (-87.7157719991084 41.9343143993782),AVONDALE,55290595.473,21.0,21.0,34261.9334038,,,20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038
Teques Bites,2024-10-01,Pass W/ Conditions,TRUE,FALSE,FALSE,3004 N Pulaski Rd,CHICAGO,IL,60641.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO WRITTEN POLICY AND PROCEDURE FOR HANDLING VOMIT AND DIARRHEA CLEAN-UP ON PREMISES. INSTRUCTED TO KEEP A WRITTEN POLICY AND PROCEDURE IN PLACE FOR HANDLING VOMIT AND DIARRHEA AND THE NECESSARY ITEMS OUTLINED IN THE POLICY ON PREMISES. PRIORITY FOUNDATION VIOLATION, 7-38-005. NO CITATION ISSUED. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO THERMOMETERS CONSPICUOUSLY PLACED IN ANY OF THE COLD HOLDING EQUIPMENT. INSTRUCTED THE PERSON IN CHARGE TO PROVIDE THERMOMETERS FOR ALL COLD HOLDING EQUIPMENT AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MULTIPLE COLLAPSED CEILING PANELS IN THE REAR. INSTRUCTED THE PESON IN CHARGE TO REPAIR AND MAINTAIN IN GOOD REPAIR.",41.9355854384292,-87.7272309253918,TEQUES BITES,3004 N PULASKI RD,POINT (-87.7272309253918 41.9355854384292),AVONDALE,55290595.473,21.0,21.0,34261.9334038,,,20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038
7-Eleven #36106 B,2021-07-26,Pass W/ Conditions,TRUE,FALSE,FALSE,3005 N Pulaski Rd,CHICAGO,IL,60641.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: PERSON IN CHARGE DOES NOT HAVE A CITY OF CHICAGO SANITATION CERTIFICATE. PRIORITY FOUNDATION VIOLATION. NO CITATION ISSUED. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: FOUND NO CERTIFIED FOOD MANAGER ON SITE WHILE TCS FOODS (CHICKEN, HOTDOG, PIZZA ETC) ARE BEING PREPARED AND SERVED. INSTRUCTED PERSON IN CHARGE, A CERTIFIED FOOD MANAGER WITH CITY OF CHICAGO FOODSERVICE SANITATION CERTIFICATE MUST BE PRESENT AT ALL TIMES WHEN HANDLING TCS FOODS.  PRIORITY FOUNDATION VIOLATION 7-38-012 CITATION ISSUED | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES,  FACE MASKS,  DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY  THAT KILLS NOROVIRUS)   PRIORITY FOUNDATION VIOLATION 7-38-005   NO CITATION ISSUED | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED TO PROVIDE THERMOMETER VISIBLE INSIDE 2 PREP COOLER (BEHIND FRONT PREP AREA). | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN INTERIOR AND EXTERIOR SURFACES OF REACH IN COOLER AMD FREEZER IN REAR STORAGE/DISHWASHING AREA. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: BACKFLOW PREVENTER DEVICE NOT LOCATED BEHIND COFFEE MACHINE (COFFEE STATION).                INSTRUCTED TO INSTALL SO THAT IT CAN BE LOCATED TO BE SERVICED AND MAINTAINED. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: NOTED SOME LITTER ON GROUND UNDER AND AROUND GARBAGE DUMPSTER IN OUTSIDE REFUSE AREA. INSTRUCTED TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS WITH EXCESSIVE SYRUP AND CLUTTER  UNDER AND BEHIND BEVERAGE DISPENSER MACHINE IN FRONT SERVICE/DISPLAY AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS ALONG THE WALLS AND IN ALL CORNERS THROGHOUT REAR STORAGE/DISHWASHING AREA. FOOD AND NON FOOD ITEMS MUST BE STORED OFF THE FLOOR FOR EASY ACCESS ON CLEANING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO REPLACE MISSING CEILING TILES ABOVE REAR STORAGE/DISHWASHING AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN CEILING VENT COVER WITH DUST ACCUMULATION ABOVE FRONT PREP/SERVICE AND DISPLAY AREA. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOOD HANDLER (S) WITH NO PROOF OF FOOD HANDLER TRAINING CERTIFICATE.  INSTRUCTED TO PROVIDE CERTIFICATE FOR EACH EMPLOYEE.",41.9355897621763,-87.7269369676285,7ELEVEN 36106 B,3005 N PULASKI RD,POINT (-87.7269369676285 41.9355897621763),AVONDALE,55290595.473,21.0,21.0,34261.9334038,,,20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038
Cvs/Pharmacy #5681,2020-06-16,Pass W/ Conditions,TRUE,FALSE,FALSE,3311 N Pulaski Rd,CHICAGO,IL,60641.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: NO VISIBLE THERMOMETER INSIDE SOME COOLER  AND WALK IN COOLER BY THE DAIRY. MUST PROVIDE AND MUST BE VISIBLE. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: REAR DELIVERY DOOR RIGHT BOTTOM CORNER WITH 1/3 OF A GAP AND FRONT ENTRANCE DOOR WITH 1/4 GAP IN BETWEEN THE 2 GLASS DOOR. INSTRUCTED TO MAKE THE DOOR TIGHT FITTING,RODENT/INSECTS PROOFED. | 50. HOT & COLD WATER AVAILABLE; ADEQUATE PRESSURE - Comments: NO HOT WATER IN THE WASHROOM, EMPLOYEE'S LUNCH ROOM AND MOP SINK. WATER TEMPERATURE AT 75.0F. INSTRUCTED MANAGER TO PROVIDE WATER TEMPERATURE AT 100.0F. PRIORITY VIOLATION 7-38-030(C). MANAGER CALLED THE MAIN CORPORATION AND ASKED FOR THE PLUMBER TO COME. PLUMBER CAME FROM CLM MIDWEST GENERAL MAINTENANACE REPAIR COMPANY AND WAS ABLE TO RESUME THE WATER TEMPERATURE AT 100.0F. NO CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN THE FLOOR UNDERNEATH THE WIRE RACK SHELVINGS WITH DEBRIS AND DIRT INSIDE THE WALK IN COOLER AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: HEAVY DUST BUILD UP ON THE CEILING VENTILATION COVER IN BOTH WASHROOMS. MUST DETAIL CLEAN AND MAINTAIN. | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: NO PREVIOUS SUMMARY REPORT POSTED ON SITE FROM REPORT #1354022 DATED 8/01/13. INSTRUCTED MANAGER THAT SUMMARY REPORT MUST BE POSTED/DISPLAYED ON SITE FOR CUSTOMER VIEW. PRIORITY FOUNDATION 7-42-010(B)NO CITATION ISSUED. PROVIDED NEW SUMMARY REPORT TO POST ON SITE.",41.941357522357,-87.7271065662078,CVSPHARMACY 5681,3311 N PULASKI RD,POINT (-87.7271065662078 41.941357522357),AVONDALE,55290595.473,21.0,21.0,34261.9334038,,,20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038
"Jenny'S Food Market, Inc.",2020-05-05,Pass W/ Conditions,TRUE,FALSE,FALSE,2990 N Milwaukee Ave,CHICAGO,IL,60618.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO WRITTEN CLEANING PROCEDURE OR REQUIRED EQUIPMENT FOR A VOMITING/DIARRHEA EVENT. MUST PROVIDE. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: MUST PROVIDE A METAL STEM THERMOMETER TO CHECK TCS FOOD TEMPERATURES UPON DELIVERY. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED. | 45. SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED - Comments: ALL STORED ITEMS THROUGHOUT REAR STORAGE AREA MUST BE ELEVATED FROM THE FLOORS.,41.9355117366313,-87.7181995661123,JENNYS FOOD MARKET INC,2990 N MILWAUKEE AVE,POINT (-87.7181995661123 41.9355117366313),AVONDALE,55290595.473,21.0,21.0,34261.9334038,,,20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038
Chicago Pickle,2025-03-24,Pass,FALSE,TRUE,TRUE,3055 N Milwaukee Ave,CHICAGO,IL,60618.0,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD ITEMS BEING STORED ON THE FLOOR IN THE WALK-IN FREEZER. INSTRUCTED THE PERSON IN CH TO ELEVATE ALL FOOD ITEMS SIX INCHES FROM FLOOR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED ACCUMULATED FOOD DEBRIS AND GREASE UNDERNEATH THE DEEP FRYERS IN THE BASEMENT PREP AREA. INSTRUCTED THE PERSON IN CHARGE TO DETAIL CLEAN UNDERNEATH DEEP FRYERS AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MULTIPLE MISSING CEILING PANELS IN THE REAR WAREWASHING AREA. INSTRUCTED THE PERSON IN CHARGE TO REPAIR AND MIANTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED FOOD EMPLOYEE PERSONAL ITEMS BEING STORED ON PREP TABLE IN THE REAR PREP AREA. INSTRUCTED THE PERSON IN CHARGE TO PROVIDE ORDERLY STORAGE AREA FOR EMPLOYEES CLOTHING AND OTHER POSSESSIONS.",41.936780375027,-87.7198173408422,CHICAGO PICKLE,3055 N MILWAUKEE AVE,POINT (-87.7198173408422 41.936780375027),AVONDALE,55290595.473,21.0,21.0,34261.9334038,,,20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038
Joong Boo Market,2025-03-07,Pass,FALSE,TRUE,TRUE,3333 N Kimball Ave,CHICAGO,IL,60618.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED BROKEN THERMOMETER INSIDE OF SELF-SERVICE HOT FOODS UNIT. INSTRUCTED TO REPLACE OR REPAIR AND MAINTAIN.  | 44. UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED - Comments: OBSERVED CUTTING BOARDS IN THE REAR PREP AREA WITH OPEN SEAMS AND DARK STAINS. INSTRUCTED TO REFINISH OR REPLACE DAMAGED OR STAINED CUTTING BOARDS AND MAINTAIN AT ALL TIMES.   | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED TORN DOOR GASKET INSIDE OF THE 2 DOOR PREP COOLER IN HOT FOODS PREP AREA. INSTRUCTED TO REPLACE  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING AND DAMAGED FLOOR TILES IN THE SEAFOOD PREP AREA. INSTRUCTED TO REPAIR TO CREATE A SMOOTH AND EASILY CLEANABLE SURFACE. MUST MAINTAIN AT ALL TIMES.",41.9421535856129,-87.7124460175866,JOONG BOO MARKET,3333 N KIMBALL AVE,POINT (-87.7124460175866 41.9421535856129),AVONDALE,55290595.473,21.0,21.0,34261.9334038,,,20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038
