DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Food Town,2024-02-28,Pass W/ Conditions,TRUE,FALSE,FALSE,935 E 79Th St,CHICAGO,IL,60619.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICY ON SITE. INSTRUCTED TO PROVIDE AND IMPLEMENT AN EMPLOYEE HEALTH POLICY AND MAINTAIN ON SITE.  PRIORITY FOUNDATION 7-38-010 NO CITATION ISSUED | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURE NOR CLEAN UP VOMIT/DIARRHEAL KIT ON SITE. INSTRUCTED TO OBTAIN AND MAINTAIN ONE ON SITE ALONG WITH A PROCEDURE.  PRIORITY FOUNDATION 7-38-005 NO CITATION ISSUED | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RAW WOOD SHELVING IN THE REAR STORAGE AREA. INSTRUCTED TO SEAL/PAINT WOOD AND MAINTAIN A SMOOTH AND EASILY CLEANABLE SURFACE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED THE TRASH RECEPTACLE IN THE WOMENS TOILET ROOM HAS NO LID/COVER. INSTRUCTED TO PROVIDE A TRASH RECEPTACLE WITH A LID/COVER AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE FLOOR UNDER THE URINAL BROKEN/DAMAGED. INSTRUCTED TO FIX AND MAINTAIN A SMOOTH AND EASILY CLEANABLE FLOOR.  -MUST SEAL AROUND THE PIPES IN THE TOILET ROOMS.  -MUST REPLACE ALL WATER STAINED CEILING TILES AND MAINTAIN. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED THE FOOD HANDLERS HAS NO FOOD HANDLERS CERTIFICATES. INSTRUCTED TO OBTAIN AND MAINTAIN CURRENT FOOD HANDLER CERTIFICATES.",41.7512179339458,-87.6014014102109,FOOD TOWN,935 E 79TH ST,POINT (-87.6014014102109 41.7512179339458),CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,,43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094
Bp Gas Station,2023-08-07,Pass W/ Conditions,TRUE,FALSE,FALSE,8701-8709 S State St,CHICAGO,IL,60619.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11 OBSERVED NO VOMITING AND DIARRHEA PROCEDURE AND CLEAN-UP KIT ON PREMISES DURING THE INSPECTION. INSTRUCTED TO HAVE SAID PROCEDURE ALONG WITH REQUIRED EQUIPMENT FOR CLEAN-UP.  PRIORITY FOUNDATION VIOLATION 7-38-005, NO CITATION ISSUED | 23. PROPER DATE MARKING AND DISPOSITION - Comments: 3-501.17 OBSERVED PREPACKAGED SANDWICHES ON DISPLAY IN THE WALK-IN COOLER WITH NO EXPIRATION DATE. INSTRUCTED TO PROVIDE EXPIRATION DATES ON ALL TCS FOODS THAT ARE ON DISPLAY FOR SALE AND MAINTAIN. PRIORITY FOUNDATION VIOLATION 7-38-005, NO CITATION ISSUED.  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: 4-204.112(B) OBSERVED NO AMBIENT AIR THERMOMETER IN ANY OF THE COLD HOLDING UNITS. INSTRUCTED TO PROVIDE AND MAINTAIN.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-101.19 OBSERVED THE SHELVING UNITS THROUGHOUT THE FACILITY WITH DUST BUILD UP AND DEBRIS IN THE REAR TOBACCO STORAGE AREA AND ON THE DISPLAY SHELVING UNITS. INSTRUCTED TO CLEAN AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-101.19 OBSERVED THE SHELVING UNITS THROUGHOUT THE FACILITY WITH DUST BUILD UP AND DEBRIS IN THE REAR TOBACCO STORAGE AREA AND ON THE DISPLAY SHELVING UNITS. INSTRUCTED TO CLEAN AND MAINTAIN.  | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: 4-301.12 OBSERVED ONE MISSING SINK STOPPER FOR THE THREE COMPARTMENT SINK. INSTRUCTED TO PROVIDE AND MAINTAIN | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11 OBSERVED DAMAGED FLOOR TILE IN THE MIDDLE OF THE DISHWASHING AREA FLOOR, A HOLE IN THE WOODEN FLOOR AT THE FRONT SERVICE COUNTER, AND AN OPENING IN THE WALL BEHIND THE TOILET IN THE TOILET ROOM. INSTRUCTED TO REPAIR ALL DAMAGED FLOORS AND WALLS AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.13 OBSERVED SEVERE TRASH BUILD UP ON THE FLOORS AND INSIDE OF EQUIPMENT THROUGHOUT THE FACILITY IN THE FOLLOWING AREAS: ON THE FLOOR UNDER THE SHELVING UNITS AND UNDER AND INSIDE OF THE EQUIPMENT IN THE REAR DISWAHING AREA, UNDER AND BEHIND THE SHELVING UNITS INSIDE OF THE WALK-IN COOLER, INSIDE THE OPENINGS IN THE WOODEN FLOOR AT THE FRONT SERVICE COUNTER AND UNDER THE SHELVING UNITS IN THE SAME SAID AREA. INSTRUCTED TO REMOVE DEBRIS BUILD UP, CLEAN AND MAINTAIN FLOORS AND EQUIPMENT IN THE SAID AREAS.",41.7362124202273,-87.6240124453327,BP GAS STATION,87018709 S STATE ST,POINT (-87.6240124453327 41.7362124202273),CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,,43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094
Y & S Market,2023-06-16,Pass W/ Conditions,TRUE,FALSE,FALSE,621 E 79 St,CHICAGO,IL,60619.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11 OBSERVED CLEAN-UP OF VOMITING AND DIARRHEA PROCEDURE ON SITE BUT CLEAN-UP KIT WITHOUT PROPER SANITIZING SOLUTION AND NO MOP FOR VOMIT CLEAN UP. INSTRUCTED TO HAVE SAID PROCEDURE ALONG WITH REQUIRED EQUIPMENT FOR CLEAN-UP. PRIORITY FOUNDATION VIOLATION 7-38-005, NO CITATION ISSUED. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C) OBSERVED THE SHELVING UNITS IN THE FRONT DISPLAY AISLES AND THE COUNTER AT THE SERVICE COUNTER WITH DUST.INSTRUCTED TO CLEAN AND MAINTAIN.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-304.11 OBSERVED NO VENTILTAION SYSTEM IN THE TOILET ROOM CLOSEST TO THE WALK-IN COOLER. INSTRUCTED TO PROVIDE AND MAINTAIN.",41.7511056476603,-87.6091798912668,Y S MARKET,621 E 79 ST,POINT (-87.6091798912668 41.7511056476603),CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,,43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094
Ray'S Food Market,2013-09-04,Pass W/ Conditions,FALSE,TRUE,TRUE,8645 S Cottage Grove Ave,CHICAGO,IL,60619.0,"14. PREVIOUS SERIOUS VIOLATION CORRECTED, 7-42-090 - Comments: THE FOLLOWING PREVIOUS SERIOUS VIOLATION NOTED 8-20-13 ON REPORT# 920372 NOT CORRECTED: -18- 20-30 MICE DROPPINGS OBSERVED SCATTERED ALONG THE BASES OF THE WALLS THROUGHOUT PREMISES. CLEANED AND SANITIZED ALL AFFECTED AREAS THROUGHOUT DURING RE-INSPECTION. CITATION ISSUED-CRITICAL FOR NON COMPLIANCE WITH EXISTING VIOLATION 7-42-090. | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: SEE VIOLATION #14 | 24. DISH WASHING FACILITIES: PROPERLY DESIGNED, CONSTRUCTED, MAINTAINED, INSTALLED, LOCATED AND OPERATED - Comments: NO HOT FOOD BEING PREPARED OR SERVED. 3 COMPARTMENT METAL SINK IN REAR STORAGE AREA NOT CONNECTED. MUST INSTALL THE 3 COMPARTMENT METAL SINK WITH DRAINBOARD AND GREASE TRAP SO ALL MULTI-USE UTENSILS AND EQUIPMENT CAN BE WASHED, RINSED, AND SANITIZED. NO CITATION ISSUED AT THIS TIME. MUST CORRECT THIS VIOLATION IF LEASE IS RENEWED IN ORDER TO SELL SNOW CONES AND COOK AND SERVE HOT FOOD. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN THE FOLLOWING: ALL DISPLAY AND STORAGE SHELVES THROUGHOUT, ALL SINKS IN REAR, INTERIORS AND EXTERIORS OF ALL COOLERS AND FREEZERS, AND ALL OTHER UNCLEAN SURFACES THROUGHOUT. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: REPLACE ALL MISSING FLOOR TILES THROUGHOUT. DETAIL CLEAN ALL FLOORS THROUGHOUT ALONG ALL WALL BASES, IN CORNERS, UNDERNEATH AND BEHIND ALL HEAVY EQUIPMENT.    | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: REPAIR OR REPLACE BLOWN LIGHTS ON SALES FLOOR.    | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: ELIMINATE CLUTTER IN REAR STORAGE AREA.",41.7371362496807,-87.6046896237588,RAYS FOOD MARKET,8645 S COTTAGE GROVE AVE,POINT (-87.6046896237588 41.7371362496807),CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,,43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094
Chatham Meat & Grocery,2025-02-05,Pass,FALSE,TRUE,TRUE,8211 S Cottage Grove Ave,CHICAGO,IL,60619.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: REAR OUTER DOOR BY MOP SINK WITH A 1/2"" GAP UNDERNEATH IT AND IS NOT RODENT/INSECT PROOFED. INSTRUCTED TO CLOSE GAP AND RODENT/INSECT PROOF THE REAR DOOR. MAINTAIN SAME. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: RUBBER GASKETS ON ALL OF THE BEVERAGE REACH IN COOLERS AND FROZEN FOOD FREEZERS IN THE FRONT AREA ARE IN POOR REPAIR. INSTRUCTED TO REPLACE AND MAINTAIN THE RUBBER GASKETS.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS UNDER THE FRYERS, IN THE CORNERS, UNDER/AROUND THE HEAVY EQUIPMENT AND IN THE REACH IN COOLERS/FREEZERS WITH GREASE, FOOD, DIRT AND DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN FLOORS THROUGHOUT.  -VENTS AND WALLS IN THE TOILET ROOM AND FOOD PREP AREA WITH DIRT AND DUST BUILD UP. INSTRUCTED TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: CLUTTER IN THE STORAGE CLOSET BY THE MOP SINK AND BEHIND THE FRONT COUNTER. INSTRUCTED TO ELIMINATE CLUTTER, ORGANIZE AND MAINTAIN AREAS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MISSING/DAMAGE FLOOR TILES IN FRONT/INSIDE OF THE REACH IN COOLERS, PREP AND IN THE STORE AISLES. INSTRUCTED TO REPLACE ALL MISSING/DAMAGED FLOOR TILES AND MAINTAIN SMOOTH AND EASILY CLEANABLE FLOORS. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOOD HANDLERS ON SITE WITH NO PROOF THAT THEY MET THE FOOD HANDLER'S REQUIREMENTS. INSTRUCTED TO OBTAIN AND MAINTAIN A VALID FOOD HANDLER'S CERTIFICATE.",41.7454253374232,-87.6049267213119,CHATHAM MEAT GROCERY,8211 S COTTAGE GROVE AVE,POINT (-87.6049267213119 41.7454253374232),CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,,43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094
Chatham Fresh Mart,2024-11-13,Pass,TRUE,FALSE,FALSE,402-408 E 83Rd St,CHICAGO,IL,60619.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: BOTTOM OF FRONT DOUBLE DOORS NOT RODENT/INSECT PROOFED. 1/4"" GAP NOTED. INSTRUCTED TO RODENT/INSECT PROOF DOUBLE DOORS AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: POP CRATES BEING USED IN THE STORAGE AREAS AS SHELVING. INSTRUCTED TO ELIMINATE USE OF POP CRATES AND PROVIDE ADEQUATE SHELVING. MAINTAIN SAME. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: THE LOWER SURFACES OF THE PREP TABLES IN THE MEAT DEPARTMENT ARE RUSTY. INSTRUCTED TO REMOVE RUST OR REPLACE PREP TABLES. MAINTAIN A RUST FREE, SMOOTH AND EASILY CLEANABLE SURFACE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: WATER STAINED AND DAMAGED CEILING TILES IN THE FRONT/REAR OF STORE. INSTRUCTED TO REPLACE AND MAINTAIN CEILING TILES.  -WALL IN THE TOILET ROOM BY THE TOILET IS DAMAGED. INSTRUCTED TO FIX AND MAINTAIN A SMOOTH AND EASILY CLEANABLE SURFACE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: STORAGE AREAS WITH CLUTTER. INSTRUCTED TO ELIMINATE CLUTTER AND ORGANIZE THE AREAS. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOOD HANDLER ON SITE WITH NO PROOF HE MET THE FOOD HANDLERS REQUIREMENTS. INSTRUCTED TO HAVE FOOD HANDLER OBTAIN AND MAINTAIN A VALID FOOD HANDLERS CERTIFICATE.",41.7439240045961,-87.6146079625199,CHATHAM FRESH MART,402408 E 83RD ST,POINT (-87.6146079625199 41.7439240045961),CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,,43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094
Noon Star Food Market,2024-11-12,Pass,FALSE,TRUE,TRUE,8637 S Cottage Grove Ave,CHICAGO,IL,60619.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: FRONT DOOR WITH 1/4"" GAP IN BETWEEN DOUBLE DOORS. INSTRUCTED TO MAKE RODENT/INSECT PROOFED AND MAINTAIN TIGHT FITTING.",41.7373613466866,-87.6046958054252,NOON STAR FOOD MARKET,8637 S COTTAGE GROVE AVE,POINT (-87.6046958054252 41.7373613466866),CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,,43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094
Paradise Grocery Inc.,2024-10-29,Pass,FALSE,TRUE,TRUE,8101 S Cottage Grove Ave,CHICAGO,IL,60619.0,"41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: WIPING CLOTHS NOT PROPERLY STORED WHEN NOT IN USE. INSTRUCTED TO STORE IN SANITIZING SOLUTION (MUST BE AT THE REQUIRED PPM) WHEN NOT IN USE. MAINTAIN SAME. | 45. SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED - Comments: THE TO GO CONTAINERS AT THE FRONT FOOD AND REAR PREP AREA NOT INVERTED. INSTRUCTED TO INVERT CONTAINERS AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: GREASE AND DIRT BUILDUP ON THE INTERIOR OF THE DEEP FRYERS. INSTRUCTED TO CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: THERE'S A LEAK AT THE PIPE UNDERT THE HANDWASHING SINK IN THE MIDDLE PREP AREA. INSTRUCTED TO FIX AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS IN THE CORNERS AND UNDER/AROUND THE COOKING EQUIPMENT IN THE PREP AREA WITH FOOD AND DIRT. INSTRUCTED TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MOP STORED INSIDE OF MOP BUCKET WITH DIRT WATER. INSTRUCTED TO STORE HANGING UP FOR PROPER AIR DRYING WHEN NOT IN USE. MAINTAIN SAME. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOOD HANDLER ON SITE WITH NO FOOD HANDLERS CERTIFICATE. INSTRUCTED TO OBTAIN AND MAINTAIN A VALID CERTIFICATE.",41.747538448447300,-87.6049857308018,PARADISE GROCERY INC,8101 S COTTAGE GROVE AVE,POINT (-87.6049857308018 41.747538448447294),CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,,43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094
Lucky Mini Market,2024-04-01,Pass,TRUE,FALSE,FALSE,523 E 79Th St,CHICAGO,IL,60619.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE FRONT AND REAR DOOR WITH A 1/2"" GAP UNDERNEATH, NOT RODENT/INSECT PROOFED. INSTRUCTED TO RODENT/INSECT PROOF BOTH DOORS AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO BACK FLOW PREVENTION DEVICE ON MOP SINK IN THE REAR. INSTRUCTED TO PROVIDE AND MAINTAIN A PREVENTION DEVICE ON THE SINK. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DAMAGED/MISSING FLOOR TILE UNDERNEATH THE FRONT/REAR EXIT DOORS. INSTRUCTED TO PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE FLOORS IN THE CORNERS, UNDER/AROUND THE COOLERS, SINKS AND STORAGE RACKS AND IN THE UTILITY/ELECTRICAL CLOSETS WITH DIRT AND DEBRIS. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS THROUGHOUT.",41.7510658304124,-87.6115169004373,LUCKY MINI MARKET,523 E 79TH ST,POINT (-87.6115169004373 41.7510658304124),CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,,43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094
R J Dream Inc.,2022-09-21,Pass,TRUE,FALSE,FALSE,305 W 79Th. St,CHICAGO,IL,60620.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGN AT HAND SINK IN TOILET ROOM MUST PROVIDE AND MAINTAIN. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO THERMOMETER FOR TCS FOOD REACH IN COOLER MUST PROVIDE AND MAINTAIN. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED FRONT DOOR WITH A GAP ALONG BOTTOM MUST MAKE DOOR TIGHT FITTING. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN DUST BUILD UP AND DEBRIS FROM ALL GLASS REACH IN COOLERS AND DISPLAY SHELVES ON SALES FLOOR. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO COLD RUNNING WATER AT MOPSINK MUST PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DAMAGED FLOOR TILES ON SALES FLOOR AND REAR STORAGE AREA,STAINED CEILING TILES ON SALES FLOOR MUST REPAIR OR REPLACE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST ELEVATE,REMOVE OR ORGANIZE ARTICLES OFF OF FLOOR AND AWAY FROM WALLS IN TOILET ROOM AND STORAGE AREAS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN DIRT FROM FLOOR UNDER REAR STORAGE AREA SHELVES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN DUST BUILD UP FROM CEILING VENTS WHERE NEEDED.",41.7507098553702,-87.6321030311113,R J DREAM INC,305 W 79TH ST,POINT (-87.6321030311113 41.7507098553702),CHATHAM,82320670.3112,44.0,44.0,42006.9450094,,,43.0,CHATHAM,82320670.3112,44.0,44.0,42006.9450094
