DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
"Super Crystal Market, Inc.",2024-05-13,Pass W/ Conditions,TRUE,FALSE,FALSE,2639 W 63Rd St,CHICAGO,IL,60629.0,"13. FOOD IN GOOD CONDITION, SAFE, & UNADULTERATED - Comments: UNSOUND, UNSAFE, SPOILED PACKAGED GROUND BEEF, DELI MEATS AND HOT DOGS IN COOLER AND BEING OFFERED FOR SALE. ABOVE SAID FOOD IS  DISCOLORED (GREY AND GREEN) AND FOUL SMELLING AND PAST EXPIRATION DATE. ALL DISCARDED AND DENATURED. APPROX 20LBS $150 VALUE. VIOLATION ISSUED PRIORITY 7-38-005.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: EXCESSIVE ICE ACCUMULATION IN FREEZERS. INSTD TO REMOVE ICE AND MAINTAIN FREEZERS | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: CLUTTER/UNNCECESSARY ARTICLES IN REAR STORAGE AREA. INSTD TO REMOVE ALL ARTICLES NOT RELATED/NOT NECESSARY TO FACILITY AND REMOVE FROM PREMISES.",41.7790557288601,-87.6900493508682,SUPER CRYSTAL MARKET INC,2639 W 63RD ST,POINT (-87.6900493508682 41.7790557288601),CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382
Advanced Ap,2022-10-25,Pass W/ Conditions,TRUE,FALSE,FALSE,3035-3041 W 63Rd St,CHICAGO,IL,60629.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURES AND SUPPLIES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED MANAGER TO PROVIDE. PRIORITY FOUNDATION 7-38-005 | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGNS AT HAND WASHING SINKS. MUST PROVIDE. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD ITEMS STORED ON FLOOR IN WALK-IN COOLER AND STORAGE AREAS. INSTRUCTED MANAGER TO ELEVATE ALL FOOD ITEMS SIX INCHES OFF FLOOR. | 45. SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED - Comments: OBSERVED SINGLE SERVICE ARTICLES STORED ON FLOOR. INSTRUCTED MANAGER TO ELEVATE SINGLE SERVICE ARTICLES SIX INCHES OFF FLOOR. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED WALK-IN COOLER DOOR NOT PROPERLY CONNECTED TO HINGES. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN. | 52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: OBSERVED CONDENSATION WASTE LINE DRAINING INTO 3-COMPARTMENT SINK. INSTRUCTED MANAGER TO REMOVE AND PROPERLY CONNECT TO FLOOR DRAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CHIPS AND UNNECESSARY ITEMS STORED INSIDE UTILITY AND 3-COMPARTMENT SINK. INSTRUCTED MANAGER TO REMOVE ITEMS FROM SINKS AND ORGANIZE STORAGE AREAS TO PREVENT PEST HARBORAGE.",41.7789146959499,-87.6996267109336,ADVANCED AP,30353041 W 63RD ST,POINT (-87.6996267109336 41.7789146959499),CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382
#1 Market Inc.,2020-10-16,Pass W/ Conditions,TRUE,FALSE,FALSE,2555 W 63Rd St,CHICAGO,IL,60629.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINST NOROVIRUS. PRIORITY FOUNDATION 7-38-005 | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: FRONT DOOR NOT RODENT PROOF, APPROX 1/4 INCH GAP AT BOTTOM OF DOOR. INST TO RODENT PROOF, HAVE OUTER OPENINGS PROTECTED. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MISSING COVERED RECEPTACLE IN TOILET ROOM. INSTD TO PROVIDE AND MAINTAIN SAME | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: CLUTTER/UNNECESSARY ITEMS IN REAR STORAGE ROOM (OLD TOILET, AND EXCESSIVE OLD SHELVES). INSTD TO REMOVE SAME AND ORGANIZE AREA.",41.7790817472423,-87.6882896303923,1 MARKET INC,2555 W 63RD ST,POINT (-87.6882896303923 41.7790817472423),CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382
Jj Peppers Food Store,2020-09-30,Pass W/ Conditions,TRUE,FALSE,FALSE,7101 S Kedzie Ave,CHICAGO,IL,60629.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: **INSTRUCTED MANAGER TO INSTALL A HAND SINK WITH HOT AND COLD RUNNING WATER, SOAP AND PAPER TOWEL IN THE REAR AREA WHERE ICE IS BEING HANDLED. INSTRUCTED MANAGER TO COMPLY OR CITATIONS WILL FOLLOW. PRIORITY FOUNDATION #7-38-030(C). | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: PREMISES BAGS AND SELL ICE. INSTRUCTED MANAGER TO PROPERLY LABEL ICE BAGS WITH THE BUSINESS NAME AND ADDRESS.",41.764298991133900,-87.7026639789973,JJ PEPPERS FOOD STORE,7101 S KEDZIE AVE,POINT (-87.7026639789973 41.764298991133906),CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382
Bp Gas Station,2019-10-10,Pass W/ Conditions,TRUE,FALSE,FALSE,6500 S Kedzie Ave,CHICAGO,IL,60629.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICY AVAILABLE. INSTRUCTED MANAGER TO PROVIDE IN A VERIFIABLE MANNER EMPLOYEE RESPONSIBLITY TO REPORT ANY ILLNESS TRANSMISSIBLE THROUGH FOOD. PRIORITY FOUNDATION 7-38-010 | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments:  OBSERVED NO PROCEDURES OR SUPPLIES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED MANAGER TO PROVIDE CLEAN UP POLICY AND SUPPLIES. PRIORITY FOUNDATION 7-38-005 | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SINK IN FRONT COFFEE PREP AND REAR DISH WASHING AREA. INSTRUCTED MANAGER TO INSTALL HAND WASHING SINK WITH HOT AND COLD RUNNING WATER AND SOAP AND PAPER TOWELS IN COFFEE PREP AND REAR DISH WASHING AREA. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED SEVERAL BAGS OF ICE DISPLAYED FOR RETAIL SALE IN FREEZER WITH IMPROPER LABELING. INSTRUCTED MANAGER TO PROPERLY LABEL ALL PACKAGED ICE WITH BUSINESS NAME, ADDRESS, AND NET WEIGHT. | 45. SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED - Comments:  OBSERVED SINGLE SERVICE ARTICLES STORED ON FLOOR IN REAR STORAGE AREA. INSTRUCTED MANAGER TO ELEVATE ALL SINGLE SERVICE ARTICLES OFF FLOOR. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSEREVED RUST DEPOSITS ON INTERIOR SURFACES OF ICE MACHINE. INSTRUCTED MANAGER TO REMOVE RUST DEPOSITS AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  OBSERVED RESIDUE ON INTERIOR SURFACES OF ICE DISPENSER ON POP MACHINES, NOZZLES ON BEVERAGE MACHINES, SPILLS AND DEBRIS INSIDE CABINETS UNDER BEVERAGE AREA, DUST BUILDUP ON SHELVING UNITS AND WINDOW LEDGES IN SALES AREA, FAN COVERS IN WALK-IN COOLER. INSTRUCTED MANAGER TO CLEAN AND SANITIZE ALL FOOD AND NON-FOOD CONTACT SURFACES AND EQUIPEMENT. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  OBSERVED MISSING AND STAINED CEILING TILES IN DISH WASHING AND STAFF WASHROOM AREA. INSTRUCTED MANAGER TO REPLACE CEILING TILES AND MAINTAIN.",41.7752744574575,-87.7031973330574,BP GAS STATION,6500 S KEDZIE AVE,POINT (-87.7031973330574 41.7752744574575),CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382
Express Food Market,2019-06-10,Pass W/ Conditions,TRUE,FALSE,FALSE,6914 S Western Ave,CHICAGO,IL,60636.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO VOMIT OR DIARRHEA CLEAN UP POLICY OR KIT ON SITE AT TIME OF INSPECTION. INSTRUCTED TO PROVIDE AND MAINTAIN. PRIORITY FOUNDATION VIOLATION  7-38-005  | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND NO BACK FLOW PREVENTION DEVICE ON THE UTILITY SINK. INSTRUCTED TO PROVIDE AND MAINTAIN | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CEILING TILES THROUGHOUT THE FACILITY STAINED. INSTRUCTED TO REPLACE AND MAINTAIN | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MAINTENANCE TOOLS SUCH AS BROOM, MOPS, DUSTPANS STORED ON THE FLOOR. INSTRUCTED TO PROPERLY STORE 6 INCHES OR MORE FROM THE FLOOR AND MAINTAIN | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED LITTER ON THE FLOOR BEHIND THE SHELVES, IN THE FRONT WINDOWS, IN THE BACK STORAGE AREA AND THE FRONT SERVICE AREA. FOUND UNNECESSARY ITEMS SUCH AS UNUSED SHELVES, SIGNAGE, DENTED CANS, OVER STOCK, ETC IN THE BACK STORAGE AREA, THE FRONT WINDOWS, AND THE SERVICE AREA. INSTRUCTED TO ORGANIZE, CLEAN AND MAINTAIN | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED TOILET ROOM VENTILATION FAN WITH ACCUMULATION OF DUST. INSTRUCTED TO CLEAN AND MAINTAIN",41.767844750605,-87.6834747877327,EXPRESS FOOD MARKET,6914 S WESTERN AVE,POINT (-87.6834747877327 41.767844750605),CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382
F & G Liquor And Food Mart,2010-10-29,Pass W/ Conditions,TRUE,FALSE,FALSE,6257 S Western Ave,CHICAGO,IL,60636.0,"1. SOURCE SOUND CONDITION, NO SPOILAGE, FOODS PROPERLY LABELED, SHELLFISH TAGS IN PLACE - Comments: All food shall be from sources approved by health authorities and safe for human consumption. ICE FROM UNAPPROVED SOURCE. PACKAGING OWN ICE FROM UNSANITARY ICE MACHINE. ICE MACHINE IS NOT ABLE TO BE BROKEN DOWN .WASHED RINSED AND SANITIZED. IN ADDITION BAGS OF ICE NOT LABELED, DATED NO SOURCE OF NAME, PACKAGED OR PURCHASED. ALL ICE DISCARDED. | 12. HAND WASHING FACILITIES: WITH SOAP AND SANITARY HAND DRYING DEVICES, CONVENIENT AND ACCESSIBLE TO FOOD PREP AREA - Comments: Adequate and convenient hand washing facilities shall be provided for all employees. NO PAPER TOWELS AT EITHER WASHROOM OR EXPOSED HAND SINKS. | 16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: All food should be properly protected from contamination during storage, preparation, display, service, and transportation. ICE (FOOD) NOT PROTECTED FROM CONTAMINATION. FOUND INTERIOR ICE MACHINE WITH DIRT, RUST INSIDE WHERE ICE IS BEING HELD. MACHINE TAGGED HELD FOR INSPECTION. MUST NOT USE UNTIL CLEANED, SANITIZED AND C.D.P.H. CONTACTED FOR INSPECTION AND TAG REMOVAL. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: The floors shall be constructed per code, be smooth and easily cleaned, and be kept clean and in good repair. BASEMENT FLOORS THROUGHOUT DIRTY WITH DEBRIS. MUST CLEAN, ELEVATE ALL ITEMS 6"" OR ABOVE AND MAINTAIN. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: All parts of the food establishment and all parts of the property used in connection with the operation of the establishment shall be kept neat and clean and should not produce any offensive odors. ALL UNNECESSARY ARTICLES THROUGHOUT BASEMENT MUST BE REMOVED FROM PREMISES AND ALL OTHERS MUST BE STORED ELEVATED AND ORGANIZED.",41.7793672500998,-87.6834974171688,F G LIQUOR AND FOOD MART,6257 S WESTERN AVE,POINT (-87.6834974171688 41.7793672500998),CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382
Supermercado La Tortilla,2025-04-17,Pass,TRUE,FALSE,FALSE,5915-5919 S Western Ave,CHICAGO,IL,60636.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.12 : MUST REPAIR OR REPLACE WORN/DEEP GROOVE CUTTING BOARDS IN DELI/MEAT & HOT FOOD PREP AREAS TO BE IN GOOD REPAIR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: : 6-201.13 : MUST REPAIR OR REPLACE STAINED CEILING TILES IN REAR STORAGE AREA OFF OF DELI/MEAT DEPT.",41.7860640549239,-87.6836735423631,SUPERMERCADO LA TORTILLA,59155919 S WESTERN AVE,POINT (-87.6836735423631 41.7860640549239),CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382
Mi Mexico Grocery,2025-02-20,Pass,FALSE,TRUE,TRUE,2601 W 59Th St,CHICAGO,IL,60629.0,"44. UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED - Comments: MULTI USE EQUIPMENT (TRAYS, POTS) IMPROPERLY STORED ON FLOOR IN REAR. INSTD TO ELEVATE AND STORE PROPERLY | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOOD HANDLER IN MEAT/DELI PREP AREA WITHOUT FOOD HANDLER TRAINING. INSTD TO OBTAIN TRAINING AND MAINTAIN VERIFICATION ON SITE | 58. ALLERGEN TRAINING AS REQUIRED - Comments:  MISSING ALLERGEN TRAINING FOR CITY OF CHICAGO CERTIFIED MANAGER. INSTD TO OBTAIN TRAINING AND MAINTAIN VERIFICATION ON SITE",41.7863763432096,-87.6887765140256,MI MEXICO GROCERY,2601 W 59TH ST,POINT (-87.6887765140256 41.7863763432096),CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382
Ogie'S Food Mart,2025-02-11,Pass,TRUE,FALSE,FALSE,2600-2604 W Lithuanian Plaza Ct,CHICAGO,IL,60629.0,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: ALL SINK BASINS THROUGH OUT NOT CLEAN, DEBRIS. INSTD TO CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: PROPER STOPPERS MISSING FOR 3-COMPARTMENT SINK. INSTD TO PROVIDE PROPER STOPPERS AND MAINTAIN | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MISSING AND CRACKED FLOOR TILES IN PREP AREA. INSTD TO REPLACE AND MAINTAIN FLOOR SMOOTH, EVEN AND EASILY CLEANABLE | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOOR THROUGH OUT REAR ALONG WALLBASE AND IN CORNERS, DIRT/DEBRIS. INSTD TO CLEAN AND MAINTAIN SAME",41.768365835791,-87.6883009077208,OGIES FOOD MART,26002604 W LITHUANIAN PLAZA CT,POINT (-87.6883009077208 41.768365835791),CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382
