DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Supermercado,2025-03-20,Pass W/ Conditions,FALSE,TRUE,TRUE,7141-7147 W Addison St,CHICAGO,IL,60634.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HAND WASHING SINK IN BASEMENT DISH WASHING AREA NOT ACCESSIBLE. OBSERVED NUMEROUS POTS STORED ON TOP OF THE HAND WASHING SINK WHILE THE EMPLOYEE WAS WASHING DISHES. HAND-WASHING SINKS MUST BE ACCESSIBLE AT ALL TIMES FOR EMPLOYEES TO WASH THEIR HANDS. PRIORITY FOUNDATION VIOLATION. 7-38-030(C). CITATION ISSUED. EMPLOYEE REMOVED POTS FROM HAND SINK DURING INSPECTION. | 23. PROPER DATE MARKING AND DISPOSITION - Comments: OBSERVED NUMEROUS EXPIRED PACKAGED FLAN CAKES WITH AN EXPIRATION DATE 3/19/2025. THE DATE OF PREPARATION WAS MARKED 3/13/25. READY-TO-EAT FOOD CAN BE HELD FOR A MAXIMUM OF 7 DAYS. PRIORITY VIOLATION. 7-38-005. CITATION ISSUED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED FLY STRIPS HANGING FROM THE CEILING ABOVE THE BAKERY PREP AREA IN THE BASEMENT. INSTRUCTED TO REMOVE FROM FOOD PREP AREAS. EMPLOYEE DISCARDED FLY STRIPS DURING INSPECTION. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED HEAVY ICE BUILD UP ON CONDENSER IN MEAT WALK-IN COOLER AND HEAVY ICE BUILD UP ON FLOOR IN WALK-IN FREEZER IN BASEMENT. MUST DEFROST. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN FLOORS IN WALK-IN DAIRY COOLER AND FLOORS THROUGHOUT BASEMENT PREP AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED ALL WALK IN COOLERS WITH HEAVY DUST BUILD UP ON CONDENSOR FANS. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING CEILING TILES IN EMPLOYEE TOILET ROOM AND IN CUSTOMER SHOPPING AREA. MUST INSTALL CEILING TILES WHERE NEEDED.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED PERSONAL BACKPACK AND CELL PHONE STORED ON TOP OF BAKING MIXER IN BASEMENT. ALSO OBSERVED WAS AN OPEN CUP WITH LIQUID INSIDE STORED ON TOP OF THE COOKING STOVE. INSTRUCTED TO STORE PERSONAL ITEMS IN DESIGNATED AREA AWAY FROM PREP AREA AND CLEAN EQUIPMENT/UTENSILS.",41.945191110996900,-87.8049973028806,SUPERMERCADO,71417147 W ADDISON ST,POINT (-87.8049973028806 41.945191110996895),DUNNING,103595001.175,17.0,17.0,54555.9925337,,,16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337
Jewel Food Store #3224,2025-02-18,Pass,FALSE,TRUE,TRUE,6430 W Irving Park Rd,CHICAGO,IL,60634.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED TORN GASKETS ON ALL DOORS AT 3-DOOR REFRIGERATOR IN DELI PREP AREA. MUST REPAIR. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED WOODEN FIXTURES AND UNUSED ITEMS STORED NEXT TO OUTSIDE GARBAGE DUMPSTER AREA. MUST REMOVE AND MAINTAIN AREA.",41.9530102332346,-87.7877071625985,JEWEL FOOD STORE 3224,6430 W IRVING PARK RD,POINT (-87.7877071625985 41.9530102332346),DUNNING,103595001.175,17.0,17.0,54555.9925337,,,16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337
7-Eleven # 30099C,2024-12-24,Pass,TRUE,FALSE,FALSE,6540 W Belmont Ave,CHICAGO,IL,60634.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HANDWASHING SOAP AT THREE COMPARTMENT SINK IN THE REAR WAREWASHING AREA. INSTRUCTED THE PERSON IN CHARGE TO REMOVE HANDSOAP AT THREE COMPARTMENT SINK AND ENSURE EMPLOYEES ARE ONLY WASHING THEIR HANDS AT SINKS DESIGNATED ONLY FOR HANDWASHING. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED ACCUMULATED FOOD DEBRIS ON INTERIOR SURFACES OF ALL COLD HOLDING EQUIPMENT. INSTRUCTED THE PERSON IN CHARGE TO CLEAN AND ENSURE ALL NONFOOD-CONTACT SURFACES REMAIN SMOOTH AND EASILY CLEANABLE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DIRT ON FLOORS, ALONG WALLS, AND IN ALL CORNERS IN THE PREP, WAREWASHING, AND STORAGE AREAS. INSTRUCTED TO CLEAN FLOORS, ALONG WALLS, AND CORNERS IN ALL AREAS AND MAINTAIN.",41.9383623815073,-87.790006288159,7ELEVEN 30099C,6540 W BELMONT AVE,POINT (-87.790006288159 41.9383623815073),DUNNING,103595001.175,17.0,17.0,54555.9925337,,,16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337
Michoacana Supermarket Corporation,2024-11-26,Pass,FALSE,TRUE,TRUE,6850 W Belmont Ave,CHICAGO,IL,60634.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-101.19--OBSERVED CARD BOARD BEING USED AS FLOOR LINERS IN REAR PREPARED FOODS PREP AREA. MUST REMOVE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-205.15--OBSERVED MINOR LEAK BELOW HAND WASHING SINK LOCATED AT REAR DELI PREP AREA. MUST REPAIR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.11--OBSERVED CRACKED WALL TILE AT BAKERY PREP AREA. MUST REPAIR.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11--OBSERVED MINOR FOOD CRUMBS ON FLOORS IN BAKERY PREP AREA. MUST CLEAN AND MAINTAIN.",41.9382373759913,-87.7977603482516,MICHOACANA SUPERMARKET CORPORATION,6850 W BELMONT AVE,POINT (-87.7977603482516 41.9382373759913),DUNNING,103595001.175,17.0,17.0,54555.9925337,,,16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337
Riviera Foods,2024-09-09,Pass W/ Conditions,FALSE,TRUE,TRUE,3218-3220 N Harlem Ave,CHICAGO,IL,60634.0,"22. PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED ROAST BEEF AT IMPROPER COLD HOLDING TEMPERATURE AT 48F IN DELI COOLER. ALSO OBSERVED THE FOLLOWING TCS FOODS AT IMPROPER COLD HOLDING TEMPERATURE SUCH AS SAUSAGE, HAM AND MORTADELLA RANGING FROM 44-48F. TCS FOODS MUST BE HELD AT 41F OR BELOW. FOOD DISCARDED. FOOD WEIGHING APPROXIMATELY 20 LBS AT A COST OF $100.00. PRIORITY VIOLATION. 7-38-005. CITATION ISSUED. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED WATER SLOW DRAINING AT HAND SINK IN REAR DISH WASHING AREA. MUST REPAIR.",41.9385912815888,-87.8069148006591,RIVIERA FOODS,32183220 N HARLEM AVE,POINT (-87.8069148006591 41.9385912815888),DUNNING,103595001.175,17.0,17.0,54555.9925337,,,16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337
"Geo.  Nottoli & Son, Inc.",2024-08-28,Pass,FALSE,TRUE,TRUE,7652 W Belmont Ave,CHICAGO,IL,60634.0,"41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: OBSERVED WET WIPING CLOTH STORED ON CUTTING BOARD IN REAR SLICING AREA. INSTRUCTED TO STORE WIPING CLOTH IN SANITIZING SOLUTION BUCKET WHEN NOT IN USE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST PROVIDE LID ON TRASH CAN IN TOILET ROOMS.",41.9380047826996,-87.8186542249213,GEO NOTTOLI SON INC,7652 W BELMONT AVE,POINT (-87.8186542249213 41.9380047826996),DUNNING,103595001.175,17.0,17.0,54555.9925337,,,16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337
Aswaq Kan Zaman,2024-08-20,Pass,FALSE,TRUE,TRUE,3952 N Harlem Ave,CHICAGO,IL,60634.0,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: 3-602.11(A; B:1-4,6,7; C; D)--OBSERVED NO LABEL ON PACKAGED FOOD ITEMS IN FRONT OF REGISTER. MUST PROVIDE LABEL WITH NAME OF FOOD, BUSINESS NAME, ADDRESS, NET QUANTITY, LIST OF INGREDIENTS(IF 2 OR MORE). | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.12--OBSERVED DARK STAINS AND DEEP GROOVES ON CUTTING BOARD IN FRONT MEAT PREP AREA. MUST CLEAN AND MAINTAIN.",41.9523094983992,-87.8073989600057,ASWAQ KAN ZAMAN,3952 N HARLEM AVE,POINT (-87.8073989600057 41.9523094983992),DUNNING,103595001.175,17.0,17.0,54555.9925337,,,16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337
Pasta Fresh Co,2024-08-20,Pass,TRUE,FALSE,FALSE,3418 N Harlem Ave,CHICAGO,IL,60634.0,10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.13-- OBSERVED SOAP AND PAPER TOWELS MOUNTED ON WALL ABOVE 3 COMPARTMENT SINK. MUST REMOVE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 4-202.18--OBSERVED DUSTY FILTERS AT VENTILATION HOOD IN REAR PREP/DISHWASHING AREA. MUST CLEAN AND MAINTAIN.,41.9422068679824,-87.8070446629869,PASTA FRESH CO,3418 N HARLEM AVE,POINT (-87.8070446629869 41.9422068679824),DUNNING,103595001.175,17.0,17.0,54555.9925337,,,16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337
Montrose Deli,2024-06-20,Pass W/ Conditions,TRUE,FALSE,TRUE,6601 W Irving Park Rd,CHICAGO,IL,60634.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED IMPROPER WATER TEMPERATURE AT HAND WASHING SINKS IN WOMEN'S AND MEN'S TOILET ROOM RANGING FROM 91-92F. MINIMUM WATER TEMPERATURE AT HAND WASHING SINKS MUST BE AT 100F OR ABOVE THROUGH A MIXING VALVE OR COMBINATION FAUCET. PRIORITY VIOLATION. 7-38-030(C). CITATION ISSUED. PLUMBER ARRIVED ON SITE AND CORRECTED ISSUE. | 21. PROPER HOT HOLDING TEMPERATURES - Comments: OBSERVED ROAST BEEF AT IMPROPER HOT HOLDING TEMPERATURE AT 97F AT HOT HOLDING UNIT. TCS FOODS MUST BE HELD AT 135F OR ABOVE AT A HOT HOLDING UNIT. EMPLOYEE DISCARDED FOOD. FOOD WEIGHING APPROXIMATELY 10 LBS AT A COST OF $75.00.  PRIORITY VIOLATION. 7-38-005. CITATION ISSUED.  | 22. PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED SALMON AT IMPROPER COLD HOLDING TEMPERATURE AT 47F IN COOLER LOCATED AT PREPARED FOODS AREA. ALSO OBSERVED THE FOLLOWING TCS FOODS HELD AT IMPROPER COLD HOLDING TEMPERATURE RANGING FROM 44-56F SUCH AS POTATO SALAD, CROQUETTES STUFFED WITH MEAT, GROUND TURKEY, COOKED PEAS AND CARROTS. TCS FOODS MUST BE HELD AT 41F OR BELOW INSIDE OF A COLD HOLDING UNIT. FOOD DISCARDED BY EMPLOYEE. FOOD WEIGHING APPROXIMATELY 50 LBS AT A COST OF $400.00. PRIORITY VIOLATION. 7-38-005. SEE ABOVE FOR CITATION. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED HEAVY GREASE BUILD UP INSIDE OF COOKING FRYERS LOCATED BY PREPARED FOODS PREP AREA. MUST CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN CONDENSATION FROM VENTS IN PRODUCE WALK IN COOLER.",41.9527216579488,-87.7913622126282,MONTROSE DELI,6601 W IRVING PARK RD,POINT (-87.7913622126282 41.9527216579488),DUNNING,103595001.175,17.0,17.0,54555.9925337,,,16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337
Dollar Tree Store #866,2024-03-11,Pass,TRUE,FALSE,FALSE,3232-3236 N Harlem Ave,CHICAGO,IL,60634.0,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED BOXED FOOD ITEMS ON FLOOR IN WALK-IN COOLER IN THE REAR. INSTRUCTED THE PERSON IN CHARGE TO ELEVATE ALL FOOD ITEMS SIX INCHES FROM FLOOR ON RAISED SHELVING UNITS AND MAINTAIN.",41.9389859689403,-87.8069290647953,DOLLAR TREE STORE 866,32323236 N HARLEM AVE,POINT (-87.8069290647953 41.9389859689403),DUNNING,103595001.175,17.0,17.0,54555.9925337,,,16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337
