DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Sacramento Three Brothers,2025-04-18,Pass W/ Conditions,TRUE,FALSE,TRUE,603 S Sacramento Blvd,CHICAGO,IL,60612.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: 2-101.11  OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER PRESENT WHILE TCS FOODS ARE BEING PREPARED OR SERVED.   PREMISES PREPARES PIZZA AND GROUND BEEF.  MANAGEMENT INSTRUCTED THAT A CERTIFIED FOOD MANAGER MUST BE PRESENT AT ALL TIMES WHILE TCS FOOD ARE BEING PREPARED OR SERVED. PRIORITY FOUNDATION VIOLATION 7-38-012. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 6-202.14  OBSERVED NO SELF-CLOSING DOOR DEVICE ON THE WASHROOM DOOR. MANAGEMENT INSTRUCTED TO INSTALL. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-202.11  OBSERVED NO LIGHT SHIELD AROUND THE LIGHT FIXTURE IN THE WALK-IN COOLER. MANAGEMENT INSTRUCTED TO INSTALL. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: 2-102.13  OBSERVED A FOOD HANDLING EMPLOYEE WITHOUT A FOOD HANDLER CERTIFICATE. MANAGEMENT INSTRUCTED THAT ALL FOOD HANDLING EMPLOYEES MUST SHOW PROOF OF FOOD HANDLER TRAINING.",41.8736351475448,-87.7008622377332,SACRAMENTO THREE BROTHERS,603 S SACRAMENTO BLVD,POINT (-87.7008622377332 41.8736351475448),EAST GARFIELD PARK,53883220.8462,27.0,27.0,31514.6259565,,,26.0,EAST GARFIELD PARK,53883220.8462,27.0,27.0,31514.6259565
"Yoyo Food Mart, Inc.",2023-01-19,Pass W/ Conditions,TRUE,FALSE,TRUE,2801 W Harrison St,CHICAGO,IL,60612.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: OBSERVED NO PERSON IN ON SITE WITH FOODSERVICE MANAGER TRAINING.  | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO VALID FOODSERVICE SANITATION MANAGER CERTIFICATE ON SITE WHILE TCS FOODS ARE PREPARED AND SERVED (ITALIAN BEEF, SANDWICHES). INSTRUCTED PERSON IN CHARGE THAT VALID FOODSERVICE MANAGER CERTIFICATE AS WELL AS CERTIFIED MANAGER MUST BE ON SITE AT ALL TIMES. PRIORITY FOUNDATION 7-38-012. CITATION ISSUED.  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HAND SINK IN REAR PREP AREA NOT ACCESSIBLE. BASIN WAS FILLED WITH SODA CANS AND A PLASTIC BOTTLES. INSTRUCTED THAT SINK MUST BE ACCESSIBLE AND MAINTAINED AT ALL TIMES. PRIORITY FOUNDATION VIOLATION #7-38-030(C). CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND DRYING PROVISION IN RESTROOM AT TIME OF INSPECTION. INSTRUCTED PERSON IN CHARGE THAT HAND DRYING PROVISION(PAPER TOWELS) MUST BE AVAILABLE AT ALL TIMES. PRIORITY FOUNDATION 7-38-030(C). CITATION ISSUED UNDER VIOLATION ABOVE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CUTTING BOARD ON PREP COOLER TO BE DEEPLY STAINED AND HAVE DEEP GROOVES. INSTRUCTED PERSON IN CHARGE TO REPLACE OR REPAIR FOR SURFACE TO BE SMOOTH AND EASILY CLEANABLE. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED BUILD UP OF GRIME ON EXTERIOR AND INTERIOR OF PREP COOLER, PREP TABLE, AND CART (HOLDING MICROWAVE). INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING FLOOR TILES ON SALES FLOOR AND FLOOR IN REAR STORAGE AREA BEHIND KITCHEN. OBSERVED MISSING AND DAMAGED CEILING TILES IN REAR DRY STORAGE AND ON SALES FLOOR. INSTRUCTED PERSON IN CHARGE TO REPAIR AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESSIVE CLUTTER IN STORAGE ROOM BEHIND THREE COMPARTMENT SINK. INSTRUCTED PERSON IN CHARGE TO ORGANIZE AND MAINTAIN ALL ITEMS AT LEAST SIX INCHES FROM FLOOR.  | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO FOOD HANDLER CERTIFICATE ON SITE FOR FOOD HANDLER EMPLOYEE. INSTRUCTED PERSON IN CHARGE THAT ALL FOOD HANDLER EMPLOYEES MUST RECEIVE TRAINING AND CERTIFICATE MUST BE MAINTAINED ON SITE.",41.873682884646,-87.6962220423048,YOYO FOOD MART INC,2801 W HARRISON ST,POINT (-87.6962220423048 41.873682884646),EAST GARFIELD PARK,53883220.8462,27.0,27.0,31514.6259565,,,26.0,EAST GARFIELD PARK,53883220.8462,27.0,27.0,31514.6259565
Amer Food Mart,2020-06-24,Pass W/ Conditions,TRUE,FALSE,FALSE,3458 W Lake St,CHICAGO,IL,60624.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO WRITTEN EMPLOYEE HEALTH POLICY ON SITE. INSTRUCTED FACILITY TO ESTABLISH AN APPROPRIATE EMPLOYEE HEALTH POLICY AND MAINTAIN WITH VERIFIABLE SIGNED COPIES ON SITE FOR ALL FOOD EMPLOYEES.  PRIORITY FOUNDATION VIOLATION #7-38-010. NO CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO WRITTEN PROCEDURES OR SUPPLIES FOR RESPONDING TO VOMITING OR DIARRHEAL EVENTS. SUPPLIES MUST INCLUDE ADEQUATE SANITIZER THAT ELIMINATES NOROVIRUS. INSTRUCTED FACILITY TO PROVIDE CLEAN UP POLICY AND SUPPLIES TO PROPERLY HANDLE BODILY FLUID SPILLS ON SITE. PRIORITY FOUNDATION VIOLATION #7-38-005. NO CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGN AT THE HAND SINK BEHIND THE DELI COUNTER. INSTRUCTED TO PROVIDE A HAND WASHING SIGN AT ALL HAND SINKS ON SITE. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED NO LABELS FOR BULK FLOUR AND SUGAR STORAGE CONTAINER STORED IN THE REAR FOOD PREP AREA ON THE SHELF. INSTRUCTED PERSON IN CHARGE ALL BULK AND WORKING FOOD INGREDIENT CONTAINERS MUST BE LABELED WITH CONTENTS NAME.  | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: OBSERVED WET WIPING CLOTH LAYING ON THE FOOD PREP TABLE IN THE KITCHEN. MUST PROPERLY STORE WIPING CLOTHS IN A SANITIZING SOLUTION BETWEEN USE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED TORN DOOR GASKET INSIDE OF THE 1 DOOR REACH-IN COOLER AND INSIDE OF THE CHEST FREEZER IN THE REAR FOOD PREP AREA. INSTRUCTED TO REPLACE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED THE INTERIOR OF THE  MICROWAVE IN THE KITCHEN SOILED WITH FOOD DERBIS AND SPLASH. INSTRUCTED TO CLEAN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED AN EXCESSIVE AMOUNT OF DEBRIS AND ICE BUILDUP INSIDE THE CHEST FREEZER IN THE  REAR FOOD PREP AREA. MUST REMOVE EXCESS ICE, DETAIL CLEAN, AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MOP IN A POSITION STORED IN THE FRONT ON THE SALES FLOOR THAT DOES NOT ALLOW TO DRY PROPERLY AND PREVENT PEST HARBORAGE. MUST STORE MOP AFTER USE IN A MOUNTED POSITION THAT ALLOWS FOR AIR-DRYING WITHOUT SOILING AND PEST HARBORAGING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED  WATER STAINED CEILING TILES THROUGHOUT THE SALES FLOOR AND REAR FOOD PREP DELI AREA. INSTRUCTED REPLACE THE STAINED CEILING TILES.",41.8848798693272,-87.7134272516448,AMER FOOD MART,3458 W LAKE ST,POINT (-87.7134272516448 41.8848798693272),EAST GARFIELD PARK,53883220.8462,27.0,27.0,31514.6259565,,,26.0,EAST GARFIELD PARK,53883220.8462,27.0,27.0,31514.6259565
One Way Fast Food & Grocery Inc.,2025-03-27,Pass,FALSE,TRUE,TRUE,3022 W Madison,CHICAGO,IL,60612.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO THERMOMETERS IN REACH-IN COOLERS IN FRONT SERVING AND PREP AREAS. INSTRUCTED MANAGER TO PROVIDE THERMOMETERS IN ALL COOLERS.  | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: NOTED NO LABELS FOR BULK STORAGE CONTAINERS (FLOUR AND SUGAR). INSTRUCTED PERSON IN CHARGE ALL BULK AND WORKING FOOD INGREDIENT CONTAINERS MUST BE LABELED WITH CONTENTS NAME.   | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED VARIOUS FOOD ITEMS STORED IN PLASTIC GROCERY BAGS IN THE COOLER AND FREEZER. MANAGEMENT INSTRUCTED TO USE PROPER FOOD GRADE STORAGE BAGS AND CONTAINERS ONLY.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED LOOSE DEBRIS, DIRT AND DUST BUILDUP ON THE FLOORS AND CORNERS THROUGHOUT THE FACILITY. INSTRUCTED TO DETAIL CLEAN AND INCREASE CLEANING FREQUENCY OF FLOORS. MUST MAINTAIN AT ALL TIMES.",41.881126474537,-87.7022366178726,ONE WAY FAST FOOD GROCERY INC,3022 W MADISON,POINT (-87.7022366178726 41.881126474537),EAST GARFIELD PARK,53883220.8462,27.0,27.0,31514.6259565,,,26.0,EAST GARFIELD PARK,53883220.8462,27.0,27.0,31514.6259565
Md Food Market,2025-03-27,Pass,FALSE,TRUE,TRUE,210 N Homan Ave,CHICAGO,IL,60624.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO WRITTEN CLEAN-UP PROCEDURE POSTED ON-SITE OR NECCESARY ITEMS OUTLINED IN THE POLICY AVAILABLE ON-SITE FOR RESPONDING TO VOMIT AND DIABHEAL EVENTS THAT CAN OCCUR IN THE FOOD ESTABLISHMENT. PRIORITY FOUNDATION VIOLATION. #7-38-005. NO CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: INSTRUCTED TO PROVIDE HAND WASHING SIGNAGE AT HNDSINK AS REQUIRED. MUST MAINTAIN.  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED FRONT DOOR TO FACILITY NOT RODENT PROOF. INSTRUCTED TO PROVIDE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED ALL PLUMBING FIXTURES IN TOILET ROOM IN NEED OF CLEANING. INSTRUCTED TO PROVIDE AND MAINTAIN. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED TRASH AND CONSTRUCTION DEBRIS THROUGHOUT OUTDOOR REFUSE AREA DURING TIME OF INSPECTION. INSTRUCTED to REMOVE ALL TRASH AND UNNECESSARY ITEMS STORED IN SAID AREA. MUST MAINTAIN REFUSE AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO ENCLOSE ALL HOLES IN WALLS THROUGHOUT REAR STORAGE/ GROCERY AREA/ ESCIALLY WHERE HOT WATER TANK IS STORED. ALL SURFACES MUST BE SMOOTH AND EASILY CLEANABLE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED GAPS BETWEEN WALL AND FLOOR THROUGHOUT STORE. INSTRUCTED TO ENCLOSE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: INSTRUCTED TO REPLACE ALL BROKEN LIGHT BULBS AND INCREASE LIGHTING THROUGHOUT GROCERY STORE. MUST MAINTAIN.",41.8849786028902,-87.71127199369,MD FOOD MARKET,210 N HOMAN AVE,POINT (-87.71127199369 41.8849786028902),EAST GARFIELD PARK,53883220.8462,27.0,27.0,31514.6259565,,,26.0,EAST GARFIELD PARK,53883220.8462,27.0,27.0,31514.6259565
Falcon Fuel,2025-01-15,Pass,TRUE,FALSE,FALSE,43-57 N Homan Blvd,CHICAGO,IL,60624.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: 4-204.112(B) OBSERVED MISSING THERMOMETERS INSIDE WALK-IN COOLER CONTAINING TCS FOODS, INSIDE 2-DOOR UNIT AND DISPLAY COOLER STORING DELI MEAT, DISPLAY COOLER WITH PACKAGED DELI MEAT AND PREPACKAGED DELI SANDWICHES. MUST MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.11 OBSERVED MISSING DOOR HANDLE ON WALK-IN COOLER DOOR. INSTRUCTED TO PROVIDE AND MAINTAIN EQUIPMENT. OBSERVED INADEQUATE SPLASH GUARD BETWEEN HANDSINK AND SLICING MACHINE ON PREP TABLE. INSTRUCTED TO PROVIDE TALLER BARRIER ALONGSIDE SAID HANDSINK. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: OBSERVED NO ALLERGEN TRAINING CERTIFICATE FOR CITY OF CHICAGO CERTIFIED FOOD MANAGER. INSTRIUCTED TO OBTAIN",41.8822112920406,-87.7108986080365,FALCON FUEL,4357 N HOMAN BLVD,POINT (-87.7108986080365 41.8822112920406),EAST GARFIELD PARK,53883220.8462,27.0,27.0,31514.6259565,,,26.0,EAST GARFIELD PARK,53883220.8462,27.0,27.0,31514.6259565
B.P.,2024-12-23,Pass,TRUE,FALSE,FALSE,2953-2959 W Fulton St,CHICAGO,IL,60612.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-101.19 OBSERVED RAW WOOD USED AS STORAGE SHELVES ABOVE THE 3 COMPARTMENT SINK AND IN THE FOOD PREP AREA. MANAGEMENT INSTRUCTED TO PAINT OR SEAL ALL RAW WOOD SHELVES. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-602.13 CLEAN THE INTERIOR OF THE PREP COOLERS IN THE FOOD PREP AREA.	 | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 5-501.17 OBSERVED NO COVERED WASTE RECEPTACLE IN THE WASHROOM. MANAGEMENT INSTRUCTED TO PROVIDE",41.886375632623,-87.7010050165726,BP,29532959 W FULTON ST,POINT (-87.7010050165726 41.886375632623),EAST GARFIELD PARK,53883220.8462,27.0,27.0,31514.6259565,,,26.0,EAST GARFIELD PARK,53883220.8462,27.0,27.0,31514.6259565
"Three Stars Food Market, Inc.",2024-11-14,Pass,FALSE,TRUE,TRUE,252-54 N Kedzie Ave,CHICAGO,IL,60612.0,51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED THE DRAIN LINE OF THE EXPOSED HAND WASHING SINK IN THE FRONT PREP AREA LEAKING.  MANAGEMENT INSTRUCTED TO REPAIR THE SOURCE OF THE LEAK. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED SEVERAL FOOD HANDLING EMPLOYEES WITHOUT A VALID FOOD HANDLER CERTIFICATE.  MANAGEMENT INSTRUCTED THAT ALL FOOD HANDLING EMPLOYEES MUST HAVE A VALID FOOD HANDLER CERTIFICATE.,41.885905570214,-87.7064121998245,THREE STARS FOOD MARKET INC,25254 N KEDZIE AVE,POINT (-87.7064121998245 41.885905570214),EAST GARFIELD PARK,53883220.8462,27.0,27.0,31514.6259565,,,26.0,EAST GARFIELD PARK,53883220.8462,27.0,27.0,31514.6259565
Madison Foods And Fish Market Inc.,2024-05-14,Pass,FALSE,TRUE,TRUE,3407 W Madison St,CHICAGO,IL,60624.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: 4-204.112(B) INSTRUCTED TO PROVIDE THERMOMETERS FOR ALL COOLING UNITS ON SITE TO MONITOR INTERNAL TEMPERATURE | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15 OBSERVED 1/4 INCHES GAP UNDERNEATH BOTH REAR AND BASEMENT DOORS LEADING TO THE DUMPSTER AREA. INSTRUCTED RODENT-PROOF BOTH SAID DOORS TO PREVENT PEST ENTRY. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11 OBSERVED FLOORS BEHIND THE DISPLAY COOLER NEAR BEVERAGE DISPENSERS AND PREP SPACE WITH MISSING AND BROKEN TILES. INSTRUCTED TO PROVIDE SMOOTH AND EASILY CLEAN FLOORS THROUGHOUT.",41.8808046152,-87.7113754959167,MADISON FOODS AND FISH MARKET INC,3407 W MADISON ST,POINT (-87.7113754959167 41.8808046152),EAST GARFIELD PARK,53883220.8462,27.0,27.0,31514.6259565,,,26.0,EAST GARFIELD PARK,53883220.8462,27.0,27.0,31514.6259565
Sham Market,2020-08-25,Pass,FALSE,TRUE,TRUE,3400 W Lake St,CHICAGO,IL,60624.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO TEMPERATURE MEASURING DEVICES IN ANY OF THE COOLING UNITS IN FACILITY. INSTRUCTED TO PROVIDE AND MAINTAIN.  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED 1/4 INCH GAP ON FRONT DOOR OF FACILITY. INSTRUCTED TO ENCLOSE SPACE TO PREVENT PEST ENTRY. MUST MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESSIVE ITEMS STORED IN BASEMENT STORED ON TOP OF MILK CRATES. MUST REMOVE UNUSED EQUIPMENT AND ELEVATE ITEMS ON PROPER SHELVING UNITS IN  STORAGE AREA TO PREVENT PEST HARBOR-AGE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST REMOVE RED CARPET NOT PROPERLY ATTACHED TO FLOOR NEAR REGISTERS. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED INADEQUATE LIGHTING THROUGHOUT FACILITY. INSTRUCTED TO REPLACE BURNED OUT CEILING LIGHT BULBS.",41.884753676395,-87.7112297885928,SHAM MARKET,3400 W LAKE ST,POINT (-87.7112297885928 41.884753676395),EAST GARFIELD PARK,53883220.8462,27.0,27.0,31514.6259565,,,26.0,EAST GARFIELD PARK,53883220.8462,27.0,27.0,31514.6259565
