DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Mariano'S #8522,2025-04-03,Pass W/ Conditions,FALSE,TRUE,TRUE,5201 N Sheridan Rd,CHICAGO,IL,60640.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-101.19 INSTRUCTED NOT TO USE MILK CRATES AS A MEANS OF ELEVATION THROUGHOUT (BAKERY/DELI/SUSHI/MEAT/SEAFOOD PREP ETC FOR EASY ACCESS ON CLEANING.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.13 INSTRUCTED TO SEAL HOLES ON WALL AROUND PREP AREAS TO PREVENT PEST HARBORAGE.   | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11 INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS IN REAR PRODUCE PREP AREA, UNDER 3 COMPARTMENT SINK AND FLOOR DRAIN IN BAKERY PREP AREA, AND FLOOR INSIDE THE PRODUCE WALK-IN COOLER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.17 OBSERVED DUST ACCUMULATION AT CONDENSER FAN COVER ABOVE MEAT PREP AREA AND INSIDE PRODUCE WALK-IN COOLER. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN. | 59. PREVIOUS PRIORITY FOUNDATION VIOLATION CORRECTED - Comments: PREVIOUS PRIORITY FOUNDATION VIOLATION NOT CORRECTED FROM REINSPECTION REPORT# 2613344 ISSUED ON 03/26/2025 PRIORITY VIOLATION 7-42-090      CITATION ISSUED   #38 - OBSERVED OVER 40 RODENT (MICE) DROPPINGS UNDERNEATH DISPLAY SHELVES (AISLE 5, 6, 7, 8), OVER 20 MICE DROPPINGS BEHIND DISPLAY SHELVES (CEREAL, BREAD, NUTS SHELVES) AND OVER 20 MICE DROPPINGS IN FRONT/UNDERNEATH CANDY SHELVES. INSTRUCTED TO REMOVE, CLEAN AND SANITIZE THE AFFECTED AREAS. MUST DETAIL CLEAN AND MAINTAIN FLOOR UNDER DISPLAY SHELVES WITH DRIED FOOD DEBRIS. (CORRECTED ON SITE - LICENSED PEST CONTROL (ECOLAB) ON SITE AND MAINTENANCE CONTINUOUSLY CLEANING UNDERNEATH DISPLAY SHELVES AND IN FRONT/UNDERNEATH CANDY SHELVES)",41.9764816676124,-87.6548397771668,MARIANOS 8522,5201 N SHERIDAN RD,POINT (-87.6548397771668 41.9764816676124),EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,,76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456
Whole Foods Market,2024-09-11,Pass W/ Conditions,FALSE,TRUE,TRUE,6009 N Broadway,CHICAGO,IL,60660.0,"20. PROPER COOLING TIME AND TEMPERATURE - Comments: OBSERVED AT 10:40 AM IMPROPER COOLING METHOD OF APPROXIMATELY 23 LBS COOKED PULLED CHICKEN NOTED AT 50.3F IN A LARGE COVERED PLASTIC CONTAINER STORED ON THE TOP SHELVING INSIDE THE WALK-IN COOLER. PREP DATE NOTED TODAY'S DATE. OPERATION PREP TEMPERATURE LOGS NOTED THE CHICKEN WAS PULLED AT 8AM @ 178F THEN LOGGED AGAIN AT 10 AM @ 38F. REVIEWED PROPER COOLING PROCEDURES OF USING SHALLOW, UNCOVERED CONTAINERS DURING THE COOLING PROCESS. FACILITY HAS A QUICK CHILL MACHINE ON SITE AND WAS USED FOR CORRECTIVE ACTION TO PROPERLY COOL THE CHICKEN. ALSO REVIEWED COOLING TIMES AND TEMPERATURES. PRIORITY VIOLATION 7-38-005 CITATION ISSUED. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: MISSING THERMOMETER INSIDE THE PRE-PACKAGED DELI MEAT AND CHEESE DISPLAY COOLER. MANAGER PROVIDED DURING THE INSPECTION. | 43. IN-USE UTENSILS: PROPERLY STORED - Comments: NOTED IN USE TONGS IMPROPERLY STORED IN THE DELI PREP AREA DIRECTLY NEXT TO AND  HANGING OVER THE SPLASH GUARD OF THE HAND WASHING SINK. MANAGER REMOVED TO BE WASHED, RINSED AND SANITIZED. | 44. UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED - Comments:  CLEAN STORED MIXING BOWLS IN THE MAIN KITCHEN MUST BE STORED INVERTED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: ALL FLOOR DRAINS IN THE CHEESE PREP AREA NOTED DIRTY.----NOTED FOOD SPILLAGE INSIDE THE SMALL DELI COOLER OF THE MAIN KITCHEN. INSTRUCTED TO CLEAN AND MAINTAIN ALL.",41.9911817534467,-87.6601550832236,WHOLE FOODS MARKET,6009 N BROADWAY,POINT (-87.6601550832236 41.9911817534467),EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,,76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456
Jewel Food Store #3407,2024-06-13,Pass W/ Conditions,FALSE,TRUE,TRUE,5516 N Clark St,CHICAGO,IL,60640.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: Observed missing handwashing sign in ladies employee bathroom in basement. Instructed manager to provide signs for all hand sinks. | 14. REQUIRED RECORDS AVAILABLE: SHELLSTOCK TAGS, PARASITE DESTRUCTION - Comments: OBSERVED NO SHELLFISH TAG IN OYSTERS STORED AND DISPLAY INSIDE SEAFOOD DISPLAY COOLER. INSTRUCTED MANAGER, A SHELLFISH TAG MUST BE WITH THE PRODUCT AT ALL TIMES UNTIL EMPTIED AND MUST BE RETAINED FOR A PERIOD OF 90 DAYS. A SHELLSTOCK CERTIFICATION TAG SHALL BE MAINTAINED WITH THE PRODUCT WITH THE ORIGINAL CONTAINER UNTIL EMPTIED AND THEN RETAINED FOR A PERIOD OF 90 DAYS. SHELLFISH TAGS MUST BE DATED WITH THE DATE WHEN THE LAST SHELLFISH WAS USED OR CONSUMED FROM THE CONTAINER. OYSTERS DISCARDED. TOTAL VALUE:100.00 TOTAL WEIGHT: 5 LBS. PRIORITY FOUNDATION VIOLATION 7-38-005     CITATION ISSUED | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: Observed no thermometer present in walk in produce cooler. Instructed manager to provide a thermometer in each cold hold unit. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: Observed dust build up on the exterior of the condenser fan cover in walk in cooler in produce prep area. Instructed manager to clean and maintain area free of dust build up | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LEAK ON THE SIDE OF GREASE BOX UNDERNEATH 3 COMPARTMENT SINK IN DELI PREP AREA. INSTRUCTED TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WATER POOLING UNDERNEATH/BEHIND 3 COMPARTMENT SINK IN THE DELI PREP AREA, BAKERY PREP/DISHWASHING AREA AND IN BASEMENT PRODUCE PREP/DISHWASHING AREA. INSTRUCTED TO KEEP THE FLOORS DRY TO PREVENT PEST HARBORAGE,",41.9821898846136,-87.6686516279609,JEWEL FOOD STORE 3407,5516 N CLARK ST,POINT (-87.6686516279609 41.9821898846136),EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,,76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456
Hollywood Market Place,2024-04-25,Pass W/ Conditions,TRUE,FALSE,FALSE,5701 N Sheridan Rd,CHICAGO,IL,60660.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: VOMIT/DIARRHEA EVENT CLEAN UP KIT IS MISSING DISPOSABLE FACE MASKS. MUST PROVIDE COMPLETE KIT. PRIORITY FOUNDATION VIOLATION.  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: REAR EXIT DOOR WITH AN OPEN 1/4 IN GAP ALONG THE BOTTOM AND SIDE OF DOOR. MUST SEAL DOOR TO BE TIGHT FITTING ON ALL SIDES | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: ALL SHELVING THROUGHOUT AND ALL PLUMBING FIXTURES, INCLUDING THE THREE COMPARTMENT AND ONE COMPART SINKS, NOTED DIRTY. MUST CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO BACKFLOW PREVENTION DEVICE LOCATED AT THE REAR MOP SINK. INSTRUCTED MANAGER TO PROVIDE.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OPEN GAPS ALONG THE BASEBOARD OF THE GROCERY AREA ON THE SOUTH WALL. MUST SEAL, PROVIDE A SEALED BASEBOARD OR COVING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: ALL UNUSED EQUIPMENT, INCLUDING THREE COMPARTMENT SINK, ONE COMPARTMENT SINK, FREEZERS, CONSTRUCTION MATERIAL THROUGHOUT THE PREMISES MUST BE REMOVED AND ALL OTHER NEEDED ITEMS FOR THE OPERATION OF THE BUSINESS MUST BE STORED ELEVATED AND ORGANIZED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED SEVERAL HOLES IN THE WALLS AT SEVERAL AREAS THROUGHOUT THE REAR FACILITY. MUST SEAL TO BE SMOOTH AND CLEANABLE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: NO MECHANICAL VENTILATION IN THE 2ND FLR. EMPLOYEE WASHROOM. MUST PROVIDE.",41.9856384210489,-87.6550943232709,HOLLYWOOD MARKET PLACE,5701 N SHERIDAN RD,POINT (-87.6550943232709 41.9856384210489),EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,,76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456
Dream Food Market,2021-10-08,Pass W/ Conditions,FALSE,TRUE,TRUE,5908 N Clark St,CHICAGO,IL,60660.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN AND KIT FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED FACILITY TO DEVELOP AND MAINTAIN A PROCEDURE/PLAN AND TO MAINTAIN ANY APPROPRIATE SUPPLIES ON SITE.  PRIORITY FOUNDATION VIOLATION 7-38-005.NO CITATION ISSUED | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments:   NO SELF CLOSING DEVICE AT STAFF WASHROOM  DOOR.INSTRUCTED TO PROVIDE | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: COVER IS NEEDED FOR RECEPTACLES IN WASHROOM",41.9886964566345,-87.6700248765415,DREAM FOOD MARKET,5908 N CLARK ST,POINT (-87.6700248765415 41.9886964566345),EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,,76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456
Hollywood Deli,2020-05-15,Pass W/ Conditions,TRUE,FALSE,TRUE,5700 N Sheridan Rd,CHICAGO,IL,60660.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: NO PERSON IN CHARGE PRESENT DURING TIME OF INSPECTION. PRIORITY FOUNDATION. NO CITATION ISSUED.  | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO ORIGINAL CITY OF CHICAGO FOOD MANAGER CERTIFICATE POSTED. INSTRUCTED MANAGER MUST PROVIDE ORIGINAL CITY OF CHICAGO FOOD MANAGER CERTIFICATE AND MUST BE PRESENT ON SITE AT ALL TIMES. PRIORITY FOUNDATION. 7-38-012.  | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED SUPPLIES MISSING FROM VOMIT AND DIARRHEA KIT. INSTRUCTED MANAGER TO PROVIDE ALL NECESSARY SUPPLIES AS OUTLINED IN POLICY. PRIORITY FOUNDATION. 7-38-005. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HAND WASHING SINK AT DELI PREP AREA NOT ACCESSIBLE WITH POTS STORED IN HAND WASHING BOWL AND MOP BUCKET BLOCKING HAND SINK PREVENTING EMPLOYEES TO WASH HANDS. INSTRUCTED MANAGER HAND WASHING SINK MUST BE ACCESSIBLE AT ALL TIMES. PRIORITY FOUNDATION. 7-38-030(C). | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO EMPLOYEE HAND WASHING SIGNAGE AT HAND WASHING SINKS AT DELI AREA, COFFEE STATION AND EMPLOYEE BATHROOM. MUST PROVIDE.  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO PAPER TOWELS IN EMPLOYEE BATHROOM DURING TIME OF INSPECTION. INSTRUCTED MANAGER TO PROVIDE PAPER TOWELS AT HAND WASHING SINK AT ALL TIMES TO PROPERLY DRY HANDS. PRIORITY FOUNDATION. 7-38-030(C).  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO METAL STEM THERMOMETER ON SITE DURING INSPECTION. MUST PROVIDE ON SITE AT ALL TIMES. PRIORITY FOUNDATION. 7-38-005.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CUTTING BOARD AT DELI PREP COOLER WITH DEEP GROOVES. MUST CLEAN OR REPLACE.  | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND NO BACKFLOW PREVENTION DEVICES INSTALLED AT 3 COFFEE MACHINES.MUST PROVIDE WHERE THEY CAN BE LOCATED AND SERVICED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESSIVE FACIAL HAIR ON FLOOR IN EMPLOYEE BATHROOM. MUST CLEAN AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CARDBOARD UNDERNEATH A PILLOW AND BLANKET SET UP IN DRY FOOD STORAGE IN REAR ALONG WITH A PAIR OF SHOES AND BACKPACK IN ESTABLISHMENT. MANAGER CLAIMS HE HAS A ""HELPER"" AND WAS STORING HIS BELONGINGS IN BACK ROOM. INSTRUCTED MANAGER TO REMOVE ALL ITEMS AND DO NOT USE SUCH A SPACE FOR LIVING OR SLEEPING QUARTERS.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESSIVE CLUTTER IN REAR CLOSET WHERE BEVERAGES ARE STORED. MUST CLEAN AREA AND REMOVE ANY UNNECESSARY ITEMS.  | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO FOOD HANDLER TRAINING FOR TWO EMPLOYEES WHO WERE WORKING DURING TIME OF INSPECTION. MUST PROVIDE FOOD HANDLER CERTIFICATES FOR ALL CURRENT EMPLOYEES.  | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: UPON INSPECTION, OBSERVED SUMMARY REPORT NOT POSTED FROM LAST INSPECTION ON 11/19/2019, REPORT #2345861. INSTRUCTED MANAGER TO DISPLAY THE MOST RECENT SUMMARY REPORT VISIBLE TO CUSTOMERS. PRIORITY FOUNDATION. 7-42-010(B).",41.9856410954285,-87.655388544127,HOLLYWOOD DELI,5700 N SHERIDAN RD,POINT (-87.655388544127 41.9856410954285),EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,,76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456
Hollywood Pantry,2020-04-24,Pass W/ Conditions,FALSE,TRUE,TRUE,1301-1303 W Hollywood Ave,CHICAGO,IL,60660.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT AND DIARRHEA CLEAN UP KIT ON SITE DURING INSPECTION. INSTRUCTED MANAGER TO PROVIDE A PROCEDURE ALONG WITH THE NECESSARY SUPPLIES AS OUTLINED IN POLICY. PRIORITY FOUNDATION. 7-38-005. NO CITATION ISSUED.  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO METAL STEM THERMOMETER ON SITE. MUST PROVIDE AND HAVE ON SITE AT ALL TIMES. PRIORITY FOUNDATION. 7-38-005. NO CITATION ISSUED.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESSIVE CLUTTER IN REAR WITH EXPIRED BEVERAGES IN BOXES. INSTRUCTED MANAGER MUST REMOVE AND CLEAN AREA.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXPOSED RAW WOODEN FLOORS IN BATHROOM. MUST INSTALL AND REPAIR FLOOR TILES IN BATHROOM. ALSO OBSERVED ABOUT 1/4 INCH GAP BETWEEN 2-DOOR FRONT ENTRANCE. MUST SEAL TO PREVENT ENTRY POINTS FOR PESTS.",41.985436451803,-87.6632112118758,HOLLYWOOD PANTRY,13011303 W HOLLYWOOD AVE,POINT (-87.6632112118758 41.985436451803),EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,,76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456
Hollywood Broadway Shell,2020-03-23,Pass W/ Conditions,TRUE,FALSE,TRUE,5701 N Broadway,CHICAGO,IL,60660.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICY ON SITE DURING INSPECTION. INSTRUCTED TO PROVIDE VERIFICATION FOR EACH EMPLOYEE ON SITE AT ALL TIMES. PRIORITY FOUNDATION. 7-38-010. NO CITATION ISSUED.  | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT AND DIARRHEA KIT AND PROCEDURE ON SITE DURING INSPECTION. MUST PROVIDE ALL NECESSARY SUPPLIES AS OUTLINED IN POLICY. PRIORITY FOUNDATION. 7-38-005.  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGNAGE AT HAND WASHING SINK NEAR REGISTER. MUST PROVIDE.  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HOT WATER AT AN IMPROPER TEMPERATURE AT HAND SINK IN BATHROOM AT 79.4F. INSTRUCTED MANAGER HOT WATER TEMPERATURE MUST BE AT A MINIMUM OF 100.0F. MANAGER FIXED HOT WATER ON SITE TO PROPER TEMPERATURE. PRIORITY VIOLATION. 7-38-030(C). | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HAND WASHING SINK IN FRONT BY REGISTER AREA NOT CONVENIENTLY LOCATED. MUST INSTALL HAND WASHING SINK CONVENIENTLY LOCATED WHERE EMPLOYEES HAVE EASY ACCESS TO HAND WASHING IN FOOD PREPARATION AND WAREWASHING AREAS. PRIORITY FOUNDATION. 7-38-030(C). NO CITATION ISSUED. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: NO FOOD HANDLER TRAINING CERTIFICATES ON SITE. MUST PROVIDE FOR ALL CURRENT EMPLOYEES HANDLING FOOD EQUIPMENT, UTENSILS OR FOOD CONTACT SURFACES. | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: OBSERVED SUMMARY REPORT NOT POSTED FROM PREVIOUS INSPECTION ON 6-9-2016, REPORT #1752215. INSTRUCTED MANAGER TO ALWAYS POST THE MOST RECENT INSPECTION REPORT VISIBLE TO THE PUBLIC. PRIORITY FOUNDATION. 7-42-010(B).",41.985479187914700,-87.6599788424927,HOLLYWOOD BROADWAY SHELL,5701 N BROADWAY,POINT (-87.6599788424927 41.985479187914706),EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,,76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456
Ins Market,2020-03-19,Pass W/ Conditions,FALSE,TRUE,TRUE,1115 W Granville Ave,CHICAGO,IL,60660.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT AND DIARRHEA CLEAN UP KIT AND PROCEDURE ON SITE DURING INSPECTION. INSTRUCTED TO PROVIDE ALL NECESSARY SUPPLIES AS OUTLINED IN POLICY. PRIORITY FOUNDATION. 7-38-005. NO CITATION ISSUED.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER IN FRONT OF MOP SINK FAUCET IN REAR AND IN BATHROOM. INSTRUCTED TO REMOVE AND CLEAN AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED TORN BASEBOARD NEAR FRONT ENTRANCE DOOR. INSTRUCTED TO REPAIR TO PREVENT ENTRY POINTS FOR PESTS.",41.9944587847764,-87.6589471663646,INS MARKET,1115 W GRANVILLE AVE,POINT (-87.6589471663646 41.9944587847764),EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,,76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456
Edgewater Produce,2024-11-20,Pass,FALSE,TRUE,TRUE,5509 N Clark St,CHICAGO,IL,60640.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: INSTRUCTED TO REFINISH OR REPLACE CUTTING BOARDS WITH DEEP SEAMS IN DELI/MEAT SECTION. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS ALONG THE WALLS AND IN ALL CORNERS IN REAR STORAGE AREA AND UNDERNEATH DISPLAY SHELVES IN THE DISPLAY AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN AND MAINTAIN CONDENSER FAN COVER WITH DUST ACCUMULATION IN PRODUCE WALK-IN COOLER AND INSIDE THE MEAT WALK-IN COOLER IN REAR AREA.",41.981971376999,-87.6683210322541,EDGEWATER PRODUCE,5509 N CLARK ST,POINT (-87.6683210322541 41.981971376999),EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,,76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456
