DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Food Basket,2024-10-28,Pass W/ Conditions,TRUE,FALSE,TRUE,7205 S Halsted St,CHICAGO,IL,60621.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: PERSON IN CHARGE HAS NO VALID CITY OF CHICAGO SANITATION CERTIFIED AS REQUIRED. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO VALID CITY OF CHICAGO CERTIFIED FOOD MANAGER ON DUTY WHILE TCS READY TO EAT FOODS ARE BEING PREPARED,HANDLED AND SERVED SUCH AS (ITALIAN BEEF,GROUND BEEF,CHEESE SAUCE). MUST PROVIDE AND MAINTAIN.PRIORITY FOUNDATION CITATION ISSUED #7-38-012. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: NOTED A FEW DISPLAY SHELVING DIRTY. MUST CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED THE FRONT HAND SINK WITH A SLOW DRAIN. MUST REPAIR AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED THE FIXTURES AND FLOORS DIRTY IN THE WASHROOM. MUST DETAIL CLEAN AND SANITIZE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN THE FLOORS INSIDE THE WALK IN COOLERS AND FREEZER TO REMOVE SPILLS AND DEBRIS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE CEILING TILES DAMAGED AND/OR MISSING. MUST REPLACE AND MAINTAIN. ALSO NOTED AIR VENT VERY DUSTY. MUST CLEAN AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED LIGHTING INSIDE THE WALK IN COOLER VERY DIM. MUST PROVIDE AND MAINTAIN BETTER LIGHTING FOR CLEAN PURPOSES. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED EMPLOYEE ON DUTY WITHOUT FOOD HANDLER TRAINING. INSTRUCTED MANAGER TO COMPLY OR CITATIONS WILL FOLLOW.",41.7631811950353,-87.6442150210482,FOOD BASKET,7205 S HALSTED ST,POINT (-87.6442150210482 41.7631811950353),ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,,67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973
Halsted Groceries Inc.,2021-07-19,Pass W/ Conditions,FALSE,TRUE,TRUE,7059 S Halsted St,CHICAGO,IL,60621.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURE OR SUPPLIES FOR RESPONDING TO VOMITING AND/OR DIARRHEA EVENTS AS REQUIRED. INSTRUCTED MANAGER TO COMPLY OR CITATIONS WILL FOLLOW. PRIORITY FOUNDATION VIOLATION #7-38-005. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED AN APPX.""1-2"" GAP ALONG BOTTOM AND CENTER OF FRONT AND SIDE DOOR.MUST MAKE DOOR TIGHT FITTING. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST APPLY A SEALANT OR PAINT ON RAW WOOD SHELVING UNITS AT SERVICE COUNTER AND ANY WHERE ELSE NEEDED. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED THE INTERIOR OF THE ICE CREAM FREEZER DIRTY AND ICE BUILD UP. MUST CLEAN AND DEFROST. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST PROVIDE A GARBAGE CAN WITH A LID FOR TOILET ROOM AS REQUIRED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST ORGANIZE CLUTTER THROUGH PREMISES FOR CLEANING AND PEST MONITORING PURPOSE. ELEVATE 6"" OFF THE FLOOR AND AWAY FROM THE WALL. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS NEED CLEANING THROUGH OUT ESPECIALLY UNDER PALLETS AND CRATES TO REMOVE DEBRIS.",41.7652957077341,-87.6442689609148,HALSTED GROCERIES INC,7059 S HALSTED ST,POINT (-87.6442689609148 41.7652957077341),ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,,67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973
Halsted Quick Shop,2021-06-08,Pass W/ Conditions,TRUE,FALSE,FALSE,5601 S Halsted St,CHICAGO,IL,60621.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN EMPLOYEE HEALTH POLICY AS REQUIRED OR CITATIONS WILL FOLLOW. PRIORITY FOUNDATION VIOLATION #7-38-010. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO CLEAN-UP POLICY/ PROCEDURE OR SUPPLIES FOR RESPONDING TO VOMITING AND DIARRHEA EVENTS .MUST PROVIDE AND MAINTAIN AS REQUIRED OR CITATIONS WILL FOLLOW. PRIORITY FOUNDATION VIOLATION #7-38-005. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED ICE BUILD UP INSIDE THE REACH IN FREEZER. MUST DEFROST AND CLEAN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 3 COMP SINK FIXTURE ARE IN POOR REPAIR (LEAKY AND BROKEN KNOBS). MUST REPAIR AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST PROVIDE A SELF CLOSING DEVICE ON TOILET ROOM DOOR THAT LEADS INTO FOOD PREP AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED FLOORS THROUGH OUT IN POOR REPAIR(HOLE,OPENING BROKEN & MISSING TILES). MUST REPAIR AND MAINTAIN SMOOTH AND EASILY CLEANABLE.",41.7924826470242,-87.6449659047179,HALSTED QUICK SHOP,5601 S HALSTED ST,POINT (-87.6449659047179 41.7924826470242),ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,,67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973
"Taisha Beauty World, Llc",2020-06-10,Pass W/ Conditions,TRUE,FALSE,FALSE,7101 S Halsted St,CHICAGO,IL,60621.0,"22. PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED IMPROPER TEMPERATURES OF 6- PREPACKAGED LUNCHMEATS AT 57.4 AND 2- DOZEN RAW SHELLED EGGS 64.0F INSIDE OF REFRIGERATOR FOR SALE.PRODUCT WAS DISCARDED BY PIC.MUST HAVE COLD HOLDING FOODS AT 41.0F OR BELOW .APPX.6LBS. $15.50.(PRIORITY 7-38-005) | 33. PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL - Comments: OBSERVED IMPROPER TEMPERATURE OF REFRIGERATOR AT 59.7F WITH TCS FOODS STORED INSIDE.PIC STATES REFRIGERATOR WILL ONLY BE USED FOR EMPLOYEES ONLY.ADDITIONAL COOLERS ARE ON SITE FOR FOOD STORAGE.MUST HAVE COLD HOLDING UNITS AT 41.0F OR BELOW.(PRIORITY 7-38-005) | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED BOTTLED POP STORED INSIDE OF TOILET ROOM.MUST REMOVE AND STORE IN A PROPER SANITARY MANNER. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST PROVIDE A GARBAGE CAN WITH LID IN TOILET ROOM. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST MAKE WALL SMOOTH AND EASILY CLEANABLE AT HAND SINK ON SALES FLOOR AND IN TOILET ROOM.MUST REMOVE EXCESSIVE CAULKING AROUND DOOR IN TOILET ROOM.MUST REPAIR OR REPLACE STAINED CEILING TILES ON SALES FLOOR AND DAMAGED AND MISSING FLOOR TILES AT SERVICE COUNTER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST ELEVATE,REMOVE AND ORGANIZE UNNECESSARY ARTICLES STORED IN TOILET ROOM. | 64. MISCELLANEOUS / PUBLIC HEALTH ORDERS - Comments: OBSERVED NO SOCIAL DISTANCING MARKINGS ON FLOOR OF BUSINESS AND EMPLOYEES AND CUSTOMERS ARE NOT WEARING FACE COVERINGS.MUST PROVIDE AND MAINTAIN.",41.7651141149334,-87.6442637860046,TAISHA BEAUTY WORLD LLC,7101 S HALSTED ST,POINT (-87.6442637860046 41.7651141149334),ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,,67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973
Citgo,2025-01-29,Pass,TRUE,FALSE,FALSE,1151 W 63Rd St,CHICAGO,IL,60621.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO HAND WASHING SIGNAGE AT THE HAND WASHING SINKS IN THE PREP/TOILET ROOMS. INSTRUCTED TO PROVIDE SIGNAGE AND MAINTAIN. | 40. PERSONAL CLEANLINESS - Comments: FOOD HANDLERS/EMPLOYEES IN THE FOOD PREP AREA NOT WEARNG HAIR RESTRAINTS. INSTRUCTED TO HAVE FOOD HANDLERS/EMPLOYEES TO WEAR A HAIR RESTRAINT WHEN IN THE FOOD PREP AREA. MAINTAIN SAME. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: BROKEN FLOOR TILES IN THE FRONT/REAR. INSTRUCTED TO REPLACE AND MAINTAIN SMOOTH AND EASILY CLEANABLE FLOORS.  -HOLE IN THE WALL BEHIND DOOR LEADING TO THE REAR DISH WASHING AREA. INSTRUCTED TO SEAL HOLE AND MAINTAIN.",41.7795037676572,-87.6541017870517,CITGO,1151 W 63RD ST,POINT (-87.6541017870517 41.7795037676572),ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,,67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973
Save A Lot,2024-09-23,Pass,TRUE,FALSE,FALSE,832 W 63Rd St,CHICAGO,IL,60621.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: THE SOAP AND SANITIZER HOSES ON THE 3-COMPARTMENT SINK NEEDS TO BE CUT TO WHERE THE FILL LINE IS ON THE COMPARTMENTS. INSTRUCTED TO CUT THE HOSES AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: CEILING AND VENTS IN THE REAR FOOD PREP AREAS WITH DIRT AND DUST BUILD UP. INSTRUCTED TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: THE INTERIOR OF THE FLOOR DRAINS AND FLOORS IN THE CORNERS, UNDER/AROUND SINKS, HEAVY EQUIPMENT AND STORAGE RACKS IN THE STORAGE AND PREP AREAS WITH DIRT AND DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN THE FLOOR DRAINS AND FLOORS THROUGHOUT.",41.7798400024992,-87.6461307600008,SAVE A LOT,832 W 63RD ST,POINT (-87.6461307600008 41.7798400024992),ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,,67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973
Racine One Stop Food,2024-07-15,Pass,TRUE,FALSE,FALSE,7357 S Racine Ave,CHICAGO,IL,60636.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: : 6-202.15 : OBSERVED A GAP ALONG CENTER OF FRONT DOUBLE DOORS MUST MAKE TIGHT FITTING TO PREVENT RODENT ENTRY | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments:  3-307.11 : MUST PROVIDE A SPLASH GUARD IN BETWEEN HAND SINK AND 2- COMPARTMENT SINK IN FRONT PREP AREA | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: : 4-101.19 : MUST APPLY A SEALANT OR PAINT RAW WOOD PIECES AT CORRAL AT SERVICE COUNTER.MUST ELIMINATE CRATES USED FOR FOOD STORAGE IN WALK IN COOLERS ,SALES FLOOR AND REAR STORAGE AREAS. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.11 : MUST REPAIR OR REPLACE WORN DOOR GASKET ON MAN DOOR OF POP COOLER,MISSING HANDLE ON LID OF HOT HOLDING UNIT.MUST PROVIDE SINK STOPPERS FOR 3- COMP SINK.LOOSE OVERHEAD SHELVING UNIT AT 3- COMP SINK. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  4-601.11(C) : MUST DEFROST ICE FROM BOTH ICE CREAM FREEZERS.MUST CLEAN DUST BUILD UP FROM SERVICE COUNTER DISPLAY SHELVES,FRONT HAND SINK BASIN,BOTH WALK IN COOLER DISPLAY SHELVES AND SLEEVES | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 5-501.17 : MUST PROVIDE A LID ON GARBAGE CAN IN TOILET ROOM | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments:  6-501.19 : MUST REPAIR OR REPLACE SELF CLOSING DEVICE ON TOILET ROOM DOOR TO CLOSE TIGHTLY. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-201.13 : MUST REPAIR OR REPLACE STAINED CEILING TILES THROUGHOUT ,HOLES IN WALLS THROUGHOUT,DAMAGED CONCRETE FLOOR IN MILK WALK IN COOLER & FLOOR TILES THROUGHOUT.MUST FINISH WALL IN BETWEEN PREP AND FRONT SERVICE COUNTER AREA TO BE SMOOTH AND EASILY CLEANABLE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.16 : MUST SCRAPE CHIPPING PAINT ABOVE HAND SINK IN REAR DISH WASHING AREA TO BE SMOOTH AND EASILY CLEANABLE | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: : 6-501.13 : MUST CLEAN DEBRIS BUILD UP FROM FLOOR UNDER,AROUND,ALONG WALL BASES THROUGHOUT PREMISES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114 : MUST ELEVATE,REMOVE OR ORGANIZE ARTICLES OFF OF FLOOR AND AWAY FROM WALLS IN MOPSINK CLOSET | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11 : MUST CLEAN DIRT BUILD UP FROM WALLS IN TOILET ROOMS, VESTIBULE AND WHERE NEEDED.",41.7597043856918,-87.6538315323327,RACINE ONE STOP FOOD,7357 S RACINE AVE,POINT (-87.6538315323327 41.7597043856918),ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,,67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973
Exxon Mobile,2024-05-30,Pass,TRUE,FALSE,FALSE,5901-5911 S Morgan St,CHICAGO,IL,60621.0,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST CLEAN AND MAINTAIN WASHROOM FIXTURES. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED THE WASHROOM DOOR IN THE FOOD PREP AREA NOT SELF CLOSING. MUST PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WATER STAINED CEILING TILES IN THE FRONT SELLING AREA. MUST REPLACE WHERE EVER NEEDED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN THE FLOORS IN THE WALK IN COOLER, REAR STORAGE AREA AND UNDERNEATH THE CHIP DISPLAY RACKS.",41.786867109468300,-87.6496788646231,EXXON MOBILE,59015911 S MORGAN ST,POINT (-87.6496788646231 41.786867109468304),ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,,67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973
Englewood Food Wholesale Market Inc.,2023-11-09,Pass,TRUE,FALSE,TRUE,5901 S Racine Ave,CHICAGO,IL,60636.0,,41.7867963250638,-87.6545337713107,ENGLEWOOD FOOD WHOLESALE MARKET INC,5901 S RACINE AVE,POINT (-87.6545337713107 41.7867963250638),ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,,67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973
"Baba'S Mini Market, Inc.",2023-10-13,Pass,TRUE,FALSE,TRUE,1002 W 63Rd St,CHICAGO,IL,60621.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SIGNAGE IN THE TOILET ROOM ON SITE. INSTRUCTED TO PROVIDE AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED BEHIND THE ENTIRE SERVICE COUNTER MADE OF RAW WOOD. INSTRUCTED TO SEAL SAID WOOD TO MAKE THE SURFACE SMOOTH AND EASILY CLEANABLE.",41.7797845069694,-87.6497941611317,BABAS MINI MARKET INC,1002 W 63RD ST,POINT (-87.6497941611317 41.7797845069694),ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,,67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973
