DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Jet Star Food Mart,2024-10-08,Pass W/ Conditions,TRUE,FALSE,TRUE,4858 S Cottage Grove Ave,CHICAGO,IL,60615.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: PERSON IN CHARGE HAS NO VALID CITY OF CHICAGO SANITATION CERTIFIED AS REQUIRED. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO VALID CITY OF CHICAGO CERTIFIED FOOD SERVICE MANAGER ON DUTY WHILE TCS FOODS SUCH AS GROUND BEEF AND CHEESE SAUCE FOR CHIPS AND ITALIAN BEEF. INSTRUCTED MANAGER THAT A CITY CERTIFIED MANAGER MUST BE ON DUTY AT ALL TIMES WHILE TCS FOODS ARE BEING PREPARED, HANDLED AND SERVED. PRIORITY FOUNDATION CITATION ISSUED #7-38-012. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE FRONT DOOR NOT TIGHT FITTINIG AT THE BOTTOM OR SIDES. ALSO REAR EXIT DOOR NOT TIGHT FITTING ON THE SIDES. INSTRUCTED MANAGER TO REPAIR DOORS TO PREVENT ENTRY POINTS FOR PESTS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED SPILLS AND DEBRIS INSIDE THE REACH IN COOLER. MUST DETAIL CLEAN AND MAINTAIN ESPECIALLY INSIDE DOOR 3,4,AND 5. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE WALLS IN THE REAR PREP/DISHWASHING AREA NOT FINISHED. MUST BE SMOOTH AND EASY CLEANABLE. ALSO NOTED GAPS IN THE REAR ALONG THE WALL BASE AND FLOOR. MUST SEAL. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED THE EMPLOYEE ON DUTY WITHOUT HIS FOOD HANDLER TRAINING. MUST PROVIDE AND MAINTAIN.",41.805982549959,-87.6066364157808,JET STAR FOOD MART,4858 S COTTAGE GROVE AVE,POINT (-87.6066364157808 41.805982549959),GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573,,,37.0,GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573
S & A Mini Mart,2024-10-02,Pass W/ Conditions,TRUE,FALSE,TRUE,325 E 47Th St,CHICAGO,IL,60653.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: OBSERVED PIC HAS NO CITY SANITATION CERTIFICATE AS REQUIRED. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO VALID CITY OF CHICAGO CERTIFIED MANAGER ON DUTY/SITE WHILE TCS FOODS ARE BEING PREPARED,HANDLED AND SERVED SUCH AS GROUND BEEF & CHEESE SAUCE. INSTRUCTED MANAGER THAT A CITY CERTIFIED MANAGER MUST BE ONSITE AT ALL TIMES. PRIORITY FOUNDATION CITATION ISSUED #7-38-012. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST DETAIL CLEAN ALL COUNTER TOP, DISPLAY AND STORAGE SHELVING AND THE INTERIOR OF REACH IN COOLERS, ALSO MUST DEFROST AND CLEAN INTERIOR OF THE ICE CREAM DISPLAY FREEZER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS NEED CLEANING TO REMOVE DEBRIS AND LITTER UNDERNEATH DISPLAY SHELVING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER THROUGH OUT PREMISES. MUST REMOVE ALL UNNECESSARY ITEMS TO PREVENT HARBORAGE. MUST ELEVATE STOCK 6"" OFF THE FLOOR AND AWAY FROM THE WALL FOR CLEANING AND PEST MONITORING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DAMAGED CEILING TILES THROUGH OUT. MUST REPLACE AND MAINTAIN. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: EMPLOYEE ONISTE HAS NO FOOD HANDLER TRAINING AS REQUIRED. MUST COMPLY OR CITATIONS WILL FOLLOW.",41.8092434108899,-87.6184815261373,S A MINI MART,325 E 47TH ST,POINT (-87.6184815261373 41.8092434108899),GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573,,,37.0,GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573
Michigan Food Mart & More Inc.,2024-06-10,Pass W/ Conditions,TRUE,FALSE,TRUE,100 E 47Th St,CHICAGO,IL,60653.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: PERSON IN CHARGE HAS NO CITY SANITATION CERTIFICATE AS REQUIRE. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO VALID CITY OF CHICAGO CERTIFIED MANAGER ON DUTY/SITE WHILE TCF FOODS ARE BEING PREPARED, HANDLED AND SERVED SUCH AS GROUND BEEF & CHEESE SAUCE FOR CHIPS AND ITALIAN BEEF. MUST PROVIDE AND MAINTAIN A VALID CITY OF CHICAGO CERTIFIED MANAGER ON DUTY AT ALL TIMES WHILE TCS FOODS ARE BEING PREPARED AND SERVED. PRIORITY FOUNDATION CITATION ISSUED #7-38-012. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN THE INSIDE OF ALL THE 2-DOOR REACH IN COOLERS TO REMOVE SPILLS AND DEBRIS. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED THE GARBAGE CAN INSIDE OF THE WASHROOM WITH NO LID. MUST PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS NEED CLEANING IN THE REAR STORAGE AREA AND THE WASHROOM. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE CEILING IN POOR REPAIR (WATER DAMAGED TILE AND HOLE) IN THE FRONT SELLING AREA. MUST REPAIR AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: FOUND NO VENTILATION SYSTEM IN WASHROOM; MUST INSTALL A MECHANICAL VENTILATION SYSTEM IN WASHROOM FOR ABSORPTION OF ODORS. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED THE EMPLOYEE/FOOD HANDLER WITHOUT A FOOD HANDLER TRAINING. INSTRUCTED TO PROVIDE AND MAINTAIN AS REQUIRED OR CITATIONS WILL FOLLOW.",41.809398169618900,-87.6227573197023,MICHIGAN FOOD MART MORE INC,100 E 47TH ST,POINT (-87.6227573197023 41.809398169618895),GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573,,,37.0,GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573
Progress African Foods,2023-11-29,Pass W/ Conditions,TRUE,FALSE,FALSE,67 1/2 E 43Rd St,CHICAGO,IL,60653.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO VOMIT AND DIARRHEA CLEAN UP KIT ON SITE; INSTRUCTED TO PROVIDE TO USE IN THE EVENT OF A VOMIT AND DIARRHEAL INCIDENT ON PREMISES.  PRIORITY FOUNDATION VIOLATION 7-38-005. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NO SELF CLOSING DEVICE FOUND ON WASHROOM DOOR; INSTRUCTED TO INSTALL. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING WALL COVING AT BASE OF WALL IN WASHROOM UNDER THE SINK; INSTRUCTED TO PROVIDE COVING.",41.8164205567764,-87.623565977478,PROGRESS AFRICAN FOODS,67 12 E 43RD ST,POINT (-87.623565977478 41.8164205567764),GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573,,,37.0,GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573
King Supermarket,2024-10-16,Pass,FALSE,TRUE,TRUE,400 E 41St St,CHICAGO,IL,60653.0,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO CLEAN AND MAINTAIN THE FOLLOWING: INTERIORS OF REFRIGERATION UNITS WHERE NEEDED, PACKAGED FOOD STORAGE SHELVES, UNUSED EQUIPMENT IN FOOD PREP AREA THAT IS NOT BEING USED.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: INSTRUCTED TO CLEAN THE TOILET AND SINK IN THE EMPLOYEE WASHROOM AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND SOME UNNECESSARY ITEMS STORED BEHIND THE REFRIGERATION UNITS; INSTRUCTED TO ORGANIZE AND MAINTAIN AND/OR REMOVE ITEMS NOT BEING USED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN FLOORS UNDER AROUND AND BEHIND EQUIPMENT ON THE SELLING FLOOR AND UNUSED KITCHEN AREA.  INSTRUCTED TO CLEAN THE FLOORS AND WALLS IN THE EMPLOYEE WASHROOM.  INSTRUCTED TO CLEAN THE VENTILATION FAN ON THE CEILING OF THE WASHROOM TO REMOVE DUST OBSERVED ON THE FAN.",41.820349500309,-87.6165141094718,KING SUPERMARKET,400 E 41ST ST,POINT (-87.6165141094718 41.820349500309),GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573,,,37.0,GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573
Adom African Market,2024-10-08,Pass,TRUE,FALSE,FALSE,118 E 47Th St,CHICAGO,IL,60653.0,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: INSTRUCTED MANAGER TO LABEL REPACKAGED DRY FOOD WITH : NAME,WEIGHT AND STORE INFORMATION. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN THE INTERIOR OF THE REACH IN FREEZERS TO REMOVE SPILLS AND DEBRIS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER IN THE REAR STORAGE AREAS. MUST REMOVE AND/OR ORGANIZE TO PREVENT HARBORAGE.",41.8094093351636,-87.622027518743,ADOM AFRICAN MARKET,118 E 47TH ST,POINT (-87.622027518743 41.8094093351636),GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573,,,37.0,GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573
Bronzeville Convenient Mart,2024-08-21,Pass,TRUE,FALSE,FALSE,450 E 43Rd St,CHICAGO,IL,60653.0,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED THE WASHROOM DOOR NOT SELF CLOSING. MUST PROVIDE ND MAINTAIN A SELF CLOSING DEVICE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED OPENING ALONG THE WALL BASE AND FLOOR IN THE PREP AREA. MUST SEAL/REPAIR TO PREVENT ENTRY POINT FOR PESTS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS NEED DETAIL CLEANING ALONG THE WALL BASE AND IN CORNERS THROUGH OUT TO REMOVE DEBRIS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE STORAGE SHELVING BEHIND THE COUNTER AND WINDOW SEAL VERY DUST. MUST CLEAN AND MAINTAIN.",41.8167852444805,-87.6144774271133,BRONZEVILLE CONVENIENT MART,450 E 43RD ST,POINT (-87.6144774271133 41.8167852444805),GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573,,,37.0,GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573
Black Dollars Market,2022-01-18,Pass,TRUE,FALSE,FALSE,509 E 47Th St,CHICAGO,IL,60653.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE REAR EXIT DOOR WITH A 1/4"" GAP AT THE BOTTOM. MUST REPAIR AND MAINTAIN TO PREVENT ENTRY POINT FOR PEST.",41.8093211097746,-87.6134873825439,BLACK DOLLARS MARKET,509 E 47TH ST,POINT (-87.6134873825439 41.8093211097746),GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573,,,37.0,GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573
Walmart Neighborhood Market #3166,2023-12-01,Out Of Business,TRUE,FALSE,FALSE,4720 S Cottage Grove Ave,CHICAGO,IL,60615.0,,41.8089016636963,-87.6066969661814,WALMART NEIGHBORHOOD MARKET 3166,4720 S COTTAGE GROVE AVE,POINT (-87.6066969661814 41.8089016636963),GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573,,,37.0,GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573
Jamaican Marketplace Inc.,2012-05-02,Out Of Business,TRUE,FALSE,FALSE,4655 S Dr Martin Luther King Jr Dr,CHICAGO,IL,60653.0,,41.8095670383458,-87.6164467757287,JAMAICAN MARKETPLACE INC,4655 S DR MARTIN LUTHER KING JR DR,POINT (-87.6164467757287 41.8095670383458),GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573,,,37.0,GRAND BOULEVARD,48492503.1554,38.0,38.0,28196.8371573
