DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Mandela African Grocery,2024-11-27,Pass W/ Conditions,TRUE,FALSE,FALSE,722 E 79Th St,CHICAGO,IL,60619.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NO EMPLOYEE HEALTH POLICY. INSTRUCTED TO OBTAIN AND MAINTAIN AN EMPLOYEE HEALTH POLICY WHERE ALL EMPLOYED HAVE READ AND SIGNED THE POLICY. PRIORITY FOUNDATION 7-38-010 NO CITATION ISSUED | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO VOMIT/DIARRHEAL CLEAN UP KIT OR PROCEDURE ON SITE. INSTRUCTED TO OBTAIN AND MAINTAIN KIT AND PROCEDURE ON SITE. PRIORITY FOUNDATION 7-38-005 NO CITATION ISSUED | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: LOWER SURFACE OF REACH IN COOLER WITH FOOD AND DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: MOP SINK DOES NOT HAVE A BACK FLOW PREVENTION DEVICE. INSTRUCTED TO PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: WALK IN FREEZER CLUTTER AND UNORGANIZED. INSTRUCTED TO ELIMINATE CLUTTER, ELEVATE ITEMS 6"" OFF THE FLOOR, ORGANIZE AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: NO MECHANICAL VENTILATION IN THE TOILET ROOM. INSTRUCTED TO PROVIDE OR MAKE WINDOW OPENABLE. MAINTAIN SAME.",41.7513692700707,-87.6066770714611,MANDELA AFRICAN GROCERY,722 E 79TH ST,POINT (-87.6066770714611 41.7513692700707),GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,,68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996
"71St Public Wholesale, Inc.",2023-03-30,Pass W/ Conditions,TRUE,FALSE,TRUE,21 E 71St St Frnt,CHICAGO,IL,60619.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICY ON-SITE AT THE TIME OF INSPECTION. INSTRUCTED TO OBTAIN AND MAINTAIN.  PRIORITY FOUNDATION VIOLATION 7-38-010, NO CITATION ISSUED | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMITING AND DIARRHEA PROCEDURE AND CLEAN-UP KIT ON SITE AT THE TIME OF THE INSPECTION. INSTRUCTED TO PROVIDE BOTH PROCEDURE AND THE REQUIRED EQUIPMENT FOR THE CLEAN-UP KIT.  PRIORITY FOUNDATION VIOLATION 7-38-005, NO CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED THE FACILITY MISSING THE HANDWASHING SIGNAGE IN THE TOILET ROOM. INFORMED PERSON IN CHARGE TO OBTAIN AND MAINTAIN SIGNAGE | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND DRYING PROVISION IN THE TOILET ROOM ON SITE. INSTRUCTED MUST PROVIDE AND MAINTAIN A HAND DRYING PROVISION AT ALL HANDWASHING SINKS AT ALL TIME.  PRIORITY FOUNDATION VIOLATION 7-38-030(C), NO CITATION ISSUED | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SOAP AT THE HANDWASHING SINK IN THE TOILET ROOM. INSTRUCTED TO HAVE PROVIDE HANDWASHING SOAP AT ALL HANDWASHING SINKS AT ALL TIMES. PRIORITY FOUNDATION 7-38-030(C), NO CITATION ISSUED.  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED THE TEMPERATURE GAUAGE IN THE 11-DOOR COLDING HOLDING UNIT AND THE 5-DOOR FREEZER UNIT NOT SHOWING AN ACCURATE AMBIENT AIR TEMPERATURE OF THE UNITS. INSTRUCTED TO REPAIR AND MAINTAIN. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO AMBIENT AIR THERMOMETERS INSIDE THE REFRIGERATION UNITS, CONSPICUOUSLY POSTED TO MONITOR THE AMBIENT TEMPERATURE OF THE EQUIPMENT. INSTRUCTED TO EQUIP ALL REFRIGERATION UNITS WITH ACCURATE AND WORKING THERMOMETERS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED FOOD DEBRIS IN THE MOP SINK. INSTRUCTED TO REMOVE FOOD DEBRIS AND MAINTAIN TO AVOID PEST AND RODENTS. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED THE DOOR TO THE TOILET ROOM IS NOT SELF-CLOSING. INSTRUCTED TO INSTALL A SELF-CLOSING DEVICE ON THE SAID DOOR AND MAINTAIN.",41.7653997013428,-87.6239060690169,71ST PUBLIC WHOLESALE INC,21 E 71ST ST FRNT,POINT (-87.6239060690169 41.7653997013428),GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,,68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996
S & J Mobil Oil Inc,2020-11-06,Pass W/ Conditions,TRUE,FALSE,FALSE,7601 S State St,CHICAGO,IL,60619.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT AND DIARRHEA CLEANING MATERIALS TO CLEAN UP SAID INCIDENT ON SITE. FACILITY MUST PROVIDE PROCEDURES AND CLEANING MATERIALS (GLOVES, MASK, DISPOSABLE MOP, DISINFECTANT RATED FOR NOROVIRUS) FOR EMPLOYEES TO FOLLOW AND USE WHEN RESPONDING TO VOMITING OR DIARRHEAL EVENTS. INSTRUCTED MANAGER TO PROVIDE. PRIORITY FOUNDATION VIOLATION. 7-38-005. NO CITATION ISSUED. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: FOUND NO THERMOMETERS THROUGHOUT ALL COLD HOLDING UNITS. INSTRUCTED MANGER TO PROVIDE. | 59. PREVIOUS PRIORITY FOUNDATION VIOLATION CORRECTED - Comments: FOUND THE FOLLOWING PREVIOUS PRIORITY FOUNDATION VIOLATION NOT CORRECTED BY CORRECT BY DATE FROM INSPECTION REPORT # 2453958:  VIOLATION # 48 FOUND NO 3 COMPARTMENT SINK ON SITE. FACILITY BREWS COFFEE. INSTRUCTED MANAGER TO INSTALL 3 COMPARTMENT SINK TO PROPERLY WASH, RINSE, AND SANITIZE EQUIPMENT. INSTRUCTED MANAGER TO COMPLY. PRIORITY VIOLATION. 7-42-090. CITATION ISUED.  | 64. MISCELLANEOUS / PUBLIC HEALTH ORDERS - Comments: OBSERVED 3 EMPLOYEES AND 1 CUSTOMER WITHOUT A FACE COVERING INSIDE OF FACILITY. MUST PROVIDE FACE COVERINGS. CITATIONS ISSUED. 7-28-060.",41.7564030926156,-87.6245765156984,S J MOBIL OIL INC,7601 S STATE ST,POINT (-87.6245765156984 41.7564030926156),GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,,68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996
Alex 75 Food,2024-12-05,Pass,TRUE,FALSE,TRUE,432 E 75Th St,CHICAGO,IL,60619.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: MUST PROVIDE AND MAINTAIN HAND WASHING SIGNAGE TO ALL HAND WASHING SINKS. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST SEAL OR PAINT THE RAW WOOD FLOOR SURFACE BEHIND THE FRONT COUNTER. MUST MAINTAIN A SMOOTH AND EASILY CLEANABLE SURFACE.",41.7585420417018,-87.6138244172892,ALEX 75 FOOD,432 E 75TH ST,POINT (-87.6138244172892 41.7585420417018),GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,,68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996
Pete'S,2024-11-27,Pass,FALSE,TRUE,TRUE,656 E 75Th St,CHICAGO,IL,60619.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: THE LOWER SURFACE OF THE DISPLAY MEAT COOLER WITH RUST. INSTRUCTED TO REMOVE RUST AND MAINTAIN A RUST FREE SURFACE. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: THE LOWER SURFACE OF THE DISPLAY COOLER WITH FOOD AND BLOOD SPILLS. INSTRUCTED TO CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: MOP SINK HAS NO BACK FLOW PREVENTION DEVICE. INSTRUCTED TO PROVIDE AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: THE TOILET ROOM DOOR IN THE REAR PREP AREA DOES NOT SELF CLOSE. INSTRUCTED TO MAKE DOOR SELF CLOSING AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: CLUTTER AT THE REAR DOOR. INSTRUCTED TO ELIMINATE CLUTTER, ORGANIZE AREA AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS IN THE CORNERS, WALK IN COOLER/FREEZER AND UNDER/AROUND HEAVY EQUIPMENT WITH FOOD, DIRT AND DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN FLOORS. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOOD HANDLER ON SITE WITH NO PROOF THAT THEY MET THE FOOD HANDLER'S REQUIREMENTS. INSTRUCTED TO OBTAIN AND MAINTAIN A VALID FOOD HANDLER'S CERTIFICATE.",41.7586451534284,-87.6079895073858,PETES,656 E 75TH ST,POINT (-87.6079895073858 41.7586451534284),GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,,68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996
Fuel Zone,2024-11-20,Pass,TRUE,FALSE,FALSE,130 E 71St St,CHICAGO,IL,60619.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: FRONT DOOR WITH A 1/4"" GAP UNDERNEATH AND IS NOT RODENT OR INSECT PROOFED. INSTRUCTED TO RODENT/INSECT PROOF DOOR AND MAINTAIN. | 40. PERSONAL CLEANLINESS - Comments: EMPLOYEE IN THE FOOD PREP AREA AND NOT WEARING A HAIR RESTRAINT. INSTRUCTED TO HAVE ALL EMPLOYEES AND FOOD HANDLERS TO WEAR A HAIR RESTRAINT WHILE IN THE FOOD PREP AREA AND HANDLING FOOD. MAINTAIN SAME. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: SHELVES AND RACKS IN THE WALK/REACH-IN COOLERS AND FREEZERS WITH DIRT AND FOOD. INSTRUCTED TO CLEAN AND MAINTAIN ALL. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: CEILING TILES WITH WATER STAINS IN THE GROCERY AND DISH WASHING AREA. INSTRUCTED TO REPLACE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS IN THE WALK IN COOLER, CORNERS AND UNDER/AROUND THE HEAVY EQUIPMENT WITH FOOD, DIRT AND DEBRIS, INSTRUCTED TO CLEAN AND MAINTAIN FLOORS THROUGHOUT.",41.7657174799939,-87.620349643544,FUEL ZONE,130 E 71ST ST,POINT (-87.620349643544 41.7657174799939),GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,,68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996
Big Sams Food Mart,2024-11-19,Pass,TRUE,FALSE,TRUE,133 E 75Th St,CHICAGO,IL,60619.0,"28. TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, & USED - Comments: PERSONNELL STORING PERSONAL ITEMS IN THE COOLER USED FOR THE BUSINESS. INSTRUCTED TO STORE PERSONAL ITEMS AWAY FROM BUSINESS ITEMS. MAINTAIN SAME. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: TCS FOODS STORED IN THE DISPLAY COOLER THAT'S MADE ON SITE NOT LABELED. INSTRUCTED TO PROPERLY LABEL TCS FOODS WITH INGREDIENTS, USED BY DATE, ETC. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: FLY STRIP IN PREP AREA. INSTRUCTED TO REMOVE AND TO NOT USE IN THE PREP AREA.  | 40. PERSONAL CLEANLINESS - Comments: FOOD HANDLER NOT WEARING A HAIR RESTRAINT. INSTRUCTED TO WEAR A HAIR RESTRAINT WHEN IN THE FOOD PREP AREA AND HANDLING FOOD. MAINTAIN SAME. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: WIPING CLOTHS NOT PROPERLY STORED WHEN NOT IN USE. INSTRUCTED TO STORE IN SANITIZING SOLUTION (MUST BE AT THE REQUIRED PPM) WHEN NOT IN USE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: LEAK AT THE ELBOW OF THE FAUCET ON THE 3-COMPARTMENT SINK. INSTRUCTED TO FIX AND MAINTAIN GOOD PLUMBING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: WATER STAINED CEILING TILES IN THE FRONT, PREP AND TOILET ROOM. INSTRUCTED TO REPLACE AND MAINTAIN. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: CERTIFIED FOOD MANAGER DOES NOT HAVE THE ALLERGEN TRAINING CERTIFICATE. INSTRUCTED TO OBTAIN AND MAINTAIN A VALID ALLERGEN CERTIFICATE AT ALL TIMES.",41.7582084447493,-87.6200884401159,BIG SAMS FOOD MART,133 E 75TH ST,POINT (-87.6200884401159 41.7582084447493),GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,,68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996
L & L Convenience Store,2024-11-14,Pass,TRUE,FALSE,TRUE,633 E 71St St,CHICAGO,IL,60619.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MISSING/DAMAGED FLOOR TILES IN FRONT OF THE PEPSI COOLER, BEHIND THE FRONT COUNTER AND REAR PREP AREA.  -WATER STAINED CEILING IN FRONT OF STORE. INSTRUCTED TO FIX AND MAINTAIN.",41.7657039538942,-87.6091918179229,L L CONVENIENCE STORE,633 E 71ST ST,POINT (-87.6091918179229 41.7657039538942),GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,,68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996
"Cottage Grove Meat & Grocery, Inc",2024-11-04,Pass,FALSE,TRUE,TRUE,7458 S Cottage Grove Ave,CHICAGO,IL,60619.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO HAND WASHING SIGNAGE AT THE DESIGNATED HAND WASHING SINKS IN THE PREP AND TOILET ROOM AREA. INSTRUCTED TO PROVIDE SIGNAGE TO ALL SINKS AND MAINTAIN. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: FLY STRIP IN REAR PREP AREA. INSTRUCTED TO REMOVE AND MAINTAIN. | 40. PERSONAL CLEANLINESS - Comments: FOOD HANDLERS AND EMPLOYEES NOT WEARING HAIR RESTRAINTS WHILE IN THE FOOD PREP AREA. INSTRUCTED TO WEAR A HAIR RESTRAINT AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS IN THE REAR CLOSET, CORNERS AND UNDER/AROUND HEAVY EQUIPMENT WITH DIRT AND DEBRIS. INTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: WATER STAINED CEILING TILES IN THE REAR FOOD PREP/STORAGE AREA. INSTRUCTED TO REPLACE CEILING TILES AND MAINTAIN.",41.7586671811582,-87.6055423710709,COTTAGE GROVE MEAT GROCERY INC,7458 S COTTAGE GROVE AVE,POINT (-87.6055423710709 41.7586671811582),GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,,68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996
Vernon Street Market,2024-10-28,Pass,FALSE,TRUE,TRUE,427 E 75Th St,CHICAGO,IL,60619.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO HAND WASHING SIGNAGE AT ANY OF THE HAND WASHING SINKS. INSTRUCTED TO PROVIDE AND MAINTAIN. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: FLY STRIPS IN THE DISH WASHING AREA AND SOME STICKY CARD BOARD USED TO CONTROL PEST ON THE SHELF BEHIND THE FRONT COUNTER. INSTRUCTED TO REMOVE AND LET THE LICENSED PEST CONTROL TECH. DO PEST CONTROL. MAINTAIN SAME. | 40. PERSONAL CLEANLINESS - Comments: FOOD HANDLER NOT WEARING A HAIR RESTRAINT WHILE IN THE FOOD PREP AREA. INSTRUCTED TO HAVE ALL EMPLOYEES IN THE FOOD PREP AREA WEAR A HAIR RESTRAINT. MAINTAIN SAME. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: 3 COMPARTMENT SINK IS MISSING STOPPERS, INSTRUCTED TO PROVIDE 2 SINK STOPPERS FOR THE 3 COMPARTMENT SINK AND MAINTAIN.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: THE LOWER SURFACE OF THE INTERIOR OF THE CHEST FREEZER AND COOLERS WITH DIRT AND DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: CEILING IN THE TOILET ROOM DAMAGED WITH HOLES. INSTRUCTED TO SEAL HOLES, REPAIR CEILING AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS IN THE CORNERS AND UNDER/AROUND THE STORAGE RACKS WITH DIRT AND DEBRIS. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOOD HANDLER ON SITE HAS NO FOOD HANDLER CERTIFICATE. INSTRUCTED TO OBTAIN AND MAINTAIN A VALID CERTIFICATE.",41.7583184116855,-87.6140886186091,VERNON STREET MARKET,427 E 75TH ST,POINT (-87.6140886186091 41.7583184116855),GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,,68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996
